"Symbol","Settings","Date","Open","High","Low","Close","Volume"
"CGL","Ex:TSE | Src:Google","2022-09-29","13.480","13.530","13.380","13.490","9906"
"CGL","Ex:TSE | Src:Google","2022-09-30","13.500","13.630","13.480","13.490","81733"
"CGL","Ex:TSE | Src:Google","2022-10-03","13.550","13.840","13.550","13.840","24479"
"CGL","Ex:TSE | Src:Google","2022-10-04","13.890","14.030","13.890","14.000","20097"
"CGL","Ex:TSE | Src:Google","2022-10-05","13.880","13.990","13.850","13.980","15034"
"CGL","Ex:TSE | Src:Google","2022-10-06","13.910","13.960","13.910","13.930","18066"
"CGL","Ex:TSE | Src:Google","2022-10-07","13.840","13.860","13.710","13.710","60533"
"CGL","Ex:TSE | Src:Google","2022-10-11","13.550","13.680","13.530","13.590","110014"
"CGL","Ex:TSE | Src:Google","2022-10-12","13.570","13.620","13.560","13.570","56353"
"CGL","Ex:TSE | Src:Google","2022-10-13","13.360","13.610","13.360","13.520","32296"
"CGL","Ex:TSE | Src:Google","2022-10-14","13.430","13.430","13.340","13.340","93248"
"CGL","Ex:TSE | Src:Google","2022-10-17","13.520","13.540","13.370","13.370","22716"
"CGL","Ex:TSE | Src:Google","2022-10-18","13.470","13.470","13.380","13.410","29801"
"CGL","Ex:TSE | Src:Google","2022-10-19","13.270","13.290","13.230","13.240","7674"
"CGL","Ex:TSE | Src:Google","2022-10-20","13.240","13.370","13.230","13.250","62979"
"CGL","Ex:TSE | Src:Google","2022-10-21","13.270","13.480","13.270","13.460","18159"
"CGL","Ex:TSE | Src:Google","2022-10-24","13.390","13.460","13.380","13.430","14134"
"CGL","Ex:TSE | Src:Google","2022-10-25","13.460","13.480","13.390","13.420","73672"
"CGL","Ex:TSE | Src:Google","2022-10-26","13.490","13.600","13.490","13.510","6093"
"CGL","Ex:TSE | Src:Google","2022-10-27","13.550","13.550","13.460","13.490","6574"
"CGL","Ex:TSE | Src:Google","2022-10-28","13.340","13.360","13.320","13.360","12232"
"CGL","Ex:TSE | Src:Google","2022-10-31","13.280","13.360","13.230","13.240","69028"
"CGL","Ex:TSE | Src:Google","2022-11-01","13.420","13.420","13.310","13.310","18689"
"CGL","Ex:TSE | Src:Google","2022-11-02","13.450","13.560","13.310","13.320","18420"
"CGL","Ex:TSE | Src:Google","2022-11-03","13.130","13.260","13.130","13.230","39889"
"CGL","Ex:TSE | Src:Google","2022-11-04","13.520","13.680","13.520","13.650","21662"
"CGL","Ex:TSE | Src:Google","2022-11-07","13.640","13.680","13.590","13.590","34848"
"CGL","Ex:TSE | Src:Google","2022-11-08","13.600","13.950","13.600","13.900","39299"
"CGL","Ex:TSE | Src:Google","2022-11-09","13.890","13.970","13.850","13.850","24281"
"CGL","Ex:TSE | Src:Google","2022-11-10","14.150","14.230","14.090","14.230","55920"
"CGL","Ex:TSE | Src:Google","2022-11-11","14.300","14.390","14.300","14.390","62462"
"CGL","Ex:TSE | Src:Google","2022-11-14","14.320","14.410","14.320","14.390","25715"
"CGL","Ex:TSE | Src:Google","2022-11-15","14.350","14.440","14.340","14.420","43551"
"CGL","Ex:TSE | Src:Google","2022-11-16","14.400","14.430","14.350","14.370","44937"
"CGL","Ex:TSE | Src:Google","2022-11-17","14.220","14.300","14.220","14.280","34490"
"CGL","Ex:TSE | Src:Google","2022-11-18","14.250","14.260","14.170","14.180","47643"
"CGL","Ex:TSE | Src:Google","2022-11-21","14.210","14.210","14.060","14.090","48510"
"CGL","Ex:TSE | Src:Google","2022-11-22","14.150","14.190","14.100","14.160","46479"
"CGL","Ex:TSE | Src:Google","2022-11-23","14.120","14.240","14.100","14.220","25630"
"CGL","Ex:TSE | Src:Google","2022-11-24","14.340","14.340","14.190","14.260","25724"
"CGL","Ex:TSE | Src:Google","2022-11-25","14.130","14.220","14.110","14.120","13011"
"CGL","Ex:TSE | Src:Google","2022-11-28","14.170","14.190","14.120","14.130","14293"
"CGL","Ex:TSE | Src:Google","2022-11-29","14.180","14.240","14.170","14.180","29788"
"CGL","Ex:TSE | Src:Google","2022-11-30","14.250","14.340","14.170","14.330","32681"
