Symbol,H_Rows,H_LastDate,TA_Rows,TA_LastDate,Issues
ACWI,957,2025-10-24,952,2025-10-17,
ACWX,957,2025-10-24,952,2025-10-17,
AGG,957,2025-10-24,952,2025-10-17,
BND,957,2025-10-24,952,2025-10-17,
CGL,957,2025-10-24,952,2025-10-17,
CGL.C,957,2025-10-24,952,2025-10-17,
DBC,957,2025-10-24,952,2025-10-17,
DIA,957,2025-10-24,952,2025-10-17,
EEM,957,2025-10-24,952,2025-10-17,
EFA,957,2025-10-24,952,2025-10-17,
GLD,957,2025-10-24,952,2025-10-17,
HXQ,957,2025-10-24,952,2025-10-17,
HXT,957,2025-10-24,952,2025-10-17,
HYG,957,2025-10-24,952,2025-10-17,
IAU,957,2025-10-24,952,2025-10-17,
IEF,957,2025-10-24,952,2025-10-17,
IEFA,957,2025-10-24,952,2025-10-17,
IEMG,957,2025-10-24,952,2025-10-17,
IJH,957,2025-10-24,952,2025-10-17,
IJR,957,2025-10-24,952,2025-10-17,
ITOT,957,2025-10-24,952,2025-10-17,
IVV,957,2025-10-24,952,2025-10-17,
IWB,957,2025-10-24,952,2025-10-17,
IWD,957,2025-10-24,952,2025-10-17,
IWF,957,2025-10-24,952,2025-10-17,
IWM,957,2025-10-24,952,2025-10-17,
IWO,957,2025-10-24,952,2025-10-17,
IWP,957,2025-10-24,952,2025-10-17,
IWS,957,2025-10-24,952,2025-10-17,
IYR,957,2025-10-24,952,2025-10-17,
JNK,957,2025-10-24,952,2025-10-17,
LQD,957,2025-10-24,952,2025-10-17,
MTUM,957,2025-10-24,952,2025-10-17,
QQC-F,957,2025-10-24,952,2025-10-17,
QQQ,957,2025-10-24,952,2025-10-17,
QQQM,957,2025-10-24,952,2025-10-17,
QUAL,957,2025-10-24,952,2025-10-17,
SCHB,957,2025-10-24,952,2025-10-17,
SHY,957,2025-10-24,952,2025-10-17,
SIZE,957,2025-10-24,952,2025-10-17,
SLV,957,2025-10-24,952,2025-10-17,
SMH,957,2025-10-24,952,2025-10-17,
SOXX,957,2025-10-24,952,2025-10-17,
