Symbol,Google URL,Validation,Live (GF),Live (Srv)
ACWI,Open,OK,142.340,141.990
ACWX,Open,OK,67.050,66.950
AGG,Open,OK,101.210,101.050
BND,Open,OK,75.060,74.940
CGL,Open,OK,30.840,30.840
CGL.C,Open,OK,46.710,46.860
DBC,Open,OK,22.800,22.850
DIA,Open,OK,475.350,474.490
EEM,Open,OK,55.710,55.610
EFA,Open,OK,95.700,95.630
GLD,Open,OK,367.010,367.360
HXQ,Open,OK,103.690,103.290
HXT,Open,OK,79.560,79.320
HYG,Open,OK,81.280,81.190
IAU,Open,OK,75.150,75.240
IEF,Open,OK,97.490,97.280
IEFA,Open,OK,89.320,89.240
IEMG,Open,OK,68.790,68.640
IJH,Open,OK,66.240,66.400
IJR,Open,OK,121.150,121.560
ITOT,Open,OK,149.820,149.450
IVV,Open,OK,688.600,686.440
IWB,Open,OK,375.910,374.770
IWD,Open,OK,207.500,207.240
IWF,Open,OK,485.020,483.250
IWM,Open,OK,250.300,250.670
IWO,Open,OK,333.650,334.330
IWP,Open,OK,145.300,145.240
IWS,Open,OK,140.920,140.950
IYR,Open,OK,98.500,98.070
JNK,Open,OK,98.020,97.880
LQD,Open,OK,112.910,112.670
MTUM,Open,OK,257.920,257.200
QQC-F,Open,OK,201.430,200.490
QQQ,Open,OK,628.090,625.900
QQQM,Open,OK,258.580,257.740
QUAL,Open,OK,199.180,198.830
SCHB,Open,OK,26.440,26.360
SHY,Open,OK,83.090,83.070
SIZE,Open,OK,163.360,163.220
SLV,Open,OK,42.400,42.070
SMH,Open,OK,359.940,359.960
SOXX,Open,OK,304.080,304.550
SPY,Open,OK,685.240,683.170
TIP,Open,OK,111.940,111.860
TLT,Open,OK,91.780,91.280
UNG,Open,OK,12.890,12.940
USMV,Open,OK,94.930,94.650
USO,Open,OK,73.120,73.560
VAB,Open,OK,23.470,23.400
VBAL,Open,OK,37.200,37.100
VCE,Open,OK,65.410,65.250
VCN,Open,OK,61.800,61.590
VDY,Open,OK,58.350,58.140
VEA,Open,OK,61.670,61.590
VEE,Open,OK,46.810,46.700
VEQT,Open,OK,54.320,54.200
VFV,Open,OK,170.700,170.110
VGRO,Open,OK,43.160,43.060
VIU,Open,OK,42.930,42.880
VLUE,Open,OK,130.880,130.880
VNQ,Open,OK,92.690,92.310
VOO,Open,OK,630.000,628.030
VTI,Open,OK,337.430,336.640
VTV,Open,OK,188.760,188.580
VUG,Open,OK,498.280,495.800
VUN,Open,OK,128.340,128.090
VWO,Open,OK,55.640,55.570
VXC,Open,OK,75.400,75.230
XAW,Open,OK,52.330,52.200
XBAL,Open,OK,33.700,33.610
XBB,Open,OK,28.780,28.710
XBI,Open,OK,111.590,110.900
XDV,Open,OK,37.110,37.100
XEC,Open,OK,37.220,37.080
XEF,Open,OK,46.680,46.630
XEG,Open,OK,18.320,18.280
XEI,Open,OK,31.360,31.330
XEQT,Open,OK,40.020,39.920
XFN,Open,OK,72.720,72.540
XGB,Open,OK,19.710,19.630
XGRO,Open,OK,35.100,35.020
XIC,Open,OK,48.340,48.180
XIT,Open,OK,86.990,86.590
XIU,Open,OK,45.290,45.140
XLB,Open,OK,88.970,89.100
XLC,Open,OK,117.160,116.630
XLE,Open,OK,88.280,88.310
XLF,Open,OK,53.330,53.340
XLI,Open,OK,155.790,155.580
XLK,Open,OK,299.000,298.410
XLP,Open,OK,79.220,79.040
XLRE,Open,OK,42.740,42.550
XLU,Open,OK,91.640,90.880
XLV,Open,OK,146.370,145.690
XLY,Open,OK,241.080,240.690
XME,Open,OK,97.750,96.910
XQQ,Open,OK,63.920,63.570
XRB,Open,OK,23.550,23.390
XRE,Open,OK,16.230,16.220
XSB,Open,OK,27.230,27.230
XSH,Open,OK,19.370,19.360
XUS,Open,OK,59.750,59.580
XUU,Open,OK,70.610,70.380
ZAG,Open,OK,14.090,14.050
ZBAL,Open,OK,15.030,14.980
ZCM,Open,OK,16.040,16.000
ZCN,Open,OK,40.540,40.460
ZCS,Open,OK,14.170,14.170
ZDB,Open,OK,15.400,15.360
ZDV,Open,OK,26.060,26.050
ZEA,Open,OK,28.250,28.230
ZEB,Open,OK,53.610,53.370
ZEM,Open,OK,28.090,27.990
ZEO,Open,OK,78.420,78.290
ZEQT,Open,OK,20.500,20.440
ZFL,Open,OK,12.710,12.610
ZGRO,Open,OK,17.600,17.540
ZLB,Open,CHECK,,
ZLC,Open,OK,15.680,15.580
ZLU,Open,CHECK,,
ZQQ,Open,OK,177.580,176.860
ZRE,Open,OK,22.670,22.650
ZSP,Open,OK,105.330,104.960
ZUE,Open,OK,93.520,93.120
^DJI,Search,OK,,47456.650
^FTSE,Search,OK,,9669.080
^GSPC,Search,OK,,6853.920
^GSPTSE,Search,OK,,30156.710
^NDX,Search,OK,,25735.783
^RUT,Search,OK,,2527.670
^STOXX50E,Search,OK,,5707.140
^VIX,Search,OK,,15.970
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
