Date,Open,High,Low,Close,Volume
2022-01-03,364.3399963,365.8500061,362.2999878,341.5836182,5624100
2022-01-04,367.3399963,369.2099915,367.2099915,343.629303,5462200
2022-01-05,367.7099915,369.5,363.980011,340.0983276,7638000
2022-01-06,364.1099854,364.6499939,361.9599915,338.510376,7019800
2022-01-07,361.8900146,363.8699951,361.1300049,338.4356995,5806300
2022-01-10,361.0700073,361.2200012,356.4400024,337.0157471,8091800
2022-01-11,360.6900024,362.75,357.7000122,338.6505737,7310900
2022-01-12,363.730011,364.5599976,361.6700134,339.0335083,4493200
2022-01-13,364.2099915,365.1300049,360.4500122,337.3988342,6418100
2022-01-14,358.2099915,359.7999878,356.3999939,335.4746704,8575400
2022-01-18,355.3299866,355.3599854,352.6199951,330.5331726,8166100
2022-01-19,354.9100037,355.5499878,350.2099915,327.2637939,7386500
2022-01-20,351.480011,355.0499878,346.8099976,324.4427185,8968700
2022-01-21,347.0899963,348.8500061,342.1400146,320.0286255,16301600
2022-01-24,338.4299927,344.1199951,331.3500061,321.3934326,29707000
2022-01-25,340.2600098,345.7900085,335.3399963,320.5986938,18657900
2022-01-26,346.0400085,348,338.5299988,319.1965332,19047300
2022-01-27,344.3999939,347.6300049,339.8900146,319.2808228,12854100
2022-01-28,341.8599854,347.1799927,337.8999939,324.478241,12008900
2022-01-31,345.7799988,351.3599854,344.7200012,328.1893616,8379100
2022-02-01,351.6600037,354.269989,349.6799927,330.8629456,7636000
2022-02-02,353.5899963,356.6600037,352.7600098,332.8167114,8856400
2022-02-03,354.8200073,355.2200012,350.5799866,328.0959473,9339900
2022-02-04,350.3999939,353.25,347.8200073,327.9930725,8532300
2022-02-07,351.2600098,353.1600037,349.8299866,328.0211182,4746200
2022-02-08,351.6000061,355.3500061,350.7900085,331.4237976,4568400
2022-02-09,357.3500061,358.1000061,356.6600037,334.3497009,4781700
2022-02-10,354.7799988,358.0599976,351.0299988,329.5635986,10298500
2022-02-11,352.4599915,354.4200134,346.230011,324.6465759,8211500
2022-02-14,346.7200012,347.5499878,343.2000122,323.337738,7315100
2022-02-15,348.9299927,350.7600098,348.3500061,327.3854675,4932200
2022-02-16,348.7600098,350.7200012,346.7099915,326.8713989,4496500
2022-02-17,347.4299927,347.7099915,342.8599854,321.2720032,4433500
2022-02-18,342.8999939,344.2000122,339.6700134,319.230072,6193700
2022-02-22,338.7900085,340.2600098,333.5799866,314.5770874,7942700
2022-02-23,338.1600037,338.2600098,330.8200073,310.3735657,5732600
2022-02-24,322.8200073,332.7399902,322.6900024,311.1411438,14167100
2022-02-25,333.6799927,341.019989,333.0599976,318.8181152,9496300
2022-02-28,335.9500122,339.8200073,334.7900085,317.6946716,8217300
2022-03-01,337.269989,339.019989,331.3299866,311.9088745,8532900
2022-03-02,335.269989,340.4500122,334.6900024,317.3764038,6836200
2022-03-03,340.7099915,342.0899963,336.6799927,316.5619202,7790700
2022-03-04,334.6099854,336.8699951,332.7999878,315.0076904,6025000
2022-03-07,335.2000122,335.3299866,328.3399963,307.5181274,6590800
2022-03-08,328.4899902,334.3999939,326.0599976,305.7018127,8209800
