Date,Open,High,Low,Close,Volume
2022-01-03,108.5,108.5299988,108.2699966,85.36946106,10540600
2022-01-04,108.6100006,108.6100006,108.1900024,85.21208954,9362900
2022-01-05,108.3099976,108.3399963,107.4700012,84.55905151,8700800
2022-01-06,107.4700012,107.7399979,107.4000015,84.57474518,11788400
2022-01-07,107.4400024,107.4499969,107.1399994,84.34660339,8771500
2022-01-10,107.0400009,107.2399979,106.5400009,84.35448456,15211500
2022-01-11,107.3000031,107.7799988,107.0100021,84.77934265,16319500
2022-01-12,107.9700012,108.0199966,107.8000031,84.91311646,10434800
2022-01-13,107.9499969,107.9800034,107.5599976,84.66919708,8329200
2022-01-14,107.4899979,107.6900024,107.3899994,84.59051514,8640500
2022-01-18,107.2099991,107.2099991,106.8700027,84.15777588,8429500
2022-01-19,107.0500031,107.2900009,106.8199997,84.07909393,11927500
2022-01-20,107.0699997,107.3300018,106.5999985,83.89025116,9745100
2022-01-21,106.6200027,106.7900009,106.4899979,83.86664581,14969900
2022-01-24,106.2200012,106.5599976,105.7399979,83.78012085,15837600
2022-01-25,106.1299973,106.4400024,105.9800034,83.5519104,8351400
2022-01-26,106.6500015,106.8799973,105.6900024,83.26866913,14077500
2022-01-27,106,106.1999969,105.1100006,82.88312531,12932000
2022-01-28,105.1200027,105.6200027,104.7300034,83.07197571,13884300
2022-01-31,105.4000015,105.8199997,105,83.0641098,29409100
2022-02-01,105.6600037,105.8000031,105.2600021,83.51423645,14135100
2022-02-02,105.9800034,106.0299988,105.6200027,83.59320068,7908200
2022-02-03,105.5500031,105.5500031,105.0199966,82.94563293,11222300
2022-02-04,104.7300034,104.75,104.0199966,82.58237457,9905600
2022-02-07,104.4000015,104.6900024,104.1900024,82.51128387,8775800
2022-02-08,104.5500031,104.6800003,104.3399963,82.42441559,6454800
2022-02-09,104.8399963,105.0299988,104.7900009,82.82717133,15539400
2022-02-10,104.2900009,104.6399994,103.5500031,81.79262543,13512800
2022-02-11,103.8600006,103.9199982,102.9000015,81.44513702,15919700
2022-02-14,103.0800018,103.3000031,102.6100006,81.35036469,13359200
2022-02-15,103.1900024,103.3099976,103.0199966,81.42934418,7187700
2022-02-16,103.0599976,103.7399979,102.9899979,81.87948608,9049200
2022-02-17,103.4400024,103.5,103.1500015,81.53202057,5987100
2022-02-18,103.1999969,103.5,103.0599976,81.64255524,9223000
2022-02-22,103.2300034,103.5500031,102.9800034,81.47673035,7168000
2022-02-23,103.3099976,103.3899994,102.9899979,81.34249115,8755000
2022-02-24,101.9899979,103.7200012,101.9899979,81.85580444,15240900
2022-02-25,103.8000031,104.3000031,103.8000031,82.31385803,13661700
2022-02-28,103.6999969,104.5999985,103.6999969,82.36912537,14734100
2022-03-01,103.8700027,104.1100006,103.3300018,82.0361557,17125400
2022-03-02,103.3799973,103.8600006,103.2900009,82.2977829,9952800
2022-03-03,103.9300003,104.0100021,103.5100021,82.0916748,8693300
2022-03-04,103.2399979,103.3600006,102.7799988,81.52086639,12683100
2022-03-07,102.6600037,102.6600037,101.8399963,80.7518692,10395400
2022-03-08,101.9300003,102.2300034,101.5299988,80.51404572,12544400
2022-03-09,102.1100006,102.4899979,101.9300003,81.1244812,13957900
2022-03-10,101.8300018,101.9000015,101.4000015,80.50611877,9127900
2022-03-11,101.8000031,101.8000031,100.6900024,79.87190247,7002900
2022-03-14,101.0199966,101.0199966,99.43000031,78.96018982,10265600
2022-03-15,99.68000031,100.5299988,99.66999817,79.4596405,15686100
2022-03-16,100.75,101.6999969,100.2399979,80.60123444,20807900
2022-03-17,101.5999985,102.3700027,101.5999985,81.1244812,11579800
2022-03-18,102.3199997,102.7399979,102,81.4178009,12059900
