Date,Open,High,Low,Close,Volume
2022-01-03,208.2899933,210.3300018,207.1000061,203.6441803,7232700
2022-01-04,210.6600037,211.8099976,207.8899994,202.4047394,6584600
2022-01-05,208.75,209.3899994,203.2899933,196.9434967,8637800
2022-01-06,203.1100006,204.2899933,199.6600037,196.4302826,8622500
2022-01-07,203.1600037,203.6799927,198.8300018,193.1574402,7502600
2022-01-10,196.8600006,198.3600006,192.5800018,191.9760895,10635700
2022-01-11,197.9700012,200.5700073,196.4499969,193.8255615,8443700
2022-01-12,201.5800018,202.5200043,199.7700043,195.1037445,6578400
2022-01-13,202.1499939,203.1300049,196.9600067,191.1820984,8246900
2022-01-14,195.8699951,197.4299927,193.6900024,190.291275,10357600
2022-01-18,193.7400055,194.6699982,192.0899963,186.6891937,9093300
2022-01-19,193.6399994,194.2700043,189.1699982,183.3194733,8702200
2022-01-20,190.4799957,192.8600006,185.5399933,179.9788208,9046900
2022-01-21,185.25,186.0299988,180.3399963,174.7015533,18697200
2022-01-24,176.6799927,182.7700043,172.0500031,176.8027344,26616900
2022-01-25,179.4799957,182.2599945,176.9799957,173.8106842,17945100
2022-01-26,183.2899933,184.9299927,176.3399963,172.9683075,21692000
2022-01-27,180.2899933,180.5899963,173.9199982,168.7755432,16861500
2022-01-28,174.9100037,178.1000061,171.4799957,172.4550934,15842900
2022-01-31,179,185.0899963,178.3000031,179.0879364,11097400
2022-02-01,185.3099976,186.4100037,182.3500061,180.1724548,11183000
2022-02-02,187.2899933,187.5299988,183.1999969,179.0976715,9647100
2022-02-03,180.6499939,183.5099945,178.9199982,173.6170502,9583300
2022-02-04,183.2700043,186.6000061,180.6699982,178.5553894,10010800
2022-02-07,185.0399933,187.0899963,183.3399963,178.1874695,9382300
2022-02-08,183.4799957,187.0099945,182.5299988,180.695343,9159100
2022-02-09,188.9499969,190.1699982,188.3000031,183.0870819,8459400
2022-02-10,185.7400055,189.4700012,184.6300049,179.9304199,12973200
2022-02-11,186.0099945,186.6999969,179.6699982,174.7596588,12659600
2022-02-14,180.25,183.8800049,179.7899933,175.757019,15427400
2022-02-15,184.3800049,185.7400055,184,179.6882935,10361200
2022-02-16,184.4499969,186.6199951,183.6199951,180.2015381,8698800
2022-02-17,184.9100037,185.7899933,180.8600006,175.3793335,9068200
2022-02-18,181.6000061,182.1799927,178.2100067,174.2948456,9495200
2022-02-22,177.4799957,179.2200012,172.6499939,169.2112732,13672800
2022-02-23,176.1199951,176.5800018,168.6000061,163.5563507,13567200
2022-02-24,161.9700012,173.0399933,161.4900055,167.2940063,20868000
2022-02-25,173.2899933,176.2200012,170.9600067,170.6056213,13669000
2022-02-28,174.4600067,178.1999969,174.1499939,171.8063354,16160900
2022-03-01,177.1699982,177.7100067,173.5299988,169.2015839,13498800
2022-03-02,175.3699951,179.1900024,174.9400024,172.755249,10131400
2022-03-03,179.3200073,179.6300049,173.5299988,168.8433228,11202000
2022-03-04,173.3800049,173.8000031,169.8200073,166.1611176,10829600
2022-03-07,172.0200043,172.4100037,163.1199951,158.0176544,16073100
2022-03-08,163,168.7200012,161.7100067,158.3468781,25444200
2022-03-09,167.8800049,169.75,167.1199951,163.440155,15969100
2022-03-10,168.75,170.5399933,167.3200073,164.6021271,12927400
2022-03-11,171.3399963,171.8200073,166.5899963,161.4357605,12078200
2022-03-14,166.5299988,167.8699951,162.9199982,158.743866,15174600
2022-03-15,165.1399994,169.9100037,164.7299957,164.0598907,13560200
2022-03-16,171.3899994,175.2100067,169.75,169.6566772,16889400
2022-03-17,173.6699982,178.1799927,173.1999969,172.4841309,13042800
2022-03-18,177.6300049,182.1000061,176.7799988,176.1152496,15064600
2022-03-21,181.7899933,182.8899994,178.4199982,174.6402435,12824000
2022-03-22,181.2599945,185.1499939,181.1399994,178.9751892,8210800
2022-03-23,183.0299988,185.3500061,181.8699951,176.754364,7879000
2022-03-24,183.0899963,183.8899994,181.0399933,178.1314545,7567000
2022-03-25,183.9199982,184.3000031,181.6799927,177.8211517,8203900
2022-03-28,185.2899933,188.3000031,185.0399933,182.5634308,11532800
2022-03-29,190.7400055,192.1900024,189.0500031,185.7443542,9686700
