Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,36321.58984,36595.82031,36246.44922,36585.05859,347930000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,326495342.9,,,,,,0,0,,,
2022-01-04,36636,36934.83984,36636,36799.64844,435080000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,435080000,,367925846.2,,,,,0,0,0,,,
2022-01-05,36722.60156,36952.64844,36400.39063,36407.10938,462040000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.066692426,,-26960000,,-82871827.52,,,,,0,0,0,,,
2022-01-06,36409.05078,36464.19141,36200.67969,36236.46875,385890000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.530394206,,-412850000,,-363941887.1,,,,,0,0,0,,,
2022-01-07,36249.58984,36382.83984,36111.53125,36231.66016,356110000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.543461162,,-768960000,,-404698037,,,,,0,0,0,,,
2022-01-10,36175.21094,36175.21094,35639.91016,36068.87109,430680000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.985826971,,-1199640000,,-145130972,,,,,0,0,0,,,
2022-01-11,36058.85156,36271.46875,35769.37891,36252.01953,356850000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.985826971,,-842790000,,184072765.9,,,,,0,0,0,,,
2022-01-12,36336.16016,36453.48828,36168.14844,36290.32031,310180000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.985826971,,-532610000,,139507772.1,,,,,0,0,0,,,
2022-01-13,36312.48828,36513.87891,36044.21875,36113.62109,343640000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.985826971,,-876250000,,-102571892.9,,,,,0,0,0,,,
2022-01-14,35996.42969,35996.42969,35641.48828,35911.80859,389200000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.41263132,,-1265450000,,101050830.9,,,,,0,0,0,,,
2022-01-18,35661.76172,35661.76172,35262.01953,35368.46875,427260000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.889112392,,-1692710000,,-98655037.31,,,,,0,0,0,,,
2022-01-19,35412.30078,35547.82813,35015.48828,35028.64844,393080000,,,,,,,TRUE,TRUE,0,,,0,,0,36107.80859,28886.24688,,,,,,0,0,,,,,,-4.812545976,,-2085790000,,-472300105.7,,,,,0,0,0,,,
2022-01-20,35102.66016,35490.19922,34670.12109,34715.39063,369070000,,,,,,,TRUE,TRUE,0,,,0,,0,35893.59044,22937.62298,,,,,,0,0,,,,,,-5.663798164,,-2454860000,,-800623680.8,,,,,0,0,0,,,
2022-01-21,34701.69141,34896.67188,34229.55078,34265.37109,523880000,,,,,,,TRUE,TRUE,0,,,4.66015287,,0,35643.09516,18149.70216,,,,1.315425189,,8.968442294,0,,,,3.177633094,,-6.886689008,,-2978740000,,-1268245393,,,,,0,0,0,,,
2022-01-24,34070.60938,34420.98828,33150.32813,34364.5,664010000,,,,,,,TRUE,TRUE,0,,-67.47583591,9.599520934,16.26208205,16.26208205,35446.38821,14362.39617,,,,31.93239325,,1.600035816,0,,,,3.633295811,,-6.886689008,,-2314730000,,-663273654.8,,19.27002364,,,0,0,0,,,
2022-01-25,34186.64063,34591.03906,33545.51953,34297.73047,506430000,,,,,,,TRUE,TRUE,0,,-79.60098282,13.68754976,15.9143553,15.9143553,35269.67164,11348.54367,,,,30.17637257,,1.748045399,0,,,,3.249384189,,-6.886689008,,-2821160000,,-440989989.1,,19.76497974,,,0,0,0,,,
2022-01-26,34520.82031,34815.67188,33876.48047,34168.08984,546330000,,,,,,,TRUE,TRUE,0,,-77.73898891,16.83963953,15.23326842,15.23326842,35100.19751,8943.255641,,,,30.25855071,,1.835566507,0,,,,3.40977462,,-7.151042756,,-3367490000,,-648060177.4,,28.45247427,,,0,0,0,,,
2022-01-27,34261.75,34773.32031,34007.78125,34160.78125,527780000,,,,,,,TRUE,TRUE,0,,-76.40069474,19.76658004,15.19379025,-1.068291795,34955.67194,7038.984049,,,,30.04126266,,1.940930755,0,,,,3.752942003,,-7.170903255,,-3895270000,,-964876834.1,,36.31234694,,,0,0,0,,,
2022-01-28,34135.23828,34731.76953,33807.51172,34725.46875,568440000,,,,,,,TRUE,TRUE,0,,-45.96639888,22.64389546,30.23721541,14.32286011,34920.25606,5602.85454,,,,46.82969657,,2.043676773,0,,,,3.925662413,,-7.170903255,,-3326830000,,-404187087.5,,44.02889498,,,0,0,0,,,
2022-01-31,34691.17188,35148.14063,34496.10156,35131.85938,468070000,35456.14473,,,506.5163532,,,TRUE,TRUE,0,,-26.61719945,24.10470284,38.66899674,23.43572832,34952.81042,4508.327117,,,,58.91188743,,2.032294087,92353.8018,,,,4.013987655,,-7.170903255,,-2858760000,,40507734.2,0.00459690922,51.18719163,,,0,0,0,,,
