Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,21335.59961,21473.69922,21222.09961,21236.5,269077900,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-238276366.7,,,,,100,0,0,,,
2022-01-05,21281.90039,21319.19922,21037.40039,21039.69922,311271500,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.926710057,,-311271500,,-544469352.5,,,,,99.8403479,0,0,,,
2022-01-06,21057.90039,21148.59961,20934.19922,21072.19922,238503500,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.926710057,,-72768000,,-475944652.6,,,,,99.77826429,0,0,,,
2022-01-07,21066.80078,21113.19922,20942.40039,21084.5,201893900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,129125900,,-341898960.5,,,,,99.68249223,0,0,,,
2022-01-10,21034.5,21072.30078,20790.90039,21072.30078,249460500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,-120334600,,-92438460.48,,,,,99.59409124,0,0,,,
2022-01-11,21086.19922,21284,21009.09961,21274.80078,292134500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,171799900,,180144163.6,,,,,99.62922893,0,0,,,
2022-01-12,21338,21449.90039,21286.09961,21395,282425700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,454225600,,273251093.1,,,,,99.67426957,0,0,,,
2022-01-13,21427,21471.09961,21276.30078,21293,232657500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,221568100,,80482934.58,,,,,99.62312404,0,0,,,
2022-01-14,21191.59961,21365.5,21162.80078,21357.59961,248685200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,470253300,,309782660.5,,,,,99.53028813,0,0,,,
2022-01-17,21373.19922,21550.09961,21373.19922,21537.5,102382400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.926710057,,572635700,,397580827.6,,,,,99.55116879,0,0,,,
2022-01-18,21386.69922,21386.69922,21193,21274.59961,270941200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.22066345,,301694500,,354918257,,,,,99.5066607,0,0,,,
2022-01-19,21343.59961,21344.5,21155.90039,21205.19922,269018900,,,,,,,TRUE,TRUE,0,,,0,,0,21236.9082,16989.52656,,,,,,0,0,,,,,,-1.542893935,,32675600,,226539272,,,,,99.6688317,0,0,,,
2022-01-20,21245.19922,21369.69922,21043.5,21058.19922,235930000,,,,,,,TRUE,TRUE,0,,,0,,0,21209.41451,13569.6263,,,,,,0,0,,,,,,-2.225424405,,-203254400,,11872270.07,,,,,99.61962271,0,0,,,
2022-01-21,20921.80078,20921.80078,20534.40039,20621.40039,314223500,,,,,,,TRUE,TRUE,0,,,2.923185591,,0,21118.9508,10783.33007,,,,8.565527904,,8.610123501,0,,,,1.925012988,,-4.253509504,,-517477900,,-161218463.1,,,,,99.67666497,0,0,,,
2022-01-24,20465.19922,20577.40039,19912.59961,20571.30078,395028200,,,,,,,TRUE,TRUE,0,,-35.21064439,6.705970966,32.3946778,32.3946778,21034.69695,8559.260976,,,,40.22602576,,1.421013737,0,,,,2.236891799,,-4.486125218,,-912506100,,226560895.5,,18.78948729,,,99.6545538,0,0,,,
2022-01-25,20364.69922,20746.69922,20130.5,20591,273778800,,,,,,,TRUE,TRUE,0,,-26.20757158,9.449056845,33.14541362,33.14541362,20966.43588,6792.799925,,,,41.42903149,,1.535655151,0,,,,2.449816675,,-4.486125218,,-638727300,,361984618.2,,26.42833835,,,99.56113728,0,0,,,
2022-01-26,20781.30078,20933.19922,20502.59961,20595.90039,279753000,,,,,,,TRUE,TRUE,0,,-28.27541587,11.21080156,33.34370954,33.34370954,20909.43042,5388.635572,,,,41.72829198,,1.610269749,0,,,,2.652069001,,-4.486125218,,-358974300,,203463374.5,,33.71837685,,,99.52201541,0,0,,,
2022-01-27,20755.40039,20852.59961,20514.09961,20544.09961,271999200,,,,,,,TRUE,TRUE,0,,-31.34576583,12.84670738,32.25461709,-0.1400607177,20853.22568,4265.944665,,,,38.5648855,,1.672636987,0,,,,2.87003125,,-4.612422011,,-630973500,,-20323264.18,,33.12830098,,,99.4284878,0,0,,,
2022-01-28,20539.19922,20741.80078,20411.80078,20741.80078,244859200,,,,,,,TRUE,TRUE,0,,-17.30819586,14.58218968,40.27287563,7.127462011,20836.08339,3399.041898,,,,50.6382395,,1.669229399,0,,,,2.979728298,,-4.612422011,,-386114300,,224535935.8,,33.20558976,,,99.56763637,0,0,,,
2022-01-31,20714.30078,21109.40039,20697.80078,21098.30078,273255000,21033.24502,,,300.4749289,,,TRUE,TRUE,0,,-8.553428641,14.71375942,51.43524794,18.0915384,20876.42453,2751.506428,,,,72.40923187,,1.687303969,31203.31688,,,,3.011568771,,-4.612422011,,-112859300,,483053197.1,0.09188272905,32.80779131,,,99.65549109,0,0,,,
2022-02-01,21160.5,21321,21073.09961,21319.90039,264205400,21037.41504,,,569.3804895,,,TRUE,TRUE,0,,-3.468963732,14.12380067,56.8354085,24.58079141,20944.65158,2255.786787,,,,85.94203244,0.3927219204,1.694156707,31543.12173,,,,3.018474687,,-4.612422011,1.006035499,151346100,-1.810813894,744914730.4,0.1871886696,32.43526043,,,99.68810443,0,0,,,0.8955529322
2022-02-02,21363.19922,21419.30078,21287.19922,21362.40039,255962600,21053.5501,,,806.8813405,,,TRUE,TRUE,0,,3.296303683,13.26359832,57.8044814,17.53160577,21008.92063,1856.044668,,,,88.53745229,1.533772743,1.669822397,32369.93133,,,,3.011037714,,-4.612422011,0.9850212182,407308700,-17.76870031,780374686,0.2549199549,39.29045313,,,99.49214261,0,0,,,0.9541271183
2022-02-03,21176.90039,21228.80078,21082.69922,21094,237618600,21054.64014,,,1012.73829,,,TRUE,TRUE,0,,-11.41518602,13.05432646,50.14750909,-1.287738843,21022.00976,1495.307041,,,,72.14658874,0.103457551,1.71714367,32380.21085,,,,3.052767673,,-4.612422011,0.9145837027,169690100,-0.3710218089,579515115.5,0.2031209473,39.42993663,,,99.57380074,0,0,,,0.1215553026
2022-02-04,21158.30078,21343.09961,21158.30078,21271.90039,236739900,21064.01016,,,1187.067983,,,TRUE,TRUE,0,,-11.5117664,12.4794998,54.45400649,-2.381402014,21060.45448,1227.001402,,,,90.21701228,0.8888064247,1.721788407,32740.30805,,,,2.402926497,,-4.612422011,0.905131777,406430000,17.25956059,633832907.1,0.186526631,41.57637923,,,99.49403577,0,0,,,0.6349672522
2022-02-07,21271.30078,21327.69922,21158.69922,21235.5,267467700,21072.17012,,,1329.839044,,,TRUE,TRUE,0,,-1.879155445,11.9457322,53.43684028,-4.367641118,21087.38456,1003.145186,,,,87.80111248,0.7744727092,1.665707898,32964.66288,,,,2.405659004,,-4.612422011,1.019105778,138962300,7.218457431,609462583.7,0.1337192135,41.62102133,,,99.56692342,0,0,,,0.4954695984
2022-02-08,21253.90039,21402.80078,21206.40039,21377.19922,297003600,21077.29004,,,1440.995773,,,TRUE,TRUE,0,,7.988852764,11.18392554,56.81832669,6.670817593,42.51755136,-16033.37745,,,,97.2057125,0.4813132614,1.657273227,33372.93572,,,,2.450374047,,-4.612422011,1.130594749,435965900,1.666732276,829035011.5,0.1235056722,49.17133467,,,99.59133992,0,0,,,0.8986598669
