Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,2246.709961,2284.139893,2246.709961,2272.560059,3831020000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,1460586839,,,,,,0,0,,,
2022-01-04,2273.179932,2288.300049,2255.709961,2268.870117,4683170000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.1623693681,,-4683170000,,559625045.9,,,,,0,0,0,,,
2022-01-05,2268.919922,2275.320068,2193.719971,2194,4887960000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-3.456896917,,-9571130000,,-4294786661,,,,,0,0,0,,,
2022-01-06,2194.47998,2220.590088,2179.290039,2206.370117,4295280000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.456896917,,-5275850000,,-2957312160,,,,,0,0,0,,,
2022-01-07,2206.139893,2220.129883,2179.810059,2179.810059,4181510000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.081300278,,-9457360000,,-7138822160,,,,,0,0,0,,,
2022-01-10,2179.070068,2179.070068,2133.129883,2171.149902,4511810000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.462375191,,-13969170000,,-4182699574,,,,,0,0,0,,,
2022-01-11,2171.169922,2196.649902,2154.810059,2194,4101590000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.462375191,,-9867580000,,-600653242.2,,,,,0,0,0,,,
2022-01-12,2194.939941,2210.280029,2169.419922,2176.060059,4048220000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.462375191,,-13915800000,,-3333128573,,,,,0,0,0,,,
2022-01-13,2177.060059,2196.73999,2154.459961,2159.439941,4251730000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.977651383,,-18167530000,,-6583273062,,,,,0,0,0,,,
2022-01-14,2157.98999,2162.459961,2126.120117,2162.459961,4338490000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.977651383,,-13829040000,,-2244783062,,,,,0,0,0,,,
2022-01-18,2160.350098,2160.350098,2094.929932,2096.22998,4748700000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-7.759094307,,-18577740000,,-6804747929,,,,,0,0,0,,,
2022-01-19,2097.560059,2109.22998,2062.179932,2062.780029,4465740000,,,,,,,TRUE,TRUE,0,,,0,,0,2178.644185,1742.915348,,,,,,0,0,,,,,,-9.231000453,,-23043480000,,-11156571784,,,,,0,0,0,,,
2022-01-20,2063.860107,2104.590088,2022.199951,2024.040039,4640870000,,,,,,,TRUE,TRUE,0,,,0,,0,2154.858932,1375.304076,,,,,,0,0,,,,,,-10.93568544,,-27684350000,,-15590144915,,,,,0,0,0,,,
2022-01-21,2022.550049,2043.51001,1987.910034,1987.920044,5589100000,,,,,,,TRUE,TRUE,0,,,5.656630788,,0,2129.176026,1079.696936,,,,0.003332256446,,10.56567409,0,,,,6.308391334,,-12.52508217,,-33273450000,,-21177232483,,,,,0,0,0,,,
2022-01-24,1986.449951,2038.660034,1931.439941,2033.51001,6928110000,,,,,,,TRUE,TRUE,0,,-58.7764709,11.13472708,20.61176455,20.61176455,2114.458178,851.9832699,,,,28.60226353,,2.682203741,0,,,,6.777626841,,-12.52508217,,-26345340000,,-14914668179,,20.28566767,,,0,0,0,,,
2022-01-25,2030.819946,2030.839966,1966.099976,2004.030029,5145050000,,,,,,,TRUE,TRUE,0,,-61.23463327,16.22153078,19.11931751,19.11931751,2097.469232,667.9954592,,,,21.10912559,,2.845766767,0,,,,5.305468782,,-12.52508217,,-31490390000,,-14030924472,,12.72842576,,,0,0,0,,,
2022-01-26,2006.040039,2048.350098,1958.339966,1976.459961,5570640000,,,,,,,TRUE,TRUE,0,,-56.47450438,20.27104378,17.81980061,17.81980061,2078.852421,519.5029187,,,,15.56977234,,2.915856554,0,,,,5.990111423,,-13.02936292,,-37061030000,,-17358706529,,12.70536405,,,0,0,0,,,
2022-01-27,1978.079956,2007.22998,1925.449951,1931.290039,5214200000,,,,,,,TRUE,TRUE,0,,-65.80859269,24.21461409,15.91161746,-4.700147089,2056.150516,397.4408111,,,,1.981841063,,3.13376879,0,,,,6.440679322,,-15.01698572,,-42275230000,,-21828192042,,12.63918131,,,0,0,0,,,
2022-01-28,1931.140015,1968.51001,1901.359985,1968.51001,5031090000,,,,,,,TRUE,TRUE,0,,-49.29313951,27.99828911,23.20856724,4.089249728,2042.667361,307.166125,,,,21.7370241,,3.171871468,0,,,,6.99981196,,-15.01698572,,-37244140000,,-16797102042,,12.58376411,,,0,0,0,,,
2022-01-31,1968.089966,2028.449951,1960.109985,2028.449951,5098610000,2104.897015,,,30.06995736,,,TRUE,TRUE,0,,-29.73287673,29.52382209,33.25373707,15.43393646,2040.480067,243.9830649,,,,41.14008408,,3.15441528,10536.88413,,,,7.279198619,,-15.01698572,,-32145530000,,-11698492042,-0.1224166833,19.74864428,,,0,0,0,,,
2022-02-01,2028.780029,2052.850098,2003.380005,2050.73999,4816830000,2093.806012,,,56.81621315,,,TRUE,TRUE,0,,-29.8844434,30.25312447,36.57631505,20.66469759,2042.058517,196.4492117,,,,48.35555601,-9.760801151,3.146705741,9822.400333,,,,6.820721967,,-15.01698572,0.9978031812,-27328700000,25.7323115,-7292578139,-0.09066061975,20.2301521,,,0,0,0,,,-0.4384470218
2022-02-02,2051.639893,2054.719971,2013.589966,2029.52002,4481580000,2081.838507,,,80.24292411,,,TRUE,TRUE,0,,-30.36093021,30.87754945,34.80028752,11.59172028,2040.129517,155.6161697,,,,43.38818879,-10.54930804,3.180556524,9000.934636,,,,6.533401291,,-15.01698572,0.9302987915,-31810280000,-4.304562935,-8302638488,-0.09198266075,14.00710303,,,0,0,0,,,-0.5812561658
2022-02-03,2027.72998,2027.72998,1988.410034,1991.030029,4401970000,2071.690009,,,100.3940723,,,TRUE,TRUE,0,,-33.37957779,31.76775932,31.78543794,-1.468299124,2032.57575,118.4499218,,,,34.34318358,-9.251138136,3.237844526,8812.016464,,,,6.868255546,,-15.01698572,0.9184057103,-36212250000,-9.942593638,-12117977986,-0.08160963825,14.04764195,,,0,0,0,,,-0.9153407688
2022-02-04,1990.920044,2016.380005,1968.609985,2002.359985,4706290000,2061.489502,,,117.2841756,,,TRUE,TRUE,0,,-31.21832589,32.82461726,33.60874087,-2.967574181,2027.927171,91.04107412,,,,38.99762779,-9.246414745,3.26029777,8339.033727,,,,4.404630788,,-15.01698572,0.9777055935,-31505960000,9.568875603,-10174185401,-0.0749632655,14.04139138,,,0,0,0,,,-0.7090691624
2022-02-07,2002.380005,2027.910034,2000.400024,2012.599976,4228480000,2053.128998,,,130.954859,,,TRUE,TRUE,0,,-18.30580148,33.4453659,35.29216899,0.4918814699,2025.569141,70.94643527,,,,53.51421217,-7.670855649,3.101675737,7917.917381,,,,3.141407064,,-15.01698572,0.8780148486,-27277480000,1.123278433,-10652230561,-0.03647675696,20.22807923,,,0,0,0,,,-0.5118646769
2022-02-08,2012.459961,2047.819946,2011.369995,2045.369995,4459620000,2046.840002,,,141.4482876,,,TRUE,TRUE,0,,-3.816568784,33.41324313,40.49234837,8.706910426,-57.13689329,-1609.407679,,,,70.86057034,-5.7932392,3.014964307,7414.698372,,,,2.671554066,,-15.01698572,0.9265115085,-22817860000,-1.156741973,-6792109375,-0.02710598897,26.69733822,,,0,0,0,,,-0.01982558495
2022-02-09,2046.76001,2083.5,2046.76001,2083.5,4524350000,2041.315002,,,148.7848326,,,TRUE,TRUE,0,,13.05206453,32.39458193,45.93661698,12.32787611,-48.52627421,-1280.637648,,,,100,-5.036463081,2.808050747,6630.6746,,,,3.941843235,,-15.01698572,0.9358497138,-18293510000,10.30722232,-2267759375,-0.01724182255,33.3815602,,,0,0,0,,,0.6362097389
2022-02-10,2082.51001,2105.209961,2039.619995,2051.159912,5314860000,2035.069995,,,152.9625167,,,TRUE,TRUE,0,,13.9979373,30.90524499,42.39395523,7.101786246,-43.80689278,-1020.734613,,,,73.48537881,-5.739738018,2.887113174,5835.273705,,,,3.769219595,,-15.01698572,1.085149083,-23608370000,31.28881336,-5712423455,-0.0242893478,33.43792466,,,0,0,0,,,0.2757354292
2022-02-11,2051.26001,2074.060059,2016.410034,2030.150024,5251500000,2028.605499,,,153.9875952,,,TRUE,TRUE,0,,-0.7865137396,29.95497043,40.22365684,-0.2686915275,-41.28615031,-814.5710966,,,,63.17883468,-5.987196704,2.742584942,5047.997254,,,,3.776790944,,-15.01698572,1.061379958,-28859870000,23.51442824,-8460696112,-0.01897228599,34.204702,,,0,0,0,,,0.03059679054
2022-02-14,2030.180054,2048.26001,2011.369995,2020.790039,4600390000,2021.522003,,,151.8609463,,,TRUE,TRUE,0,,4.117130933,29.1653419,39.25939444,-6.677222534,-39.58737768,-650.2978592,,,,58.58722983,-6.551331559,2.6474095,3944.140965,,1.417350487,0.4661915843,3.724519999,,-15.01698572,0.9273299053,-33460260000,6.036662525,-10711622368,-0.08533573558,34.44733066,,,0,-0.4318947814,-5.802395879,0.6827822378,1.417350487,-0.01855826447
