Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,55.88000107,55.95999908,55.61000061,50.6749382,3154200,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-92104152.64,,,,,,0,0,,,
2022-01-04,56.18999863,56.25,55.91999817,50.76556015,1313400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,1313400,,-134446651.6,,,,,0,0,0,,,
2022-01-05,56.13000107,56.25999832,55.40999985,50.21278,3377900,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.088888116,,-2064500,,-179132129.1,,,,,0,0,0,,,
2022-01-06,55.34999847,55.59000015,55.11000061,50.1584053,1746800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.195997531,,-3811300,,-216918324.7,,,,,0,0,0,,,
2022-01-07,55.38000107,55.68000031,55.20999908,50.38495636,1694100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.195997531,,-2117200,,-253395759.3,,,,,0,0,0,,,
2022-01-10,55.20000076,55.29999924,54.77999878,50.04059982,6468300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.428055408,,-8585500,,-377771087.4,,,,,0,0,0,,,
2022-01-11,55.38000107,56.06000137,55.29000092,50.80181122,1490000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.428055408,,-7095500,,-396630954,,,,,0,0,0,,,
2022-01-12,56.47999954,56.75,56.38999939,51.38178253,1203300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.428055408,,-5892200,,-431314127,,,,,0,0,0,,,
2022-01-13,56.75,56.79000092,56.11999893,50.90149307,1819600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.428055408,,-7711800,,-461478697.6,,,,,0,0,0,,,
2022-01-14,55.90999985,56.20999908,55.77000046,50.86524582,5381700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.428055408,,-13093500,,-586842217.7,,,,,0,0,0,,,
2022-01-18,55.40999985,55.58000183,55.06000137,50.0949707,4349500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.504412586,,-17443000,,-674250878.8,,,,,0,0,0,,,
2022-01-19,55.59000015,55.70000076,55.29000092,50.14934158,2801700,,,,,,,TRUE,TRUE,0,,,0,,0,50.5359904,40.42879232,,,,,,0,0,,,,,,-2.504412586,,-14641300,,-747309118.4,,,,,0,0,0,,,
2022-01-20,55.75999832,56.02000046,55.15000153,49.97716904,5681000,,,,,,,TRUE,TRUE,0,,,0,,0,50.45001788,32.27425584,,,,,,0,0,,,,,,-2.733679965,,-20322300,,-820546204.4,,,,,0,0,0,,,
2022-01-21,55.13000107,55.13000107,54.36999893,49.27938461,3892000,,,,,,,TRUE,TRUE,0,,,1.372646443,,0,50.26992045,25.67532673,,,,-210.3557912,,18.38945575,0,,,,2.140626632,,-4.091718534,,-24214300,,-876576665.6,,,,,0,0,0,,,
