Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,59.52999878,59.52999878,58,58.49000168,25900,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-9310.387454,,,,,100,0,0,,,
2022-01-05,58.27999878,58.27999878,56.88999939,57.00999832,43000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-2.530352735,,-43000,,-44885.98985,,,,,98.22428929,0,0,,,
2022-01-06,56.63999939,57.18000031,56.40000153,56.68999863,34300,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-3.077454266,,-77300,,-53681.0767,,,,,97.46166713,0,0,,,
2022-01-07,56.61000061,56.68999863,55.65999985,55.72000122,39800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.735852929,,-117100,,-88844.07188,,,,,95.64626301,0,0,,,
2022-01-10,55.13999939,55.99000168,54.40000153,55.97000122,62900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.735852929,,-54200,,-27526.49788,,,,,96.04576965,0,0,,,
2022-01-11,55.70000076,56.40999985,55.40999985,56.29999924,75000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.735852929,,20800,,30973.41057,,,,,95.72623196,0,0,,,
2022-01-12,56.43999863,56.47999954,55.95999908,56.18999863,11100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.735852929,,9700,,29692.61315,,,,,95.04539952,0,0,,,
2022-01-13,56.20999908,56.22000122,54.77000046,54.86000061,90800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-6.20619074,,-81100,,-49835.64953,,,,,93.19238333,0,0,,,
2022-01-14,54.5,55.36999893,54.5,55.36999893,17500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-6.20619074,,-63600,,-32335.64953,,,,,93.68685151,0,0,,,
2022-01-17,55.36999893,55.88999939,55.04000092,55.88999939,7900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-6.20619074,,-55700,,-24435.64953,,,,,93.79646821,0,0,,,
2022-01-18,54.5,54.61999893,53.79000092,53.86000061,48800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-7.915884656,,-104500,,-65004.34044,,,,,91.46573296,0,0,,,
2022-01-19,53.93000031,54.27999878,53.15000153,53.15000153,23200,,,,,,,TRUE,TRUE,0,,,0,,0,55.79166667,44.63333333,,,,,,0,0,,,,,,-9.129765771,,-127700,,-88204.34044,,,,,90.70298925,0,0,,,
2022-01-20,53.54999924,53.95999908,52.43999863,52.5,28700,,,,,,,TRUE,TRUE,0,,,0,,0,55.28525641,35.30153846,,,,,,0,0,,,,,,-10.24106942,,-156400,,-114638.4998,,,,,90.17461031,0,0,,,
2022-01-21,52.20000076,52.49000168,51.34000015,51.40999985,60100,,,,,,,TRUE,TRUE,0,,,5.666034993,,0,54.68906309,27.76427612,,,,0.8546972718,,10.4384908,0,,,,6.383533647,,-12.10463605,,-216500,,-167422.0197,,,,,90.22445237,0,0,,,
2022-01-24,50.72000122,51.88999939,49.29999924,51.86999893,101000,,,,,,,TRUE,TRUE,0,,-61.5242205,11.19847275,19.23788975,19.23788975,54.25536091,21.86445915,,,,28.61915174,,2.504887932,0,,,,5.038921463,,-12.10463605,,-115500,,-67981.90083,,15.02625696,,,91.23320713,0,0,,,
2022-01-25,50.83000183,51.31999969,50.20000076,50.45500183,32500,,,,,,,TRUE,TRUE,0,,-61.2903571,16.33573638,16.85137787,16.85137787,53.67069029,17.02383082,,,,14.65739134,,2.585046085,0,,,,5.491358317,,-13.73739035,,-148000,,-85682.71758,,15.38693561,,,88.57638355,0,0,,,
2022-01-26,51.52000046,52.08000183,50.22000122,50.70999908,41400,,,,,,,TRUE,TRUE,0,,-56.25595038,20.1447855,18.80614034,18.80614034,53.21519933,13.25467189,,,,19.07983713,,2.72417287,0,,,,5.673303706,,-13.73739035,,-106600,,-105269.9166,,21.45317038,,,88.96788992,0,0,,,
2022-01-27,51.40999985,51.54999924,50.34999847,50.41999817,43500,,,,,,,TRUE,TRUE,0,,-53.26641951,23.68175968,18.2798091,-0.9580806439,52.78516838,10.25971275,,,,15.59887025,,2.763925202,0,,,,6.316792649,,-13.7972359,,-150100,,-143694.942,,21.46633399,,,88.5988033,0,0,,,
2022-01-28,50.81000137,52.16999817,50.09999847,52.16999817,46300,,,,,,,TRUE,TRUE,0,,-33.18783054,26.17823928,30.85571115,14.00433328,52.69052681,8.132056946,,,,39.97212827,,2.736930742,0,,,,6.612191963,,-13.7972359,,-103800,,-97394.94196,,29.34445593,,,90.92721064,0,0,,,
2022-01-31,52.47999954,53.63999939,52.09999847,53.63999939,23000,54.13374977,,,0.7733392824,,,TRUE,TRUE,0,,-21.1278906,26.88328114,39.30511718,20.49897685,52.83659952,6.62250372,,,,60.44568201,,2.733833386,244.0186077,,,,6.576981466,,-13.7972359,,-80800,,-74394.94196,-0.08683896576,22.38915269,,,91.99067945,0,0,,,
2022-02-01,53.75,53.88999939,53.06999969,53.88999939,22600,53.90374966,,,1.461988714,,,TRUE,TRUE,0,,-18.06756244,27.29101969,40.63378442,22.35397532,52.99866104,5.427652191,,,,66.32946296,-7.864595925,2.760914354,221.4309162,,,,6.232582261,,-13.7972359,0.5296461214,-58200,-12.74131274,-51794.94196,-0.04978269804,23.86690777,,,91.48874149,0,0,,,-0.006209732256
2022-02-02,54.38999939,54.40000153,53.75999832,54.22000122,24600,53.7642498,,,2.06758702,,,TRUE,TRUE,0,,-5.456092266,27.16885967,42.42544511,11.56973397,53.18655953,4.492440545,,,,74.65860197,-4.893873326,2.637402671,209.2872193,,,,6.264201276,,-13.7972359,0.5892215569,-33600,-42.79069767,-41032.39614,0.00461508228,32.00352791,,,91.68526914,0,0,,,0.2177636172
2022-02-03,52.75,53.11999893,51.91999817,52,57100,53.52974987,,,2.588986832,,,TRUE,TRUE,0,,-25.07439938,27.96135853,34.81364403,-4.491473156,53.00401191,3.44791434,,,,40.97117907,-8.27306181,2.946428676,200.886107,,,,6.529823798,,-13.7972359,1.33131266,-90700,66.47230321,-90518.8934,-0.04294452867,29.78461696,,,89.12320472,0,0,,,-0.7615010781
2022-02-04,52.61999893,53.41999817,52.29999924,52.97999954,12300,53.39274979,,,3.027933634,,,TRUE,TRUE,0,,-20.93525415,28.4103036,39.9366832,-0.6971012218,53.0003177,2.755376105,,,,69.17294204,-4.917447269,2.968775366,194.4013444,,,,4.115238872,,-13.7972359,0.2962784536,-78400,-69.09547739,-87883.15816,0.00115730906,30.28911062,,,89.97130404,0,0,,,-0.2123186161
2022-02-07,52.97000122,53.08000183,52.06999969,52.18000031,13500,53.20324974,,,3.383883444,,,TRUE,TRUE,0,,-13.25967283,28.93721016,37.35574971,-5.069695399,52.87411502,2.103338743,,,,56.47058384,-6.771486212,2.865082954,186.2580385,,,,4.232593461,,-13.7972359,0.3457548982,-91900,-78.53736089,-98442.55401,-0.09081323617,32.4175643,,,88.82965639,0,0,,,-0.5493719592
2022-02-08,52.20000076,53.02999878,52.04999924,52.93999863,22100,53.03524971,,,3.657428367,,,TRUE,TRUE,0,,-1.650966525,29.43652109,41.24073114,6.427087113,-0.9959411363,-41.41337393,,,,71.37250502,-5.968029584,2.803714036,171.4180357,,,,4.246734622,,-13.7972359,0.6071428571,-69800,-70.53333333,-80401.74646,-0.1529878531,36.75640304,,,89.54802355,0,0,,,-0.055566547
2022-02-09,53.56999969,53.91999817,53.45000076,53.91999817,24500,52.92174969,,,3.849599606,,,TRUE,TRUE,0,,10.88121584,28.97833511,45.89985329,5.963170088,-0.8395440098,-33.00558144,,,,90.5881737,-4.039865658,2.681221675,156.2766872,,,,4.163870651,,-13.7972359,0.6609117885,-45300,120.7207207,-55901.74646,-0.1154496353,41.87194672,,,90.32686532,0,0,,,0.6387699275
2022-02-10,53.06000137,53.56999969,52.66999817,52.90999985,27600,52.82424965,,,3.960796408,,,TRUE,TRUE,0,,11.56515606,29.0050768,42.18717263,4.831422915,-0.7880128622,-26.36324024,,,,70.78429393,-3.554503721,2.744553515,149.4829015,,,,3.979480153,,-13.7972359,0.8139191979,-72900,-69.60352423,-68781.66847,-0.0279357401,44.56791176,,,88.92946731,0,0,,,0.05736455306
