Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,56.7879982,57.16600037,56.37400055,53.75383377,8207000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-62509307.38,,,,,,0,0,,,
2022-01-04,57.05199814,57.34400177,56.85200119,54.01695633,6257500,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,6257500,,-140881735.5,,,,,0,0,0,,,
2022-01-05,57.12200165,57.31200027,55.77000046,52.78847885,6736000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-2.274244166,,-478500,,-173666415,,,,,0,0,0,,,
2022-01-06,55.87799835,56.43000031,55.4980011,53.07052231,10340500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.274244166,,9862000,,-237872506.9,,,,,0,0,0,,,
2022-01-07,56.09600067,56.36399841,55.4620018,52.66543961,8799000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.502023097,,1063000,,-301232578.2,,,,,0,0,0,,,
2022-01-10,55.35800171,55.45999908,54.51399994,52.46100235,7731500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.880491766,,-6668500,,-342521721.3,,,,,0,0,0,,,
2022-01-11,55.47800064,55.95600128,54.90399933,52.94559097,7578500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.880491766,,910000,,-378316514.4,,,,,0,0,0,,,
2022-01-12,56.1780014,56.40800095,55.48199844,52.77711487,4472000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.880491766,,-3562000,,-408914230.7,,,,,0,0,0,,,
2022-01-13,55.9659996,56.36199951,55.48799896,52.637043,7625500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.880491766,,-11187500,,-466287902.4,,,,,0,0,0,,,
2022-01-14,55.19400024,55.5019989,54.66600037,52.48939133,6693000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.880491766,,-17880500,,-507832744.1,,,,,0,0,0,,,
