Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,115.0699997,116.8399963,115.0400009,109.1082916,4530400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-34389382.34,,,,,,0,0,,,
2022-01-04,116.0800018,117.1299973,115.8899994,109.9753418,4983800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,4983800,,-86917571.52,,,,,0,0,0,,,
2022-01-05,116.6699982,117.3499985,113.6500015,107.157402,5332400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-2.562337804,,-348600,,-110964115.3,,,,,0,0,0,,,
2022-01-06,114.1399994,115.2399979,113.1999969,107.854805,3578800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.562337804,,3230200,,-133297194.2,,,,,0,0,0,,,
2022-01-07,114.2799988,114.9300003,113.1200027,106.6484756,4067300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.025101896,,-837100,,-166449220.9,,,,,0,0,0,,,
2022-01-10,112.6999969,112.8000031,111.0699997,106.2149277,3737400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.419324789,,-4574500,,-191163859,,,,,0,0,0,,,
2022-01-11,112.8399963,113.7399979,111.4499969,106.9877548,4571700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.419324789,,-2800,,-213552174,,,,,0,0,0,,,
2022-01-12,113.9199982,114.3600006,112.3499985,106.563652,3744100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.419324789,,-3746900,,-238853126.4,,,,,0,0,0,,,
2022-01-13,113.5,114.4899979,112.5899963,106.4694061,3181000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.419324789,,-6927900,,-262528423,,,,,0,0,0,,,
2022-01-14,112,113.5100021,111.7799988,106.959465,2862800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.419324789,,-4065100,,-281345208.3,,,,,0,0,0,,,
2022-01-18,112.6100006,112.7099991,110.3399963,104.1792221,7301700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.270381156,,-11366800,,-326608151.4,,,,,0,0,0,,,
