Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,478.3800049,479.8999939,475.9100037,454.3560791,5560300,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-65633773.72,,,,,,0,0,,,
2022-01-04,481.3699951,482.0700073,477.6600037,454.2046509,5452000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.03332809433,,-5452000,,-129080547.9,,,,,0,0,0,,,
2022-01-05,479.269989,480.0299988,470.2900085,445.3511353,7211400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.981913363,,-12663400,,-173220976.9,,,,,0,0,0,,,
2022-01-06,469.9500122,472.8500061,467.480011,445.0197754,5959100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.054842917,,-18622500,,-229028461.2,,,,,0,0,0,,,
2022-01-07,470.019989,471.25,466.6700134,443.239624,7673600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.446639451,,-26296100,,-315215582.2,,,,,0,0,0,,,
2022-01-10,464.6900024,467.7799988,458.5899963,442.4064026,8975900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.63002457,,-35272000,,-355804601,,,,,0,0,0,,,
2022-01-11,467.2600098,471.8999939,464.0499878,446.7714844,7552000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.63002457,,-27720000,,-396601736.3,,,,,0,0,0,,,
2022-01-12,473.730011,475.2600098,470.9700012,447.9550476,8938600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.63002457,,-18781400,,-501447587.9,,,,,0,0,0,,,
2022-01-13,474.2200012,474.9200134,465.4899902,441.8097839,5351100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.761335381,,-24132500,,-533673521.5,,,,,0,0,0,,,
2022-01-14,463.1400146,467.0799866,461.8999939,441.9613037,9652900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.761335381,,-14479600,,-617637793.9,,,,,0,0,0,,,
2022-01-18,461.7000122,461.9400024,457.3299866,434.1494446,9681700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.447312461,,-24161300,,-724684474.8,,,,,0,0,0,,,
2022-01-19,460,461.6000061,453.4299927,429.6611938,6260800,,,,,,,TRUE,TRUE,0,,,0,,0,443.9071604,355.1257284,,,,,,0,0,,,,,,-5.435139176,,-30422100,,-767374026.6,,,,,0,0,0,,,
2022-01-20,455.7399902,460.75,448.2099915,424.888855,8907300,,,,,,,TRUE,TRUE,0,,,0,,0,440.9812673,281.7598682,,,,,,0,0,,,,,,-6.485491331,,-39329400,,-809411823.8,,,,,0,0,0,,,
2022-01-21,447.5799866,450.0100098,439.8699951,416.6130371,13981000,,,,,,,TRUE,TRUE,0,,,4.838320125,,0,437.2323088,222.4087277,,,,-55.11125896,,14.15436891,0,,,,3.791708844,,-8.306930121,,-53310400,,-887525971.7,,,,,0,0,0,,,
2022-01-24,433.9500122,442.3200073,422.5599976,418.071228,18241000,,,,,,,TRUE,TRUE,0,,-71.70697757,9.878576515,14.14651121,14.14651121,434.2844502,175.5686953,,,,-7.542881524,,6.344992329,0,,,,4.325069498,,-8.306930121,,-35069400,,-914054381.1,,18.27439145,,,0,0,0,,,
2022-01-25,434.9899902,441.6300049,429.0100098,413.2610168,14720000,,,,,,,TRUE,TRUE,0,,-74.09225131,14.55881459,12.83278239,12.83278239,431.0500759,137.8674568,,,,-16.18058207,,6.347027606,0,,,,3.903158852,,-9.044681946,,-49789400,,-965513725.9,,23.39179956,,,0,0,0,,,
