Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,306.6700134,308.0700073,304.6199951,300.5169678,4148400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-14015610.67,,,,,,0,0,,,
2022-01-04,308.1099854,308.3800049,302.0899963,297.4022217,2301200,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.036462639,,-2301200,,-19746855.95,,,,,0,0,0,,,
2022-01-05,303.2799988,303.2799988,294.7000122,287.9115295,3752400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-4.194584527,,-6053600,,-29437051.34,,,,,0,0,0,,,
2022-01-06,293.3599854,296.3500061,291.269989,287.1108704,2994900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.461011806,,-9048500,,-37335928.72,,,,,0,0,0,,,
2022-01-07,294.0599976,295.2600098,289.8900146,283.9473572,2509200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.513702177,,-11557700,,-45398696.57,,,,,0,0,0,,,
2022-01-10,286.9200134,290.7900085,282.3200073,283.7813721,4960800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.568935367,,-16518500,,-48647681.41,,,,,0,0,0,,,
2022-01-11,290,294.0299988,288.0899963,287.0230713,2266500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.568935367,,-14252000,,-51728384.99,,,,,0,0,0,,,
2022-01-12,295.6099854,297.2900085,293.5299988,287.9603882,2552000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.568935367,,-11700000,,-61840815.48,,,,,0,0,0,,,
2022-01-13,296.0299988,296.2799988,286.980011,280.783783,2098800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-6.566412859,,-13798800,,-66736316.66,,,,,0,0,0,,,
2022-01-14,285.6700134,288.8399963,284.6400146,281.496582,3195100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-6.566412859,,-10603700,,-74714095.39,,,,,0,0,0,,,
2022-01-18,284.0299988,285.3800049,281.1199951,274.9840698,3390400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-8.496324896,,-13994100,,-87871252.87,,,,,0,0,0,,,
2022-01-19,283.0400085,284.9299927,278.3800049,272.015686,2355300,,,,,,,TRUE,TRUE,0,,,0,,0,285.4111582,228.3289266,,,,,,0,0,,,,,,-9.484084027,,-16349400,,-94803624.05,,,,,0,0,0,,,
2022-01-20,280.730011,284.1700134,274.6600037,268.6374512,3124500,,,,,,,TRUE,TRUE,0,,,0,,0,282.8305879,180.598685,,,,,,0,0,,,,,,-10.60822517,,-19473900,,-101885525.9,,,,,0,0,0,,,
2022-01-21,273.5799866,275.7799988,267.9200134,261.6269226,4374900,,,,,,,TRUE,TRUE,0,,,5.436237244,,0,279.5684856,141.8692661,,,,-15.55386097,,11.5121032,0,,,,6.881244229,,-12.94104804,,-23848800,,-113265946.1,,,,,0,0,0,,,
2022-01-24,262.8599854,270.3699951,255,263.7163086,4947800,,,,,,,TRUE,TRUE,0,,-72.49495613,10.83171777,13.75252194,13.75252194,277.1296891,111.5443757,,,,16.32878943,,3.493002634,0,,,,6.77136722,,-12.94104804,,-18901000,,-112601961.4,,11.06942996,,,0,0,0,,,
2022-01-25,265.1900024,268.6700134,261.269989,257.7993774,2615000,,,,,,,TRUE,TRUE,0,,-73.933841,15.84180684,12.21875193,12.21875193,274.155795,86.85638531,,,,5.798213571,,3.560344234,0,,,,5.18033186,,-14.21470164,,-21516000,,-117669831.5,,11.07794662,,,0,0,0,,,
2022-01-26,270.3299866,272.9700012,261.1199951,257.9262695,2814000,,,,,,,TRUE,TRUE,0,,-67.83773465,19.55198584,12.44427199,12.44427199,271.6589449,67.48762819,,,,6.919529298,,3.741109848,0,,,,5.882694118,,-14.21470164,,-18702000,,-122000648.2,,17.44140096,,,0,0,0,,,
2022-01-27,267.5499878,269.4299927,261.2000122,255.7195892,3799700,,,,,,,TRUE,TRUE,0,,-68.82925702,22.99715207,11.87301191,-1.87951003,269.2067364,52.0283357,,,,1.701558496,,3.859012634,0,,,,6.599537362,,-14.90677178,,-22501700,,-130860861.6,,17.26924602,,,0,0,0,,,
2022-01-28,264.0899963,271.2000122,260.1000061,264.7123108,3608100,,,,,,,TRUE,TRUE,0,,-37.39558594,25.79329759,26.65042453,14.4316726,268.5152863,41.06950849,,,,22.96597027,,3.925738979,0,,,,6.933312473,,-14.90677178,,-18893600,,-131470466.6,,24.51499258,,,0,0,0,,,
2022-01-31,271.6400146,279.4100037,270.7900085,272.4746704,4564000,276.3773399,,,3.948247713,,,TRUE,TRUE,0,,-19.15317192,26.72434215,36.54195429,24.0976823,269.1244223,33.3429156,,,,41.32103779,,3.977158489,1337.837423,,,,7.070084433,,-14.90677178,,-14329600,,-134250522,-2.022667682,34.85340657,,,0,0,0,,,
2022-02-01,279.8999939,281.6600037,276.6400146,274.5934753,2734300,275.0811653,,,7.462373624,,,TRUE,TRUE,0,,-21.46358558,27.18517839,38.96159527,27.08858336,269.9658151,27.3474467,,,,46.33121632,-8.626299082,3.918811232,1211.240385,,,,7.177578457,,-14.90677178,0.8418553886,-11595300,-34.0878411,-139214250.2,-1.927351595,35.38328755,,,0,0,0,,,-0.04026368161
2022-02-02,284.1099854,284.519989,280.2799988,276.4779053,1936400,274.0349495,,,10.54789771,,,TRUE,TRUE,0,,-19.509031,27.1109551,41.11221277,14.46178824,270.9676751,22.67944539,,,,52.02981083,-7.035696064,3.883306325,1092.877945,,,,5.393082293,,-14.90677178,0.5995594025,-9658900,-15.85259864,-144623476.1,-1.933251181,34.31712796,,,0,0,0,,,0.2235341825
