Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,122.5,122.9199982,121.5899963,114.7150421,1215800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-13785059.91,,,,,,0,0,,,
2022-01-04,122.9899979,123.9599991,122.9899979,115.8871155,537700,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,537700,,-22197430.12,,,,,0,0,0,,,
2022-01-05,123.8099976,124.2799988,121.6299973,114.0867844,581800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.55352138,,-44100,,-26091410.29,,,,,0,0,0,,,
2022-01-06,122.1299973,122.9100037,121.4599991,114.5931396,490400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.55352138,,446300,,-31226634.07,,,,,0,0,0,,,
2022-01-07,122.3199997,122.7699966,121.8600006,114.5462799,455300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.55352138,,-9000,,-39000508.91,,,,,0,0,0,,,
2022-01-10,121.8399963,121.9000015,119.9800034,113.8805008,866100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.731525266,,-875100,,-45369509.13,,,,,0,0,0,,,
2022-01-11,121.5400009,122.6900024,120.6999969,115.0432434,451800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.731525266,,-423300,,-48389866.11,,,,,0,0,0,,,
2022-01-12,122.8899994,123.4499969,122.0899963,115.137001,529000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.731525266,,105700,,-54327885.02,,,,,0,0,0,,,
2022-01-13,122.9700012,123.7300034,122.1200027,114.8369446,560400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.731525266,,-454700,,-59958377.26,,,,,0,0,0,,,
2022-01-14,121.5,122.1600037,120.5800018,114.4993744,618500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.731525266,,-1073200,,-65337464.24,,,,,0,0,0,,,
2022-01-18,121.3499985,121.3499985,119.5500031,112.5302658,514900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.89665478,,-1588100,,-69868444.13,,,,,0,0,0,,,
2022-01-19,120.5699997,120.6399994,118.4599991,111.1800308,317400,,,,,,,TRUE,TRUE,0,,,0,,0,114.2446435,91.39571482,,,,,,0,0,,,,,,-4.061784294,,-1905500,,-72305717.16,,,,,0,0,0,,,
2022-01-20,118.9800034,120.1699982,116.6600037,109.5203323,473000,,,,,,,TRUE,TRUE,0,,,0,,0,113.5178264,72.53511817,,,,,,0,0,,,,,,-5.493952555,,-2378500,,-74702973.46,,,,,0,0,0,,,
2022-01-21,116.3399963,117.25,114.7900009,107.9262772,642700,,,,,,,TRUE,TRUE,0,,,4.130363579,,0,112.6575881,57.33990386,,,,-72.3258725,,15.20376102,0,,,,2.85964926,,-6.869476632,,-3021200,,-78932109.97,,,,,0,0,0,,,
2022-01-24,113.3700027,116.2200012,111.3199997,108.6576614,1688200,,,,,,,TRUE,TRUE,0,,-45.23806946,8.614661202,27.38096527,27.38096527,112.0422147,45.37962443,,,,-20.54273491,,7.566205771,0,,,,3.299139718,,-6.869476632,,-1333000,,-82454823.46,,29.74491809,,,0,0,0,,,
2022-01-25,114.3899994,116.0199966,112.5,107.8137665,812100,,,,,,,TRUE,TRUE,0,,-61.80871942,12.77865185,25.64067488,25.64067488,111.3916842,35.78327514,,,,-27.05427055,,7.500701934,0,,,,3.327063655,,-6.966563078,,-2145100,,-85429249.52,,31.4859135,,,0,0,0,,,
2022-01-26,116.1699982,117.1100006,113,107.0354996,569200,,,,,,,TRUE,TRUE,0,,-58.56663431,15.77764727,24.11822446,24.11822446,110.721502,28.0904743,,,,-34.52456775,,7.615524157,0,,,,3.813976838,,-7.638136362,,-2714300,,-87650514.31,,37.7902524,,,0,0,0,,,
2022-01-27,115.1999969,116.4100037,112.6999969,106.2009659,818100,,,,,,,TRUE,TRUE,0,,-67.85424137,18.63064887,22.57062929,-4.810335978,110.0260349,21.91600577,,,,-41.24925304,,7.712445686,0,,,,4.339710915,,-8.358262743,,-3532400,,-91334839.48,,36.64032995,,,0,0,0,,,
2022-01-28,113.2900009,115.0800018,111.9400024,107.9075241,1157400,,,,,,,TRUE,TRUE,0,,-47.32624436,21.4521278,32.15747923,6.516804354,109.7001102,17.27206483,,,,-27.49778065,,7.636953511,0,,,,4.650853618,,-8.358262743,,-2375000,,-95464972.81,,29.528324,,,0,0,0,,,
2022-01-31,114.6699982,117.1299973,114.2600021,109.7078552,769800,111.7852802,,,1.596932575,,,TRUE,TRUE,0,,-27.52006578,22.52916826,40.52371322,16.40548875,109.7013017,13.8186051,,,,-12.99068489,,7.633299991,331.4448078,,,,4.809737105,,-8.358262743,,-1605200,,-98676757.93,-7.013472873,37.6266238,,,0,0,0,,,
2022-02-01,117.3300018,118.1900024,116.1800003,110.7299118,1047500,111.5860237,,,3.022920462,,,TRUE,TRUE,0,,-28.71437286,22.83990741,44.6934785,22.12284921,109.8595494,11.18148225,,,,-4.75493728,-3.473938759,7.541726628,324.8173493,,,,4.917277016,,-8.358262743,1.507053297,-557700,-13.84273729,-105404816.8,-6.590733016,41.07638274,,,0,0,0,,,-0.2635671739
2022-02-02,118.2200012,118.9499969,117.5599976,111.4050446,409900,111.3619202,,,4.277908338,,,TRUE,TRUE,0,,-23.9183786,22.65939898,47.32075756,15.16327833,110.0973179,9.135400584,,,,0.6852927941,-3.867617987,7.484054084,308.6395487,,,,4.773839753,,-8.358262743,0.5952009293,-147800,-23.76790032,-109444812.2,-6.334438024,40.27875748,,,0,0,0,,,0.0139724121
2022-02-03,117.7799988,118.6100006,116.9800034,109.8485107,261000,111.1500065,,,5.362407342,,,TRUE,TRUE,0,,-29.58851294,22.72401753,42.32829618,1.804582964,110.0590399,7.277698048,,,,-13.57461637,-3.714955807,7.499844622,303.4523113,,,,4.657321281,,-8.358262743,0.3880261955,-408800,-55.1392231,-111989643.8,-6.385203973,35.72434448,,,0,0,0,,,-0.4288963025
2022-02-04,116.7399979,118.0699997,115.8799973,109.8672562,332900,110.9137123,,,6.276387848,,,TRUE,TRUE,0,,-28.00464575,23.20399969,42.4071011,-2.2863774,110.0295347,5.79855429,,,,-14.48398512,-4.124054458,7.556975096,293.4655575,,,,3.253868344,,-8.358262743,0.5007822372,-75900,-32.11663948,-114150524.9,-6.237130001,36.86295459,,,0,0,0,,,-0.3565856774
2022-02-07,117.4199982,118.1600037,117.0599976,110.0173111,1140600,110.6872639,,,7.020345838,,,TRUE,TRUE,0,,-17.0699854,23.58744892,43.07762349,-4.243134069,110.0276541,4.63733899,,,,-13.97734594,-3.953833171,7.640297621,281.1763573,,,,2.453651263,,-8.358262743,1.631701298,1064700,150.5161432,-129896295.1,-6.50161197,45.74813437,,,0,0,0,,,-0.238267819
2022-02-08,117.2699966,118.7099991,117.1699982,111.1893921,408200,110.5527084,,,7.595934595,,,TRUE,TRUE,0,,0.06436812482,23.55388146,48.15504142,5.826745244,-1.284502757,-85.33985432,,,,-1.475792401,-2.363098761,7.597208191,271.3587069,,,,2.453602882,,-8.358262743,0.6037300519,1472900,-52.8691837,-133474991.1,-6.515424694,49.31219032,,,0,0,0,,,0.2346280545
2022-02-09,119.3899994,120.5699997,119.3899994,112.8959579,338900,110.4453442,,,8.003744903,,,TRUE,TRUE,0,,23.13626157,22.34575267,54.5165922,12.1094911,-0.9748014215,-68.02412239,,,,17.03738651,-1.866502889,7.507082302,256.4975767,,,,3.50555306,,-8.358262743,0.5054550065,1811800,-24.98893316,-137544111.6,-6.648489187,53.30719151,,,0,0,0,,,0.9554140106
2022-02-10,119.0299988,121.0999985,118.0699997,111.1331253,375800,110.2451504,,,8.242612074,,,TRUE,TRUE,0,,21.72812651,21.842723,47.96889092,4.891267428,-0.861673903,-54.3287959,,,,-1.910781319,-3.477488293,7.656651634,232.4500633,,,,3.328504596,,-8.358262743,0.5669671482,1436000,-28.96030246,-139640623.4,-6.435540179,54.64818984,,,0,0,0,,,0.382006749
2022-02-11,118.7200012,119.6299973,116.8099976,110.0923233,324600,110.0079193,,,8.31230805,,,TRUE,TRUE,0,,9.521003076,21.90245637,44.56558137,-3.589460055,-0.8462485266,-43.45069642,,,,-20.17117837,-4.131615739,7.742217225,205.8051853,,,,3.242338702,,-8.358262743,0.4985907056,1111400,-42.07708779,-141511717.9,-6.263360701,62.94505886,,,0,0,0,,,0.04101159626
2022-02-14,117.2600021,117.8199997,115.6500015,109.0608673,323900,109.735994,,,8.212693935,,,TRUE,TRUE,0,,8.174520461,22.39686635,41.42861772,-13.08797448,-0.9068006496,-34.80899883,,,,-31.43161986,-4.749813795,7.839367894,177.2907841,,1.06271318,0.6367478811,3.144762147,,-8.358262743,0.509032618,787500,-47.63136621,-143802643.2,-6.165689326,56.91228373,,,0,-0.2384510523,-6.053130027,0.797964837,1.06271318,-0.3808018852
2022-02-15,117.0699997,118.3700027,117.0699997,110.8612061,404800,109.652541,,,7.946871102,,,TRUE,TRUE,0,,23.50227996,22.49710109,48.27273766,0.3038467386,-0.8002910951,-27.76199142,,,,-11.77725823,-1.483209643,7.71289114,167.0797179,,1.104259931,0.6324847526,2.863003303,,-8.358262743,0.6417247939,1192300,-21.38279278,-148074079.7,-6.198924826,56.11168098,,,0,-0.2072428272,-4.965228724,0.7952891,1.104259931,0.7234062277
2022-02-16,117.7799988,118.9300003,117.5899963,111.2081451,340500,109.6539467,,,7.516177312,,,TRUE,TRUE,0,,31.71021842,22.22754141,49.49743634,4.931854967,-0.6800472595,-22.11339807,,,,-7.989711974,0.02528720188,7.604963773,167.2161234,,1.058459613,0.5929130991,2.417532009,,-8.358262743,0.538804187,1532800,7.277882798,-151657884.1,-6.278308337,63.94720233,,,0,-0.1650555127,-3.812240008,0.7700085059,1.058459613,0.9294549021
2022-02-17,117.7200012,117.8799973,116.1900024,109.145256,470300,109.6351929,,,6.920322457,,,TRUE,TRUE,0,,7.665513129,22.55447624,42.98121566,1.552597945,-0.7426502536,-17.74080085,,,,-74.77702971,-0.3424718369,7.604254608,167.5837888,,1.067920044,0.6034681092,2.288726487,,-8.358262743,0.7443575702,1062500,-0.5708245243,-156049076.8,-6.437442893,69.97153127,,,0,-0.1658746073,-3.82842526,0.7768320985,1.067920044,-0.2923533548
2022-02-18,116.2900009,117.2200012,115.5299988,108.7326813,328500,109.6755131,,,6.160178654,,,TRUE,TRUE,0,,-6.607316029,23.10929978,41.79610115,-6.476636504,-0.8161468801,-14.25143798,,,,-122.0344323,0.7471805152,7.557711717,164.1915438,,1.048838854,0.5984749449,2.374874394,,-8.358262743,0.5331840093,734000,-48.88750583,-159020080.5,-6.499486335,62.98176108,,,0,-0.1637307294,-3.772288343,0.773611624,1.048838854,-0.5742267723
2022-02-22,115.8399963,116.3099976,114.0199966,107.5512085,404300,109.6201904,,,5.234318943,,,TRUE,TRUE,0,,-21.30723995,24.15138518,38.5205816,-10.97685473,-0.9586774286,-11.51517482,,,,-91.36704059,-1.018292615,7.580641748,169.5773009,,1.059395695,0.6017825838,2.641592888,,-8.358262743,0.7325403368,329700,-76.05141571,-161708511.5,-7.179881688,52.13072705,,,0,-0.1774424012,-4.058718887,0.7757464688,1.059395695,-1.220081887
2022-02-23,115.3499985,115.7799988,112.7200012,105.8540268,347100,109.5222034,,,4.142217027,,,TRUE,TRUE,0,,-34.82343065,25.51678641,34.35544451,-8.625771152,-1.194809277,-9.401045338,,,,-81.9328959,-1.81770821,7.702771311,185.4809792,,1.081190033,0.6197068207,3.103627919,,-8.657639499,0.6565594469,-17400,-57.25895826,-163613246.5,-7.39447448,45.69098437,,,0,-0.1774068135,-4.054631957,0.7872145964,1.081190033,-1.977656505
2022-02-24,110.2900009,113.9100037,110.0699997,106.566658,1203600,109.4987614,,,2.885085181,,,TRUE,TRUE,0,,-21.73906891,27.44936278,37.41546736,-4.380633795,-1.309348727,-7.61246783,,,,-31.76194073,-0.4380243514,7.708302917,189.0511347,,1.077599378,0.5975431875,3.370029476,,-8.657639499,2.147809096,1186200,111.4546732,-167013001.6,-7.081068129,39.5977897,,,0,-0.1593645062,-3.577625828,0.7730091768,1.077599378,-1.550957815
2022-02-25,114.0199966,117.0100021,114,109.6891098,765000,109.6731686,,,1.465785075,,,TRUE,TRUE,0,,-0.9788115593,27.37755706,48.69947438,10.17889278,-1.135081786,-5.950560712,,,,-3.453217903,3.284474762,7.633560674,172.3812329,,1.1853404,0.6617557678,3.379253263,,-8.657639499,1.371631435,1951200,-6.490649065,-169969249.9,-7.049505171,47.86181296,,,0,-0.1047864757,-2.277008202,0.8134837231,1.1853404,0.009247664685
