Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,135.5399933,135.6499939,132.8399963,130.7515259,21600,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,0.00,,0,,-53707.4741,,,,,100,0.00,0.00,,,
2022-01-05,133.3399963,133.3399963,129.5599976,126.646019,21100,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.14,,-21100,,-107339.2031,,,,,97.60999208,0.00,0.00,,,
2022-01-06,129,130.2700043,128.1799927,126.3234253,30100,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.39,,-51200,,-190915.1535,,,,,97.15074842,0.00,0.00,,,
2022-01-07,129.3600006,129.9299927,127.5400009,125.2481842,19200,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.21,,-70400,,-246937.7749,,,,,96.17522157,0.00,0.00,,,
2022-01-10,126.5599976,128.1499939,124.6999969,125.2677155,26700,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.21,,-43700,,-264850.472,,,,,96.16055247,0.00,0.00,,,
2022-01-11,128.1100006,130.1600037,127.3700027,127.2031937,10600,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.21,,-33100,,-276717.9814,,,,,96.7509991,0.00,0.00,,,
2022-01-12,130.9400024,131.5700073,130.1000061,127.7799149,10400,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.21,,-22700,,-319946.4562,,,,,96.68732422,0.00,0.00,,,
2022-01-13,131.0500031,131.2299957,127.2099991,124.3977432,16700,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.86,,-39400,,-360011.9846,,,,,94.53050548,0.00,0.00,,,
2022-01-14,126.4499969,128.3099976,126.4499969,125.3361511,9200,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.86,,-30200,,-380230.6708,,,,,94.86704019,0.00,0.00,,,
2022-01-17,129,129.5700073,127.0100021,126.5384827,2200,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.86,,-28000,,-383241.0933,,,,,94.99699584,0.00,0.00,,,
2022-01-18,126.2099991,126.8799973,124.9599991,122.227684,32200,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-6.52,,-60200,,-507087.5818,,,,,92.85312311,0.00,0.00,,,
2022-01-19,125.6900024,126.3899994,123.6999969,120.9178085,14500,,,,,,,TRUE,TRUE,0,,,0.00,,0,125.7198,100.5759,,,,,,0.00,0.00,,,,,,-7.52,,-74700,,-551581.4074,,,,,92.30887421,0.00,0.00,,,
2022-01-20,124.8600006,126.1500015,122.0199966,119.5102081,15700,,,,,,,TRUE,TRUE,0,,,0.00,,0,124.7645,79.6964,,,,,,0.00,0.00,,,,,,-8.60,,-90400,,-586363.0699,,,,,91.82582555,0.00,0.00,,,
2022-01-21,121.4400024,122.0500031,118.8000031,116.1280212,53500,,,,,,,TRUE,TRUE,0,,,4.4339,,0,123.4358,62.6942,,,,-15.85746744,,11.45,0.00,,,,5.4667,,-11.18,,-143900,,-727832.9326,,,,,91.16928443,0.00,0.00,,,
2022-01-24,116.75,119.3700027,112.9199982,116.6265335,86100,,,,,,,TRUE,TRUE,0,,-57.73089117,9.1042,21.1346,21.13455442,122.3882,49.3173,,,,18.15149692,,3.48,0.00,,,,4.3967,,-11.18,,-57800,,-714977.1291,,6.9846,,,91.76328201,0.00,0.00,,,
2022-01-25,116.8300018,118.4700012,115.3300018,113.7819977,18000,,,,,,,TRUE,TRUE,0,,-55.43406468,13.4409,18.7829,18.78287461,121.0642,38.3946,,,,4.621979027,,3.53,0.00,,,,5.277,,-12.98,,-75800,,-750724.9508,,7.093,,,89.35567521,0.00,0.00,,,
2022-01-26,119.2699966,120.2300034,115,113.7819977,30100,,,,,,,TRUE,TRUE,0,,-54.80580602,16.665,18.7829,18.78287461,119.9439,29.8194,,,,4.621979027,,3.71,0.00,,,,6.0271,,-12.98,,-75800,,-794844.7773,,15.531,,,89.29931143,0.00,0.00,,,
2022-01-27,117.7099991,118.3799973,114.6999969,112.4428177,27500,,,,,,,TRUE,TRUE,0,,-55.32113566,19.6943,17.7071,-3.427473463,118.7898,22.9323,,,,-2.558607221,,3.82,0.00,,,,6.807,,-14.00,,-103300,,-856079.7906,,15.2688,,,88.38765633,0.00,0.00,,,
2022-01-28,115.6299973,118.4599991,113.9899979,115.7956619,22200,,,,,,,TRUE,TRUE,0,,-35.76972466,22.594,28.7154,9.932541576,118.3292,17.9773,,,,15.41910105,,3.86,0.00,,,,7.2348,,-14.00,,-81100,,-860344.3404,,21.7325,,,90.28179905,0.00,0.00,,,
2022-01-31,119,122.5899963,119,119.8327713,24200,121.8268929,,,1.740384184,,,TRUE,TRUE,0,,-25.78668865,23.4912,39.2527,20.46981096,118.5605,14.5669,,,,37.06578948,,3.85,550.52,,,,7.4223,,-14.00,,-56900,,-873316.9944,-1.7758,24.546,,,91.9317513,0.00,0.00,,,
