Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,145.7899933,145.9600067,144.2299957,138.6223297,1352600,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,0.00,,0,,-10121248.42,,,,,,0.00,0.00,,,
2022-01-04,145.25,145.7599945,144.3500061,138.4599762,3915900,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,-0.12,,-3915900,,-46753400.64,,,,,0,0.00,0.00,,,
2022-01-05,144.7799988,144.8699951,141.4900055,135.1273956,4518300,,,,,,,TRUE,TRUE,0,,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,,,,,-2.52,,-8434200,,-68282510.34,,,,,0,0.00,0.00,,,
2022-01-06,141.2799988,142.4600067,140.5599976,135.2515564,2014000,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-2.52,,-6420200,,-81550351.38,,,,,0,0.00,0.00,,,
2022-01-07,141.7599945,141.7599945,140.0099945,133.9815216,1075300,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.35,,-7495500,,-90034127.85,,,,,0,0.00,0.00,,,
2022-01-10,139.0500031,139.7899933,136.9600067,133.3799286,2396800,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.78,,-9892300,,-98495077.64,,,,,0,0.00,0.00,,,
2022-01-11,139.6000061,141.0099945,138.3600006,134.6213074,1978000,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.78,,-7914300,,-106054324.6,,,,,0,0.00,0.00,,,
2022-01-12,141.5599976,141.9700012,140.4900055,134.8123169,1297900,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-3.78,,-6616400,,-117310458.8,,,,,0,0.00,0.00,,,
2022-01-13,141.7599945,141.8999939,138.8099976,132.8834076,1483500,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.14,,-8099900,,-124484642.7,,,,,0,0.00,0.00,,,
2022-01-14,138.1999969,139.1699982,137.4499969,132.6446533,987800,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-4.31,,-9087700,,-130991878.9,,,,,0,0.00,0.00,,,
2022-01-18,137.8899994,137.8899994,136.1799927,130.2765045,1075700,,,,,,,TRUE,TRUE,0,,,0.00,,0,0.00,0.00,,,,,,0.00,0.00,,,,,,-6.02,,-10163400,,-139494897.3,,,,,0,0.00,0.00,,,
2022-01-19,136.9799957,137.6799927,135.1399994,129.0829163,1124200,,,,,,,TRUE,TRUE,0,,,0.00,,0,134.0953,107.2763,,,,,,0.00,0.00,,,,,,-6.88,,-11287600,,-145980822.4,,,,,0,0.00,0.00,,,
2022-01-20,135.5599976,137.3300018,133.25,127.4023056,1722600,,,,,,,TRUE,TRUE,0,,,0.00,,0,133.0656,84.9972,,,,,,0.00,0.00,,,,,,-8.09,,-13010200,,-152641282.1,,,,,0,0.00,0.00,,,
2022-01-21,132.8699951,134.4199982,131.1900024,125.3015213,2600500,,,,,,,TRUE,TRUE,0,,,5.4925,,0,131.8711,67.0422,,,,-39.8678364,,13.42,0.00,,,,4.8614,,-9.61,,-15610700,,-164723525.4,,,,,0,0.00,0.00,,,
2022-01-24,129.8600006,132.2700043,126.1900024,126.1418381,3337700,,,,,,,TRUE,TRUE,0,,-72.24922013,10.959,13.8754,13.87538993,130.9897,52.9286,,,,-0.2461133736,,5.46,0.00,,,,5.3293,,-9.61,,-12273000,,-168114106.4,,11.2379,,,0,0.00,0.00,,,
2022-01-25,130.2700043,132.0099945,128.3699951,124.3275375,2229400,,,,,,,TRUE,TRUE,0,,-74.67141212,16.0351,12.4654,12.46544203,129.9648,41.5229,,,,-9.970372779,,5.47,0.00,,,,4.1631,,-10.31,,-14502400,,-175295295.7,,19.6548,,,0,0.00,0.00,,,
2022-01-26,132.3099976,133.3500061,128.5800018,124.0315094,2504600,,,,,,,TRUE,TRUE,0,,-69.83104494,19.9093,12.2468,12.24677265,129.052,32.4881,,,,-13.26670237,,5.63,0.00,,,,4.7166,,-10.53,,-17007000,,-182576475.9,,30.7779,,,0,0.00,0.00,,,
2022-01-27,131.1999969,132.2400055,128.7299957,123.4872208,2253000,,,,,,,TRUE,TRUE,0,,-72.1307112,23.5068,11.8357,-2.039723424,128.1958,25.3056,,,,-17.12789535,,5.71,0.00,,,,5.0135,,-10.92,,-19260000,,-191559925.6,,30.7073,,,0,0.00,0.00,,,
2022-01-28,129.8800049,132.8600006,128.2299957,126.8197861,2830800,,,,,,,TRUE,TRUE,0,,-38.9812096,26.4402,27.8136,15.34819321,127.9841,20.0751,,,,3.991024582,,5.72,0.00,,,,5.2554,,-10.92,,-16429200,,-196115139.1,,38.8559,,,0,0.00,0.00,,,
2022-01-31,132.5899963,135.5,132.2899933,129.3311462,1469400,130.799334,,,1.868561914,,,TRUE,TRUE,0,,-19.96239855,27.5996,37.0693,24.82250136,128.1914,16.2259,,,,19.90585578,,5.77,480.96,,,,5.359,,-10.92,,-14959800,,-200293399.4,-4.7499,45.8101,,,0,0.00,0.00,,,
2022-02-01,135.5899963,136.3099976,134.3600006,130.066452,1786100,130.3715401,,,3.534321758,,,TRUE,TRUE,0,,-23.0322722,28.247,39.5146,27.67898049,128.4798,13.2115,,,,24.56558862,-6.172077546,5.70,444.37,,,,5.4409,,-10.92,0.8385150758,-13173700,32.04938637,-209944852.3,-4.6905,45.2789,,,0,0.00,0.00,,,-0.0687
2022-02-02,137.2299957,138.2899933,136.6699982,131.8425751,1156900,130.04067,,,4.999307459,,,TRUE,TRUE,0,,-13.90258015,27.8737,45.0673,17.25369411,128.9972,10.9831,,,,35.98074924,-4.779288069,5.67,403.76,,,,4.2785,,-10.92,0.5807366506,-12016800,-70.45634465,-217996644.4,-4.298,44.9074,,,0,0.00,0.00,,,0.4463
2022-02-03,134.9700012,135.7200012,133.5500031,127.812912,2714600,129.6749458,,,6.263518649,,,TRUE,TRUE,0,,-21.61167277,28.3236,36.8106,-0.2586402955,128.815,8.6407,,,,12.50315932,-5.413027912,5.67,388.08,,,,4.2492,,-10.92,1.427279515,-14731400,-39.91988137,-235065088.3,-4.3845,42.9966,,,0,0.00,0.00,,,-0.4798
2022-02-04,133.4700012,134.5299988,132.0899963,127.3736191,1332500,129.281049,,,7.327102823,,,TRUE,TRUE,0,,-22.27601383,29.0612,36.0356,-3.479091985,128.5932,6.7352,,,,9.781963089,-5.824655573,5.71,367.96,,,,3.8636,,-10.92,0.7133813204,-16063900,-33.83813307,-241548872.2,-4.2829,42.5262,,,0,0.00,0.00,,,-0.5184
2022-02-07,133.5,134.0099945,132.5200043,126.8484497,1234800,128.9243954,,,8.191184352,,,TRUE,TRUE,0,,-15.71104286,29.7461,35.0845,-9.982855045,128.3248,5.1734,,,,5.441717056,-5.323922145,5.81,354.32,,,,3.9814,,-10.92,0.6582650972,-17298700,14.83306984,-252184050,-4.3221,42.3313,,,0,0.00,0.00,,,-0.5859
2022-02-08,132.6000061,133.7700043,132.0200043,127.4023056,1657600,128.6255142,,,8.85712488,,,TRUE,TRUE,0,,-7.93502016,30.4974,36.9737,0.1630924642,-2.0991,-100.2005,,,,10.01904197,-4.481651062,5.76,339.66,,,,4.0434,,-10.92,0.9014182546,-15641100,-30.8411215,-262589418.4,-4.4618,41.5813,,,0,0.00,0.00,,,-0.3601
2022-02-09,134.9100037,136.1100006,134.9100037,129.8467865,1652000,128.3867882,,,9.32623321,,,TRUE,TRUE,0,,11.13986836,30.022,44.6327,8.597123155,-1.8109,-79.9298,,,,30.22137871,-3.546630892,5.68,310.86,,,,3.9626,,-10.92,0.9064074005,-13989100,-16.48129424,-278182178.4,-4.7221,47.548,,,0,0.00,0.00,,,0.4697
2022-02-10,133.9600067,135.75,132.3999939,127.001236,1562800,127.9962341,,,9.596699356,,,TRUE,TRUE,0,,7.491590728,30.2287,38.7322,3.647760917,-1.7915,-63.9283,,,,6.704414333,-5.794041014,5.74,272.60,,,,3.861,,-10.92,0.8512793975,-15551900,20.4098929,-284782091,-4.5612,49.2946,,,0,0.00,0.00,,,-0.365
2022-02-11,133.2700043,133.5399933,129.8300018,124.365715,1444600,127.5703495,,,9.668605897,,,TRUE,TRUE,0,,-7.254365863,30.9769,34.22,-2.753770162,-1.966,-51.2823,,,,-38.41234233,-6.409899264,5.84,258.39,,,,3.9836,,-10.92,0.78772875,-16996500,-2.622177283,-290482069.4,-4.5259,52.8126,,,0,0.00,0.00,,,-1.2402
2022-02-14,129.8999939,130.4799957,128.4299927,123.6877441,1763700,127.122504,,,9.542279533,,,TRUE,TRUE,0,,-2.740346014,31.9419,33.1501,-11.48260721,-2.1345,-41.1606,,,,-45.15161719,-6.752559531,5.88,242.98,,1.314770506,0.5523009033,4.035,,-10.92,0.9418078417,-18760200,78.54828913,-300405663.3,-4.5233,45.1681,,,0,-0.42,-7.2606,0.7431694984,1.314770506,-1.4136
2022-02-15,130.8399963,131.9700012,130.8399963,125.8935394,1153600,126.9033558,,,9.22166082,,,TRUE,TRUE,0,,7.37234925,32.1349,39.7502,1.017960708,-2.0662,-32.8738,,,,-23.22521735,-3.364355763,5.74,232.57,,1.36211188,0.5586766431,3.9023,,-10.92,0.6147385922,-17606600,7.24179604,-311658746.6,-4.5872,42.157,,,0,-0.39,-6.5285,0.7474467493,1.36211188,-0.4342
2022-02-16,131.3300018,132.5500031,130.6900024,126.1418381,1048200,126.7563019,,,8.708109223,,,TRUE,TRUE,0,,10.63508006,32.0471,40.4628,6.242819901,-1.9693,-26.2216,,,,-20.75703937,-2.278441076,5.64,227.31,,1.307585143,0.5261749986,3.7007,,-10.92,0.5597056766,-16558400,-6.760362925,-317833166.3,-4.5882,48.8526,,,0,-0.34,-5.578,0.7253792102,1.307585143,-0.2703
2022-02-17,131.4199982,131.4199982,129.0099945,123.3439636,1129500,126.5533848,,,8.00104783,,,TRUE,TRUE,0,,-14.22985827,32.359,35.3844,2.234292984,-2.0942,-21.0771,,,,-51.58244156,-3.18545411,5.53,239.05,,1.291934874,0.5350379991,3.953,,-11.02,0.6128212293,-17687900,-34.43051202,-324273680.5,-4.656,39.5512,,,0,-0.32,-5.3644,0.7314629171,1.291934874,-1.3426
2022-02-18,129.3500061,129.6499939,127.8099976,122.5705109,1609300,126.4168343,,,7.101729873,,,TRUE,TRUE,0,,-29.79782151,32.9109,34.1099,-5.640339511,-2.2298,-16.9702,,,,-49.99512243,-2.179550901,5.43,253.91,,1.274227249,0.5308440382,4.3474,,-11.58,0.8972682745,-19297200,-38.11574697,-335048113.9,-4.7482,32.4241,,,0,-0.31,-5.1481,0.7285904462,1.274227249,-1.5148
2022-02-22,127.9700012,128.7899933,125.6800003,120.9853897,1645700,126.1590118,,,6.008628236,,,TRUE,TRUE,0,,-38.58015458,33.8489,31.598,-8.864824906,-2.4372,-13.742,,,,-37.22928794,-4.087817684,5.45,281.53,,1.291369287,0.5443733961,4.8594,,-12.72,0.9629861524,-20942900,-50.6935914,-341662262.8,-5.0776,24.1281,,,0,-0.30,-4.965,0.7378166412,1.291369287,-1.8377
2022-02-23,127.5400009,128.0899963,124.4899979,119.0183029,1505300,125.8935501,,,4.722021489,,,TRUE,TRUE,0,,-54.04441801,34.9375,28.7668,-6.617550009,-2.7287,-11.2269,,,,-47.08858565,-4.270360955,5.48,321.85,,1.300465988,0.5568251564,4.2265,,-14.14,0.8998953819,-22448200,-32.47959092,-347743421.7,-5.1546,18.2241,,,0,-0.30,-4.9592,0.7462071806,1.300465988,-2.1362
2022-02-24,121.9800034,127.1900024,121.5100021,121.2718582,2931400,125.7555676,,,3.244129953,,,TRUE,TRUE,0,,-29.79568205,36.4288,35.8573,1.747481591,-2.7463,-8.9956,,,,-1.631122916,-2.224959768,5.63,335.86,,1.318956298,0.5149658456,4.5611,,-14.14,1.730368516,-19516800,17.04064521,-350920629.8,-4.9686,18.2096,,,0,-0.23,-3.53,0.7176112078,1.318956298,-1.335
2022-02-25,127.5899963,130.1300049,126.9899979,124.2606964,1626200,125.7942413,,,1.577684784,,,TRUE,TRUE,0,,-12.70447356,36.4436,43.8415,12.24356501,-2.4904,-6.9917,,,,18.84037371,0.6263608835,5.62,333.55,,1.357454285,0.5667028679,4.6761,,-14.14,0.9780183431,-17890600,-27.82068353,-355373823.5,-4.926,25.3562,,,0,-0.20,-3.1564,0.7527966976,1.357454285,-0.4598
2022-02-28,128.75,130.3800049,128.1199951,124.0219574,1608300,125.6543499,,,-0.2799231077,,,TRUE,TRUE,0,,-11.67193542,36.3485,43.3771,14.61024139,-2.2805,-5.4255,,,,17.20517482,-2.20614524,5.60,334.89,,1.345051622,0.5639703696,4.7878,,-14.14,1.004167642,-19498900,-43.18567189,-362814730.2,-5.2041,32.1555,,,0,-0.18,-2.7747,0.7509796066,1.345051622,-0.4874
2022-03-01,129.8600006,130.5,127.3000031,122.3795319,1675700,125.3067692,,,-0.2661977062,,,TRUE,TRUE,0,,-19.8491651,36.4358,40.2202,4.362862441,-2.2211,-4.2929,,,,5.955683664,-5.375050467,5.65,330.77,,1.361060737,0.575293077,5.0032,,-14.14,1.039554822,-21174600,14.03974411,-369643706.1,-5.253,32.2108,,,0,-0.16,-2.5656,0.758480769,1.361060737,-0.885
2022-03-02,128.7700043,131.0599976,128.4900055,124.6999435,2210500,125.0384438,,,-0.2548006694,,,TRUE,TRUE,0,,-20.4396819,36.2505,46.1796,2.338121104,-1.9641,-3.2287,,,,22.40127728,-4.125974377,5.54,311.32,,1.355094236,0.6042109536,3.1823,,-14.14,1.353510985,-18964100,23.76126757,-378374017.6,-5.1565,33.6627,,,0,-0.12,-1.9227,0.7773100756,1.355094236,-0.1087
2022-03-03,131.4499969,131.5200043,129.3899994,124.19384,1604100,124.656007,,,-0.2460715852,,,TRUE,TRUE,0,,-12.29093329,35.8545,45.123,1.745987828,-1.7808,-2.4363,,,,22.30955831,-5.801415091,5.61,267.19,,1.348240294,0.5974615395,2.6711,,-14.14,0.9689402725,-20568200,38.65502636,-387804540.3,-5.1285,40.7316,,,0,-0.13,-2.1267,0.7729563633,1.348240294,-0.173
2022-03-04,129.1000061,129.3399963,127.6100006,123.0479507,1433300,124.4177589,,,-0.2384233994,,,TRUE,TRUE,0,,-6.171746364,35.9269,42.7387,2.518509163,-1.7083,-1.891,,,,13.93069276,-3.728075019,5.59,258.67,,1.276745147,0.5454576896,2.7245,,-14.14,0.9006223864,-22001500,-47.20032417,-396797149.2,-5.0813,40.8039,,,0,-0.18,-2.7572,0.7385510745,1.276745147,-0.5296
2022-03-07,128.6000061,128.8200073,124.9700012,119.4098129,2976800,124.0195686,,,-0.2347775266,,,TRUE,TRUE,0,,-17.59616166,36.5549,36.1986,-9.980993053,-1.9222,-1.684,,,,-19.0234514,-6.252319915,5.74,271.74,,1.490324405,0.5514926635,3.031,,-14.14,1.778606296,-24978300,123.3996248,-408372153,-4.9838,38.8607,,,0,-0.32,-4.7375,0.7426255204,1.490324405,-1.6964
2022-03-08,125.0100021,127.2900009,123.7399979,118.5313034,3383100,123.6037113,,,-0.2347918446,,,TRUE,TRUE,0,,-32.03138666,37.3699,34.8133,-10.30974391,-2.138,-1.5198,,,,-26.98096452,-6.556758337,5.75,289.24,,1.358896173,0.5534524401,3.4328,,-14.49,1.899460161,-28361400,173.9795918,-421682869.3,-4.7583,31.2304,,,0,-0.35,-5.8012,0.743943842,1.358896173,-1.7537
2022-03-09,126.4700012,128.1600037,126.0500031,121.7015533,1571400,123.3186737,,,-0.2355962759,,,TRUE,TRUE,0,,-17.13972452,37.6741,43.2532,0.5145129618,-2.0298,-1.1293,,,,1.913598078,-4.474606822,5.78,277.70,,1.414899375,0.5793218284,2.6096,,-14.49,0.8844113633,-26790000,-5.200289575,-429731190.6,-4.7035,32.4681,,,0,-0.34,-5.4048,0.7611319389,1.414899375,-0.5823
2022-03-10,125.7900009,126.9700012,125.0500031,120.9089966,1806900,122.8717842,,,-0.2385739902,,,TRUE,TRUE,0,,-10.18768741,38.1665,41.7963,5.59764808,-1.9852,-0.8677,,,,-6.004050209,-6.883335474,5.82,235.88,,1.406936637,0.5737664779,2.7177,,-14.49,1.012541188,-28596900,9.376513317,-439332248.6,-4.5152,31.7165,,,0,-0.35,-5.7062,0.7574737473,1.406936637,-0.8321
2022-03-11,127.3399963,127.5899963,124.5999985,119.1424332,1589000,122.4788441,,,-0.2450385388,,,TRUE,TRUE,0,,-13.7705946,38.2879,38.6697,3.856377761,-2.0685,-0.7608,,,,-23.65203261,-6.187973476,5.92,228.82,,1.38690286,0.5680564878,2.9319,,-14.49,0.8897823421,-30185900,1.676478116,-446721969.3,-4.534,31.7824,,,0,-0.34,-5.5441,0.7536952221,1.38690286,-1.4581
2022-03-14,124.7799988,125.8899994,123.1800003,117.9774704,1471400,122.1594318,,,-0.2544937862,,,TRUE,TRUE,0,,-12.29024957,38.7196,36.719,-6.534263734,-2.2031,-0.7163,,,,-35.29001982,-5.136660556,6.02,245.11,,1.363781611,0.5653236048,3.1683,,-14.89,0.8233128354,-31657300,1.855184826,-453842819.6,-4.5704,32.0229,,,0,-0.33,-5.3113,0.7518800468,1.363781611,-1.7062
2022-03-15,124.1200027,126.4300003,123.9899979,120.5270309,1548000,122.0013962,126.645248,,-0.2651412118,0.2979888187,,FALSE,TRUE,126.645248,,6.02130317,38.8162,43.4432,1.646956258,-2.0801,-0.4747,,,,-9.819889926,-2.555397237,5.97,244.92,,1.360360207,0.532578784,3.0586,,-14.89,0.8714327131,-30109300,-12.22997108,-459784809.3,-4.4861,37.5523,,,0,-0.25,-3.8329,0.7297799559,1.360360207,-0.602
2022-03-16,127.4800034,128.9799957,125.6200027,123.1338959,2189200,121.863414,126.3354793,,-0.2735191328,0.583085961,,FALSE,TRUE,126.3354793,,7.328025846,37.6004,49.3676,10.697903,-1.752,-0.1173,,,,-0.5528106621,-2.192045412,5.86,229.11,,1.388633818,0.5523746351,2.988,,-14.89,1.19748491,-27920100,89.77115118,-465213650.1,-4.1997,46.751,,,0,-0.23,-3.5059,0.743219103,1.388633818,0.5545
2022-03-17,128.4299927,130.7799988,128.4299927,124.8431778,1151400,121.798481,126.0631433,,-0.2775677123,0.8554092536,,FALSE,TRUE,126.0631433,,2.413904637,35.6864,52.8547,16.13578801,-1.3387,0.2368,,,,19.94216666,-1.029523827,5.71,217.91,,1.382259592,0.5569697466,3.0749,,-14.89,0.6280392184,-26768700,9.845449342,-469879814.3,-4.1467,45.79,,,0,-0.23,-3.5386,0.7463040577,1.382259592,1.3972
2022-03-18,130.25,132.7899933,130.25,126.7243423,988200,121.9674999,125.8950822,,-0.27495032,1.115230204,,TRUE,TRUE,125.8950822,,10.48546259,33.1404,56.4127,12.96946337,-0.8495,0.5808,,,,36.88183798,2.740611396,5.73,242.27,,1.395878873,0.551365951,4.2777,,-14.89,0.5411058666,-25780500,-12.50996016,-473611371.8,-4.0886,44.4955,,,0,-0.19,-2.9049,0.7425402016,1.395878873,1.9634
2022-03-21,132.6300049,133.2899933,131.1799927,126.4473648,867700,122.1613426,125.7189984,,-0.2648237398,1.362546075,,TRUE,TRUE,125.7189984,,16.66650516,30.9588,55.7456,6.378053194,-0.4787,0.7613,,,,32.31816786,3.162958134,5.74,262.05,,1.355093905,0.534640951,4.1788,,-14.89,0.4849707687,-26648200,-46.08214752,-478371488.9,-4.0053,49.5487,,,0,-0.20,-3.0222,0.7311914599,1.355093905,1.6355
2022-03-22,132.8600006,134.1000061,132.8600006,127.7269363,819000,122.49842,125.5939067,,-0.2475534138,1.597493759,,TRUE,TRUE,125.5939067,,12.95447125,29.2299,58.2045,5.349749077,-0.0806,0.9275,,,,41.63858627,5.572198963,5.63,288.19,,1.365887134,0.5364299231,4.7877,,-14.89,0.4685770191,-25829200,-50.233943,-485971071.2,-4.1282,46.5355,,,0,-0.18,-2.5905,0.7324137649,1.365887134,1.8143
2022-03-23,133.1300049,133.2100067,131.8200073,125.9030914,1068100,122.8426594,125.44437,,-0.2240522333,1.820027753,,TRUE,TRUE,125.44437,,6.924493702,27.1996,53.6305,-2.782233554,0.0867,0.8758,,,,24.93671868,5.784646852,5.63,285.54,,1.352339049,0.5433010619,4.7457,,-14.89,0.618835042,-26897300,-29.04404438,-496132495.8,-4.2987,40.4421,,,0,-0.15,-2.2552,0.7370895888,1.352339049,1.0718
