Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,21.82999992,21.87000084,21.79000092,19.59633064,39000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-2177830.556,,,,,100,0,0,,,
2022-01-05,21.84000015,21.86000061,21.75,19.56038284,19400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.1834414837,,-19400,,-2969563.958,,,,,100.5893711,0,0,,,
2022-01-06,21.65999985,21.65999985,21.60000038,19.43459511,9400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.8253358122,,-28800,,-3657463.65,,,,,99.72631275,0,0,,,
2022-01-07,21.55999947,21.55999947,21.54999924,19.36271477,3900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.192140914,,-32700,,-5367406.488,,,,,99.20418928,0,0,,,
2022-01-10,21.46999931,21.55999947,21.46999931,19.37169838,13500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.192140914,,-19200,,-6010395.701,,,,,99.21960604,0,0,,,
2022-01-11,21.52000046,21.56999969,21.52000046,19.38068008,9800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.192140914,,-9400,,-6858822.084,,,,,98.3554576,0,0,,,
2022-01-12,21.57999992,21.57999992,21.52000046,19.34474373,9100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.283847056,,-18500,,-7527755.832,,,,,97.6656703,0,0,,,
2022-01-13,21.53000069,21.57999992,21.52000046,19.37169838,7600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.283847056,,-10900,,-8079597.202,,,,,98.21983138,0,0,,,
2022-01-14,21.48999977,21.5,21.45000076,19.28184509,3900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.604818553,,-14800,,-8421734.648,,,,,97.37771818,0,0,,,
2022-01-17,21.42000008,21.42000008,21.37999916,19.21895027,1100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.925770584,,-15900,,-8541689.616,,,,,96.26954502,0,0,,,
2022-01-18,21.32999992,21.32999992,21.25,19.10215569,7600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.521772909,,-23500,,-8957380.425,,,,,96.82362105,0,0,,,
2022-01-19,21.29000092,21.29999924,21.27000046,19.12012291,9000,,,,,,,TRUE,TRUE,0,,,0,,0,19.34549316,15.47639453,,,,,,0,0,,,,,,-2.521772909,,-14500,,-10256359.44,,,,,97.39033816,0,0,,,
2022-01-20,21.32999992,21.32999992,21.28000069,19.16503906,6600,,,,,,,TRUE,TRUE,0,,,0,,0,19.31773099,12.35890589,,,,,,0,0,,,,,,-2.521772909,,-7900,,-10821317.83,,,,,98.25203513,0,0,,,
2022-01-21,21.40999985,21.43000031,21.36000061,19.24591255,41300,,,,,,,TRUE,TRUE,0,,,4.247088822,,0,19.306682,9.878285517,,,,-323.2394734,,18.64553323,0,,,,1.563271938,,-2.521772909,,33400,,-13357252.62,,,,,100.814276,0,0,,,
2022-01-24,21.39999962,21.44000053,21.34000015,19.17403221,18300,,,,,,,TRUE,TRUE,0,,-52.81026982,8.272716111,23.59486509,23.59486509,19.28627434,7.886302286,,,,-340.3222478,,11.38561075,0,,,,1.501300445,,-2.521772909,,15100,,-14168293.86,,46.14488057,,,100.6600243,0,0,,,
