Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,32.97000122,32.97999954,32.52999878,29.03731728,3473400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-57390997.18,,,,,100,0,0,,,
2022-01-05,32.59999847,32.66999817,32.27999878,28.81422806,3910700,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.7682845354,,-3910700,,-130807393.4,,,,,100,0,0,,,
2022-01-06,32.29999924,32.47999954,32.16999817,28.87669373,4157200,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.7682845354,,246500,,-223292752,,,,,100,0,0,,,
2022-01-07,32.36000061,32.45000076,32.20000076,28.92131042,2716100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,2962600,,-297250858.7,,,,,100,0,0,,,
2022-01-10,32.29999924,32.43000031,31.97999954,28.930233,2692500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,5655100,,-336438836.4,,,,,100,0,0,,,
2022-01-11,32.36999893,32.72000122,32.31000137,29.19794464,2874500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,8529600,,-382950460.3,,,,,100,0,0,,,
2022-01-12,32.79000092,32.97000122,32.72000122,29.34963989,2223600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,10753200,,-445128743.9,,,,,100,0,0,,,
2022-01-13,32.90999985,32.99000168,32.68999863,29.22471237,2250000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,8503200,,-499357509,,,,,100,0,0,,,
2022-01-14,32.54999924,32.90000153,32.54999924,29.34071732,2781000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,11284200,,-553138249.9,,,,,100,0,0,,,
2022-01-17,32.93999863,33.18000031,32.91999817,29.5816555,1325500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7682845354,,12609700,,-588501725.6,,,,,100,0,0,,,
2022-01-18,32.90999985,32.90999985,32.61999893,29.23363304,4533000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.176480677,,8076700,,-698899195.4,,,,,100,0,0,,,
2022-01-19,32.79999924,32.84999847,32.52999878,29.09085846,5967500,,,,,,,TRUE,TRUE,0,,,0,,0,29.13324531,23.30659625,,,,,,0,0,,,,,,-1.659126356,,2109200,,-833136004.4,,,,,100,0,0,,,
2022-01-20,32.68000031,32.83000183,32.34999847,28.90346336,4127500,,,,,,,TRUE,TRUE,0,,,0,,0,29.09789424,18.61699614,,,,,,0,0,,,,,,-2.292610495,,-2018300,,-896536313.5,,,,,100,0,0,,,
2022-01-21,32.24000168,32.24000168,31.56999969,28.28773689,8513900,,,,,,,TRUE,TRUE,0,,,3.131119678,,0,28.97325465,14.79388524,,,,-203.8671775,,20.22522019,0,,,,2.045380611,,-4.374057461,,-10532200,,-988467450.9,,,,,100,0,0,,,
2022-01-24,31.27000046,31.65999985,30.64999962,28.22527313,15680800,,,,,,,TRUE,TRUE,0,,-31.27150745,7.054936407,34.36424628,34.36424628,28.85818057,11.74304893,,,,-95.83896554,,12.77726784,0,,,,2.333120125,,-4.585214542,,-26213000,,-1079438632,,14.54962485,,,100,0,0,,,
2022-01-25,31.29999924,31.93000031,30.97999954,28.2788105,7497200,,,,,,,TRUE,TRUE,0,,-22.05904194,9.861479702,35.78990057,35.78990057,28.76904671,9.323132058,,,,-93.72286458,,12.77127589,0,,,,2.519571021,,-4.585214542,,-18715800,,-1129570228,,24.75106899,,,100,0,0,,,
2022-01-26,31.94000053,32.20999908,31.54999924,28.29665947,10550200,,,,,,,TRUE,TRUE,0,,-24.34474019,11.66826526,36.28677214,36.28677214,28.69637175,7.400365678,,,,-93.01737195,,12.83021862,0,,,,2.700073672,,-4.585214542,,-8165600,,-1244130711,,36.85693034,,,100,0,0,,,
2022-01-27,32.02000046,32.11999893,31.60000038,28.25204086,6082600,,,,,,,TRUE,TRUE,0,,-28.09003156,13.3459947,35.54627654,1.182030266,28.62801315,5.865605664,,,,-94.78095275,,12.91369622,0,,,,2.894391997,,-4.585214542,,-14248200,,-1328537754,,31.71954736,,,100,0,0,,,
2022-01-28,31.62000084,31.92000008,31.43000031,28.48405457,5210000,,,,,,,TRUE,TRUE,0,,-17.12331073,15.14051971,42.15643003,6.366529459,28.60586568,4.674766551,,,,-85.61045317,,12.84844861,0,,,,3.002414527,,-4.585214542,,-9038200,,-1396394221,,30.74122894,,,100,0,0,,,
2022-01-31,31.84000015,32.47999954,31.82999992,28.94808197,5622800,28.86375322,,,0.4123393318,,,TRUE,TRUE,0,,-8.917315384,15.28930019,52.62184308,16.33507094,28.65851434,3.781932169,,,,-67.26945401,,12.6933661,42.17794948,,,,3.036769728,,-4.585214542,,-3415400,,-1451876891,-14.20762199,33.0460777,,,100,0,0,,,
2022-02-01,32.52000046,32.79000092,32.41999817,29.24255943,3199800,28.87401533,,,0.7814211249,,,TRUE,TRUE,0,,-3.636284734,14.72574538,57.83548831,22.28921177,28.74836743,3.097428208,,,,-55.63003176,0.7068220354,12.58260653,42.86652693,,,,3.044977587,,-4.585214542,0.6279264181,-215600,-7.877008119,-1510033951,-14.25327969,33.83557608,,,100,0,0,,,0.8597479855
2022-02-02,32.86000061,32.97000122,32.77000046,29.35856438,4279400,28.90123215,,,1.107472158,,,TRUE,TRUE,0,,4.55921878,13.82045076,59.7161199,17.55968987,28.84224388,2.553043729,,,,-51.04485736,1.88912338,12.55407501,44.17502573,,,,3.034553562,,-4.585214542,0.8367592152,4063800,9.427979646,-1660301790,-14.95324731,38.15737676,,,100,0,0,,,1.035273261
