Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,77.86000061,78.51000214,77.80000305,75.25404358,11984800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-97936502.63,,,,,,0,0,,,
2022-01-04,78.52999878,78.73000336,77.62000275,75.09049988,11729100,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.2173221443,,-11729100,,-163122856.3,,,,,0,0,0,,,
2022-01-05,78.05999756,78.44000244,76.06999969,73.2048111,19325400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-2.72308621,,-31054500,,-229174713.3,,,,,0,0,0,,,
2022-01-06,76.12999725,77.37999725,75.88999939,73.53192902,14641300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.72308621,,-16413200,,-290158651.2,,,,,0,0,0,,,
2022-01-07,76.43000031,76.95999908,76.15000153,73.54154205,7882800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.72308621,,-8530400,,-348811886.6,,,,,0,0,0,,,
2022-01-10,75.70999908,75.98000336,74.23000336,73.0797348,9446100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.889291623,,-17976500,,-370675760.1,,,,,0,0,0,,,
2022-01-11,75.88999939,76.91999817,75.48999786,73.99371338,6813400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.889291623,,-11163100,,-391747597.2,,,,,0,0,0,,,
2022-01-12,77.19000244,77.44000244,76.62999725,74.0899353,5666800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.889291623,,-5496300,,-432954967.2,,,,,0,0,0,,,
2022-01-13,77.19999695,77.37000275,76.07499695,73.32027435,6354100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.889291623,,-11850400,,-466341815.4,,,,,0,0,0,,,
2022-01-14,75.54000092,76.62000275,75.53500366,73.65699005,6608600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.889291623,,-5241800,,-495827929.2,,,,,0,0,0,,,
2022-01-18,76.5,76.62000275,75.47499847,72.76223755,5903000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.311192212,,-11144800,,-529701877.7,,,,,0,0,0,,,
2022-01-19,75.84999847,76.66899872,75.4509964,72.63717651,6647000,,,,,,,TRUE,TRUE,0,,,0,,0,73.68024063,58.9441925,,,,,,0,0,,,,,,-3.477377349,,-17791800,,-567060577.4,,,,,0,0,0,,,
2022-01-20,75.94000244,76.83000183,74.66500092,71.9156189,7335300,,,,,,,TRUE,TRUE,0,,,0,,0,73.40876036,46.93816979,,,,,,0,0,,,,,,-4.43620638,,-25127100,,-593026393.3,,,,,0,0,0,,,
2022-01-21,73.77999878,74.19499969,72.19000244,69.48156738,14330900,,,,,,,TRUE,TRUE,0,,,4.621165395,,0,72.80457683,37.067189,,,,-41.4133743,,12.60205865,0,,,,3.208308032,,-7.670652528,,-39458000,,-646074864.5,,,,,0,0,0,,,
2022-01-24,71.09999847,72.83999634,69.48000336,69.99147034,18812500,,,,,,,TRUE,TRUE,0,,-54.53628315,9.491119314,22.73185843,22.73185843,72.37179121,29.30752271,,,,5.529372757,,4.840947136,0,,,,3.537765797,,-7.670652528,,-20645500,,-659159987.9,,8.959466736,,,0,0,0,,,
2022-01-25,71.54000092,72.22000122,70.62000275,68.55796051,9180300,,,,,,,TRUE,TRUE,0,,-59.82376355,14.01321938,19.59672369,19.59672369,71.78504803,22.97662362,,,,-10.29065782,,4.812202682,0,,,,3.235353061,,-8.897971126,,-29825800,,-692003018.4,,9.184043301,,,0,0,0,,,
2022-01-26,72.34999847,72.34999847,69.51000214,67.55741119,12982900,,,,,,,TRUE,TRUE,0,,-56.27983291,18.40334003,17.75599881,17.75599881,71.13464236,17.86097436,,,,-24.15317066,,4.930262464,0,,,,3.9897883,,-10.22753332,,-42808700,,-722838260.4,,9.713152526,,,0,0,0,,,
2022-01-27,70.72000122,71.75,70.18000031,67.63436127,9541500,,,,,,,TRUE,TRUE,0,,-60.27562825,22.47988063,18.39088996,-4.340968461,70.59613758,13.85797566,,,,-23.18646108,,4.926491017,0,,,,4.615267076,,-10.22753332,,-33267200,,-763321441.4,,17.34778443,,,0,0,0,,,
2022-01-28,70.47000122,72.33000183,70.19999695,69.56816101,6249500,,,,,,,TRUE,TRUE,0,,-33.93581245,25.56039997,32.49425978,12.89753609,70.43798734,10.95986034,,,,1.107508341,,4.919695206,0,,,,4.89102309,,-10.22753332,,-27017700,,-773278593.7,,22.47544182,,,0,0,0,,,
2022-01-31,72.30000305,74,71.81999969,71.14595795,6105900,72.00076981,,,1.028582426,,,TRUE,TRUE,0,,-15.07875978,26.66449445,41.39352493,23.63752612,70.54690589,8.855023115,,,,20.92908017,,5.010721207,239.4830743,,,,4.9917022,,-10.22753332,,-20911800,,-783160301.9,-3.964541584,28.11312362,,,0,0,0,,,
2022-02-01,74,74.69000244,73.37999725,71.7616806,6284100,71.82615166,,,1.946398472,,,TRUE,TRUE,0,,-17.81883873,27.06548794,44.47004313,26.07915317,70.73379431,7.233529225,,,,28.66429031,-4.640764549,4.938244313,226.9159535,,,,5.061743975,,-10.22753332,0.6551379922,-14627700,-47.56608371,-804970544.4,-3.685530646,27.67542831,,,0,0,0,,,-0.02841186486
2022-02-02,76.56999969,76.56999969,75.26000214,73.19519806,5357300,71.73138657,,,2.754851481,,,TRUE,TRUE,0,,-6.453883419,25.9840663,50.92872331,18.43446353,71.11247181,6.08976538,,,,47.08738897,-2.524023441,4.974445138,216.2738581,,,,4.620592372,,-10.22753332,0.5777039468,-9270400,-54.32471375,-827216081.8,-3.580621558,27.43575874,,,0,0,0,,,0.6768323761
2022-02-03,71.69999695,72.48999786,70.84999847,68.29819489,9281100,71.48605576,,,3.451933018,,,TRUE,TRUE,0,,-27.91456858,26.74072474,35.66720839,-5.726316544,70.67950613,4.52543976,,,,-16.07903016,-6.702587081,5.233342845,226.2781316,,,,5.01155667,,-10.22753332,1.058131024,-18551500,-51.97460337,-865379563.7,-3.626661116,26.90200208,,,0,0,0,,,-1.408824109
2022-02-04,70.72000122,71.75499725,69.98000336,68.47136688,6675800,71.23302765,,,4.037902038,,,TRUE,TRUE,0,,-29.08802542,27.6976031,36.3930988,-8.076944334,70.3397924,3.348580824,,,,-13.72294808,-6.882128895,5.236492899,230.4522939,,,,4.845542668,,-10.22753332,0.7973060853,-11875700,-54.40432202,-883403408.8,-3.542629012,26.99130757,,,0,0,0,,,-1.198365493
2022-02-07,71.34999847,71.40000153,69.75499725,67.27838898,4843500,70.91987,,,4.512280044,,,TRUE,TRUE,0,,-30.25476112,28.65194862,33.58194907,-17.34677423,69.86880726,2.302076545,,,,-29.95394336,-8.516483203,5.325696326,239.7962594,,,,5.302995898,,-10.59830704,0.5891633358,-16719200,-38.55609682,-902831007.3,-3.369544268,27.31505962,,,0,0,0,,,-1.518572903
