Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,37.93000031,37.93000031,37.56999969,36.16053772,174600,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-1541775.798,,,,,100,0,0,,,
2022-01-05,37.70000076,37.73500061,37.15499878,35.61889267,201000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.497889921,,-201000,,-2807452.878,,,,,99.26474577,0,0,,,
2022-01-06,37.125,37.20500183,36.97000122,35.48468399,196200,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.869036723,,-397200,,-5483810.186,,,,,98.67680637,0,0,,,
2022-01-07,36.95500183,36.97999954,36.59000015,35.10122299,132600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.929477255,,-529800,,-6628780.24,,,,,97.45988428,0,0,,,
2022-01-10,36.41999817,36.66500092,36,35.14915466,332000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.929477255,,-197800,,-7810344.94,,,,,97.56286905,0,0,,,
2022-01-11,36.54499817,36.70999908,36.29499817,35.19229507,216800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.929477255,,19000,,-9179267.849,,,,,96.78697566,0,0,,,
2022-01-12,36.68999863,36.78499985,36.47000122,35.10122299,225000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.929477255,,-206000,,-11359673.84,,,,,96.03755199,0,0,,,
2022-01-13,36.55500031,36.57500076,36.04999924,34.58834457,128400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.34781462,,-334400,,-12203029.7,,,,,95.03884314,0,0,,,
2022-01-14,35.89500046,36.25500107,35.86999893,34.74651718,141000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.34781462,,-193400,,-13166939.04,,,,,95.09598088,0,0,,,
2022-01-17,36.24499893,36.40000153,36.21500015,34.75131607,21600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.34781462,,-171800,,-13530326.52,,,,,94.33446511,0,0,,,
