Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,12.32999992,12.48666668,12.32999992,11.39561367,27600,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-356821.8631,,,,,100,0,0,,,
2022-01-05,12.48666668,12.49333286,12.40333271,11.31956005,20400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.6673938024,,-20400,,-868531.3023,,,,,100.1016719,0,0,,,
2022-01-06,12.34666729,12.35000038,12.32999992,11.25263309,8400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.25469834,,-28800,,-1781898.726,,,,,99.29456194,0,0,,,
2022-01-07,12.33666706,12.33666706,12.26000023,11.20700359,8400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.655111189,,-37200,,-2021041.839,,,,,98.73936198,0,0,,,
2022-01-10,12.24666691,12.24666691,12.18000031,11.17658138,5700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-42900,,-2198326.638,,,,,98.4409567,0,0,,,
2022-01-11,12.23666668,12.30333328,12.23666668,11.22829819,4800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-38100,,-2348331.839,,,,,97.98970024,0,0,,,
2022-01-12,12.32666683,12.32666683,12.28999996,11.2161293,7200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-45300,,-2777267.794,,,,,97.37758568,0,0,,,
2022-01-13,12.32333279,12.32333279,12.28999996,11.2161293,5400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-45300,,-3130607.197,,,,,97.79384779,0,0,,,
2022-01-14,12.21333313,12.24666691,12.20666695,11.17658138,62100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-107400,,-6391125.922,,,,,97.06374195,0,0,,,
2022-01-17,12.27000046,12.28666687,12.26666737,11.19483566,10200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.922075405,,-97200,,-7494621.368,,,,,96.43041147,0,0,,,
2022-01-18,12.16333294,12.16333294,12.08333302,11.02752113,33300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.230124744,,-130500,,-8406885.598,,,,,96.12002609,0,0,,,
2022-01-19,12.11666679,12.11666679,12.0666666,11.01231098,3300,,,,,,,TRUE,TRUE,0,,,0,,0,11.20193315,8.961546516,,,,,,0,0,,,,,,-3.363598483,,-133800,,-8549360.01,,,,,96.45854402,0,0,,,
2022-01-20,12.09333324,12.12666702,12,10.95147038,21300,,,,,,,TRUE,TRUE,0,,,0,,0,11.16340041,7.138411026,,,,,,0,0,,,,,,-3.89749344,,-155100,,-8923296.087,,,,,96.54756383,0,0,,,
2022-01-21,11.96666718,11.96666718,11.91666698,10.87541771,36300,,,,,,,TRUE,TRUE,0,,,4.832833335,,0,11.11909538,5.675284796,,,,-180.563705,,17.33835957,0,,,,2.392627549,,-4.564878874,,-191400,,-10471484.27,,,,,97.96400122,0,0,,,
2022-01-24,11.85000038,11.87666702,11.72000027,10.83891296,36000,,,,,,,TRUE,TRUE,0,,-79.91192129,9.812111507,10.04403935,10.04403935,11.07599039,4.505743847,,,,-113.9338117,,9.827849676,0,,,,2.17265658,,-4.885219196,,-227400,,-10912409.27,,16.51344291,,,97.85124328,0,0,,,
2022-01-25,11.84000015,11.90999985,11.8166666,10.82674408,6300,,,,,,,TRUE,TRUE,0,,-77.88378209,13.9695133,9.858583829,9.858583829,11.03764481,3.573918608,,,,-141.7866707,,9.821325386,0,,,,2.007224617,,-4.992004882,,-233700,,-11052348.93,,11.54859515,,,97.55634163,0,0,,,
2022-01-26,11.93000031,11.96666718,11.81999969,10.80544949,30300,,,,,,,TRUE,TRUE,0,,-76.16487397,17.06097089,9.527075635,9.527075635,11.00192245,2.830557001,,,,-148.3055015,,9.913053258,0,,,,2.111597635,,-5.178871464,,-264000,,-11501840.31,,21.66452223,,,97.30304726,0,0,,,
2022-01-27,11.90999985,11.94666672,11.85000038,10.82978535,184800,,,,,,,TRUE,TRUE,0,,-66.66610485,19.93161008,13.12249153,3.078452179,10.97543982,2.243259496,,,,-146.7387477,,9.928493011,0,,,,2.314311928,,-5.178871464,,-79200,,-15587393.06,,54.19897842,,,97.67620898,0,0,,,
2022-01-28,11.85666656,11.92333317,11.85666656,10.88149834,8400,,,,,,,TRUE,TRUE,0,,-50.25915994,22.59720361,20.36474152,10.50615769,10.96098728,1.783045568,,,,-138.2146271,,9.916680049,0,,,,2.454034641,,-5.178871464,,-70800,,-15841535.69,,55.74935749,,,97.34320997,0,0,,,
2022-01-31,11.97333336,12.06000042,11.97333336,11.00622463,15600,11.07193503,,,0.1581705005,,,TRUE,TRUE,0,,-33.64075938,23.25520634,34.53877197,25.01169634,10.96794687,1.432004128,,,,-117.6553441,,9.837885855,18.68481399,,,,2.421981346,,-5.178871464,,-55200,,-16205293.25,-30.24504153,56.78172726,,,96.88071849,0,0,,,
2022-02-01,12.07999992,12.08333302,12.04333305,11.02752113,36300,11.05353041,,,0.2994285514,,,TRUE,TRUE,0,,-28.18159796,23.59424612,36.61330796,23.49081643,10.97711215,1.152935519,,,,-114.7757018,-3.230124744,9.805115883,17.07202157,,,,2.463325593,,-5.178871464,1.333333333,-18900,31.52173913,-18085293.64,-32.55917682,59.35655211,,,96.09068512,0,0,,,-0.152350285
2022-02-02,12.15666676,12.17000008,12.15666676,11.09748745,14700,11.04242678,,,0.4239061287,,,TRUE,TRUE,0,,-16.04946235,22.96203284,43.00398342,22.6392419,10.99563142,0.9371638373,,,,-109.8552154,-1.961848343,9.7660025,15.9350175,,,,2.316083201,,-5.178871464,0.5456570156,-4200,-27.94117647,-20435486.24,-36.31580352,61.23118996,,,96.31825814,0,0,,,0.3455325528
2022-02-03,12.05333328,12.05333328,12.02000046,10.9697237,8700,11.02828131,,,0.5315764749,,,TRUE,TRUE,0,,-24.99965423,23.28593947,35.88846048,1.349688514,10.99164562,0.7465424272,,,,-132.4017617,-2.514161716,9.831111562,15.21000782,,,,2.377218221,,-5.178871464,0.3227601558,-12900,3.571428571,-20992439.07,-35.63446549,68.76351753,,,96.49994288,0,0,,,-0.3849939226
2022-02-04,12.02000046,12.10000038,12.02000046,11.03360462,10200,11.01961136,,,0.622539083,,,TRUE,TRUE,0,,-18.46716309,23.11186871,41.13312067,4.519812713,10.99810085,0.6023981266,,,,-152.5324302,-1.547237583,9.787263911,14.62041766,,,,1.633710253,,-5.178871464,0.3771491958,-2700,21.42857143,-21254170.25,-35.55764173,68.75129763,,,96.17305206,0,0,,,0.09571042064
2022-02-07,12.06999969,12.06999969,12.01666737,10.9697237,13500,11.00926847,,,0.6967830914,,,TRUE,TRUE,0,,-7.509717839,22.97281496,37.80277359,-5.201209831,10.99373514,0.4784259291,,,,-166.7281963,-1.850813538,9.888470078,14.17646769,,,,1.653871959,,-5.178871464,0.4920721706,-16200,136.8421053,-21797695.46,-35.7196443,72.00922394,,,95.85030742,0,0,,,-0.2789465892
2022-02-08,12.02666664,12.07666683,12.02666664,11.02143669,4200,10.9989254,,,0.7543240507,,,TRUE,TRUE,0,,1.132028151,22.76985805,41.90350157,6.015041082,-0.06193377799,-8.461794388,,,,-155.236416,-1.842322786,9.85360733,13.21645138,,,,1.651290086,,-5.178871464,0.153256705,-12000,-12.5,-21970773.45,-35.8008422,72.85150323,,,95.68727916,0,0,,,0.1703278048
2022-02-09,12.17000008,12.17000008,12.15666676,11.10661602,9900,10.99344974,,,0.7952470488,,,TRUE,TRUE,0,,18.68151554,21.60353105,47.98659489,6.853474217,-0.04868131867,-6.758833543,,,,-136.3076682,-0.9763910509,9.800036964,12.47527643,,,,1.68088853,,-5.178871464,0.3594771242,-2100,37.5,-23540000.28,-37.69559275,77.281827,,,95.49766306,0,0,,,0.9071244652
2022-02-10,12.08666706,12.17333317,12.07666683,11.02143669,18300,10.98371511,,,0.8194994774,,,TRUE,TRUE,0,,17.39142287,21.15658619,43.12389784,5.321124251,-0.04453849709,-5.403752577,,,,-154.0950534,-1.735827097,9.909166389,11.35558316,,,,1.599339363,,-5.178871464,0.6492815327,-20400,238.8888889,-23957833.61,-36.94735926,80.7281645,,,95.08019357,0,0,,,0.3321853726
2022-02-11,12.07666683,12.07666683,11.99666691,10.96667957,20700,10.97322001,,,0.8270851113,,,TRUE,TRUE,0,,14.89371636,21.30374376,40.29693349,-1.606568075,-0.04515322469,-4.323493844,,,,-238.3141885,-1.878050206,9.993802284,10.40985062,,,,1.502100767,,-5.178871464,0.7926479035,-41100,-66.66666667,-24511552.56,-34.69352219,83.84895187,,,94.57923587,0,0,,,-0.06282935033
