Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,16.61000061,16.61000061,16.56999969,14.36522484,12600,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-1401576.368,,,,,100,0,0,,,
2022-01-05,16.56999969,16.57999992,16.53000069,14.33058357,15400,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.2411467016,,-15400,,-2771837.984,,,,,100.5312191,0,0,,,
2022-01-06,16.52000046,16.52000046,16.45999908,14.26131821,7600,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.7233206068,,-23000,,-3336424.392,,,,,99.82889541,0,0,,,
2022-01-07,16.45999908,16.46999931,16.44000053,14.26131821,5600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7233206068,,-23000,,-4155432.225,,,,,99.67489008,0,0,,,
2022-01-10,16.45000076,16.45999908,16.44000053,14.25265408,1800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7836338373,,-24800,,-4550983.126,,,,,99.58361217,0,0,,,
2022-01-11,16.43000031,16.46999931,16.43000031,14.25265408,7600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.7836338373,,-24800,,-5385995.209,,,,,98.67054475,0,0,,,
2022-01-12,16.45000076,16.45000076,16.42000008,14.2180233,8900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.024707512,,-33700,,-6701371.527,,,,,97.92205223,0,0,,,
2022-01-13,16.43000031,16.45999908,16.43000031,14.24399662,2600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.024707512,,-31100,,-7082894.251,,,,,98.52028932,0,0,,,
2022-01-14,16.42000008,16.42000008,16.39999962,14.20070076,3800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.145294141,,-34900,,-7922408.689,,,,,97.83249085,0,0,,,
2022-01-17,16.36000061,16.37000084,16.36000061,14.16607189,400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.386354538,,-35300,,-8098318.97,,,,,96.79903516,0,0,,,
2022-01-18,16.32999992,16.32999992,16.26000023,14.08813953,7800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.92886159,,-43100,,-8590135.749,,,,,97.41255073,0,0,,,
2022-01-19,16.28000069,16.29000092,16.27000046,14.0968008,2300,,,,,,,TRUE,TRUE,0,,,0,,0,14.22812382,11.38249906,,,,,,0,0,,,,,,-1.92886159,,-40800,,-9092260.229,,,,,97.95082265,0,0,,,
2022-01-20,16.29000092,16.29000092,16.27000046,14.08813953,5300,,,,,,,TRUE,TRUE,0,,,0,,0,14.20658778,9.088770412,,,,,,0,0,,,,,,-1.92886159,,-46100,,-10253920.05,,,,,98.52531255,0,0,,,
2022-01-21,16.30999947,16.32999992,16.30999947,14.14009285,5100,,,,,,,TRUE,TRUE,0,,,5.158818463,,0,14.19635779,7.262832338,,,,-605.6871625,,22.84505898,0,,,,1.216471881,,-1.92886159,,-41000,,-11365647.1,,,,,101.0411125,0,0,,,
2022-01-24,16.36000061,16.36000061,16.30999947,14.12277222,4100,,,,,,,TRUE,TRUE,0,,-58.33398345,8.936041172,20.83300827,20.83300827,14.18503693,5.801209184,,,,-667.8843907,,15.59501734,0,,,,1.083493685,,-1.92886159,,-45100,,-11728444.16,,16.62196475,,,101.1406787,0,0,,,
2022-01-25,16.29999924,16.30999947,16.28000069,14.0968008,8300,,,,,,,TRUE,TRUE,0,,-57.44632985,12.68761119,19.51946916,19.51946916,14.17146214,4.630107516,,,,-831.9990463,,15.60979051,0,,,,0.7567810707,,-1.92886159,,-53400,,-12944830.58,,18.53326151,,,100.7635564,0,0,,,
2022-01-26,16.28000069,16.31999969,16.25,14.0708189,2800,,,,,,,TRUE,TRUE,0,,-52.38172659,16.39325794,18.27788268,18.27788268,14.15597857,3.691699152,,,,-990.5399547,,15.65576311,0,,,,0.8367601002,,-2.049434941,,-56200,,-13121965.83,,20.06986066,,,100.514396,0,0,,,
2022-01-27,16.26000023,16.27000046,16.22999954,14.09339905,7300,,,,,,,TRUE,TRUE,0,,-43.47362339,19.97275303,22.869599,2.036590723,14.14635095,2.945657227,,,,-890.251055,,15.62586519,0,,,,0.8430876886,,-2.049434941,,-48900,,-13909107.16,,19.53131247,,,100.8346942,0,0,,,
2022-01-28,16.20000076,16.26000023,16.20000076,14.08471394,7400,,,,,,,TRUE,TRUE,0,,-43.47669366,23.49091468,22.3494408,2.829971639,14.13686833,2.348939688,,,,-783.4437718,,15.61923187,0,,,,0.8999827485,,-2.049434941,,-56300,,-14438282.56,,17.89112637,,,99.95172273,0,0,,,
2022-01-31,16.23999977,16.23999977,16.15999985,14.03261375,6200,14.17334185,,,0.2024763121,,,TRUE,TRUE,0,,-50.19437815,26.98740009,19.48623061,1.208347932,14.12082917,1.866320418,,,,-709.1305011,,15.64563347,9.510500997,,,,0.9358106907,,-2.315390728,,-62500,,-14774227.71,-120.213407,16.36670024,,,97.98573167,0,0,,,
2022-02-01,16.19000053,16.21999931,16.19000053,14.06734753,5000,14.15844798,,,0.3834265587,,,TRUE,TRUE,0,,-34.36324843,30.23413654,26.26795661,3.398357612,14.11260122,1.486473978,,,,-697.5525476,-2.073600066,15.60194486,8.63997637,,,,0.9915767717,,-2.315390728,0.8673026886,-57500,-60.31746032,-15486807.51,-122.1615884,24.60431932,,,97.2390926,0,0,,,-1.05440629
2022-02-02,16.19000053,16.27000046,16.19000053,14.1107626,4300,14.14745693,,,0.542928891,,,TRUE,TRUE,0,,-29.2230394,31.62893999,33.77649607,11.42705527,14.11231836,1.18895289,,,,-788.1674797,-1.533928993,15.53403662,7.67979698,,,,0.7381701119,,-2.315390728,0.8253358925,-53200,-72.07792208,-15714625.8,-124.2110155,26.39614158,,,97.15378669,0,0,,,-0.4778034632
2022-02-03,16.21999931,16.21999931,16.18000031,14.06734753,3600,14.1377584,,,0.6810183016,,,TRUE,TRUE,0,,-29.24154055,33.0229698,30.43835242,10.95212181,14.10539977,0.945627441,,,,-996.4963988,-1.360117469,15.54807666,7.38535289,,,,0.5520782032,,-2.315390728,0.7185628743,-56800,-52.63157895,-16098512.73,-127.3661511,26.48846498,,,98.16775826,0,0,,,-0.9533853366
2022-02-04,16.13999939,16.13999939,16.12000084,13.9978838,5900,14.12458668,,,0.7976597577,,,TRUE,TRUE,0,,-34.26290022,34.84471138,26.00920804,-0.2587485665,14.08885885,0.743269218,,,,-884.2162776,-1.847195373,15.57591536,7.414797588,,,,0.473324245,,-2.557154835,1.174129353,-62700,5.357142857,-17356552.54,-131.354431,24.57174235,,,96.78847673,0,0,,,-1.708784081
2022-02-07,16.14999962,16.14999962,16.12000084,13.9978838,3300,14.11184816,,,0.892879255,,,TRUE,TRUE,0,,-21.85671198,36.23732977,26.00920804,-7.767288031,14.07486269,0.5834184449,,,,-884.2162776,-1.787528678,15.56988781,7.286161759,,,,0.5353882667,,-2.557154835,0.6470588235,-62700,83.33333333,-17826737.29,-130.1544525,30.77069246,,,97.02541183,0,0,,,-1.564120736
2022-02-08,16.10000038,16.11000061,16.09000015,13.98919582,3700,14.09867525,,,0.9666897435,,,TRUE,TRUE,0,,-26.05639332,37.78682954,25.47157709,-4.966775329,-0.08051906133,-10.85757064,,,,-778.0743582,-1.848485556,15.53373407,6.981715599,,,,0.6010737894,,-2.617634035,0.754332314,-66400,-51.31578947,-18607717.1,-134.7780009,30.18914626,,,96.34607675,0,0,,,-1.568087754
2022-02-09,16.10000038,16.11000061,16.09000015,13.98919582,104900,14.08723388,,,1.019135768,,,TRUE,TRUE,0,,-24.47234095,39.22565075,25.47157709,-0.5376309513,-0.08033715273,-8.685910987,,,,-778.0743582,-1.609418354,15.49676915,6.795430261,,,,0.6580210621,,-2.617634035,10.80886141,-66400,1078.651685,-40749550.12,-175.4156548,32.58339273,,,95.41771798,0,0,,,-1.442705609
2022-02-10,16.07999992,16.07999992,15.98999977,13.88499165,3900,14.06928363,,,1.050141551,,,TRUE,TRUE,0,,-55.87472871,41.26201282,19.78318645,-6.226021592,-0.08759169263,-6.954532422,,,,-568.9198245,-2.52039497,15.53536151,7.167951025,,,,0.7169240218,,-3.343025938,0.3991811668,-70300,50,-40935883.85,-173.2496909,25.41413823,,,95.02169201,0,0,,,-2.571055271
2022-02-11,16.01000023,16.06999969,15.97000027,13.95446301,45600,14.05697174,,,1.059814632,,,TRUE,TRUE,0,,-33.08549907,43.26307227,30.86777244,5.396195345,-0.08673537823,-5.562940886,,,,-575.8687306,-1.733983125,15.44015567,6.901668491,,,,0.7164563261,,-3.343025938,3.844856661,-24700,1100,-42819664.35,-147.1216512,54.04755871,,,95.4682727,0,0,,,-1.485274695
2022-02-14,16,16.02000046,15.97000027,13.90236282,4400,14.04378629,,,1.048161046,,,TRUE,TRUE,0,,-36.3545101,45.12119889,27.76872558,2.297148488,-0.08923217911,-4.452350149,,,,-590.7545211,-1.861553932,15.43549618,7.219371011,,-0.01539556264,0.001929784045,0.8175632539,,-3.343025938,0.3648424544,-29100,1000,-43187967.15,-145.4794701,56.14674129,,,95.95227285,-0.108236035,-6.075472633,-0.04392930736,-0.01539556264,-1.958944396
2022-02-15,16,16,15.97000027,13.87630558,2700,14.03319459,,,1.015237674,,,TRUE,TRUE,0,,-36.36347429,46.84660218,26.34416412,6.560977665,-0.0922501117,-3.564294466,,,,-697.8977853,-1.503633275,15.39984815,8.041523795,,-0.01720868139,0.002463554425,0.9272981219,,-3.403491861,0.2287166455,-31800,-65.38461538,-43567535.55,-148.1465472,56.2268724,,,95.16350324,-0.1140591463,-6.413432869,-0.04963420619,-0.01720868139,-1.950986075
2022-02-16,15.96000004,15.97000027,15.93999958,13.86762714,7900,14.02173591,,,0.9610480586,,,TRUE,TRUE,0,,-43.33331503,48.62912316,25.86818393,-4.999588509,-0.09425560238,-2.853039965,,,,-627.9899778,-1.625713972,15.3551519,8.693809039,,-0.02475724286,0.005076953111,1.034825859,,-3.463904673,0.6537029375,-39700,243.4782609,-44666860.05,-147.1849393,55.9745034,,,95.71253178,-0.1075958311,-6.076641258,-0.07125274107,-0.02475724286,-1.772626498
2022-02-17,15.97000027,16.01000023,15.96000004,13.85894012,190200,14.01027594,,,0.8856094121,,,TRUE,TRUE,0,,-43.33352248,48.98901704,25.37397905,-2.394746524,-0.09544569945,-2.28338405,,,,-630.6224009,-1.62689622,15.35228968,9.264329047,,-0.02207464239,0.004557579978,1.138384472,,-3.524377234,8.917018284,-229900,3488.679245,-60841862.9,-118.5840198,86.58884591,,,96.65385309,-0.09464854987,-5.519205389,-0.06750985097,-0.02207464239,-1.633532346
