Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,39.34000015,39.95999908,39.34000015,34.00829315,1347900,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-24530545.96,,,,,100,0,0,,,
2022-01-05,40,40.15000153,39.90000153,34.03388596,605700,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,605700,,-53561095.56,,,,,100.8500701,0,0,,,
2022-01-06,40.09999847,40.33000183,40.02999878,34.38362885,653300,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,1259000,,-78805968.59,,,,,101.6660377,0,0,,,
2022-01-07,40.36000061,40.70999908,40.34999847,34.69920731,589400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,0,,1848400,,-97898538.97,,,,,102.4408659,0,0,,,
2022-01-10,40.74000168,40.84000015,40.38999939,34.62242889,900900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,947500,,-121892752.1,,,,,102.182672,0,0,,,
2022-01-11,40.59999847,41.02999878,40.59999847,34.99774933,519200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,1466700,,-135940722.7,,,,,102.3433173,0,0,,,
2022-01-12,40.99000168,41.40000153,40.99000168,35.21099472,522400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,1989100,,-151189729.4,,,,,102.4347169,0,0,,,
2022-01-13,41.40999985,41.70999908,41.40999985,35.50101471,712500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,2701600,,-179969980.2,,,,,103.7199205,0,0,,,
2022-01-14,41.54000092,41.86999893,41.29999924,35.70570755,595800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,3297400,,-192260800.4,,,,,103.9055082,0,0,,,
2022-01-17,41.93999863,42.36999893,41.90999985,36.14074326,279000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.2212684895,,3576400,,-199538173.4,,,,,104.3148791,0,0,,,
2022-01-18,42.15000153,42.27999878,41.93999863,35.89338684,758200,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.6844253674,,2818200,,-227264249.9,,,,,104.8342766,0,0,,,
2022-01-19,42.18000031,42.18000031,41.34000015,35.33041,1466100,,,,,,,TRUE,TRUE,0,,,0,,0,35.04395421,28.03516337,,,,,,0,0,,,,,,-2.242159898,,1352100,,-249708108.3,,,,,103.6964275,0,0,,,
2022-01-20,41.43999863,41.72999954,41.20999908,35.16834259,1068000,,,,,,,TRUE,TRUE,0,,,0,,0,35.06309089,22.44344004,,,,,,0,0,,,,,,-2.690593988,,284100,,-275593352.3,,,,,103.8899819,0,0,,,
2022-01-21,40.90999985,41.02000046,40.5,34.73332596,1179000,,,,,,,TRUE,TRUE,0,,,1.79963192,,0,35.01235782,17.91416558,,,,-152.0355132,,25.06530657,0,,,,3.536527654,,-3.894267717,,-894900,,-302921978.1,,,,,104.8382644,0,0,,,
2022-01-24,40.09999847,40.36000061,39.59000015,34.40919495,2597300,,,,,,,TRUE,TRUE,0,,9.978750031,1.685873264,54.98937502,54.98937502,34.91956353,14.25709703,,,,-186.3599813,,18.17431162,0,,,,3.414658492,,-4.791125343,,-3492200,,-340470180.4,,43.18877605,,,104.0897614,0,0,,,
2022-01-25,40.04000092,40.86000061,39.79000092,34.65656281,1558400,,,,,,,TRUE,TRUE,0,,14.68809473,2.317890617,57.78834642,57.78834642,34.87910188,11.3733083,,,,-177.461853,,18.10829519,0,,,,3.23064674,,-4.791125343,,-1933800,,-356981762.1,,47.20669278,,,104.639584,0,0,,,
2022-01-26,41.02999878,41.33000183,40.83000183,34.98069763,1884300,,,,,,,TRUE,TRUE,0,,14.16962852,3.530304669,61.19363191,61.19363191,34.894732,9.111150735,,,,-165.8023218,,18.01754903,0,,,,3.079705175,,-4.791125343,,-49500,,-402953437.7,,51.70830345,,,105.551632,0,0,,,
2022-01-27,41.29999924,41.34999847,40.65999985,34.86946487,919900,,,,,,,TRUE,TRUE,0,,4.24648489,4.343152307,59.42205298,4.432677969,34.89084475,7.285810788,,,,-169.8035018,,18.08381873,0,,,,3.038420784,,-4.791125343,,-969400,,-419313116.6,,46.64512064,,,105.3821637,0,0,,,
2022-01-28,40.77000046,40.77999878,40.38000107,34.86092758,909800,,,,,,,TRUE,TRUE,0,,6.051522294,4.595918828,59.28020078,1.491854359,34.88624211,5.824966518,,,,-170.1105988,,18.04106829,0,,,,2.977759605,,-4.791125343,,-1879200,,-445329325.6,,40.6493596,,,104.4981938,0,0,,,
2022-01-31,40.75,41.22999954,40.59999847,35.25444794,521900,34.97302074,,,0.4996145821,,,TRUE,TRUE,0,,6.483376304,5.460498737,63.59429476,2.400662855,34.94288916,4.705290855,,,,-155.9551841,,17.83188865,57.05662191,,,,2.929536348,,-4.791125343,,-1357300,,-454707854.4,-23.2124077,40.66811716,,,103.9838226,0,0,,,
2022-02-01,41.31999969,41.70999908,41.18999863,35.63941193,611300,35.05457668,,,0.9478032403,,,TRUE,TRUE,0,,10.3706515,6.852781555,67.24970996,7.827656973,35.05004651,3.849958563,,,,-142.1075526,4.79623828,17.64995725,54.12325531,,,,2.871742066,,-4.791125343,0.6485115953,-746000,-54.64797092,-468369426.2,-23.5428317,41.03957106,,,104.0607142,0,0,,,1.08056184
2022-02-02,41.88000107,42.22000122,41.75,36.02438354,1000300,35.15410156,,,1.344700033,,,TRUE,TRUE,0,,12.38448054,8.691406115,70.44553939,11.16533861,35.19994451,3.199885255,,,,-128.2596465,5.848575716,17.47751896,52.64745013,,,,2.833814046,,-4.791125343,1.039434717,254300,65.14776292,-493741297.6,-22.87006817,42.20472596,,,104.7691444,0,0,,,1.653037289
2022-02-03,41.91999817,42.15000153,41.84999847,35.93028259,406400,35.23143425,,,1.689838269,,,TRUE,TRUE,0,,5.456925135,10.39870035,68.68130229,5.087007523,35.31230422,2.649795968,,,,-131.6445743,4.498227207,17.47491171,52.09078362,,,,2.819792124,,-4.791125343,0.4277872222,-152100,-37.79274453,-510186018,-22.70409363,38.73963129,,,105.91193,0,0,,,1.341596909
2022-02-04,42.08000183,42.29000092,41.99000168,36.10137558,351100,35.30154266,,,1.982998452,,,TRUE,TRUE,0,,-1.022146508,12.13521321,70.14529563,2.895585671,35.43369981,2.21695325,,,,-129.208281,4.040923072,17.33183249,53.95311369,,,,2.731007684,,-4.791125343,0.3742711254,199000,-40.43094673,-524320463.9,-22.72819905,39.03735672,,,105.441752,0,0,,,1.482459234
2022-02-07,42.22999954,42.31999969,42.09000015,36.15270233,463200,35.37805634,,,2.224166662,,,TRUE,TRUE,0,,7.093958583,13.78123486,70.58945087,0.1439114842,35.54431558,1.862055218,,,,-125.9083662,4.419890477,17.32290734,54.66151121,,,,2.840697162,,-4.791125343,0.5055637112,662200,-48.58474858,-548698114.5,-23.29202321,43.01784775,,,105.8501477,0,0,,,1.417169008
2022-02-08,42.40000153,42.79999924,42.40000153,36.52911758,509500,35.45462475,,,2.413228621,,,TRUE,TRUE,0,,34.55604357,15.82027576,73.68178597,5.000483687,0.4712971051,-26.56877061,,,,-95.35462434,4.375619247,17.21493057,59.55991092,,,,3.611539669,,-4.791125343,0.5563927838,1171700,-1.86825886,-564163776.9,-23.38176813,49.75898201,,,106.2693584,0,0,,,1.8040538
2022-02-09,43,43,42.56000137,36.4606781,429300,35.51710892,,,2.549867986,,,TRUE,TRUE,0,,38.28856626,17.90790612,72.19544849,2.050152863,0.497400244,-21.23413398,,,,-91.76897924,3.549128305,17.261211,63.3068135,,,,3.471961231,,-4.791125343,0.4712067745,742400,-17.82159265,-576495111.7,-23.34111081,55.4605746,,,105.0481987,0,0,,,1.49047019
2022-02-10,42.58000183,42.72999954,42.38999939,36.3237915,413900,35.55824776,,,2.633685862,,,TRUE,TRUE,0,,51.68679314,19.41774706,69.18913629,-1.400314588,0.5012633138,-16.98421672,,,,-95.78324912,2.317614866,17.40839111,65.82016847,,,,3.217269817,,-4.791125343,0.4618723741,328500,-41.90877193,-591678437.1,-22.9713412,58.72276226,,,105.0015967,0,0,,,1.163083846
2022-02-11,42.40999985,42.83000183,42.20999908,36.26392365,882500,35.58615856,,,2.664431415,,,TRUE,TRUE,0,,65.93750254,20.37227879,67.85823963,-5.823546346,0.4938017494,-13.59334263,,,,-109.8466753,1.563380572,17.61037148,67.63685349,,,,2.825387527,,-4.791125343,0.9692796028,-554000,48.12017456,-609487996.2,-22.91273715,67.39983869,,,104.7968721,0,0,,,1.002064774
2022-02-14,42.29000092,42.34999847,41.84999847,35.92171478,1053900,35.57520714,,,2.641507499,,,TRUE,TRUE,0,,43.51040885,20.41969233,60.6738454,-11.52160309,0.4550297113,-10.90569174,,,,-170.1636681,-0.6060430782,17.70561206,66.86454739,,0.6776003854,0.4794222349,2.510639873,,-4.791125343,1.110285868,-1607900,277.7419355,-635533169,-22.96608226,55.72453457,,,104.7252246,0.164149783,4.568913112,0.6924032314,0.6776003854,0.518223271
2022-02-15,42.06000137,42.29999924,42.06000137,36.12703705,411300,35.58688965,,,2.565253923,,,TRUE,TRUE,0,,41.10383127,20.46371919,63.19187451,-5.997261777,0.4358462188,-8.739900182,,,,-162.3269372,0.6509561456,17.54662855,67.64923827,,0.6763526377,0.4838589219,2.259740314,,-4.791125343,0.4413705774,-1196600,-45.75309945,-656279885.2,-23.01907108,48.58421124,,,104.6541616,0.1688161175,4.705515625,0.6955996851,0.6763526377,0.7984530406
2022-02-16,42.11000061,42.40999985,42.09999847,36.15270233,523200,35.62800426,,,2.43607358,,,TRUE,TRUE,0,,47.46895192,20.67602801,63.506425,-4.351814627,0.4178968815,-7.006279616,,,,-161.3473458,2.327434999,17.51711375,68.50182818,,0.6827213725,0.4878524002,1.925572199,,-4.791125343,0.5913701998,-673400,-64.31348476,-676877998.5,-24.14139367,56.9121183,,,105.3986396,0.1653229203,4.625938151,0.6984643156,0.6827213725,0.7659621365
2022-02-17,42.11999893,42.18000031,41.54999924,35.57952881,1075200,35.64856358,,,2.253610994,,,TRUE,TRUE,0,,21.98931917,19.63317902,52.67933605,-7.994509352,0.3533484088,-5.656662471,,,,-209.1861031,1.16919419,17.82274947,67.66153456,,0.7299531265,0.5242401811,1.643430257,,-4.791125343,1.214798579,-1748600,0.6741573034,-698332369.6,-23.88126662,55.6681759,,,104.813431,0.1059878296,2.89954257,0.7240443226,0.7299531265,-0.1020295617
