Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,22.65999985,22.69000053,22.55999947,20.83547211,15500,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-426730.0684,,,,,100,0,0,,,
2022-01-05,22.55999947,22.62000084,22.35000038,20.58677292,40100,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.193633564,,-40100,,-990573.0416,,,,,99.57135778,0,0,,,
2022-01-06,22.39999962,22.51000023,22.37999916,20.66967392,41800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.193633564,,1700,,-2132234.698,,,,,99.75606353,0,0,,,
2022-01-07,22.51000023,22.51000023,22.38999939,20.67888641,13800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.193633564,,15500,,-2539587.93,,,,,99.64656335,0,0,,,
2022-01-10,22.45999908,22.46999931,22.29999924,20.67888641,32900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.193633564,,15500,,-3199953.671,,,,,99.61583065,0,0,,,
2022-01-11,22.62000084,22.86000061,22.57999992,21.01048279,24700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.193633564,,40200,,-3501560.658,,,,,100.2852117,0,0,,,
2022-01-12,22.94000053,23.04999924,22.85000038,21.20391464,44700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.193633564,,84900,,-4282065.194,,,,,100.6853803,0,0,,,
2022-01-13,22.82999992,22.82999992,22.63999939,20.88152885,45400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.520406931,,39500,,-5167826.645,,,,,99.57841092,0,0,,,
2022-01-14,22.67000008,22.79999924,22.64999962,21.0012722,32100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.520406931,,71600,,-5905583.774,,,,,99.75347214,0,0,,,
2022-01-17,22.80999947,22.86000061,22.64999962,21.02890587,30600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.520406931,,102200,,-6408614.579,,,,,99.0711824,0,0,,,
2022-01-18,22.37000084,22.47999954,22.29999924,20.56835175,37300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.997384716,,64900,,-7163585.045,,,,,98.05502257,0,0,,,
2022-01-19,22.37999916,22.51000023,22.37999916,20.64204025,19800,,,,,,,TRUE,TRUE,0,,,0,,0,20.81551568,16.65241254,,,,,,0,0,,,,,,-2.997384716,,84700,,-7712789.716,,,,,98.88928293,0,0,,,
2022-01-20,22.69000053,22.79000092,22.51000023,20.77099419,12600,,,,,,,TRUE,TRUE,0,,,0,,0,20.80866622,13.31645047,,,,,,0,0,,,,,,-2.997384716,,97300,,-7881899.876,,,,,100.1522114,0,0,,,
2022-01-21,22.45000076,22.52000046,22.34000015,20.58677292,20400,,,,,,,TRUE,TRUE,0,,,0.2885926433,,0,20.77452879,10.62585043,,,,-228.4301758,,16.28744124,0,,,,2.129462679,,-2.997384716,,76900,,-8299697.375,,,,,101.4245792,0,0,,,
2022-01-24,22.19000053,22.19000053,21.81999969,20.3564949,48700,,,,,,,TRUE,TRUE,0,,-19.84739944,2.067746991,40.07630028,40.07630028,20.71021588,8.449230018,,,,-118.9841737,,9.072585854,0,,,,2.336625494,,-3.996524949,,28200,,-8733654.249,,49.80153396,,,100.5120179,0,0,,,
2022-01-25,22.01000023,22.22999954,22,20.41176414,8500,,,,,,,TRUE,TRUE,0,,-7.883741132,3.559424536,41.51866221,41.51866221,20.66430023,6.722651493,,,,-114.4907377,,9.07915595,0,,,,2.419018698,,-3.996524949,,36700,,-8859545.829,,55.62712089,,,100.594109,0,0,,,
2022-01-26,22.15999985,22.15999985,21.86000061,20.19069672,23200,,,,,,,TRUE,TRUE,0,,-20.31254803,5.293061295,37.6183342,37.6183342,20.59143815,5.319831531,,,,-132.4637061,,9.116656667,0,,,,2.651261266,,-4.778447485,,13500,,-9140932.154,,47.75003488,,,99.44186971,0,0,,,
2022-01-27,21.97999954,22.04000092,21.82999992,20.10779762,44900,,,,,,,TRUE,TRUE,0,,-23.48494772,6.977115784,36.24335575,-3.832944527,20.51703192,4.196340237,,,,-139.2034723,,9.157431414,0,,,,2.915480459,,-5.169408754,,-31400,,-9922275.184,,41.14468271,,,99.18998492,0,0,,,
2022-01-28,21.95999908,22.04000092,21.75,20.30123138,30700,,,,,,,TRUE,TRUE,0,,-14.38600111,8.742685025,41.60659655,0.08793433544,20.48383183,3.330512124,,,,-111.4438051,,9.119819514,0,,,,3.058859498,,-5.169408754,,-700,,-10259713.5,,48.5133341,,,99.32846327,0,0,,,
2022-01-31,22.25,22.62000084,22.25,20.82626152,17800,20.66691008,,,0.2952415725,,,TRUE,TRUE,0,,-6.535936655,8.155457722,53.13112177,15.51278758,20.53651332,2.706554892,,,,-71.05684783,,8.937120942,29.18173885,,,,3.086059205,,-5.169408754,,17100,,-10414499.92,-17.78736109,47.62221347,,,100.2639173,0,0,,,
2022-02-01,22.60000038,22.73999977,22.38999939,20.94600487,49600,20.67243671,,,0.5594840367,,,TRUE,TRUE,0,,-9.395956832,7.895391468,55.29801688,19.05466113,20.59951202,2.215642872,,,,-72.43195409,0.530502789,8.843137555,29.61916383,,,,2.413998602,,-5.169408754,1.601032924,66700,220,-10873368.78,-16.86029488,48.15050848,,,99.82491827,0,0,,,0.9236187589
2022-02-02,22.62999916,22.62999916,22.37999916,20.78020668,24700,20.6821084,,,0.7927782969,,,TRUE,TRUE,0,,-3.914601237,7.620485936,51.73167527,10.12507872,20.6273112,1.79475364,,,,-87.3687195,0.9396021531,8.933599214,29.64052608,,,,2.427387724,,-5.169408754,0.8176100629,42000,-38.40399002,-11214187.77,-16.92091151,50.70430608,,,98.64343619,0,0,,,0.3309599761
2022-02-03,22.27000046,22.34000015,22.17000008,20.50387192,23700,20.6738183,,,0.9948532122,,,TRUE,TRUE,0,,-18.12085294,7.470262319,46.36457073,-6.766551038,20.60832054,1.420610385,,,,-112.2637295,-0.8021510286,8.929048176,29.90779345,,,,2.517188397,,-5.169408754,0.8087357106,18300,-43.30143541,-11702443.3,-16.32862754,43.53527759,,,98.65102899,0,0,,,-0.568234446
2022-02-04,22.31999969,22.46999931,22.27000046,20.65125084,24700,20.67243652,,,1.165819939,,,TRUE,TRUE,0,,-13.1832836,6.977774318,49.38092437,-5.917092507,20.6149252,1.141772037,,,,-105.6488648,-0.1336415017,8.902472649,29.91171242,,,,2.224931656,,-5.169408754,0.8274706868,43000,78.98550725,-12126976.74,-16.05927774,42.5900373,,,98.45022548,0,0,,,-0.07082738664
2022-02-07,22.42000008,22.42000008,22.29000092,20.54992867,29600,20.66598864,,,1.305608183,,,TRUE,TRUE,0,,-0.7353293833,6.520464032,47.40701628,-4.324658994,20.60492574,0.9054180557,,,,-115.3913729,-0.6236203722,9.056779082,30.03581279,,,,2.230140797,,-5.169408754,0.997136601,13400,-10.03039514,-12948983.99,-16.42080229,43.46435712,,,98.20701522,0,0,,,-0.3864052945
2022-02-08,22.38999939,22.62000084,22.38999939,20.83547211,8000,20.6572381,,,1.414194744,,,TRUE,TRUE,0,,7.118600286,6.759152187,53.09711315,6.732542416,-0.03671853783,-15.78898097,,,,-87.93529692,-0.8329683945,8.976685298,29.22329716,,,,2.200680637,,-5.169408754,0.2772963605,21400,-67.61133603,-13065124.34,-16.57463376,41.63863601,,,98.93585537,0,0,,,0.6099038175
2022-02-09,22.70000076,22.87999916,22.70000076,21.0749588,18800,20.65079031,,,1.491625678,,,TRUE,TRUE,0,,10.74913074,7.725346597,57.27246932,7.891544944,0.0006674592811,-12.60127598,,,,-59.73820355,-0.6081699688,8.839621772,28.0732683,,,,2.694431139,,-5.169408754,0.68227182,40200,-57.94183445,-13423380.57,-16.58739861,42.64931703,,,99.10877146,0,0,,,1.510933771
2022-02-10,22.69000053,22.94000053,22.69000053,21.01969337,16600,20.65769854,,,1.538101481,,,TRUE,TRUE,0,,16.04091945,8.78159936,56.03283561,8.625819334,0.02554223826,-10.06112096,,,,-61.37027711,0.6616590252,8.90229396,28.83072803,,,,2.623279894,,-5.169408754,0.6356500096,23600,-63.43612335,-13661797.36,-16.26262821,43.05477247,,,99.17737182,0,0,,,1.25558688
2022-02-11,22.90999985,22.90999985,22.54999924,20.77099419,21800,20.64618464,,,1.553348592,,,TRUE,TRUE,0,,15.25424443,9.18838009,50.71328734,-2.383825814,0.02490069409,-8.049410005,,,,-82.26935918,-1.09649555,9.107607029,27.82882179,,,,2.489990223,,-5.169408754,0.8515625,1800,-32.08722741,-13899054.27,-15.61224707,46.30917985,,,97.97433012,0,0,,,0.4484902457
2022-02-14,22.55999947,22.60000038,22.37999916,20.67888641,31300,20.62868366,,,1.537298794,,,TRUE,TRUE,0,,9.6990402,8.920114374,48.86308332,-8.409385993,0.01676666258,-6.446035229,,,,-90.00950468,-1.664468219,9.13280352,26.35696747,,0.9749000581,0.5544084404,2.396874343,,-5.169408754,1.220986932,-29500,2.287581699,-14414395.49,-15.61494228,41.08723451,,,98.40176265,-0.05067013134,-1.139379298,0.7445860866,0.9749000581,0.19047241
2022-02-15,22.75,22.90999985,22.75,21.10259438,9800,20.65539579,,,1.490610022,,,TRUE,TRUE,0,,30.8412071,9.578228043,56.69076865,0.6579330325,0.04400283813,-5.135039243,,,,-54.40380957,2.597401273,9.112876353,28.3455293,,1.019968848,0.5482771605,2.220041998,,-5.169408754,0.4039571311,-19700,-73.72654155,-14626002.87,-15.3800862,45.41691485,,,99.77954049,-0.005555334132,-0.1168365342,0.7404573995,1.019968848,1.577668834
2022-02-16,22.71999931,22.89999962,22.71999931,21.06575012,29400,20.67658129,,,1.413163153,,,TRUE,TRUE,0,,32.91145793,10.07285071,55.88961146,5.176324126,0.06190112254,-4.093712767,,,,-57.49996394,2.05265499,9.111217276,29.78720108,,0.9850348812,0.5281004112,1.828504161,,-5.169408754,1.188358933,-49100,48.48484848,-15195790.02,-15.12328275,47.28892225,,,100.2426776,0.02591606335,0.5447716225,0.7267051749,0.9850348812,1.306496819
2022-02-17,22.78000069,22.78000069,22.60000038,20.87231636,8600,20.6816474,,,1.304696054,,,TRUE,TRUE,0,,19.6202204,10.06508581,51.75438114,2.891297815,0.05978795558,-3.276660747,,,,-168.5302525,0.4878060875,9.121068211,30.04130556,,0.9794365917,0.5397618724,1.548687278,,-5.169408754,0.3504482478,-57700,-31.74603175,-15369479.55,-15.2558673,40.98585314,,,100.3619023,0.02310581127,0.4860174831,0.7346848796,0.9794365917,0.6346893413
2022-02-18,22.59000015,22.64999962,22.5,20.81705093,10500,20.6931613,,,1.165293218,,,TRUE,TRUE,0,,-0.3773390292,9.68121411,50.60239924,-6.088369406,0.05304235819,-2.626725076,,,,-175.7075764,1.118572668,8.959622591,30.09977819,,0.9711848832,0.5388266464,1.551364962,,-5.169408754,0.4366812227,-68200,-48.52941176,-15615593.02,-15.21292502,36.17659419,,,100.7163368,0.03785959589,0.7945651673,0.7340481227,0.9711848832,0.4115965115
2022-02-22,22.26000023,22.35000038,22.18000031,20.49466324,33100,20.70006971,,,0.9948715378,,,TRUE,TRUE,0,,-17.07314961,9.715157793,44.39459206,-11.4950194,0.02143533773,-2.126665677,,,,-217.5760833,0.6787432493,8.967846784,29.43768014,,0.9946330315,0.5343285754,1.72052441,,-5.169408754,1.422738018,-101300,-32.03285421,-16304982.8,-16.27192898,21.17011783,,,99.59752454,0.002172322072,0.0439252955,0.7309778214,0.9946330315,-0.6977671952
2022-02-23,22.28000069,22.28000069,21.90999985,20.1999073,23700,20.68947687,,,0.7931706069,,,TRUE,TRUE,0,,-20.93029335,10.47925691,39.61004106,-12.14434008,-0.02708556876,-1.740149267,,,,-166.0282917,-1.037915393,9.134540903,30.87576544,,0.9829354989,0.5276896537,2.024967485,,-5.169408754,0.9864724246,-125000,178.8235294,-16547759.03,-16.0004437,21.28023462,,,99.03355953,-0.04046936957,-0.8228259157,0.7264225036,0.9829354989,-1.585611115
2022-02-24,21.17000008,21.65999985,21.04999924,19.95120811,41500,20.67750244,,,0.5601866173,,,TRUE,TRUE,0,,-20.13422119,12.78842746,36.07707897,-14.52532027,-0.08463110802,-1.438155845,,,,-58.13705653,-1.186133421,9.212711779,33.28256907,,0.9566138773,0.4918038481,2.37737299,,-5.907902144,1.663993585,-166500,78.87931034,-16738766.52,-15.23222608,20.15774224,,,97.72163217,-0.1009123834,-1.978606656,0.7012872793,0.9566138773,-2.182206323
2022-02-25,21.65999985,21.75,21.53000069,20.01568413,22000,20.67289677,,,0.2960428437,,,TRUE,TRUE,0,,-23.8755793,14.61911069,37.63023918,-6.764352883,-0.1236088017,-1.181706831,,,,-54.7256296,-0.4580983786,9.123319253,34.16447465,,0.8418347587,0.4615958971,2.687016712,,-5.907902144,0.924563984,-144500,-51.00222717,-17063630.78,-15.00600041,19.26284378,,,96.33457014,-0.1124829228,-2.189929532,0.6794084906,0.8418347587,-1.923672603
2022-02-28,21.52000046,21.52000046,21.14999962,19.76698494,46900,20.64618444,,,0.0004304027557,,,TRUE,TRUE,0,,-27.86899492,16.85843535,34.1804086,-5.429632465,-0.172577485,-0.9845404112,,,,-67.88430778,-2.631596254,9.142551099,38.97348385,,0.8374095467,0.4455233788,3.097000347,,-6.776718955,1.906116643,-191400,52.76872964,-17461142.89,-14.6340772,18.34263991,,,95.22620487,-0.1594563698,-3.033219985,0.6674753769,0.8374095467,-2.255891489
2022-03-01,21.14999962,21.23999977,21.01000023,19.43538666,31400,20.5766407,,,-0.000902781379,,,TRUE,TRUE,0,,-49.03244079,19.11686572,30.20434924,-5.872729735,-0.2354288521,-0.8379134227,,,,-81.5861825,-6.678466326,9.079108005,47.14394823,,0.8788234474,0.4586211431,3.733010402,,-8.340573024,1.24184299,-222800,76.40449438,-17922481.72,-14.84671108,14.81616885,,,94.33162703,-0.1720879352,-3.22633875,0.6772157286,0.8788234474,-2.420785883
2022-03-02,21.29000092,21.29000092,21.09000015,19.51828766,30300,20.50525484,,,-0.003032757393,,,TRUE,TRUE,0,,-57.67924408,21.02804125,32.32389667,-5.306342504,-0.2753752411,-0.7022878493,,,,-77.29079452,-6.816179113,8.971045907,51.83278265,,0.7942485107,0.4262986103,4.237946222,,-8.340573024,1.245888158,-192500,-38.91129032,-18429008.78,-15.53379935,17.13194406,,,93.4478635,-0.1605212577,-3.066701452,0.6529154695,0.7942485107,-1.90413698
