Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,47.34999847,48,47.34999847,40.46279526,49800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-1105128.969,,,,,100,0,0,,,
2022-01-05,48.02000046,48.63999939,47.81999969,40.63259506,26700,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,26700,,-1599886.957,,,,,101.1971261,0,0,,,
2022-01-06,48.68999863,49.15000153,48.27999878,41.55799484,46100,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,72800,,-2358362.597,,,,,103.277978,0,0,,,
2022-01-07,48.90999985,49.5,48.68000031,42.00796127,34100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,0,,106900,,-2947381.172,,,,,104.2351622,0,0,,,
2022-01-10,49.5,49.75999832,48.95999908,42.00796127,30400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,0,,106900,,-3506136.549,,,,,104.2030143,0,0,,,
2022-01-11,49.81000137,50.54000092,49.74000168,42.87392044,43800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,0,,150700,,-4301773.162,,,,,105.3759554,0,0,,,
2022-01-12,50.72000122,51.18000031,50.72000122,43.31539917,59000,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,0,,209700,,-6260218.338,,,,,105.9107766,0,0,,,
2022-01-13,51.00999832,51.20999908,50.65999985,43.24747086,41800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.1568225516,,167900,,-7428724.308,,,,,106.1967137,0,0,,,
2022-01-14,50.83000183,51.84999847,50.83000183,43.96063232,64400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.1568225516,,232300,,-8360553.429,,,,,107.521128,0,0,,,
2022-01-17,51.74000168,52.58000183,51.74000168,44.62284088,19100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.1568225516,,251400,,-8703314.731,,,,,108.2518555,0,0,,,
2022-01-18,52.97000122,53.22000122,51.93000031,44.46153641,88400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-0.361484098,,163000,,-9815298.824,,,,,109.1446075,0,0,,,
2022-01-19,52.70999908,52.70999908,51.56999969,44.47851181,51300,,,,,,,TRUE,TRUE,0,,,0,,0,42.8024683,34.24197464,,,,,,0,0,,,,,,-0.361484098,,214300,,-10504833.08,,,,,109.7221525,0,0,,,
2022-01-20,52,52.90000153,51.97000122,44.13891983,51500,,,,,,,TRUE,TRUE,0,,,0,,0,43.00807623,27.55806605,,,,,,0,0,,,,,,-1.084469392,,162800,,-11423646.11,,,,,109.5903778,0,0,,,
2022-01-21,51.24000168,51.27999878,50.22000122,42.85694122,122800,,,,,,,TRUE,TRUE,0,,,3.036896859,,0,42.98482469,22.02785161,,,,-76.54267715,,25.79203152,0,,,,4.894949918,,-3.957389586,,40000,,-13252457.14,,,,,108.7235379,0,0,,,
2022-01-24,49.24000168,50.00999832,48.20000076,42.45791626,337000,,,,,,,TRUE,TRUE,0,,30.71884983,3.579855266,65.35942492,65.35942492,42.90376185,17.55743102,,,,-99.29781333,,19.1625914,0,,,,4.40837813,,-4.851606439,,-297000,,-15727672.71,,46.00047074,,,107.9496233,0,0,,,
2022-01-25,49.70000076,51.41999817,49,43.47670364,411600,,,,,,,TRUE,TRUE,0,,38.7282066,5.002804005,70.36554139,70.36554139,42.99190674,14.11646073,,,,-94.08957547,,18.84250419,0,,,,3.767417934,,-4.851606439,,114600,,-18018107.83,,60.88825843,,,110.3306253,0,0,,,
2022-01-26,52.02999878,52.38000107,51.13999939,43.72291946,603700,,,,,,,TRUE,TRUE,0,,32.4840305,6.845758504,71.43976504,71.43976504,43.10437024,11.38313938,,,,-89.1848783,,18.79943848,0,,,,3.333823442,,-4.851606439,,718300,,-25843880.56,,72.24634109,,,110.8854576,0,0,,,
2022-01-27,52.16999817,52.68999863,51.41999817,44.13042068,112100,,,,,,,TRUE,TRUE,0,,32.05107526,8.715886605,73.17303759,7.813612675,43.26222415,9.232794636,,,,-81.06732484,,18.7917604,0,,,,2.957797751,,-4.851606439,,830400,,-27242848.81,,73.35672736,,,112.0956734,0,0,,,
2022-01-28,52.18999863,52.63000107,51.81000137,44.32568741,141700,,,,,,,TRUE,TRUE,0,,33.99730071,10.45243413,73.98768212,3.622140727,43.42583389,7.517123494,,,,-77.17754982,,18.82944035,0,,,,2.515442217,,-4.851606439,,972100,,-29971201.7,,74.78845152,,,111.6745674,0,0,,,
2022-01-31,52.25999832,52.75999832,52,44.69924927,46300,43.17191887,,,0.6167416981,,,TRUE,TRUE,0,,28.85901993,12.13854864,75.51926355,4.079498506,43.62174394,6.170426842,,,,-69.73607921,,18.65646154,129.4477012,,,,2.415579803,,-4.851606439,,1018400,,-30907042.51,-12.97742799,74.84073969,,,110.810533,0,0,,,
2022-02-01,52.68999863,54.13000107,52.45000076,45.95575333,96500,43.44656677,,,1.172486759,,,TRUE,TRUE,0,,36.97969398,14.40447227,79.82265711,6.649619524,43.98082231,5.223604167,,,,-37.84565465,13.57533021,18.32117058,127.1954528,,,,4.554944157,,-4.851606439,0.7947947124,1114900,93.7751004,-31749607.7,-12.61972521,75.32522314,,,112.7781891,0,0,,,1.97270146
2022-02-02,54.45999908,54.68000031,54.04999924,46.36326218,164300,43.73310013,,,1.66699197,,,TRUE,TRUE,0,,41.65723991,16.75071465,80.98981792,7.002135808,44.34735152,4.472106702,,,,-28.34473327,14.10362076,18.28795487,124.9971497,,,,5.020091901,,-4.851606439,1.28064227,1279200,515.3558052,-35923205.34,-13.37671709,78.52884858,,,113.3286667,0,0,,,2.104177619
2022-02-03,53.97000122,54.66999817,53.70000076,46.18498611,53900,43.96444969,,,2.099038115,,,TRUE,TRUE,0,,32.02948839,18.5113483,78.84119314,3.321929589,44.63006454,3.803855773,,,,-31.09590727,11.13381743,18.31280076,125.4389254,,,,4.826351297,,-4.851606439,0.4188522361,1225300,16.9197397,-36812281.37,-13.38692108,75.99180784,,,114.423182,0,0,,,1.770213206
2022-02-04,54.97000122,55.54000092,54.59999847,46.49909592,76900,44.18900642,,,2.468180259,,,TRUE,TRUE,0,,28.44272785,20.54872398,79.85525639,0.0325992735,44.91760782,3.27311925,,,,-23.17309007,10.69115117,18.30209903,128.7274265,,,,4.951986004,,-4.851606439,0.5878081406,1302200,125.5131965,-38214623.47,-13.47878552,76.62842977,,,114.1464282,0,0,,,1.794558903
2022-02-07,54.56999969,54.77999878,54.09000015,46.32930374,69800,44.40507355,,,2.773959442,,,TRUE,TRUE,0,,28.27767594,21.83950363,77.68781364,-3.302004284,45.13479181,2.79224259,,,,-25.48633491,10.2869607,18.32041511,126.4383358,,,,4.812500901,,-4.851606439,0.5256221996,1232400,129.6052632,-39854561.7,-13.68591632,73.3223767,,,114.0080272,0,0,,,1.521872446
2022-02-08,54.02999878,54.02999878,52.88999939,45.01337814,184900,44.51204643,,,3.014492263,,,TRUE,TRUE,0,,6.766994949,21.78403797,63.3390625,-15.50213064,1.278260601,-32.8514309,,,,-43.4144762,4.990114458,18.76907455,121.7663443,,,,4.747695576,,-4.851606439,1.322130854,1047500,322.1461187,-42594528.45,-13.69065259,69.21258104,,,110.0625165,0,0,,,0.4117161551
