Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-02-09,41.63999939,41.68000031,41.63999939,40.52185059,1300,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-73978.00877,,,,,100,0,0,,,
2022-02-10,41.68000031,41.68000031,41.68000031,40.52185059,,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-73978.00877,,,,,100.3323214,0,0,,,
2022-02-11,41.04000092,41.04000092,40.86000061,39.72463608,300,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.967369448,,-300,,-78062.5508,,,,,98.32870434,0,0,,,
2022-02-14,40.56999969,40.65999985,40.45000076,39.47185516,800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.591183293,,-1100,,-86315.12119,,,,,98.56634205,0,0,,,
2022-02-15,41.11000061,41.20000076,41.11000061,40.05518341,5900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.591183293,,4800,,-230513.1418,,,,,99.38703711,0,0,,,
2022-02-16,41.20000076,41.20000076,41.20000076,40.05518341,,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.591183293,,4800,,-230513.1418,,,,,100.0229883,0,0,,,
2022-02-17,40.79999924,40.79999924,40.52999878,39.40379715,400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-2.759137157,,4400,,-234250.0298,,,,,99.42639223,0,0,,,
2022-02-18,40.40000153,40.40000153,40.27999878,39.16074371,5100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.35894549,,-700,,-334484.533,,,,,99.4253248,0,0,,,
2022-02-22,40,40.09000015,39.74000168,38.97602463,1700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.814796057,,-2400,,-343606.0567,,,,,99.3964033,0,0,,,
2022-02-23,39.88000107,39.88000107,39.40999985,38.31492615,800,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.446257776,,-3200,,-348133.9575,,,,,98.57490701,0,0,,,
