Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-04,27.92000008,27.95999908,27.61000061,22.98404884,35900,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-984885.0997,,,,,100,0,0,,,
2022-01-05,27.73999977,27.73999977,27.23999977,22.61053085,101700,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.625118327,,-101700,,-2969853.056,,,,,99.13653232,0,0,,,
2022-01-06,27.23999977,27.51000023,27.23999977,22.75993538,27000,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-1.625118327,,-74700,,-3892864.415,,,,,99.575733,0,0,,,
2022-01-07,27.46999931,27.52000046,27.29000092,22.76823616,22400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-52300,,-4796027.303,,,,,99.45837849,0,0,,,
2022-01-10,27.43000031,27.43000031,27.21999931,22.69353485,31500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-83800,,-6185460.228,,,,,99.1014871,0,0,,,
2022-01-11,27.34000015,27.5,27.28000069,22.80973816,22300,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-61500,,-7114007.187,,,,,98.69564125,0,0,,,
2022-01-12,27.54999924,27.54999924,27.37999916,22.75993538,24600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-86100,,-8475707.399,,,,,97.97114905,0,0,,,
2022-01-13,27.42000008,27.62999916,27.42000008,22.8761425,26600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-59500,,-9653423.003,,,,,98.89230547,0,0,,,
2022-01-14,27.5,27.5,27.27000046,22.69353485,24700,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-84200,,-10661070.18,,,,,97.71503136,0,0,,,
2022-01-17,27.43000031,27.54999924,27.32999992,22.83464241,30500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-1.625118327,,-53700,,-11938014.11,,,,,97.52179668,0,0,,,
