Symbol,Settings,Date,Open,High,Low,Close,Volume
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-09-29,9.190,9.610,8.990,9.020,242261
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-09-30,9.040,9.430,8.780,9.020,316530
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-03,8.470,8.470,7.880,8.010,408228
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-04,7.810,7.810,7.260,7.260,486479
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-05,7.330,7.550,6.880,7.020,248342
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-06,7.090,7.100,6.650,6.730,222224
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-07,6.730,6.790,6.520,6.710,282657
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-11,7.150,7.310,7.020,7.230,281545
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-12,7.340,7.630,7.150,7.270,120692
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-13,7.400,7.420,6.700,6.770,158668
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-14,6.880,7.250,6.800,7.250,175999
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-17,7.010,7.250,6.830,7.245,85121
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-18,7.210,7.600,7.080,7.300,156382
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-19,7.200,7.290,6.800,6.860,234533
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-20,6.770,6.770,6.450,6.650,260942
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-21,6.600,6.720,6.410,6.430,180443
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-24,6.480,6.490,6.240,6.330,118498
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-25,6.370,6.380,6.230,6.280,85426
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-26,6.280,6.280,5.970,6.050,179401
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-27,5.900,6.150,5.840,6.120,153999
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-28,6.120,6.310,5.950,6.090,163628
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-10-31,6.160,6.170,5.800,5.915,176908
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-01,5.600,5.750,5.600,5.750,99432
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-02,5.790,5.940,5.630,5.820,210905
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-03,5.850,5.930,5.450,5.530,310559
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-04,5.300,5.670,5.190,5.525,191669
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-07,5.490,5.570,5.330,5.500,45275
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-08,5.560,5.620,5.470,5.580,110779
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-09,5.700,6.070,5.700,6.050,468327
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-10,5.840,5.940,5.740,5.760,151214
HED,Ex:TSE | Src:Yahoo JSON (forced),2022-11-11,5.650,5.650,5.385,5.500,188077
