Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-09-29,9.600,9.720,9.160,9.190,243860
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-09-30,9.020,9.240,8.410,8.610,331109
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-03,8.260,8.490,8.180,8.180,265868
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-04,7.990,8.030,7.690,7.980,429414
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-05,8.210,8.410,8.100,8.100,266472
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-06,8.120,8.180,7.730,7.750,276241
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-07,8.040,8.490,7.930,8.490,357751
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-11,8.590,8.870,8.450,8.870,234187
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-12,8.890,8.980,8.580,8.685,161839
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-13,9.110,9.710,8.930,8.970,344379
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-14,9.120,9.570,9.100,9.530,161284
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-17,9.110,9.350,8.930,9.230,189838
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-18,9.060,9.250,8.960,9.100,191409
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-19,9.400,9.570,9.320,9.485,199122
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-20,9.420,9.630,9.020,9.360,273331
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-21,9.390,9.390,8.710,8.720,298750
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-24,8.810,9.060,8.770,8.810,171212
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-25,8.800,8.820,8.560,8.680,105411
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-26,8.490,8.500,8.030,8.190,437171
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-27,8.200,8.370,8.100,8.370,192227
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-28,8.600,8.650,8.390,8.410,232082
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-10-31,8.600,8.675,8.420,8.660,105808
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-01,8.380,8.590,8.200,8.320,108447
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-02,8.260,9.240,8.200,9.240,306597
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-03,9.350,9.890,9.340,9.830,308123
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-04,9.120,9.310,8.560,8.560,515399
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-07,8.510,8.810,8.420,8.480,166154
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-08,8.580,8.580,7.330,7.540,643034
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-09,7.580,7.850,7.450,7.820,275648
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-10,7.230,7.440,6.900,6.980,578415
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-11,6.900,7.090,6.860,6.870,470375
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-14,6.920,7.040,6.840,6.940,282451
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-15,6.910,7.230,6.790,7.110,455757
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-16,7.210,7.230,7.040,7.210,269561
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-17,7.520,7.560,7.390,7.440,375000
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-18,7.400,7.460,7.200,7.200,256314
