Symbol,Settings,Date,Open,High,Low,Close,Volume
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-09-29,10.030,10.570,9.950,10.540,335680
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-09-30,10.560,11.420,10.470,11.210,648669
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-03,11.480,11.750,11.300,11.750,400590
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-04,12.110,12.470,11.960,12.060,325806
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-05,11.670,11.860,11.380,11.860,340898
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-06,11.970,12.390,11.740,12.380,179983
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-07,11.870,12.040,11.180,11.190,415144
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-11,10.910,11.260,10.710,10.710,525175
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-12,10.710,11.020,10.580,10.910,382185
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-13,10.400,10.630,9.630,10.590,688800
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-14,10.330,10.420,9.850,9.900,355775
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-17,10.250,10.520,10.170,10.210,360643
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-18,10.370,10.500,10.190,10.340,303662
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-19,10.060,10.100,9.830,9.910,271470
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-20,9.990,10.410,9.790,10.025,376157
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-21,10.090,10.740,10.080,10.725,335810
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-24,10.580,10.690,10.320,10.600,227817
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-25,10.600,10.930,10.600,10.770,297863
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-26,11.000,11.600,11.000,11.400,399489
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-27,11.400,11.470,11.130,11.150,359110
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-28,10.900,11.130,10.770,11.120,179800
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-31,10.770,11.080,10.745,10.750,228344
HGU,Ex:TSE | Src:Yahoo JSON (forced),2022-11-01,11.100,11.330,11.100,11.180,200884
