Symbol,Settings,Date,Open,High,Low,Close,Volume
HMAX,Ex:TSE | Src:Google,2023-01-23,16.050,16.170,15.990,16.100,170632
HMAX,Ex:TSE | Src:Google,2023-01-24,16.150,16.160,16.040,16.080,112560
HMAX,Ex:TSE | Src:Google,2023-01-25,15.950,16.190,15.950,16.190,160073
HMAX,Ex:TSE | Src:Google,2023-01-26,16.950,16.950,16.130,16.250,103000
HMAX,Ex:TSE | Src:Google,2023-01-27,16.260,16.260,16.190,16.240,95595
HMAX,Ex:TSE | Src:Google,2023-01-30,16.220,16.260,16.190,16.190,294460
HMAX,Ex:TSE | Src:Google,2023-01-31,16.240,16.300,16.180,16.300,186958
HMAX,Ex:TSE | Src:Google,2023-02-01,16.320,16.330,16.230,16.310,184912
HMAX,Ex:TSE | Src:Google,2023-02-02,16.370,16.390,16.300,16.360,188059
HMAX,Ex:TSE | Src:Google,2023-02-03,16.380,16.450,16.320,16.410,137598
HMAX,Ex:TSE | Src:Google,2023-02-06,16.400,16.400,16.290,16.330,183973
HMAX,Ex:TSE | Src:Google,2023-02-07,16.310,16.440,16.250,16.430,157007
HMAX,Ex:TSE | Src:Google,2023-02-08,16.400,16.450,16.370,16.430,103267
HMAX,Ex:TSE | Src:Google,2023-02-09,16.450,16.530,16.400,16.420,106730
HMAX,Ex:TSE | Src:Google,2023-02-10,16.420,16.420,16.310,16.410,83440
HMAX,Ex:TSE | Src:Google,2023-02-13,16.500,16.500,16.410,16.460,142109
HMAX,Ex:TSE | Src:Google,2023-02-14,16.460,16.500,16.400,16.440,146376
HMAX,Ex:TSE | Src:Google,2023-02-15,16.400,16.440,16.370,16.440,135934
HMAX,Ex:TSE | Src:Google,2023-02-16,16.400,16.480,16.380,16.450,58100
HMAX,Ex:TSE | Src:Google,2023-02-17,16.390,16.460,16.390,16.460,66539
HMAX,Ex:TSE | Src:Google,2023-02-21,16.460,16.460,16.250,16.280,321013
HMAX,Ex:TSE | Src:Google,2023-02-22,16.260,16.260,16.140,16.190,166520
HMAX,Ex:TSE | Src:Google,2023-02-23,16.360,16.360,16.070,16.120,159478
HMAX,Ex:TSE | Src:Google,2023-02-24,16.120,16.190,16.010,16.190,188804
HMAX,Ex:TSE | Src:Google,2023-02-27,16.160,16.160,15.990,16.020,212399
HMAX,Ex:TSE | Src:Google,2023-02-28,15.950,15.950,15.870,15.940,148345
HMAX,Ex:TSE | Src:Google,2023-03-01,16.000,16.000,15.720,15.870,158070
HMAX,Ex:TSE | Src:Google,2023-03-02,15.780,15.850,15.710,15.850,147024
HMAX,Ex:TSE | Src:Google,2023-03-03,15.910,16.020,15.900,16.000,142367
HMAX,Ex:TSE | Src:Google,2023-03-06,16.080,16.090,15.980,15.990,137715
HMAX,Ex:TSE | Src:Google,2023-03-07,16.100,16.100,15.720,15.800,168519
HMAX,Ex:TSE | Src:Google,2023-03-08,15.760,15.850,15.750,15.790,69117
HMAX,Ex:TSE | Src:Google,2023-03-09,15.770,15.770,15.480,15.530,308698
HMAX,Ex:TSE | Src:Google,2023-03-10,15.360,15.390,15.150,15.190,294399
HMAX,Ex:TSE | Src:Google,2023-03-13,15.070,15.190,14.690,14.900,337790
HMAX,Ex:TSE | Src:Google,2023-03-14,15.080,15.210,14.910,15.000,201997
HMAX,Ex:TSE | Src:Google,2023-03-15,14.700,14.730,14.580,14.720,265009
HMAX,Ex:TSE | Src:Google,2023-03-16,14.550,14.940,14.530,14.790,173563
HMAX,Ex:TSE | Src:Google,2023-03-17,14.650,14.660,14.500,14.530,263886
HMAX,Ex:TSE | Src:Google,2023-03-20,14.620,14.660,14.570,14.610,215602
HMAX,Ex:TSE | Src:Google,2023-03-21,14.820,14.830,14.760,14.770,130882
HMAX,Ex:TSE | Src:Google,2023-03-22,14.840,14.840,14.670,14.670,130371
HMAX,Ex:TSE | Src:Google,2023-03-23,14.740,14.760,14.550,14.580,165837
HMAX,Ex:TSE | Src:Google,2023-03-24,14.560,14.610,14.420,14.610,135577
HMAX,Ex:TSE | Src:Google,2023-03-27,14.700,14.740,14.670,14.720,183024
