Symbol,Settings,Date,Open,High,Low,Close,Volume
HND,Ex:TSE | Src:Google,2022-09-29,18.220,19.020,17.200,17.680,970809
HND,Ex:TSE | Src:Google,2022-09-30,18.280,18.540,16.900,18.120,714442
HND,Ex:TSE | Src:Google,2022-10-03,19.820,20.720,19.430,19.500,1317260
HND,Ex:TSE | Src:Google,2022-10-04,19.160,19.270,17.370,17.700,1160742
HND,Ex:TSE | Src:Google,2022-10-05,17.010,17.570,16.880,17.000,590352
HND,Ex:TSE | Src:Google,2022-10-06,16.690,17.460,16.230,17.150,652903
HND,Ex:TSE | Src:Google,2022-10-07,17.680,18.450,17.130,18.380,1134913
HND,Ex:TSE | Src:Google,2022-10-11,18.650,19.560,18.350,18.750,867996
HND,Ex:TSE | Src:Google,2022-10-12,18.070,19.750,18.000,19.620,589526
HND,Ex:TSE | Src:Google,2022-10-13,19.500,20.070,17.750,18.190,960019
HND,Ex:TSE | Src:Google,2022-10-14,18.710,19.330,18.530,18.910,610103
HND,Ex:TSE | Src:Google,2022-10-17,20.990,21.510,20.630,21.190,837725
HND,Ex:TSE | Src:Google,2022-10-18,21.060,23.100,20.750,22.770,519524
HND,Ex:TSE | Src:Google,2022-10-19,24.270,25.000,23.680,24.950,529147
HND,Ex:TSE | Src:Google,2022-10-20,25.570,26.190,24.460,25.580,579057
HND,Ex:TSE | Src:Google,2022-10-21,28.180,29.400,27.850,28.180,780462
HND,Ex:TSE | Src:Google,2022-10-24,27.300,27.300,24.850,25.770,674900
HND,Ex:TSE | Src:Google,2022-10-25,24.790,24.950,21.850,21.850,863807
HND,Ex:TSE | Src:Google,2022-10-26,23.810,23.850,21.920,22.250,1221433
HND,Ex:TSE | Src:Google,2022-10-27,23.150,25.400,22.370,24.340,1454810
HND,Ex:TSE | Src:Google,2022-10-28,25.780,26.890,24.720,24.830,998914
HND,Ex:TSE | Src:Google,2022-10-31,20.890,22.060,19.550,19.970,1916713
HND,Ex:TSE | Src:Google,2022-11-01,21.900,24.310,21.810,22.650,1010065
HND,Ex:TSE | Src:Google,2022-11-02,20.190,20.830,18.850,19.750,2447426
HND,Ex:TSE | Src:Google,2022-11-03,20.280,21.560,19.750,21.290,2499903
HND,Ex:TSE | Src:Google,2022-11-04,20.120,21.360,17.380,17.750,2349290
HND,Ex:TSE | Src:Google,2022-11-07,14.910,16.500,13.530,15.870,3056584
HND,Ex:TSE | Src:Google,2022-11-08,17.230,18.550,17.230,17.600,1876747
HND,Ex:TSE | Src:Google,2022-11-09,19.820,20.500,18.900,19.500,1342524
HND,Ex:TSE | Src:Google,2022-11-10,18.700,19.500,17.400,17.900,1322591
HND,Ex:TSE | Src:Google,2022-11-11,17.110,19.750,16.190,18.920,1518976
HND,Ex:TSE | Src:Google,2022-11-14,16.500,19.300,16.450,18.420,1211773
HND,Ex:TSE | Src:Google,2022-11-15,19.300,19.720,17.960,18.030,749585
HND,Ex:TSE | Src:Google,2022-11-16,19.670,20.000,17.170,17.300,1193772
HND,Ex:TSE | Src:Google,2022-11-17,16.470,17.260,15.690,16.460,1864155
HND,Ex:TSE | Src:Google,2022-11-18,17.920,17.960,16.200,16.520,1265249
HND,Ex:TSE | Src:Google,2022-11-21,15.360,15.440,13.930,14.440,2008115
HND,Ex:TSE | Src:Google,2022-11-22,14.660,14.900,12.900,13.070,2106555
HND,Ex:TSE | Src:Google,2022-11-23,11.000,12.800,11.000,12.300,3362202
HND,Ex:TSE | Src:Google,2022-11-24,12.600,12.990,12.250,12.570,860927
HND,Ex:TSE | Src:Google,2022-11-25,12.800,14.010,12.220,13.950,1908631
HND,Ex:TSE | Src:Google,2022-11-28,14.490,14.580,13.330,13.520,2906849
HND,Ex:TSE | Src:Google,2022-11-29,13.890,14.450,13.180,13.800,1863470
HND,Ex:TSE | Src:Google,2022-11-30,13.750,15.510,13.740,14.920,1740491
HND,Ex:TSE | Src:Google,2022-12-01,14.340,16.000,14.010,15.390,1409445
HND,Ex:TSE | Src:Google,2022-12-02,16.180,18.400,16.100,18.170,1495093
HND,Ex:TSE | Src:Google,2022-12-05,20.700,22.250,20.470,21.810,804369
HND,Ex:TSE | Src:Google,2022-12-06,22.540,24.040,21.760,23.770,883444
HND,Ex:TSE | Src:Google,2022-12-07,21.870,23.570,20.090,20.230,1148198
HND,Ex:TSE | Src:Google,2022-12-08,19.970,20.180,17.910,19.180,967944
HND,Ex:TSE | Src:Google,2022-12-09,17.400,18.700,16.750,17.080,1526443
HND,Ex:TSE | Src:Google,2022-12-12,14.260,15.990,14.120,15.870,1890065
HND,Ex:TSE | Src:Google,2022-12-13,13.960,14.700,13.440,13.900,3107797
HND,Ex:TSE | Src:Google,2022-12-14,15.500,16.490,15.190,16.440,1521962
HND,Ex:TSE | Src:Google,2022-12-15,15.400,16.400,14.000,14.530,2780069
HND,Ex:TSE | Src:Google,2022-12-16,16.070,16.250,15.100,15.510,1985472
HND,Ex:TSE | Src:Google,2022-12-19,17.790,18.910,17.440,18.740,995135
HND,Ex:TSE | Src:Google,2022-12-20,21.090,21.900,20.910,21.470,1243325
HND,Ex:TSE | Src:Google,2022-12-21,20.110,21.900,19.870,20.860,909400
HND,Ex:TSE | Src:Google,2022-12-22,21.720,24.070,20.690,23.470,1069038
HND,Ex:TSE | Src:Google,2022-12-23,24.550,24.950,21.970,23.180,808870
HND,Ex:TSE | Src:Google,2022-12-28,25.550,28.320,25.450,25.630,1031636
HND,Ex:TSE | Src:Google,2022-12-29,27.900,29.150,27.170,27.400,622813
HND,Ex:TSE | Src:Google,2022-12-30,29.260,29.800,27.900,29.200,631338
HND,Ex:TSE | Src:Google,2023-01-03,34.400,36.120,33.390,34.450,832517
HND,Ex:TSE | Src:Google,2023-01-04,33.420,34.630,31.000,32.010,811243
HND,Ex:TSE | Src:Google,2023-01-05,37.000,39.690,36.500,37.950,709986
HND,Ex:TSE | Src:Google,2023-01-06,38.560,39.600,36.280,38.450,810549
HND,Ex:TSE | Src:Google,2023-01-09,35.770,36.000,30.600,35.020,1625432
HND,Ex:TSE | Src:Google,2023-01-10,38.750,40.680,38.000,40.400,602802
HND,Ex:TSE | Src:Google,2023-01-11,39.770,43.850,37.680,38.110,549178
HND,Ex:TSE | Src:Google,2023-01-12,34.520,39.010,34.450,38.470,945871
HND,Ex:TSE | Src:Google,2023-01-13,41.170,42.920,39.980,41.800,476489
HND,Ex:TSE | Src:Google,2023-01-16,38.450,39.990,38.440,39.140,496229
HND,Ex:TSE | Src:Google,2023-01-17,38.250,41.270,38.100,39.470,529070
HND,Ex:TSE | Src:Google,2023-01-18,43.830,45.010,42.400,44.620,867591
HND,Ex:TSE | Src:Google,2023-01-19,43.870,45.550,42.500,45.520,642093
HND,Ex:TSE | Src:Google,2023-01-20,43.900,48.020,42.300,47.480,895854
HND,Ex:TSE | Src:Google,2023-01-23,44.540,47.890,40.600,40.710,1147549
HND,Ex:TSE | Src:Google,2023-01-24,42.430,45.620,41.800,44.560,468434
HND,Ex:TSE | Src:Google,2023-01-25,47.370,50.510,46.500,50.360,374569
HND,Ex:TSE | Src:Google,2023-01-26,55.380,56.880,50.860,52.480,474545
HND,Ex:TSE | Src:Google,2023-01-27,51.440,54.200,49.500,50.320,617694
HND,Ex:TSE | Src:Google,2023-01-30,55.720,58.150,54.200,57.970,419792
HND,Ex:TSE | Src:Google,2023-01-31,59.100,59.690,54.500,55.440,758742
HND,Ex:TSE | Src:Google,2023-02-01,60.000,66.660,59.790,65.430,454574
HND,Ex:TSE | Src:Google,2023-02-02,63.900,68.530,59.900,67.570,536388
HND,Ex:TSE | Src:Google,2023-02-03,68.070,73.600,68.000,70.600,368541
HND,Ex:TSE | Src:Google,2023-02-06,69.560,72.250,65.220,65.380,547366
HND,Ex:TSE | Src:Google,2023-02-07,65.260,65.560,58.910,59.770,537586
HND,Ex:TSE | Src:Google,2023-02-08,62.300,70.020,61.450,67.810,429306
HND,Ex:TSE | Src:Google,2023-02-09,67.520,69.400,62.810,66.690,371721
HND,Ex:TSE | Src:Google,2023-02-10,66.670,66.770,58.880,58.920,395033
HND,Ex:TSE | Src:Google,2023-02-13,64.520,67.600,61.580,64.950,310713
HND,Ex:TSE | Src:Google,2023-02-14,61.610,61.800,56.480,57.070,490476
HND,Ex:TSE | Src:Google,2023-02-15,60.400,63.750,58.380,62.920,536365
