Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2022-09-29,18.400,19.520,17.500,18.990,1232764
HNU,Ex:TSE | Src:Google,2022-09-30,18.320,19.860,18.050,18.490,967257
HNU,Ex:TSE | Src:Google,2022-10-03,16.850,17.130,15.880,17.090,1333838
HNU,Ex:TSE | Src:Google,2022-10-04,17.340,18.860,17.250,18.540,936213
HNU,Ex:TSE | Src:Google,2022-10-05,19.290,19.450,18.710,19.310,645640
HNU,Ex:TSE | Src:Google,2022-10-06,19.700,20.180,18.880,19.090,974992
HNU,Ex:TSE | Src:Google,2022-10-07,18.480,19.140,17.700,17.750,1024892
HNU,Ex:TSE | Src:Google,2022-10-11,17.440,17.820,16.570,17.420,1003478
HNU,Ex:TSE | Src:Google,2022-10-12,17.970,18.140,16.460,16.600,1667792
HNU,Ex:TSE | Src:Google,2022-10-13,16.690,18.190,16.250,17.760,1152960
HNU,Ex:TSE | Src:Google,2022-10-14,17.230,17.400,16.600,16.990,954325
HNU,Ex:TSE | Src:Google,2022-10-17,15.000,15.490,14.700,15.020,2204085
HNU,Ex:TSE | Src:Google,2022-10-18,15.150,15.400,13.640,13.920,1982528
HNU,Ex:TSE | Src:Google,2022-10-19,12.980,13.340,12.530,12.540,1598666
HNU,Ex:TSE | Src:Google,2022-10-20,12.230,12.820,11.940,12.250,1490006
HNU,Ex:TSE | Src:Google,2022-10-21,10.960,11.170,10.410,10.930,2993520
HNU,Ex:TSE | Src:Google,2022-10-24,11.260,12.180,11.260,11.840,2449288
HNU,Ex:TSE | Src:Google,2022-10-25,12.300,13.670,12.190,13.660,2274519
HNU,Ex:TSE | Src:Google,2022-10-26,12.490,13.610,12.450,13.410,1823329
HNU,Ex:TSE | Src:Google,2022-10-27,12.870,13.370,11.550,12.180,3259271
HNU,Ex:TSE | Src:Google,2022-10-28,11.480,11.920,10.890,11.880,2321962
HNU,Ex:TSE | Src:Google,2022-10-31,13.500,14.220,13.100,13.950,3066952
HNU,Ex:TSE | Src:Google,2022-11-01,12.620,12.620,10.860,11.780,3290707
HNU,Ex:TSE | Src:Google,2022-11-02,12.980,13.600,12.650,13.040,2574360
HNU,Ex:TSE | Src:Google,2022-11-03,12.660,13.020,11.820,11.970,2515118
HNU,Ex:TSE | Src:Google,2022-11-04,12.600,14.370,11.940,14.090,3456564
HNU,Ex:TSE | Src:Google,2022-11-07,16.230,17.350,14.600,15.280,1983376
HNU,Ex:TSE | Src:Google,2022-11-08,13.910,13.910,12.400,13.180,4576273
HNU,Ex:TSE | Src:Google,2022-11-09,11.720,12.270,11.140,11.810,3704925
HNU,Ex:TSE | Src:Google,2022-11-10,12.260,13.020,11.790,12.630,2487155
HNU,Ex:TSE | Src:Google,2022-11-11,13.200,13.900,11.260,11.810,5014184
HNU,Ex:TSE | Src:Google,2022-11-14,13.160,13.320,11.600,12.170,3240157
HNU,Ex:TSE | Src:Google,2022-11-15,11.660,12.440,11.340,12.400,1992228
HNU,Ex:TSE | Src:Google,2022-11-16,11.400,12.960,11.090,12.880,3959627
HNU,Ex:TSE | Src:Google,2022-11-17,13.450,14.070,12.900,13.500,2338482
HNU,Ex:TSE | Src:Google,2022-11-18,12.350,13.750,12.290,13.440,1563021
HNU,Ex:TSE | Src:Google,2022-11-21,14.350,15.520,14.330,15.050,1434720
HNU,Ex:TSE | Src:Google,2022-11-22,14.850,16.720,14.560,16.550,1864445
HNU,Ex:TSE | Src:Google,2022-11-23,19.010,19.070,16.890,17.500,1438776
HNU,Ex:TSE | Src:Google,2022-11-24,17.420,17.470,16.500,17.160,513942
HNU,Ex:TSE | Src:Google,2022-11-25,16.750,17.610,15.160,15.760,1108938
HNU,Ex:TSE | Src:Google,2022-11-28,14.630,15.920,14.540,15.720,1704876
HNU,Ex:TSE | Src:Google,2022-11-29,15.340,16.060,14.700,15.400,1956640
HNU,Ex:TSE | Src:Google,2022-11-30,15.430,15.480,13.520,14.170,2924822
HNU,Ex:TSE | Src:Google,2022-12-01,14.690,15.000,13.130,13.680,3558693
HNU,Ex:TSE | Src:Google,2022-12-02,12.500,12.990,11.230,11.390,4262110
HNU,Ex:TSE | Src:Google,2022-12-05,9.830,9.930,8.800,8.990,4856120
HNU,Ex:TSE | Src:Google,2022-12-06,8.700,9.030,8.120,8.230,3212362
