Symbol,Settings,Date,Open,High,Low,Close,Volume
HOU,Ex:TSE | Src:Google,2022-09-29,16.300,16.530,15.780,16.030,687206
HOU,Ex:TSE | Src:Google,2022-09-30,15.520,15.910,15.110,15.330,949115
HOU,Ex:TSE | Src:Google,2022-10-03,16.970,17.110,16.260,16.640,965335
HOU,Ex:TSE | Src:Google,2022-10-04,17.660,18.070,17.350,17.790,890924
HOU,Ex:TSE | Src:Google,2022-10-05,18.200,18.700,17.500,18.510,889624
HOU,Ex:TSE | Src:Google,2022-10-06,18.450,19.020,18.390,19.000,525418
HOU,Ex:TSE | Src:Google,2022-10-07,19.190,20.640,19.150,20.310,677642
HOU,Ex:TSE | Src:Google,2022-10-11,18.870,19.160,18.280,18.490,371709
HOU,Ex:TSE | Src:Google,2022-10-12,18.320,18.410,17.650,17.980,430868
HOU,Ex:TSE | Src:Google,2022-10-13,17.670,19.000,17.670,18.790,425555
HOU,Ex:TSE | Src:Google,2022-10-14,18.160,18.300,17.240,17.440,624526
HOU,Ex:TSE | Src:Google,2022-10-17,17.840,18.010,17.180,17.340,683239
HOU,Ex:TSE | Src:Google,2022-10-18,16.880,17.060,16.040,16.480,1082935
HOU,Ex:TSE | Src:Google,2022-10-19,16.550,17.500,16.410,17.290,640701
HOU,Ex:TSE | Src:Google,2022-10-20,17.900,18.370,17.180,17.420,626855
HOU,Ex:TSE | Src:Google,2022-10-21,17.420,17.860,17.050,17.580,452492
HOU,Ex:TSE | Src:Google,2022-10-24,17.430,17.860,17.140,17.390,612539
HOU,Ex:TSE | Src:Google,2022-10-25,17.510,17.910,17.340,17.500,400810
HOU,Ex:TSE | Src:Google,2022-10-26,17.890,18.840,17.890,18.740,587284
HOU,Ex:TSE | Src:Google,2022-10-27,19.200,19.390,18.890,19.110,347249
HOU,Ex:TSE | Src:Google,2022-10-28,18.640,18.970,18.280,18.720,543232
HOU,Ex:TSE | Src:Google,2022-10-31,17.970,18.570,17.560,17.960,863987
HOU,Ex:TSE | Src:Google,2022-11-01,19.100,19.190,18.530,18.820,405798
HOU,Ex:TSE | Src:Google,2022-11-02,18.800,19.670,18.620,19.210,641282
HOU,Ex:TSE | Src:Google,2022-11-03,18.680,19.140,18.550,18.770,506184
HOU,Ex:TSE | Src:Google,2022-11-04,20.420,20.700,19.870,20.600,762922
HOU,Ex:TSE | Src:Google,2022-11-07,20.650,21.100,20.220,20.390,347520
HOU,Ex:TSE | Src:Google,2022-11-08,20.220,20.250,18.990,19.200,528340
HOU,Ex:TSE | Src:Google,2022-11-09,18.550,18.550,17.640,17.690,824020
HOU,Ex:TSE | Src:Google,2022-11-10,17.700,18.370,17.430,17.970,675441
HOU,Ex:TSE | Src:Google,2022-11-11,19.150,19.510,18.680,19.050,705737
HOU,Ex:TSE | Src:Google,2022-11-14,18.530,19.100,17.510,17.520,961617
HOU,Ex:TSE | Src:Google,2022-11-15,17.590,18.950,17.300,18.190,965850
HOU,Ex:TSE | Src:Google,2022-11-16,17.520,17.790,17.150,17.580,1194966
HOU,Ex:TSE | Src:Google,2022-11-17,17.070,17.210,16.130,16.330,1555157
HOU,Ex:TSE | Src:Google,2022-11-18,14.980,15.770,14.920,15.750,1943838
HOU,Ex:TSE | Src:Google,2022-11-21,14.520,15.820,13.790,15.600,2311609
HOU,Ex:TSE | Src:Google,2022-11-22,16.070,16.550,15.890,16.100,934331
HOU,Ex:TSE | Src:Google,2022-11-23,14.970,15.110,14.420,14.640,1410196
HOU,Ex:TSE | Src:Google,2022-11-24,14.700,14.940,14.660,14.900,317506
HOU,Ex:TSE | Src:Google,2022-11-25,14.990,15.130,14.210,14.570,944872
HOU,Ex:TSE | Src:Google,2022-11-28,13.620,14.770,13.520,14.430,1150341
HOU,Ex:TSE | Src:Google,2022-11-29,15.140,15.420,14.540,15.050,1462273
HOU,Ex:TSE | Src:Google,2022-11-30,15.930,16.020,15.610,15.860,860878
HOU,Ex:TSE | Src:Google,2022-12-01,16.570,16.830,15.980,16.050,916662
HOU,Ex:TSE | Src:Google,2022-12-02,16.130,16.380,15.480,15.650,812876
HOU,Ex:TSE | Src:Google,2022-12-05,16.450,16.550,14.370,14.570,1338006
HOU,Ex:TSE | Src:Google,2022-12-06,14.450,14.450,13.120,13.470,2041196
HOU,Ex:TSE | Src:Google,2022-12-07,13.570,13.710,12.580,12.790,1331992
HOU,Ex:TSE | Src:Google,2022-12-08,13.210,13.250,12.290,12.420,2112906
HOU,Ex:TSE | Src:Google,2022-12-09,12.510,12.840,11.970,12.420,2236482
HOU,Ex:TSE | Src:Google,2022-12-12,12.600,13.220,12.560,13.070,1427764
HOU,Ex:TSE | Src:Google,2022-12-13,13.390,14.030,13.390,13.740,1451942
HOU,Ex:TSE | Src:Google,2022-12-14,14.200,14.580,13.860,14.470,1167061
HOU,Ex:TSE | Src:Google,2022-12-15,14.280,14.360,13.750,14.000,829706
HOU,Ex:TSE | Src:Google,2022-12-16,13.180,13.850,13.030,13.370,1472336
HOU,Ex:TSE | Src:Google,2022-12-19,13.870,14.140,13.350,13.900,947769
HOU,Ex:TSE | Src:Google,2022-12-20,13.840,14.260,13.370,13.970,882116
HOU,Ex:TSE | Src:Google,2022-12-21,14.630,14.880,14.500,14.820,566978
HOU,Ex:TSE | Src:Google,2022-12-22,15.010,15.060,14.290,14.690,613497
HOU,Ex:TSE | Src:Google,2022-12-23,15.250,15.480,15.120,15.290,603973
HOU,Ex:TSE | Src:Google,2022-12-28,15.170,15.190,14.420,14.910,517920
HOU,Ex:TSE | Src:Google,2022-12-29,14.440,14.910,14.390,14.900,488885
HOU,Ex:TSE | Src:Google,2022-12-30,14.840,15.650,14.840,15.560,471436
HOU,Ex:TSE | Src:Google,2023-01-03,14.900,15.340,14.150,14.370,1128688
HOU,Ex:TSE | Src:Google,2023-01-04,13.480,13.480,12.770,12.920,1682656
HOU,Ex:TSE | Src:Google,2023-01-05,12.930,13.490,12.730,13.100,1137854
HOU,Ex:TSE | Src:Google,2023-01-06,13.490,13.660,12.940,13.090,809026
HOU,Ex:TSE | Src:Google,2023-01-09,13.770,14.140,13.330,13.500,1253739
HOU,Ex:TSE | Src:Google,2023-01-10,13.630,13.870,13.210,13.540,624690
HOU,Ex:TSE | Src:Google,2023-01-11,14.120,14.540,13.810,14.490,1474682
HOU,Ex:TSE | Src:Google,2023-01-12,14.940,15.040,14.630,14.720,572871
HOU,Ex:TSE | Src:Google,2023-01-13,15.040,15.380,14.890,15.360,878385
HOU,Ex:TSE | Src:Google,2023-01-16,14.990,15.080,14.840,14.950,202152
HOU,Ex:TSE | Src:Google,2023-01-17,15.730,15.850,15.120,15.770,917121
HOU,Ex:TSE | Src:Google,2023-01-18,16.130,16.300,15.030,15.110,945406
HOU,Ex:TSE | Src:Google,2023-01-19,15.410,15.830,15.190,15.560,594483
HOU,Ex:TSE | Src:Google,2023-01-20,15.680,16.000,15.250,15.970,643636
HOU,Ex:TSE | Src:Google,2023-01-23,16.090,16.280,15.830,15.910,703154
HOU,Ex:TSE | Src:Google,2023-01-24,15.940,15.950,15.150,15.300,856183
HOU,Ex:TSE | Src:Google,2023-01-25,15.390,15.710,15.080,15.470,531416
HOU,Ex:TSE | Src:Google,2023-01-26,15.990,16.040,15.360,15.660,935076
HOU,Ex:TSE | Src:Google,2023-01-27,16.030,16.070,14.900,15.040,1184507
HOU,Ex:TSE | Src:Google,2023-01-30,14.710,15.210,14.390,14.420,1046756
HOU,Ex:TSE | Src:Google,2023-01-31,14.260,14.950,14.200,14.900,772926
HOU,Ex:TSE | Src:Google,2023-02-01,14.870,14.950,13.770,14.050,1271212
HOU,Ex:TSE | Src:Google,2023-02-02,13.890,14.070,13.390,13.690,1152986
HOU,Ex:TSE | Src:Google,2023-02-03,13.780,14.450,12.730,12.770,2016826
HOU,Ex:TSE | Src:Google,2023-02-06,12.990,13.190,12.440,13.190,1233777
HOU,Ex:TSE | Src:Google,2023-02-07,13.380,14.190,13.320,14.150,1147744
HOU,Ex:TSE | Src:Google,2023-02-08,14.450,14.600,14.100,14.560,1191931
HOU,Ex:TSE | Src:Google,2023-02-09,14.210,14.470,13.860,14.250,838524
HOU,Ex:TSE | Src:Google,2023-02-10,14.710,15.090,14.700,15.060,878040
HOU,Ex:TSE | Src:Google,2023-02-13,14.850,15.320,14.700,14.880,589082
HOU,Ex:TSE | Src:Google,2023-02-14,14.320,14.910,14.190,14.800,534065
HOU,Ex:TSE | Src:Google,2023-02-15,14.570,14.800,14.110,14.610,757577
HOU,Ex:TSE | Src:Google,2023-02-16,14.600,14.790,14.380,14.400,684271
HOU,Ex:TSE | Src:Google,2023-02-17,13.500,13.860,13.310,13.740,1238345
HOU,Ex:TSE | Src:Google,2023-02-21,13.910,14.080,13.540,13.610,834311
HOU,Ex:TSE | Src:Google,2023-02-22,13.420,13.550,12.780,12.810,1450993
HOU,Ex:TSE | Src:Google,2023-02-23,13.330,13.520,13.130,13.380,774697
HOU,Ex:TSE | Src:Google,2023-02-24,13.050,13.730,12.870,13.720,1113264
HOU,Ex:TSE | Src:Google,2023-02-27,13.540,13.600,13.180,13.410,1181030
HOU,Ex:TSE | Src:Google,2023-02-28,14.060,14.110,13.800,13.830,1075853
HOU,Ex:TSE | Src:Google,2023-03-01,13.760,14.180,13.600,14.150,1329182
HOU,Ex:TSE | Src:Google,2023-03-02,14.320,14.440,14.080,14.220,558052
HOU,Ex:TSE | Src:Google,2023-03-03,13.730,14.900,13.730,14.870,849325
HOU,Ex:TSE | Src:Google,2023-03-06,14.660,15.180,14.530,15.180,633472
HOU,Ex:TSE | Src:Google,2023-03-07,15.040,15.050,13.870,13.990,802361
HOU,Ex:TSE | Src:Google,2023-03-08,13.710,13.970,13.520,13.660,1194039
HOU,Ex:TSE | Src:Google,2023-03-09,13.970,14.200,13.280,13.310,1451687
HOU,Ex:TSE | Src:Google,2023-03-10,13.380,13.840,13.270,13.650,1129914
HOU,Ex:TSE | Src:Google,2023-03-13,12.600,13.540,12.400,12.900,1401719
HOU,Ex:TSE | Src:Google,2023-03-14,12.410,12.920,11.680,11.930,2616459
HOU,Ex:TSE | Src:Google,2023-03-15,10.860,11.150,9.960,10.770,2561867
HOU,Ex:TSE | Src:Google,2023-03-16,10.320,11.160,10.030,10.760,1458495
HOU,Ex:TSE | Src:Google,2023-03-17,10.660,10.710,9.870,10.200,2245291
HOU,Ex:TSE | Src:Google,2023-03-20,10.240,10.630,9.970,10.610,1684851
HOU,Ex:TSE | Src:Google,2023-03-21,10.870,11.230,10.740,11.160,1664680
HOU,Ex:TSE | Src:Google,2023-03-22,11.230,11.720,11.050,11.300,1725265
HOU,Ex:TSE | Src:Google,2023-03-23,11.650,11.840,11.030,11.040,1767745
HOU,Ex:TSE | Src:Google,2023-03-24,10.780,11.150,10.630,11.050,1370363
HOU,Ex:TSE | Src:Google,2023-03-27,11.490,12.280,11.370,12.220,2020412
HOU,Ex:TSE | Src:Google,2023-03-28,12.090,12.540,12.080,12.370,1287080
HOU,Ex:TSE | Src:Google,2023-03-29,12.560,12.690,12.180,12.240,962354
HOU,Ex:TSE | Src:Google,2023-03-30,12.510,12.770,12.250,12.670,825738
HOU,Ex:TSE | Src:Google,2023-03-31,12.920,13.140,12.670,13.110,1028544
HOU,Ex:TSE | Src:Google,2023-04-03,14.580,14.920,14.500,14.760,1334994
HOU,Ex:TSE | Src:Google,2023-04-04,15.110,15.120,14.460,14.760,989640
HOU,Ex:TSE | Src:Google,2023-04-05,14.800,14.860,14.490,14.730,619362
HOU,Ex:TSE | Src:Google,2023-04-06,14.750,14.840,14.530,14.770,424572
HOU,Ex:TSE | Src:Google,2023-04-10,14.760,14.950,14.460,14.520,498755
HOU,Ex:TSE | Src:Google,2023-04-11,14.630,15.130,14.590,15.070,679776
HOU,Ex:TSE | Src:Google,2023-04-12,15.360,15.810,15.330,15.700,672006
HOU,Ex:TSE | Src:Google,2023-04-13,15.660,15.760,15.300,15.360,434921
HOU,Ex:TSE | Src:Google,2023-04-14,15.460,15.660,15.180,15.500,437576
HOU,Ex:TSE | Src:Google,2023-04-17,15.310,15.350,14.730,14.900,479605
HOU,Ex:TSE | Src:Google,2023-04-18,14.910,15.100,14.520,14.850,435682
HOU,Ex:TSE | Src:Google,2023-04-19,14.410,14.510,14.020,14.250,944820
HOU,Ex:TSE | Src:Google,2023-04-20,13.620,13.820,13.460,13.540,1006666
HOU,Ex:TSE | Src:Google,2023-04-21,13.880,13.920,13.580,13.730,573991
HOU,Ex:TSE | Src:Google,2023-04-24,13.680,14.220,13.610,14.080,1477221
HOU,Ex:TSE | Src:Google,2023-04-25,13.790,13.800,13.290,13.460,1148962
HOU,Ex:TSE | Src:Google,2023-04-26,13.250,13.520,12.450,12.510,1806935
HOU,Ex:TSE | Src:Google,2023-04-27,12.660,12.820,12.430,12.680,1272325
HOU,Ex:TSE | Src:Google,2023-04-28,12.710,13.370,12.580,13.320,871740
HOU,Ex:TSE | Src:Google,2023-05-01,12.850,13.090,12.580,12.960,1098229
HOU,Ex:TSE | Src:Google,2023-05-02,12.550,12.550,11.520,11.560,2251957
HOU,Ex:TSE | Src:Google,2023-05-03,10.890,10.900,10.410,10.490,2250471
HOU,Ex:TSE | Src:Google,2023-05-04,10.560,10.990,10.300,10.620,1263859
HOU,Ex:TSE | Src:Google,2023-05-05,11.360,11.580,11.330,11.460,1211937
HOU,Ex:TSE | Src:Google,2023-05-08,12.120,12.170,11.840,11.910,1038887
HOU,Ex:TSE | Src:Google,2023-05-09,11.740,12.220,11.450,12.130,1047444
HOU,Ex:TSE | Src:Google,2023-05-10,12.130,12.130,11.610,11.910,1199811
HOU,Ex:TSE | Src:Google,2023-05-11,11.510,11.620,11.240,11.490,1042597
HOU,Ex:TSE | Src:Google,2023-05-12,11.480,11.570,11.000,11.050,1059083
HOU,Ex:TSE | Src:Google,2023-05-15,11.250,11.530,11.140,11.360,890200
HOU,Ex:TSE | Src:Google,2023-05-16,11.400,11.560,11.170,11.180,501435
HOU,Ex:TSE | Src:Google,2023-05-17,11.650,12.050,11.350,11.910,1161922
HOU,Ex:TSE | Src:Google,2023-05-18,11.820,11.820,11.500,11.650,1091523
HOU,Ex:TSE | Src:Google,2023-05-19,11.870,11.870,11.370,11.630,1253811
HOU,Ex:TSE | Src:Google,2023-05-23,11.900,12.200,11.860,11.990,894120
HOU,Ex:TSE | Src:Google,2023-05-24,12.390,12.530,12.020,12.260,1195880
HOU,Ex:TSE | Src:Google,2023-05-25,11.790,11.870,11.310,11.620,1683683
HOU,Ex:TSE | Src:Google,2023-05-26,11.900,11.950,11.710,11.870,824438
HOU,Ex:TSE | Src:Google,2023-05-29,11.680,11.980,11.680,11.950,285935
HOU,Ex:TSE | Src:Google,2023-05-30,11.140,11.170,10.700,10.920,2404808
HOU,Ex:TSE | Src:Google,2023-05-31,10.640,10.830,10.310,10.320,1508777
HOU,Ex:TSE | Src:Google,2023-06-01,10.360,11.270,10.310,10.980,1345798
HOU,Ex:TSE | Src:Google,2023-06-02,11.520,11.630,11.320,11.580,1468153
HOU,Ex:TSE | Src:Google,2023-06-05,12.020,12.050,11.540,11.550,1169661
HOU,Ex:TSE | Src:Google,2023-06-06,11.160,11.690,11.160,11.450,619752
HOU,Ex:TSE | Src:Google,2023-06-07,11.690,11.970,11.620,11.780,1000108
HOU,Ex:TSE | Src:Google,2023-06-08,11.820,11.850,10.660,11.290,2393739
HOU,Ex:TSE | Src:Google,2023-06-09,11.330,11.520,11.010,11.060,992649
HOU,Ex:TSE | Src:Google,2023-06-12,10.380,10.430,9.980,10.050,3729426
HOU,Ex:TSE | Src:Google,2023-06-13,10.660,10.860,10.630,10.660,2207945
HOU,Ex:TSE | Src:Google,2023-06-14,10.980,11.060,10.350,10.550,1842253
HOU,Ex:TSE | Src:Google,2023-06-15,10.660,11.210,10.640,11.080,1830254
HOU,Ex:TSE | Src:Google,2023-06-16,11.090,11.480,11.030,11.430,1091220
HOU,Ex:TSE | Src:Google,2023-06-19,11.430,11.490,11.180,11.330,291729
HOU,Ex:TSE | Src:Google,2023-06-20,11.220,11.290,10.780,11.270,1333440
HOU,Ex:TSE | Src:Google,2023-06-21,11.230,11.700,11.210,11.690,666608
HOU,Ex:TSE | Src:Google,2023-06-22,10.980,11.110,10.510,10.660,2678614
HOU,Ex:TSE | Src:Google,2023-06-23,10.140,10.630,10.090,10.620,1628842
HOU,Ex:TSE | Src:Google,2023-06-26,10.490,10.850,10.490,10.700,1214779
HOU,Ex:TSE | Src:Google,2023-06-27,10.560,10.640,10.100,10.160,2389292
HOU,Ex:TSE | Src:Google,2023-06-28,10.200,10.740,10.010,10.590,2266296
HOU,Ex:TSE | Src:Google,2023-06-29,10.680,11.000,10.510,10.760,1446855
HOU,Ex:TSE | Src:Google,2023-06-30,10.910,11.130,10.850,10.990,1613082
HOU,Ex:TSE | Src:Google,2023-07-04,11.080,11.220,11.020,11.170,607366
HOU,Ex:TSE | Src:Google,2023-07-05,11.400,11.480,11.140,11.400,1033791
HOU,Ex:TSE | Src:Google,2023-07-06,11.280,11.390,10.860,11.360,1228932
HOU,Ex:TSE | Src:Google,2023-07-07,11.230,11.970,11.230,11.880,1269390
HOU,Ex:TSE | Src:Google,2023-07-10,11.770,12.040,11.590,11.750,791321
HOU,Ex:TSE | Src:Google,2023-07-11,11.890,12.280,11.850,12.260,702875
HOU,Ex:TSE | Src:Google,2023-07-12,12.480,12.640,12.380,12.590,1088918
HOU,Ex:TSE | Src:Google,2023-07-13,12.540,13.050,12.420,13.050,824130
HOU,Ex:TSE | Src:Google,2023-07-14,12.830,12.830,12.360,12.400,470815
HOU,Ex:TSE | Src:Google,2023-07-17,12.130,12.330,12.000,12.020,394988
HOU,Ex:TSE | Src:Google,2023-07-18,12.050,12.610,12.030,12.550,434338
HOU,Ex:TSE | Src:Google,2023-07-19,12.740,12.930,12.340,12.420,581198
HOU,Ex:TSE | Src:Google,2023-07-20,12.630,12.700,12.170,12.570,567132
HOU,Ex:TSE | Src:Google,2023-07-21,12.730,13.070,12.620,12.950,645549
HOU,Ex:TSE | Src:Google,2023-07-24,13.200,13.730,13.080,13.630,594102
HOU,Ex:TSE | Src:Google,2023-07-25,13.500,13.940,13.480,13.840,453809
HOU,Ex:TSE | Src:Google,2023-07-26,13.590,13.890,13.500,13.610,340426
HOU,Ex:TSE | Src:Google,2023-07-27,13.810,14.150,13.650,13.910,542489
HOU,Ex:TSE | Src:Google,2023-07-28,13.860,14.220,13.680,14.160,516744
HOU,Ex:TSE | Src:Google,2023-07-31,14.430,14.650,14.340,14.610,552016
HOU,Ex:TSE | Src:Google,2023-08-01,14.420,14.620,14.190,14.530,276929
HOU,Ex:TSE | Src:Google,2023-08-02,14.410,14.410,13.650,13.910,767228
HOU,Ex:TSE | Src:Google,2023-08-03,13.970,14.590,13.970,14.540,469153
HOU,Ex:TSE | Src:Google,2023-08-04,14.570,15.040,14.480,14.850,495765
HOU,Ex:TSE | Src:Google,2023-08-08,14.230,15.000,14.060,14.900,535240
HOU,Ex:TSE | Src:Google,2023-08-09,15.220,15.510,14.990,15.380,718245
HOU,Ex:TSE | Src:Google,2023-08-10,15.190,15.360,14.840,14.930,491754
HOU,Ex:TSE | Src:Google,2023-08-11,14.920,15.220,14.830,14.980,379727
HOU,Ex:TSE | Src:Google,2023-08-14,14.760,14.980,14.610,14.800,295901
HOU,Ex:TSE | Src:Google,2023-08-15,14.540,14.540,14.070,14.260,649848
HOU,Ex:TSE | Src:Google,2023-08-16,14.350,14.400,13.640,13.650,877466
HOU,Ex:TSE | Src:Google,2023-08-17,14.120,14.280,13.910,13.930,587601
HOU,Ex:TSE | Src:Google,2023-08-18,14.080,14.410,13.940,14.290,410170
HOU,Ex:TSE | Src:Google,2023-08-21,14.510,14.580,14.080,14.120,461954
HOU,Ex:TSE | Src:Google,2023-08-22,14.160,14.210,13.890,14.000,488103
HOU,Ex:TSE | Src:Google,2023-08-23,13.340,13.870,13.250,13.610,798747
HOU,Ex:TSE | Src:Google,2023-08-24,13.420,13.810,13.250,13.690,511812
HOU,Ex:TSE | Src:Google,2023-08-25,14.180,14.190,13.440,14.100,880138
HOU,Ex:TSE | Src:Google,2023-08-28,14.040,14.350,13.980,14.100,502690
HOU,Ex:TSE | Src:Google,2023-08-29,14.210,14.480,13.840,14.460,620642
HOU,Ex:TSE | Src:Google,2023-08-30,14.640,14.750,14.370,14.630,543638
