Symbol,Settings,Date,Open,High,Low,Close,Volume
HQU,Ex:TSE | Src:Yahoo JSON (forced),2020-10-01,11.157,12.333,9.917,10.107,29884986
HQU,Ex:TSE | Src:Yahoo JSON (forced),2020-11-01,10.263,12.450,9.913,12.383,22414650
HQU,Ex:TSE | Src:Yahoo JSON (forced),2020-12-01,12.590,13.687,12.263,13.613,17571300
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-01-01,13.613,15.003,12.863,13.587,25073373
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-02-01,13.887,15.670,13.200,13.517,22999431
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-03-01,13.923,14.340,12.063,13.770,46292370
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-04-01,14.160,15.830,14.097,15.373,14802195
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-05-01,15.513,15.570,13.417,14.990,20423817
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-06-01,15.077,16.900,14.450,16.840,13105815
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-07-01,16.840,18.175,16.580,17.735,4602406
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-08-01,17.735,19.290,17.270,19.205,5320051
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-09-01,19.310,19.485,16.990,16.990,5529252
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-10-01,17.030,19.740,16.290,19.740,5697856
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-11-01,19.760,22.050,19.560,20.440,8371127
HQU,Ex:TSE | Src:Yahoo JSON (forced),2021-12-01,20.910,21.350,18.710,20.720,13492300
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-01-01,20.720,21.250,14.520,17.160,18579178
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-02-01,17.300,17.780,12.950,15.465,13259096
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-03-01,15.370,17.590,12.870,16.670,16720505
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-04-01,16.750,17.330,12.260,12.300,15399455
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-05-01,12.300,13.640,9.670,11.690,29027867
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-06-01,11.840,12.140,8.790,9.520,24142797
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-07-01,9.520,12.000,9.110,11.930,15364940
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-08-01,11.930,13.350,10.570,10.620,17031194
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-09-01,10.430,11.440,8.360,8.380,30360003
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-10-01,8.490,9.425,7.520,8.900,35782424
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-11-01,9.150,9.760,7.720,9.700,29339936
HQU,Ex:TSE | Src:Yahoo JSON (forced),2022-12-01,9.760,9.900,7.570,7.930,23483332
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-01-01,7.930,9.850,7.580,9.600,20419129
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-02-01,9.590,10.855,9.210,9.425,18489146
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-03-01,9.400,11.200,8.870,11.185,27048943
