Symbol,Settings,Date,Open,High,Low,Close,Volume
HUC,Ex:TSE | Src:Google,2022-09-29,19.250,19.250,19.000,19.000,1269
HUC,Ex:TSE | Src:Google,2022-09-30,18.810,18.920,18.700,18.920,5305
HUC,Ex:TSE | Src:Google,2022-10-03,19.370,19.370,19.180,19.250,19058
HUC,Ex:TSE | Src:Google,2022-10-04,19.680,19.860,19.620,19.860,17838
HUC,Ex:TSE | Src:Google,2022-10-05,20.050,20.350,19.880,20.350,26450
HUC,Ex:TSE | Src:Google,2022-10-06,20.290,20.510,20.290,20.480,3907
HUC,Ex:TSE | Src:Google,2022-10-07,20.820,21.250,20.820,21.150,2873
HUC,Ex:TSE | Src:Google,2022-10-11,20.450,20.450,20.450,20.450,507
HUC,Ex:TSE | Src:Google,2022-10-12,20.150,20.150,20.150,20.150,141
HUC,Ex:TSE | Src:Google,2022-10-13,19.930,20.440,19.930,20.440,6729
HUC,Ex:TSE | Src:Google,2022-10-14,20.130,20.130,19.860,19.860,461
HUC,Ex:TSE | Src:Google,2022-10-17,20.130,20.130,20.130,20.130,426
HUC,Ex:TSE | Src:Google,2022-10-18,19.890,19.890,19.890,19.890,351
HUC,Ex:TSE | Src:Google,2022-10-19,19.900,19.900,19.900,19.900,669
HUC,Ex:TSE | Src:Google,2022-10-20,20.390,20.390,20.090,20.090,533
HUC,Ex:TSE | Src:Google,2022-10-21,20.070,20.100,20.070,20.080,781
HUC,Ex:TSE | Src:Google,2022-10-25,20.260,20.260,20.260,20.260,6788
HUC,Ex:TSE | Src:Google,2022-10-26,20.390,20.500,20.390,20.500,201
HUC,Ex:TSE | Src:Google,2022-10-27,20.810,20.920,20.810,20.860,2460
HUC,Ex:TSE | Src:Google,2022-10-28,20.610,20.610,20.540,20.540,367
HUC,Ex:TSE | Src:Google,2022-10-31,20.330,20.480,20.240,20.240,6676
HUC,Ex:TSE | Src:Google,2022-11-01,20.960,20.960,20.790,20.800,8397
HUC,Ex:TSE | Src:Google,2022-11-02,20.800,21.220,20.800,21.060,7887
HUC,Ex:TSE | Src:Google,2022-11-03,20.860,21.040,20.860,21.040,8050
HUC,Ex:TSE | Src:Google,2022-11-04,21.710,21.710,21.710,21.710,319
