Symbol,Settings,Date,Open,High,Low,Close,Volume
HXF,Ex:TSE | Src:Google,2022-09-29,55.520,55.590,55.270,55.590,1800
HXF,Ex:TSE | Src:Google,2022-10-03,56.510,56.510,56.510,56.510,170
HXF,Ex:TSE | Src:Google,2022-10-04,57.820,57.820,57.820,57.820,235
HXF,Ex:TSE | Src:Google,2022-10-05,57.100,57.100,57.100,57.100,107
HXF,Ex:TSE | Src:Google,2022-10-06,56.600,56.600,55.850,55.850,335
HXF,Ex:TSE | Src:Google,2022-10-07,54.500,54.500,54.500,54.500,100
HXF,Ex:TSE | Src:Google,2022-10-11,53.850,53.850,53.850,53.850,1540
HXF,Ex:TSE | Src:Google,2022-10-12,53.680,53.680,53.680,53.680,1002
HXF,Ex:TSE | Src:Google,2022-10-17,55.850,55.850,55.750,55.750,241
HXF,Ex:TSE | Src:Google,2022-10-18,56.230,56.230,56.230,56.230,100
HXF,Ex:TSE | Src:Google,2022-10-20,54.840,54.840,54.840,54.840,101
HXF,Ex:TSE | Src:Google,2022-10-21,54.990,55.040,54.890,55.000,600
HXF,Ex:TSE | Src:Google,2022-10-24,55.000,55.780,55.000,55.780,568
HXF,Ex:TSE | Src:Google,2022-10-25,56.250,56.250,56.250,56.250,101
HXF,Ex:TSE | Src:Google,2022-10-26,57.000,57.000,56.510,56.510,1300
HXF,Ex:TSE | Src:Google,2022-10-27,57.240,57.240,56.770,56.870,1852
HXF,Ex:TSE | Src:Google,2022-10-31,57.240,57.240,57.160,57.160,300
HXF,Ex:TSE | Src:Google,2022-11-08,58.210,58.210,58.210,58.210,100
HXF,Ex:TSE | Src:Google,2022-11-10,58.890,59.460,58.890,59.460,200
HXF,Ex:TSE | Src:Google,2022-11-15,59.560,59.560,59.560,59.560,100
HXF,Ex:TSE | Src:Google,2022-11-16,59.310,59.310,59.310,59.310,100
HXF,Ex:TSE | Src:Google,2022-11-17,59.310,59.310,59.280,59.280,617
HXF,Ex:TSE | Src:Google,2022-11-22,60.000,60.000,60.000,60.000,100
HXF,Ex:TSE | Src:Google,2022-11-23,60.000,60.000,60.000,60.000,100
HXF,Ex:TSE | Src:Google,2022-11-24,60.750,60.750,60.750,60.750,200
HXF,Ex:TSE | Src:Google,2022-11-25,61.030,61.030,61.030,61.030,100
HXF,Ex:TSE | Src:Google,2022-11-28,60.110,60.740,60.110,60.740,649
HXF,Ex:TSE | Src:Google,2022-11-30,59.820,59.820,59.820,59.820,110
HXF,Ex:TSE | Src:Google,2022-12-05,59.880,59.880,59.880,59.880,250
HXF,Ex:TSE | Src:Google,2022-12-07,59.660,59.660,59.660,59.660,1000
HXF,Ex:TSE | Src:Google,2022-12-08,58.300,58.300,58.300,58.300,110
HXF,Ex:TSE | Src:Google,2022-12-09,58.300,59.450,58.300,59.370,1000
HXF,Ex:TSE | Src:Google,2022-12-14,57.960,57.960,57.960,57.960,200
HXF,Ex:TSE | Src:Google,2022-12-15,57.270,57.270,57.130,57.130,350
HXF,Ex:TSE | Src:Google,2022-12-19,56.420,56.840,56.420,56.840,500
HXF,Ex:TSE | Src:Google,2022-12-21,57.670,57.680,57.670,57.680,2218
HXF,Ex:TSE | Src:Google,2022-12-28,57.460,57.460,57.460,57.460,100
HXF,Ex:TSE | Src:Google,2022-12-30,57.640,57.640,57.640,57.640,690
HXF,Ex:TSE | Src:Google,2023-01-03,57.680,57.680,57.650,57.650,531
HXF,Ex:TSE | Src:Google,2023-01-04,58.330,58.330,58.330,58.330,163
HXF,Ex:TSE | Src:Google,2023-01-05,58.330,58.330,58.330,58.330,171
HXF,Ex:TSE | Src:Google,2023-01-09,59.030,59.090,58.750,58.750,401
HXF,Ex:TSE | Src:Google,2023-01-10,58.960,58.960,58.960,58.960,150
HXF,Ex:TSE | Src:Google,2023-01-11,59.340,59.340,59.340,59.340,135
HXF,Ex:TSE | Src:Google,2023-01-12,60.090,60.090,60.090,60.090,160
HXF,Ex:TSE | Src:Google,2023-01-13,60.200,60.200,60.200,60.200,506
HXF,Ex:TSE | Src:Google,2023-01-18,60.600,60.680,60.550,60.550,714
HXF,Ex:TSE | Src:Google,2023-01-19,60.270,60.270,60.270,60.270,300
HXF,Ex:TSE | Src:Google,2023-01-23,60.940,60.940,60.940,60.940,109
HXF,Ex:TSE | Src:Google,2023-01-24,61.000,61.010,61.000,61.010,813
HXF,Ex:TSE | Src:Google,2023-01-25,61.010,61.010,61.000,61.000,931
HXF,Ex:TSE | Src:Google,2023-01-26,61.700,61.700,61.700,61.700,493
HXF,Ex:TSE | Src:Google,2023-01-27,61.710,61.710,61.700,61.700,600
