Symbol,Settings,Date,Open,High,Low,Close,Volume
HXQ,Ex:TSE | Src:Google,2022-09-29,43.880,43.890,43.060,43.410,37098
HXQ,Ex:TSE | Src:Google,2022-09-30,43.370,43.930,42.990,43.040,21495
HXQ,Ex:TSE | Src:Google,2022-10-03,42.920,43.680,42.730,43.420,36688
HXQ,Ex:TSE | Src:Google,2022-10-04,44.360,44.840,44.140,44.420,55765
HXQ,Ex:TSE | Src:Google,2022-10-05,44.190,44.870,44.000,44.640,21893
HXQ,Ex:TSE | Src:Google,2022-10-06,44.810,45.150,44.740,44.810,11208
HXQ,Ex:TSE | Src:Google,2022-10-07,43.960,43.960,42.950,43.070,31204
HXQ,Ex:TSE | Src:Google,2022-10-11,42.530,42.670,42.100,42.270,22159
HXQ,Ex:TSE | Src:Google,2022-10-12,42.380,42.500,42.200,42.280,40020
HXQ,Ex:TSE | Src:Google,2022-10-13,41.480,43.160,41.390,43.080,24857
HXQ,Ex:TSE | Src:Google,2022-10-14,43.510,43.510,42.090,42.090,25386
HXQ,Ex:TSE | Src:Google,2022-10-17,42.710,43.100,42.700,43.090,18736
HXQ,Ex:TSE | Src:Google,2022-10-18,44.170,44.170,43.230,43.400,19172
HXQ,Ex:TSE | Src:Google,2022-10-19,43.240,43.810,43.190,43.350,61388
HXQ,Ex:TSE | Src:Google,2022-10-20,43.050,43.780,43.020,43.130,57775
HXQ,Ex:TSE | Src:Google,2022-10-21,42.960,43.810,42.880,43.750,24695
HXQ,Ex:TSE | Src:Google,2022-10-24,44.020,44.610,43.690,44.410,17385
HXQ,Ex:TSE | Src:Google,2022-10-25,44.470,45.040,44.450,44.990,25406
HXQ,Ex:TSE | Src:Google,2022-10-26,44.040,44.740,43.840,43.840,32771
HXQ,Ex:TSE | Src:Google,2022-10-27,43.710,43.770,43.040,43.180,25262
HXQ,Ex:TSE | Src:Google,2022-10-28,43.180,44.620,43.180,44.620,40786
HXQ,Ex:TSE | Src:Google,2022-10-31,44.270,44.360,43.980,44.040,12843
HXQ,Ex:TSE | Src:Google,2022-11-01,44.450,44.470,43.640,43.640,14473
HXQ,Ex:TSE | Src:Google,2022-11-02,43.610,43.870,42.450,42.460,36784
HXQ,Ex:TSE | Src:Google,2022-11-03,42.220,42.250,41.680,41.700,51335
HXQ,Ex:TSE | Src:Google,2022-11-04,41.700,41.700,40.800,41.490,52146
HXQ,Ex:TSE | Src:Google,2022-11-07,41.770,42.070,41.520,42.050,15981
HXQ,Ex:TSE | Src:Google,2022-11-08,42.260,42.540,41.670,42.170,28825
HXQ,Ex:TSE | Src:Google,2022-11-09,41.930,42.000,41.480,41.490,26677
HXQ,Ex:TSE | Src:Google,2022-11-10,43.050,43.910,42.730,43.870,35243
HXQ,Ex:TSE | Src:Google,2022-11-11,43.710,44.490,43.600,44.480,46237
HXQ,Ex:TSE | Src:Google,2022-11-14,44.190,44.720,44.080,44.190,49187
HXQ,Ex:TSE | Src:Google,2022-11-15,45.210,45.400,44.360,44.730,62288
HXQ,Ex:TSE | Src:Google,2022-11-16,44.420,44.560,44.110,44.290,37649
HXQ,Ex:TSE | Src:Google,2022-11-17,43.770,44.400,43.730,44.130,42013
HXQ,Ex:TSE | Src:Google,2022-11-18,44.840,44.840,44.060,44.350,27304
HXQ,Ex:TSE | Src:Google,2022-11-21,44.310,44.540,44.020,44.120,32409
HXQ,Ex:TSE | Src:Google,2022-11-22,44.140,44.530,43.800,44.530,19064
HXQ,Ex:TSE | Src:Google,2022-11-23,44.590,45.100,44.590,44.890,37011
HXQ,Ex:TSE | Src:Google,2022-11-24,45.160,45.180,44.850,44.960,4869
HXQ,Ex:TSE | Src:Google,2022-11-25,44.770,44.820,44.590,44.720,6203
HXQ,Ex:TSE | Src:Google,2022-11-28,44.640,44.750,44.270,44.510,16069
HXQ,Ex:TSE | Src:Google,2022-11-29,44.640,44.670,44.260,44.400,12223
HXQ,Ex:TSE | Src:Google,2022-11-30,44.140,45.930,44.110,45.930,30275
HXQ,Ex:TSE | Src:Google,2022-12-01,45.900,46.150,45.680,45.960,32012
HXQ,Ex:TSE | Src:Google,2022-12-02,45.220,45.940,45.190,45.840,43325
HXQ,Ex:TSE | Src:Google,2022-12-05,45.430,45.680,45.310,45.530,15072
HXQ,Ex:TSE | Src:Google,2022-12-06,45.630,45.630,44.560,44.770,28587
HXQ,Ex:TSE | Src:Google,2022-12-07,44.700,44.820,44.190,44.540,68155
HXQ,Ex:TSE | Src:Google,2022-12-08,44.570,44.960,44.420,44.870,68506
HXQ,Ex:TSE | Src:Google,2022-12-09,44.890,45.270,44.800,44.800,24105
HXQ,Ex:TSE | Src:Google,2022-12-12,44.880,45.260,44.790,45.260,11283
HXQ,Ex:TSE | Src:Google,2022-12-13,46.760,46.760,45.240,45.630,25584
HXQ,Ex:TSE | Src:Google,2022-12-14,45.530,45.940,44.950,45.220,51000
HXQ,Ex:TSE | Src:Google,2022-12-15,44.730,44.780,43.900,44.010,50443
HXQ,Ex:TSE | Src:Google,2022-12-16,43.970,44.090,43.500,43.740,220849
HXQ,Ex:TSE | Src:Google,2022-12-19,43.420,43.480,42.800,43.030,38066
HXQ,Ex:TSE | Src:Google,2022-12-20,42.790,43.010,42.510,42.810,103941
HXQ,Ex:TSE | Src:Google,2022-12-21,43.000,43.580,42.920,43.370,80625
HXQ,Ex:TSE | Src:Google,2022-12-22,43.030,43.030,41.910,42.450,39255
HXQ,Ex:TSE | Src:Google,2022-12-23,42.250,42.490,41.970,42.420,18474
HXQ,Ex:TSE | Src:Google,2022-12-28,41.500,41.790,41.230,41.290,24172
HXQ,Ex:TSE | Src:Google,2022-12-29,41.620,42.240,41.620,42.150,60555
HXQ,Ex:TSE | Src:Google,2022-12-30,41.660,42.100,41.580,42.100,81011
HXQ,Ex:TSE | Src:Google,2023-01-03,42.870,42.870,41.880,42.210,48213
HXQ,Ex:TSE | Src:Google,2023-01-04,42.120,42.120,41.540,41.850,85039
HXQ,Ex:TSE | Src:Google,2023-01-05,41.700,41.770,41.350,41.480,85918
HXQ,Ex:TSE | Src:Google,2023-01-06,41.630,42.290,41.250,42.170,117320
HXQ,Ex:TSE | Src:Google,2023-01-09,42.370,42.910,42.200,42.270,117560
HXQ,Ex:TSE | Src:Google,2023-01-10,42.150,42.760,42.150,42.760,17402
HXQ,Ex:TSE | Src:Google,2023-01-11,42.880,43.520,42.880,43.520,106233
HXQ,Ex:TSE | Src:Google,2023-01-12,43.420,43.620,42.940,43.540,70699
HXQ,Ex:TSE | Src:Google,2023-01-13,43.360,43.940,43.320,43.940,57893
HXQ,Ex:TSE | Src:Google,2023-01-16,43.930,44.220,43.850,43.980,9937
HXQ,Ex:TSE | Src:Google,2023-01-17,43.900,44.150,43.850,43.980,27530
HXQ,Ex:TSE | Src:Google,2023-01-18,44.230,44.470,43.740,43.740,62554
HXQ,Ex:TSE | Src:Google,2023-01-19,43.410,43.520,43.180,43.240,44615
HXQ,Ex:TSE | Src:Google,2023-01-20,43.490,44.180,43.450,44.180,43030
HXQ,Ex:TSE | Src:Google,2023-01-23,44.350,45.280,44.300,45.140,62282
HXQ,Ex:TSE | Src:Google,2023-01-24,44.890,45.150,44.850,45.020,38625
HXQ,Ex:TSE | Src:Google,2023-01-25,44.260,44.940,43.930,44.940,60456
HXQ,Ex:TSE | Src:Google,2023-01-26,45.450,45.630,45.070,45.630,44674
HXQ,Ex:TSE | Src:Google,2023-01-27,45.480,46.270,45.480,46.020,60347
