Symbol,Settings,Date,Open,High,Low,Close,Volume
QQC-F,Ex:TSE | Src:Google,2022-09-29,91.850,91.850,89.500,90.610,21986
QQC-F,Ex:TSE | Src:Google,2022-09-30,90.280,91.500,88.820,89.010,13810
QQC-F,Ex:TSE | Src:Google,2022-10-03,89.670,91.520,89.630,91.190,14688
QQC-F,Ex:TSE | Src:Google,2022-10-04,92.820,94.000,92.820,93.910,8529
QQC-F,Ex:TSE | Src:Google,2022-10-05,92.760,94.320,91.750,93.610,5632
QQC-F,Ex:TSE | Src:Google,2022-10-06,93.740,94.500,93.120,93.150,4131
QQC-F,Ex:TSE | Src:Google,2022-10-07,91.420,91.420,89.140,89.570,11468
QQC-F,Ex:TSE | Src:Google,2022-10-11,88.120,88.840,87.010,87.320,8348
QQC-F,Ex:TSE | Src:Google,2022-10-12,87.360,87.990,87.300,87.610,8106
QQC-F,Ex:TSE | Src:Google,2022-10-13,84.900,89.760,84.550,89.370,20716
QQC-F,Ex:TSE | Src:Google,2022-10-14,90.290,90.360,86.670,86.670,13373
QQC-F,Ex:TSE | Src:Google,2022-10-17,88.070,89.840,88.070,89.840,6959
QQC-F,Ex:TSE | Src:Google,2022-10-18,91.870,92.150,89.630,90.200,10078
QQC-F,Ex:TSE | Src:Google,2022-10-19,89.930,90.250,89.420,90.040,8134
QQC-F,Ex:TSE | Src:Google,2022-10-20,89.970,91.120,89.440,89.440,11978
QQC-F,Ex:TSE | Src:Google,2022-10-21,89.310,91.700,89.100,91.660,8031
QQC-F,Ex:TSE | Src:Google,2022-10-24,91.880,92.900,91.520,92.660,1814
QQC-F,Ex:TSE | Src:Google,2022-10-25,93.130,94.530,93.130,94.500,2931
QQC-F,Ex:TSE | Src:Google,2022-10-26,92.860,94.340,92.430,92.480,10885
QQC-F,Ex:TSE | Src:Google,2022-10-27,92.190,92.440,90.750,90.760,20300
QQC-F,Ex:TSE | Src:Google,2022-10-28,90.720,93.550,90.720,93.530,4192
QQC-F,Ex:TSE | Src:Google,2022-10-31,92.920,92.980,92.100,92.400,13668
QQC-F,Ex:TSE | Src:Google,2022-11-01,92.150,92.150,91.470,91.640,4989
QQC-F,Ex:TSE | Src:Google,2022-11-02,91.210,92.550,88.450,88.450,23717
QQC-F,Ex:TSE | Src:Google,2022-11-03,87.540,87.620,86.660,86.660,19124
QQC-F,Ex:TSE | Src:Google,2022-11-04,88.330,88.630,86.600,88.150,13325
QQC-F,Ex:TSE | Src:Google,2022-11-07,88.060,89.100,87.800,89.100,2728
QQC-F,Ex:TSE | Src:Google,2022-11-08,89.720,90.740,88.620,89.750,5564
QQC-F,Ex:TSE | Src:Google,2022-11-09,88.980,89.150,87.930,87.990,2181
QQC-F,Ex:TSE | Src:Google,2022-11-10,91.990,94.090,91.550,94.090,12547
QQC-F,Ex:TSE | Src:Google,2022-11-11,93.880,95.800,93.850,95.790,19217
QQC-F,Ex:TSE | Src:Google,2022-11-14,95.200,96.000,94.860,94.860,8462
QQC-F,Ex:TSE | Src:Google,2022-11-15,97.030,97.230,95.240,96.140,4243
QQC-F,Ex:TSE | Src:Google,2022-11-16,96.140,96.140,94.750,94.800,1535
QQC-F,Ex:TSE | Src:Google,2022-11-17,93.600,95.010,93.600,94.160,1942
QQC-F,Ex:TSE | Src:Google,2022-11-18,95.300,95.300,94.390,94.740,5950
QQC-F,Ex:TSE | Src:Google,2022-11-21,94.620,94.630,93.720,94.030,3254
QQC-F,Ex:TSE | Src:Google,2022-11-22,93.420,95.150,93.420,95.150,4272
QQC-F,Ex:TSE | Src:Google,2022-11-23,95.150,96.210,95.150,95.950,17478
QQC-F,Ex:TSE | Src:Google,2022-11-24,96.970,96.970,96.030,96.830,1159
QQC-F,Ex:TSE | Src:Google,2022-11-25,95.640,95.670,95.250,95.510,2667
QQC-F,Ex:TSE | Src:Google,2022-11-28,94.820,95.300,93.850,94.080,10551
QQC-F,Ex:TSE | Src:Google,2022-11-29,94.000,94.220,93.000,93.290,18231
QQC-F,Ex:TSE | Src:Google,2022-11-30,93.590,97.450,93.590,97.450,8616
QQC-F,Ex:TSE | Src:Google,2022-12-01,97.530,98.290,96.950,97.850,10764
QQC-F,Ex:TSE | Src:Google,2022-12-02,96.110,97.490,96.110,97.310,4254
QQC-F,Ex:TSE | Src:Google,2022-12-05,96.460,96.900,95.350,95.570,8495
QQC-F,Ex:TSE | Src:Google,2022-12-06,95.590,95.590,93.410,93.410,6076
QQC-F,Ex:TSE | Src:Google,2022-12-07,93.770,93.770,92.870,93.250,17549
QQC-F,Ex:TSE | Src:Google,2022-12-08,93.810,94.700,93.340,94.190,4455
QQC-F,Ex:TSE | Src:Google,2022-12-09,93.950,94.590,93.800,93.800,4912
QQC-F,Ex:TSE | Src:Google,2022-12-12,93.920,94.910,93.770,94.910,2907
QQC-F,Ex:TSE | Src:Google,2022-12-13,98.590,98.690,95.780,96.000,11011
QQC-F,Ex:TSE | Src:Google,2022-12-14,96.270,96.750,94.650,95.300,12786
QQC-F,Ex:TSE | Src:Google,2022-12-15,93.790,93.790,91.830,92.070,9739
QQC-F,Ex:TSE | Src:Google,2022-12-16,91.700,92.200,90.680,91.130,20038
QQC-F,Ex:TSE | Src:Google,2022-12-19,91.190,91.190,89.520,89.890,33836
QQC-F,Ex:TSE | Src:Google,2022-12-20,89.670,90.040,89.400,89.990,7057
QQC-F,Ex:TSE | Src:Google,2022-12-21,90.040,91.350,90.040,91.350,5044
QQC-F,Ex:TSE | Src:Google,2022-12-22,90.200,90.200,87.530,88.640,17054
QQC-F,Ex:TSE | Src:Google,2022-12-23,88.330,89.020,88.330,88.970,6061
QQC-F,Ex:TSE | Src:Google,2022-12-28,87.360,88.120,86.420,86.450,29898
QQC-F,Ex:TSE | Src:Google,2022-12-29,87.550,88.150,87.550,88.150,4585
QQC-F,Ex:TSE | Src:Google,2022-12-30,87.760,88.550,87.530,88.550,2472
QQC-F,Ex:TSE | Src:Google,2023-01-03,89.230,89.320,87.200,87.880,5287
QQC-F,Ex:TSE | Src:Google,2023-01-04,88.770,88.780,87.430,88.360,3827
QQC-F,Ex:TSE | Src:Google,2023-01-05,87.680,87.800,86.950,86.990,19803
QQC-F,Ex:TSE | Src:Google,2023-01-06,87.410,89.640,86.600,89.390,10088
QQC-F,Ex:TSE | Src:Google,2023-01-09,89.910,91.400,89.860,89.860,11342
QQC-F,Ex:TSE | Src:Google,2023-01-10,89.740,90.530,89.500,90.320,4875
QQC-F,Ex:TSE | Src:Google,2023-01-11,90.890,92.320,90.890,92.320,7832
QQC-F,Ex:TSE | Src:Google,2023-01-12,92.100,92.880,91.600,92.610,3916
QQC-F,Ex:TSE | Src:Google,2023-01-13,92.040,93.430,92.040,93.340,2189
QQC-F,Ex:TSE | Src:Google,2023-01-16,93.340,93.680,93.150,93.230,2468
QQC-F,Ex:TSE | Src:Google,2023-01-17,93.420,93.690,93.190,93.490,3246
QQC-F,Ex:TSE | Src:Google,2023-01-18,94.190,94.360,92.470,92.530,51266
QQC-F,Ex:TSE | Src:Google,2023-01-19,91.760,92.000,91.120,91.430,9809
QQC-F,Ex:TSE | Src:Google,2023-01-20,91.890,93.970,91.750,93.970,17937
QQC-F,Ex:TSE | Src:Google,2023-01-23,94.330,96.350,94.280,95.740,6488
QQC-F,Ex:TSE | Src:Google,2023-01-24,95.820,95.820,95.760,95.760,1784
QQC-F,Ex:TSE | Src:Google,2023-01-25,94.390,95.500,93.920,95.470,3079
QQC-F,Ex:TSE | Src:Google,2023-01-26,96.550,97.420,96.000,97.420,5955
QQC-F,Ex:TSE | Src:Google,2023-01-27,97.060,98.900,97.060,98.350,7287
QQC-F,Ex:TSE | Src:Google,2023-01-30,97.440,97.600,96.270,96.310,4309
QQC-F,Ex:TSE | Src:Google,2023-01-31,96.310,97.500,96.310,97.500,4832
QQC-F,Ex:TSE | Src:Google,2023-02-01,97.700,100.650,97.320,99.850,14597
QQC-F,Ex:TSE | Src:Google,2023-02-02,101.500,103.500,101.500,103.400,14585
QQC-F,Ex:TSE | Src:Google,2023-02-03,101.500,103.400,101.500,101.760,19227
QQC-F,Ex:TSE | Src:Google,2023-02-06,100.620,101.390,100.510,100.830,5073
QQC-F,Ex:TSE | Src:Google,2023-02-07,101.110,102.840,100.660,102.840,6709
QQC-F,Ex:TSE | Src:Google,2023-02-08,102.570,102.700,100.920,101.150,2987
QQC-F,Ex:TSE | Src:Google,2023-02-09,102.670,102.670,99.950,100.070,5090
