Symbol,Settings,Date,Open,High,Low,Close,Volume
VDY,Ex:TSE | Src:Google,2020-10-01,29.070,29.110,28.790,28.860,98386
VDY,Ex:TSE | Src:Google,2020-10-02,28.580,29.170,28.510,29.130,83556
VDY,Ex:TSE | Src:Google,2020-10-05,29.340,29.610,29.140,29.530,95536
VDY,Ex:TSE | Src:Google,2020-10-06,29.630,29.740,29.390,29.470,92270
VDY,Ex:TSE | Src:Google,2020-10-07,29.680,29.790,29.610,29.770,38152
VDY,Ex:TSE | Src:Google,2020-10-08,29.910,30.130,29.860,30.130,46635
VDY,Ex:TSE | Src:Google,2020-10-09,30.140,30.180,29.800,29.870,59055
VDY,Ex:TSE | Src:Google,2020-10-13,29.950,29.950,29.550,29.650,47820
VDY,Ex:TSE | Src:Google,2020-10-14,29.690,29.780,29.500,29.500,43106
VDY,Ex:TSE | Src:Google,2020-10-15,29.240,29.690,29.200,29.650,44299
VDY,Ex:TSE | Src:Google,2020-10-16,29.700,29.730,29.580,29.590,52804
VDY,Ex:TSE | Src:Google,2020-10-19,29.600,29.600,29.200,29.210,68701
VDY,Ex:TSE | Src:Google,2020-10-20,29.370,29.440,29.190,29.250,47764
VDY,Ex:TSE | Src:Google,2020-10-21,29.180,29.310,29.090,29.250,33219
VDY,Ex:TSE | Src:Google,2020-10-22,29.340,29.640,29.340,29.610,85323
VDY,Ex:TSE | Src:Google,2020-10-23,29.720,29.800,29.620,29.700,105928
VDY,Ex:TSE | Src:Google,2020-10-26,29.440,29.540,29.110,29.260,81263
VDY,Ex:TSE | Src:Google,2020-10-27,29.200,29.200,28.840,28.890,55787
VDY,Ex:TSE | Src:Google,2020-10-28,28.540,28.620,28.240,28.240,133895
VDY,Ex:TSE | Src:Google,2020-10-29,28.200,28.650,27.990,28.560,144228
VDY,Ex:TSE | Src:Google,2020-10-30,28.300,28.440,28.130,28.440,76583
VDY,Ex:TSE | Src:Google,2020-11-02,28.610,28.610,28.370,28.520,73981
VDY,Ex:TSE | Src:Google,2020-11-03,28.750,28.970,28.710,28.890,59457
VDY,Ex:TSE | Src:Google,2020-11-04,29.050,29.290,28.750,29.010,77496
VDY,Ex:TSE | Src:Google,2020-11-05,29.340,29.350,29.050,29.070,93077
VDY,Ex:TSE | Src:Google,2020-11-06,29.260,29.300,28.760,28.840,49670
VDY,Ex:TSE | Src:Google,2020-11-09,30.560,30.560,30.070,30.280,162297
VDY,Ex:TSE | Src:Google,2020-11-10,30.340,31.150,30.340,31.130,120083
VDY,Ex:TSE | Src:Google,2020-11-11,31.400,31.430,31.230,31.330,116286
VDY,Ex:TSE | Src:Google,2020-11-12,31.210,31.210,30.650,30.800,56501
VDY,Ex:TSE | Src:Google,2020-11-13,30.950,31.100,30.870,30.890,52234
VDY,Ex:TSE | Src:Google,2020-11-16,31.260,31.540,31.220,31.530,96700
VDY,Ex:TSE | Src:Google,2020-11-17,31.350,31.850,31.270,31.850,95702
VDY,Ex:TSE | Src:Google,2020-11-18,31.910,32.100,31.880,31.940,76404
VDY,Ex:TSE | Src:Google,2020-11-19,31.900,31.960,31.730,31.950,53094
VDY,Ex:TSE | Src:Google,2020-11-20,31.940,32.180,31.790,32.160,40378
VDY,Ex:TSE | Src:Google,2020-11-23,32.230,32.730,32.230,32.670,87808
VDY,Ex:TSE | Src:Google,2020-11-24,33.000,33.520,33.000,33.450,140943
VDY,Ex:TSE | Src:Google,2020-11-25,33.360,33.460,33.150,33.420,79960
VDY,Ex:TSE | Src:Google,2020-11-26,33.510,33.510,33.400,33.440,23134
VDY,Ex:TSE | Src:Google,2020-11-27,33.440,33.610,33.410,33.550,80749
VDY,Ex:TSE | Src:Google,2020-11-30,33.250,33.250,32.650,32.650,95495
VDY,Ex:TSE | Src:Google,2020-12-01,33.010,33.190,32.840,32.850,55066
VDY,Ex:TSE | Src:Google,2020-12-02,32.840,33.060,32.800,33.000,49202
VDY,Ex:TSE | Src:Google,2020-12-03,33.050,33.270,33.050,33.140,69044
VDY,Ex:TSE | Src:Google,2020-12-04,33.260,33.530,33.260,33.510,46105
VDY,Ex:TSE | Src:Google,2020-12-07,33.440,33.510,33.140,33.470,78248
VDY,Ex:TSE | Src:Google,2020-12-08,33.370,33.610,33.360,33.590,66611
VDY,Ex:TSE | Src:Google,2020-12-09,33.700,33.830,33.590,33.750,53165
VDY,Ex:TSE | Src:Google,2020-12-10,33.610,33.850,33.610,33.850,38465
VDY,Ex:TSE | Src:Google,2020-12-11,33.700,33.800,33.620,33.790,42839
VDY,Ex:TSE | Src:Google,2020-12-14,34.000,34.000,33.370,33.370,115815
VDY,Ex:TSE | Src:Google,2020-12-15,33.520,33.620,33.320,33.460,50385
VDY,Ex:TSE | Src:Google,2020-12-16,33.540,33.540,33.260,33.340,54977
VDY,Ex:TSE | Src:Google,2020-12-17,33.420,33.420,33.170,33.240,27262
VDY,Ex:TSE | Src:Google,2020-12-18,33.300,33.300,33.010,33.080,48763
VDY,Ex:TSE | Src:Google,2020-12-21,32.600,32.810,32.450,32.810,92442
VDY,Ex:TSE | Src:Google,2020-12-22,32.860,32.860,32.590,32.650,46187
VDY,Ex:TSE | Src:Google,2020-12-23,32.790,33.000,32.790,32.980,28409
VDY,Ex:TSE | Src:Google,2020-12-24,33.010,33.010,32.800,32.990,22093
VDY,Ex:TSE | Src:Google,2020-12-29,33.200,33.200,32.930,32.940,75900
VDY,Ex:TSE | Src:Google,2020-12-30,32.940,33.040,32.810,32.810,32676
VDY,Ex:TSE | Src:Google,2020-12-31,32.770,33.000,32.750,32.750,34975
VDY,Ex:TSE | Src:Google,2021-01-04,33.000,33.000,32.660,32.840,65222
VDY,Ex:TSE | Src:Google,2021-01-05,32.870,33.460,32.870,33.370,66002
VDY,Ex:TSE | Src:Google,2021-01-06,33.500,34.010,33.500,33.860,109595
VDY,Ex:TSE | Src:Google,2021-01-07,34.100,34.260,34.000,34.180,125576
VDY,Ex:TSE | Src:Google,2021-01-08,34.330,34.330,34.000,34.130,63911
VDY,Ex:TSE | Src:Google,2021-01-11,34.010,34.170,34.000,34.120,87233
VDY,Ex:TSE | Src:Google,2021-01-12,34.210,34.450,34.160,34.390,56754
VDY,Ex:TSE | Src:Google,2021-01-13,34.430,34.480,34.310,34.400,93858
VDY,Ex:TSE | Src:Google,2021-01-14,34.390,34.780,34.350,34.670,64430
VDY,Ex:TSE | Src:Google,2021-01-15,34.640,34.670,34.400,34.620,43656
VDY,Ex:TSE | Src:Google,2021-01-18,34.570,34.570,34.450,34.520,46688
VDY,Ex:TSE | Src:Google,2021-01-19,34.570,34.760,34.570,34.640,67229
VDY,Ex:TSE | Src:Google,2021-01-20,34.750,34.750,34.420,34.550,47317
VDY,Ex:TSE | Src:Google,2021-01-21,34.550,34.550,34.300,34.400,73357
VDY,Ex:TSE | Src:Google,2021-01-22,34.200,34.210,34.080,34.160,90062
VDY,Ex:TSE | Src:Google,2021-01-25,34.130,34.160,33.830,34.160,89571
VDY,Ex:TSE | Src:Google,2021-01-26,34.240,34.240,33.910,34.030,54589
VDY,Ex:TSE | Src:Google,2021-01-27,33.810,33.820,33.500,33.530,102221
VDY,Ex:TSE | Src:Google,2021-01-28,33.650,34.010,33.500,33.850,72307
VDY,Ex:TSE | Src:Google,2021-01-29,33.300,33.510,33.050,33.140,121816
VDY,Ex:TSE | Src:Google,2021-02-01,33.360,33.510,33.160,33.450,72670
VDY,Ex:TSE | Src:Google,2021-02-02,33.720,33.890,33.700,33.780,121526
VDY,Ex:TSE | Src:Google,2021-02-03,33.880,33.940,33.750,33.940,57948
VDY,Ex:TSE | Src:Google,2021-02-04,34.030,34.290,33.950,34.240,59147
VDY,Ex:TSE | Src:Google,2021-02-05,34.420,34.420,34.220,34.300,49964
VDY,Ex:TSE | Src:Google,2021-02-08,34.440,34.630,34.430,34.600,102612
VDY,Ex:TSE | Src:Google,2021-02-09,34.610,34.610,34.390,34.530,46054
VDY,Ex:TSE | Src:Google,2021-02-10,34.620,34.620,34.370,34.530,58198
VDY,Ex:TSE | Src:Google,2021-02-11,34.640,34.680,34.500,34.570,40824
VDY,Ex:TSE | Src:Google,2021-02-12,34.600,34.740,34.570,34.740,41925
VDY,Ex:TSE | Src:Google,2021-02-16,34.950,34.980,34.880,34.890,78306
VDY,Ex:TSE | Src:Google,2021-02-17,34.880,34.990,34.850,34.960,76787
VDY,Ex:TSE | Src:Google,2021-02-18,34.890,35.050,34.800,34.990,59082
VDY,Ex:TSE | Src:Google,2021-02-19,35.020,35.190,34.980,35.120,49362
VDY,Ex:TSE | Src:Google,2021-02-22,35.130,35.580,35.130,35.460,141416
VDY,Ex:TSE | Src:Google,2021-02-23,35.600,35.800,35.280,35.740,82579
VDY,Ex:TSE | Src:Google,2021-02-24,35.860,36.370,35.720,36.200,117756
VDY,Ex:TSE | Src:Google,2021-02-25,36.240,36.260,35.670,35.770,124506
VDY,Ex:TSE | Src:Google,2021-02-26,35.620,35.620,34.980,34.990,108630
VDY,Ex:TSE | Src:Google,2021-03-01,35.450,35.740,35.370,35.520,77287
VDY,Ex:TSE | Src:Google,2021-03-02,35.630,35.960,35.570,35.810,107520
VDY,Ex:TSE | Src:Google,2021-03-03,35.960,36.160,35.800,36.030,107759
VDY,Ex:TSE | Src:Google,2021-03-04,36.070,36.250,35.740,35.960,111739
VDY,Ex:TSE | Src:Google,2021-03-05,36.320,36.690,36.280,36.610,125989
VDY,Ex:TSE | Src:Google,2021-03-08,36.720,37.170,36.660,37.060,120254
VDY,Ex:TSE | Src:Google,2021-03-09,37.160,37.260,36.890,37.000,88187
VDY,Ex:TSE | Src:Google,2021-03-10,37.150,37.570,37.100,37.470,112311
VDY,Ex:TSE | Src:Google,2021-03-11,37.630,37.770,37.470,37.570,71907
VDY,Ex:TSE | Src:Google,2021-03-12,37.600,37.720,37.460,37.650,60739
VDY,Ex:TSE | Src:Google,2021-03-15,37.820,37.880,37.510,37.710,64742
VDY,Ex:TSE | Src:Google,2021-03-16,37.700,37.710,37.400,37.550,72227
VDY,Ex:TSE | Src:Google,2021-03-17,37.560,37.800,37.550,37.710,43122
VDY,Ex:TSE | Src:Google,2021-03-18,37.740,38.000,37.580,37.600,83911
VDY,Ex:TSE | Src:Google,2021-03-19,37.590,37.700,37.240,37.600,69318
VDY,Ex:TSE | Src:Google,2021-03-22,37.610,37.610,37.380,37.470,129801
VDY,Ex:TSE | Src:Google,2021-03-23,37.400,37.470,37.150,37.200,118715
VDY,Ex:TSE | Src:Google,2021-03-24,37.310,37.630,37.310,37.430,67996
VDY,Ex:TSE | Src:Google,2021-03-25,37.400,37.640,37.250,37.610,65496
VDY,Ex:TSE | Src:Google,2021-03-26,37.720,37.840,37.630,37.830,70754
VDY,Ex:TSE | Src:Google,2021-03-29,37.740,37.840,37.620,37.750,69588
VDY,Ex:TSE | Src:Google,2021-03-30,37.780,37.820,37.680,37.730,43375
VDY,Ex:TSE | Src:Google,2021-03-31,37.600,37.600,37.210,37.270,70659
VDY,Ex:TSE | Src:Google,2021-04-01,37.410,37.580,37.230,37.580,42089
VDY,Ex:TSE | Src:Google,2021-04-05,37.770,37.770,37.600,37.700,64695
VDY,Ex:TSE | Src:Google,2021-04-06,37.770,37.870,37.670,37.760,58356
VDY,Ex:TSE | Src:Google,2021-04-07,37.830,37.850,37.730,37.810,41375
VDY,Ex:TSE | Src:Google,2021-04-08,37.820,37.820,37.560,37.780,114158
VDY,Ex:TSE | Src:Google,2021-04-09,37.810,37.820,37.680,37.740,62652
VDY,Ex:TSE | Src:Google,2021-04-12,37.800,38.000,37.740,37.900,88357
VDY,Ex:TSE | Src:Google,2021-04-13,37.930,37.930,37.710,37.710,69299
VDY,Ex:TSE | Src:Google,2021-04-14,37.860,38.020,37.850,37.920,54301
VDY,Ex:TSE | Src:Google,2021-04-15,38.080,38.080,37.820,37.940,71595
VDY,Ex:TSE | Src:Google,2021-04-16,38.070,38.070,37.930,37.990,46934
VDY,Ex:TSE | Src:Google,2021-04-19,38.000,38.070,37.780,37.860,99524
VDY,Ex:TSE | Src:Google,2021-04-20,37.700,37.730,37.480,37.560,97405
VDY,Ex:TSE | Src:Google,2021-04-21,37.550,37.770,37.500,37.750,54865
VDY,Ex:TSE | Src:Google,2021-04-22,37.840,37.840,37.560,37.660,116483
VDY,Ex:TSE | Src:Google,2021-04-23,37.700,37.950,37.600,37.900,46517
VDY,Ex:TSE | Src:Google,2021-04-26,37.950,38.070,37.910,37.980,195939
VDY,Ex:TSE | Src:Google,2021-04-27,37.900,38.240,37.900,38.140,64267
VDY,Ex:TSE | Src:Google,2021-04-28,38.190,38.420,38.190,38.300,53546
VDY,Ex:TSE | Src:Google,2021-04-29,38.500,38.650,38.400,38.440,101333
VDY,Ex:TSE | Src:Google,2021-04-30,38.300,38.330,38.150,38.210,61689
VDY,Ex:TSE | Src:Google,2021-05-03,38.480,38.500,38.350,38.420,105365
VDY,Ex:TSE | Src:Google,2021-05-04,38.460,38.590,38.270,38.470,80627
VDY,Ex:TSE | Src:Google,2021-05-05,38.610,38.900,38.500,38.870,86387
VDY,Ex:TSE | Src:Google,2021-05-06,38.870,38.950,38.630,38.920,66293
VDY,Ex:TSE | Src:Google,2021-05-07,38.980,39.160,38.710,39.130,90816
