Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2020-10-01,79.990,80.110,79.200,79.610,100815
VFV,Ex:TSE | Src:Google,2020-10-02,78.180,79.410,78.180,79.000,108118
VFV,Ex:TSE | Src:Google,2020-10-05,79.500,80.200,79.350,80.160,97123
VFV,Ex:TSE | Src:Google,2020-10-06,80.200,80.610,79.130,79.280,87951
VFV,Ex:TSE | Src:Google,2020-10-07,79.870,80.570,79.870,80.500,61903
VFV,Ex:TSE | Src:Google,2020-10-08,80.650,80.880,80.480,80.720,53901
VFV,Ex:TSE | Src:Google,2020-10-09,80.890,81.060,80.650,80.930,65844
VFV,Ex:TSE | Src:Google,2020-10-13,81.300,82.280,81.300,81.950,84245
VFV,Ex:TSE | Src:Google,2020-10-14,82.070,82.170,81.200,81.330,43381
VFV,Ex:TSE | Src:Google,2020-10-15,80.760,81.750,80.760,81.680,53360
VFV,Ex:TSE | Src:Google,2020-10-16,82.340,82.340,81.500,81.500,49338
VFV,Ex:TSE | Src:Google,2020-10-19,82.000,82.000,80.050,80.220,84401
VFV,Ex:TSE | Src:Google,2020-10-20,81.340,81.340,80.020,80.200,82033
VFV,Ex:TSE | Src:Google,2020-10-21,80.100,80.560,79.940,80.150,74102
VFV,Ex:TSE | Src:Google,2020-10-22,80.110,80.650,79.700,80.510,64871
VFV,Ex:TSE | Src:Google,2020-10-23,80.750,80.760,80.300,80.760,58051
VFV,Ex:TSE | Src:Google,2020-10-26,80.450,80.450,78.960,79.620,109284
VFV,Ex:TSE | Src:Google,2020-10-27,79.600,79.670,79.190,79.300,71366
VFV,Ex:TSE | Src:Google,2020-10-28,78.740,78.820,77.250,77.250,185358
VFV,Ex:TSE | Src:Google,2020-10-29,77.630,79.000,77.430,78.320,121515
VFV,Ex:TSE | Src:Google,2020-10-30,77.880,77.970,76.490,77.280,209281
VFV,Ex:TSE | Src:Google,2020-11-02,78.170,78.360,77.190,77.660,95499
VFV,Ex:TSE | Src:Google,2020-11-03,78.070,79.060,77.880,78.650,98179
VFV,Ex:TSE | Src:Google,2020-11-04,80.000,81.130,79.770,80.350,132179
VFV,Ex:TSE | Src:Google,2020-11-05,81.070,81.640,81.070,81.340,133341
VFV,Ex:TSE | Src:Google,2020-11-06,81.650,81.650,80.800,81.250,111407
VFV,Ex:TSE | Src:Google,2020-11-09,84.900,84.900,82.000,82.000,232298
VFV,Ex:TSE | Src:Google,2020-11-10,81.950,82.180,81.350,82.150,111379
VFV,Ex:TSE | Src:Google,2020-11-11,82.790,83.000,82.490,82.900,54769
VFV,Ex:TSE | Src:Google,2020-11-12,82.700,83.160,82.130,82.520,110273
VFV,Ex:TSE | Src:Google,2020-11-13,82.800,83.950,82.800,83.720,73674
VFV,Ex:TSE | Src:Google,2020-11-16,84.050,84.350,83.770,84.350,99121
VFV,Ex:TSE | Src:Google,2020-11-17,84.340,84.340,83.480,84.000,94689
VFV,Ex:TSE | Src:Google,2020-11-18,84.150,84.150,82.890,82.890,103555
VFV,Ex:TSE | Src:Google,2020-11-19,82.880,83.210,82.680,83.150,49592
VFV,Ex:TSE | Src:Google,2020-11-20,83.150,83.160,82.700,82.700,84189
VFV,Ex:TSE | Src:Google,2020-11-23,83.170,83.370,82.690,83.190,101910
VFV,Ex:TSE | Src:Google,2020-11-24,84.140,84.190,83.570,83.990,88592
VFV,Ex:TSE | Src:Google,2020-11-25,84.240,84.240,83.650,83.840,81400
VFV,Ex:TSE | Src:Google,2020-11-26,84.000,84.240,83.850,83.930,54185
VFV,Ex:TSE | Src:Google,2020-11-27,83.950,84.210,83.810,84.210,56820
