Symbol,Settings,Date,Open,High,Low,Close,Volume
VUN,Ex:TSE | Src:Google,2020-10-01,62.470,62.470,61.690,62.010,32795
VUN,Ex:TSE | Src:Google,2020-10-02,61.220,61.900,61.210,61.670,32841
VUN,Ex:TSE | Src:Google,2020-10-05,61.890,62.560,61.880,62.560,21982
VUN,Ex:TSE | Src:Google,2020-10-06,62.850,63.010,61.900,61.970,44376
VUN,Ex:TSE | Src:Google,2020-10-07,62.560,62.980,62.410,62.910,25507
VUN,Ex:TSE | Src:Google,2020-10-08,63.000,63.250,62.960,63.120,21710
VUN,Ex:TSE | Src:Google,2020-10-09,63.000,63.330,63.000,63.180,40382
VUN,Ex:TSE | Src:Google,2020-10-13,63.800,64.170,63.800,63.960,32808
VUN,Ex:TSE | Src:Google,2020-10-14,63.960,64.200,63.490,63.600,36331
VUN,Ex:TSE | Src:Google,2020-10-15,63.150,63.900,63.150,63.870,24514
VUN,Ex:TSE | Src:Google,2020-10-16,64.040,64.290,63.730,63.750,22285
VUN,Ex:TSE | Src:Google,2020-10-19,63.820,63.860,62.650,62.720,42272
VUN,Ex:TSE | Src:Google,2020-10-20,62.900,63.170,62.560,62.730,46616
VUN,Ex:TSE | Src:Google,2020-10-21,62.890,62.940,62.480,62.540,35863
VUN,Ex:TSE | Src:Google,2020-10-22,62.460,63.020,62.250,62.940,30167
VUN,Ex:TSE | Src:Google,2020-10-23,63.010,63.150,62.770,63.150,37186
VUN,Ex:TSE | Src:Google,2020-10-26,62.850,62.850,61.700,62.260,59801
VUN,Ex:TSE | Src:Google,2020-10-27,62.400,62.400,61.890,61.960,53730
VUN,Ex:TSE | Src:Google,2020-10-28,60.810,61.430,60.500,60.510,69590
VUN,Ex:TSE | Src:Google,2020-10-29,61.010,61.660,60.620,61.240,41096
VUN,Ex:TSE | Src:Google,2020-10-30,60.460,60.940,59.800,60.430,94676
VUN,Ex:TSE | Src:Google,2020-11-02,60.650,61.100,60.260,60.650,45081
VUN,Ex:TSE | Src:Google,2020-11-03,61.530,61.760,60.850,61.530,33687
VUN,Ex:TSE | Src:Google,2020-11-04,62.040,63.380,62.040,62.740,25497
VUN,Ex:TSE | Src:Google,2020-11-05,63.600,63.800,63.390,63.670,44110
VUN,Ex:TSE | Src:Google,2020-11-06,64.000,64.000,63.260,63.530,37855
VUN,Ex:TSE | Src:Google,2020-11-09,65.970,66.000,64.090,64.090,73186
VUN,Ex:TSE | Src:Google,2020-11-10,64.350,64.350,63.470,64.140,45335
VUN,Ex:TSE | Src:Google,2020-11-11,65.000,65.000,64.480,64.820,21384
VUN,Ex:TSE | Src:Google,2020-11-12,65.000,65.040,64.270,64.520,32949
VUN,Ex:TSE | Src:Google,2020-11-13,64.990,65.600,64.980,65.470,23542
VUN,Ex:TSE | Src:Google,2020-11-16,66.000,66.040,65.550,66.040,39059
VUN,Ex:TSE | Src:Google,2020-11-17,66.000,66.010,65.380,65.850,36070
VUN,Ex:TSE | Src:Google,2020-11-18,65.910,65.950,65.130,65.130,40654
VUN,Ex:TSE | Src:Google,2020-11-19,65.200,65.430,65.000,65.390,24179
VUN,Ex:TSE | Src:Google,2020-11-20,65.470,65.470,65.130,65.150,31632
