Symbol,Settings,Date,Open,High,Low,Close,Volume
XIT,Ex:TSE | Src:Google,2020-10-01,40.360,41.200,40.360,41.020,29226
XIT,Ex:TSE | Src:Google,2020-10-02,40.400,40.850,40.200,40.490,26369
XIT,Ex:TSE | Src:Google,2020-10-05,40.520,41.070,40.350,41.070,23218
XIT,Ex:TSE | Src:Google,2020-10-06,41.070,41.200,40.410,40.470,16188
XIT,Ex:TSE | Src:Google,2020-10-07,40.780,41.050,40.700,40.990,20784
XIT,Ex:TSE | Src:Google,2020-10-08,41.190,41.190,40.700,40.910,25748
XIT,Ex:TSE | Src:Google,2020-10-09,40.980,41.270,40.970,41.100,13117
XIT,Ex:TSE | Src:Google,2020-10-13,41.390,41.650,41.290,41.550,31536
XIT,Ex:TSE | Src:Google,2020-10-14,41.670,41.710,40.800,40.980,23666
XIT,Ex:TSE | Src:Google,2020-10-15,40.580,41.110,40.410,41.070,24396
XIT,Ex:TSE | Src:Google,2020-10-16,41.140,41.440,40.990,41.000,11297
XIT,Ex:TSE | Src:Google,2020-10-19,41.050,41.440,40.860,40.980,13978
XIT,Ex:TSE | Src:Google,2020-10-20,41.110,41.110,40.350,40.420,14574
XIT,Ex:TSE | Src:Google,2020-10-21,40.420,40.500,39.850,39.850,24467
XIT,Ex:TSE | Src:Google,2020-10-22,39.870,39.930,39.240,39.490,11616
XIT,Ex:TSE | Src:Google,2020-10-23,39.490,39.580,39.150,39.580,15631
XIT,Ex:TSE | Src:Google,2020-10-26,39.430,39.490,38.750,39.200,41333
XIT,Ex:TSE | Src:Google,2020-10-27,39.600,39.770,39.330,39.460,58947
XIT,Ex:TSE | Src:Google,2020-10-28,38.980,39.110,38.030,38.060,76764
XIT,Ex:TSE | Src:Google,2020-10-29,38.590,38.590,37.800,37.880,125327
XIT,Ex:TSE | Src:Google,2020-10-30,37.680,37.720,36.750,37.120,83027
XIT,Ex:TSE | Src:Google,2020-11-02,36.990,37.600,36.380,36.810,166403
XIT,Ex:TSE | Src:Google,2020-11-03,37.460,37.800,37.210,37.760,37943
XIT,Ex:TSE | Src:Google,2020-11-04,38.500,39.270,38.240,39.230,31874
XIT,Ex:TSE | Src:Google,2020-11-05,40.330,40.330,39.330,39.910,48477
XIT,Ex:TSE | Src:Google,2020-11-06,40.280,40.510,39.620,40.510,32653
XIT,Ex:TSE | Src:Google,2020-11-09,40.900,40.900,38.600,38.620,46626
XIT,Ex:TSE | Src:Google,2020-11-10,38.420,38.810,37.710,37.800,79520
XIT,Ex:TSE | Src:Google,2020-11-11,38.130,39.230,38.130,39.210,69407
XIT,Ex:TSE | Src:Google,2020-11-12,39.260,39.310,38.360,38.390,25744
XIT,Ex:TSE | Src:Google,2020-11-13,38.530,39.000,38.530,38.890,25424
XIT,Ex:TSE | Src:Google,2020-11-16,38.560,38.790,38.350,38.790,112612
XIT,Ex:TSE | Src:Google,2020-11-17,38.700,39.080,38.590,39.040,29873
XIT,Ex:TSE | Src:Google,2020-11-18,39.020,39.320,38.950,39.290,24331
XIT,Ex:TSE | Src:Google,2020-11-19,39.390,39.890,39.390,39.800,20639
XIT,Ex:TSE | Src:Google,2020-11-20,39.890,41.030,39.890,40.900,50054
XIT,Ex:TSE | Src:Google,2020-11-23,40.920,41.210,40.670,41.110,25180
XIT,Ex:TSE | Src:Google,2020-11-24,41.290,41.290,40.910,40.920,39831
XIT,Ex:TSE | Src:Google,2020-11-25,41.060,41.800,41.000,41.680,37908
XIT,Ex:TSE | Src:Google,2020-11-26,41.870,42.270,41.680,42.000,18806
XIT,Ex:TSE | Src:Google,2020-11-27,42.110,42.500,41.850,42.450,23308
XIT,Ex:TSE | Src:Google,2020-11-30,42.320,42.930,42.030,42.680,44544
XIT,Ex:TSE | Src:Google,2020-12-01,43.390,43.600,42.590,42.590,42949
XIT,Ex:TSE | Src:Google,2020-12-02,42.640,43.100,42.380,42.840,30196
XIT,Ex:TSE | Src:Google,2020-12-03,42.920,43.700,42.910,43.050,20370
XIT,Ex:TSE | Src:Google,2020-12-04,43.090,43.110,42.730,42.850,37733
XIT,Ex:TSE | Src:Google,2020-12-07,43.120,43.500,42.900,43.400,26367
XIT,Ex:TSE | Src:Google,2020-12-08,43.310,43.600,43.310,43.510,20637
XIT,Ex:TSE | Src:Google,2020-12-09,43.550,43.550,42.350,42.620,38002
XIT,Ex:TSE | Src:Google,2020-12-10,42.100,42.890,42.070,42.890,24537
XIT,Ex:TSE | Src:Google,2020-12-11,42.740,42.750,42.200,42.710,16965
XIT,Ex:TSE | Src:Google,2020-12-14,42.910,43.390,42.700,43.060,43942
XIT,Ex:TSE | Src:Google,2020-12-15,43.100,43.600,43.050,43.120,21426
XIT,Ex:TSE | Src:Google,2020-12-16,43.150,44.100,43.150,43.920,31920
XIT,Ex:TSE | Src:Google,2020-12-17,44.100,44.820,44.030,44.600,37504
XIT,Ex:TSE | Src:Google,2020-12-18,44.580,44.580,44.000,44.010,41687
XIT,Ex:TSE | Src:Google,2020-12-21,43.630,44.900,43.380,44.880,30585
XIT,Ex:TSE | Src:Google,2020-12-22,45.060,46.910,45.060,46.740,56445
XIT,Ex:TSE | Src:Google,2020-12-23,47.010,47.010,45.120,45.120,60865
XIT,Ex:TSE | Src:Google,2020-12-24,45.140,45.550,45.140,45.400,10753
XIT,Ex:TSE | Src:Google,2020-12-29,45.010,45.310,44.300,44.850,51343
XIT,Ex:TSE | Src:Google,2020-12-30,45.150,45.150,44.380,44.440,89996
XIT,Ex:TSE | Src:Google,2020-12-31,44.430,44.490,44.050,44.050,79555
XIT,Ex:TSE | Src:Google,2021-01-04,44.360,44.510,43.170,43.500,124392
XIT,Ex:TSE | Src:Google,2021-01-05,43.570,43.890,43.380,43.890,89073
XIT,Ex:TSE | Src:Google,2021-01-06,43.520,43.550,43.000,43.040,72586
XIT,Ex:TSE | Src:Google,2021-01-07,43.330,44.110,43.330,44.010,94378
XIT,Ex:TSE | Src:Google,2021-01-08,44.240,44.930,44.150,44.820,146574
XIT,Ex:TSE | Src:Google,2021-01-11,44.650,45.190,44.340,44.510,109538
XIT,Ex:TSE | Src:Google,2021-01-12,44.560,44.580,44.060,44.430,70322
XIT,Ex:TSE | Src:Google,2021-01-13,44.750,45.170,44.690,45.130,16075
XIT,Ex:TSE | Src:Google,2021-01-14,45.420,45.740,45.050,45.110,38212
XIT,Ex:TSE | Src:Google,2021-01-15,45.600,46.000,45.050,45.190,26709
XIT,Ex:TSE | Src:Google,2021-01-18,45.170,45.890,45.170,45.890,19025
XIT,Ex:TSE | Src:Google,2021-01-19,46.030,46.480,45.650,46.480,32910
XIT,Ex:TSE | Src:Google,2021-01-20,46.870,47.150,46.650,46.960,32403
XIT,Ex:TSE | Src:Google,2021-01-21,46.960,46.960,46.390,46.660,34769
XIT,Ex:TSE | Src:Google,2021-01-22,46.490,47.000,46.220,46.940,37513
XIT,Ex:TSE | Src:Google,2021-01-25,48.000,48.680,47.180,47.930,123340
XIT,Ex:TSE | Src:Google,2021-01-26,48.080,48.180,47.080,47.170,51765
XIT,Ex:TSE | Src:Google,2021-01-27,47.290,48.750,46.510,47.520,188487
XIT,Ex:TSE | Src:Google,2021-01-28,46.840,47.330,45.490,46.520,132139
XIT,Ex:TSE | Src:Google,2021-01-29,46.900,46.900,45.190,45.270,131170
XIT,Ex:TSE | Src:Google,2021-02-01,45.680,47.020,45.290,46.980,57719
