Symbol,Settings,Date,Open,High,Low,Close,Volume
XMA,Ex:TSE | Src:Google,2022-09-29,16.390,16.440,16.250,16.380,13647
XMA,Ex:TSE | Src:Google,2022-09-30,16.450,17.000,16.450,16.850,26216
XMA,Ex:TSE | Src:Google,2022-10-03,16.910,17.290,16.910,17.220,19140
XMA,Ex:TSE | Src:Google,2022-10-04,17.500,17.750,17.480,17.530,16707
XMA,Ex:TSE | Src:Google,2022-10-05,17.210,17.310,17.140,17.280,10212
XMA,Ex:TSE | Src:Google,2022-10-06,17.260,17.520,17.230,17.520,17381
XMA,Ex:TSE | Src:Google,2022-10-07,17.250,17.260,16.860,16.870,8700
XMA,Ex:TSE | Src:Google,2022-10-11,16.720,16.940,16.600,16.620,23779
XMA,Ex:TSE | Src:Google,2022-10-12,16.610,16.820,16.550,16.810,10266
XMA,Ex:TSE | Src:Google,2022-10-13,16.370,16.910,16.160,16.910,40427
XMA,Ex:TSE | Src:Google,2022-10-14,16.840,16.840,16.220,16.230,11817
XMA,Ex:TSE | Src:Google,2022-10-17,16.510,16.670,16.390,16.390,16499
XMA,Ex:TSE | Src:Google,2022-10-18,16.560,16.600,16.460,16.520,5182
XMA,Ex:TSE | Src:Google,2022-10-19,16.320,16.410,16.260,16.290,3801
XMA,Ex:TSE | Src:Google,2022-10-20,16.650,16.690,16.330,16.410,6390
XMA,Ex:TSE | Src:Google,2022-10-21,16.300,16.930,16.300,16.930,38929
XMA,Ex:TSE | Src:Google,2022-10-24,16.910,16.910,16.510,16.640,16465
XMA,Ex:TSE | Src:Google,2022-10-25,16.650,16.870,16.650,16.850,110282
XMA,Ex:TSE | Src:Google,2022-10-26,16.920,17.280,16.920,17.150,18390
XMA,Ex:TSE | Src:Google,2022-10-27,17.030,17.180,17.020,17.030,34234
XMA,Ex:TSE | Src:Google,2022-10-28,16.950,16.950,16.690,16.900,21928
XMA,Ex:TSE | Src:Google,2022-10-31,16.740,16.970,16.740,16.750,13054
XMA,Ex:TSE | Src:Google,2022-11-01,17.050,17.250,17.050,17.130,28842
XMA,Ex:TSE | Src:Google,2022-11-02,17.190,17.190,16.430,16.430,64621
XMA,Ex:TSE | Src:Google,2022-11-03,15.970,15.970,15.710,15.750,12314
XMA,Ex:TSE | Src:Google,2022-11-04,16.290,16.690,16.290,16.690,9916
XMA,Ex:TSE | Src:Google,2022-11-07,16.750,16.750,16.500,16.710,7376
XMA,Ex:TSE | Src:Google,2022-11-08,16.760,17.600,16.760,17.470,38915
XMA,Ex:TSE | Src:Google,2022-11-09,17.320,17.470,17.040,17.040,34860
XMA,Ex:TSE | Src:Google,2022-11-10,17.660,17.950,17.610,17.900,43829
XMA,Ex:TSE | Src:Google,2022-11-11,18.000,18.140,17.930,17.970,22542
XMA,Ex:TSE | Src:Google,2022-11-14,17.800,18.020,17.800,17.890,12060
XMA,Ex:TSE | Src:Google,2022-11-15,17.990,17.990,17.770,17.870,14702
XMA,Ex:TSE | Src:Google,2022-11-16,17.810,17.810,17.630,17.630,11162
XMA,Ex:TSE | Src:Google,2022-11-17,17.340,17.430,17.250,17.400,6499
XMA,Ex:TSE | Src:Google,2022-11-18,17.420,17.520,17.410,17.520,1781
XMA,Ex:TSE | Src:Google,2022-11-21,17.530,17.530,17.300,17.520,3797
XMA,Ex:TSE | Src:Google,2022-11-22,18.000,18.110,18.000,18.110,6545
XMA,Ex:TSE | Src:Google,2022-11-23,18.010,18.240,18.010,18.240,17943
XMA,Ex:TSE | Src:Google,2022-11-24,18.400,18.400,18.330,18.360,1522
XMA,Ex:TSE | Src:Google,2022-11-25,18.250,18.310,18.210,18.240,14548
XMA,Ex:TSE | Src:Google,2022-11-28,18.130,18.130,17.790,17.800,6850
XMA,Ex:TSE | Src:Google,2022-11-29,18.270,18.420,18.250,18.360,3779
XMA,Ex:TSE | Src:Google,2022-11-30,18.570,18.600,18.240,18.560,26248
XMA,Ex:TSE | Src:Google,2022-12-01,18.870,19.060,18.800,18.890,12634
XMA,Ex:TSE | Src:Google,2022-12-02,18.560,18.920,18.560,18.900,5591
XMA,Ex:TSE | Src:Google,2022-12-05,18.780,18.810,18.580,18.610,12646
XMA,Ex:TSE | Src:Google,2022-12-06,18.690,18.690,18.560,18.560,1259
XMA,Ex:TSE | Src:Google,2022-12-07,18.750,18.760,18.600,18.720,8622
XMA,Ex:TSE | Src:Google,2022-12-08,18.810,18.880,18.680,18.680,5097
XMA,Ex:TSE | Src:Google,2022-12-09,18.800,19.040,18.650,18.650,18836
XMA,Ex:TSE | Src:Google,2022-12-12,18.500,18.630,18.420,18.630,5755
XMA,Ex:TSE | Src:Google,2022-12-13,19.140,19.140,18.750,18.880,14373
XMA,Ex:TSE | Src:Google,2022-12-14,18.950,18.950,18.710,18.810,49440
XMA,Ex:TSE | Src:Google,2022-12-15,18.310,18.380,18.170,18.170,8581
XMA,Ex:TSE | Src:Google,2022-12-16,17.940,18.290,17.850,18.230,33847
XMA,Ex:TSE | Src:Google,2022-12-19,18.100,18.100,17.840,17.890,20323
XMA,Ex:TSE | Src:Google,2022-12-20,18.110,18.290,18.080,18.220,9471
XMA,Ex:TSE | Src:Google,2022-12-21,18.500,18.550,18.470,18.480,8971
XMA,Ex:TSE | Src:Google,2022-12-22,18.310,18.310,18.090,18.270,16008
XMA,Ex:TSE | Src:Google,2022-12-23,18.270,18.460,18.260,18.410,11101
XMA,Ex:TSE | Src:Google,2022-12-28,18.430,18.490,18.320,18.320,7854
XMA,Ex:TSE | Src:Google,2022-12-29,18.440,18.470,18.350,18.350,15352
XMA,Ex:TSE | Src:Google,2022-12-30,18.140,18.230,18.130,18.190,37334
XMA,Ex:TSE | Src:Google,2023-01-03,18.480,18.710,18.470,18.570,10278
XMA,Ex:TSE | Src:Google,2023-01-04,18.680,18.930,18.620,18.880,74045
XMA,Ex:TSE | Src:Google,2023-01-05,18.800,19.030,18.700,19.030,8558
XMA,Ex:TSE | Src:Google,2023-01-06,19.260,19.410,19.140,19.380,6541
XMA,Ex:TSE | Src:Google,2023-01-09,19.500,19.500,19.220,19.220,9820
XMA,Ex:TSE | Src:Google,2023-01-10,19.310,19.410,19.200,19.410,7042
XMA,Ex:TSE | Src:Google,2023-01-11,19.510,19.510,19.250,19.370,29545
XMA,Ex:TSE | Src:Google,2023-01-12,19.480,19.640,19.480,19.640,15320
XMA,Ex:TSE | Src:Google,2023-01-13,19.640,19.800,19.640,19.720,12242
XMA,Ex:TSE | Src:Google,2023-01-16,19.660,19.720,19.550,19.570,5909
XMA,Ex:TSE | Src:Google,2023-01-17,19.530,19.530,19.280,19.290,39776
XMA,Ex:TSE | Src:Google,2023-01-18,19.590,19.660,19.470,19.470,6448
XMA,Ex:TSE | Src:Google,2023-01-19,19.320,19.650,19.320,19.620,6467
XMA,Ex:TSE | Src:Google,2023-01-20,19.500,19.830,19.500,19.810,9163
XMA,Ex:TSE | Src:Google,2023-01-23,19.750,19.830,19.640,19.830,7215
XMA,Ex:TSE | Src:Google,2023-01-24,19.900,20.010,19.860,20.010,1972
XMA,Ex:TSE | Src:Google,2023-01-25,19.920,20.250,19.910,20.250,17929
XMA,Ex:TSE | Src:Google,2023-01-26,20.120,20.170,20.020,20.160,5943
XMA,Ex:TSE | Src:Google,2023-01-27,20.110,20.120,19.950,20.010,15599
XMA,Ex:TSE | Src:Google,2023-01-30,19.930,19.990,19.840,19.840,11530
XMA,Ex:TSE | Src:Google,2023-01-31,20.090,20.130,20.020,20.090,14948
XMA,Ex:TSE | Src:Google,2023-02-01,20.090,20.380,19.970,20.330,50276
XMA,Ex:TSE | Src:Google,2023-02-02,20.160,20.160,19.890,19.930,12624
XMA,Ex:TSE | Src:Google,2023-02-03,19.620,19.750,19.450,19.530,6266
XMA,Ex:TSE | Src:Google,2023-02-06,19.500,19.500,19.220,19.310,15128
XMA,Ex:TSE | Src:Google,2023-02-07,19.250,19.560,19.250,19.440,6775
