Symbol,Settings,Date,Open,High,Low,Close,Volume
XRE,Ex:TSE | Src:Google,2022-09-29,15.230,15.230,15.000,15.050,367371
XRE,Ex:TSE | Src:Google,2022-09-30,15.130,15.500,15.090,15.470,685575
XRE,Ex:TSE | Src:Google,2022-10-03,15.620,15.830,15.530,15.730,596959
XRE,Ex:TSE | Src:Google,2022-10-04,15.850,16.050,15.850,16.020,939440
XRE,Ex:TSE | Src:Google,2022-10-05,15.890,15.890,15.490,15.720,935625
XRE,Ex:TSE | Src:Google,2022-10-06,15.690,15.740,15.400,15.400,702916
XRE,Ex:TSE | Src:Google,2022-10-07,15.300,15.320,15.150,15.190,548361
XRE,Ex:TSE | Src:Google,2022-10-11,15.040,15.150,14.880,14.980,546642
XRE,Ex:TSE | Src:Google,2022-10-12,14.910,15.260,14.910,15.190,459443
XRE,Ex:TSE | Src:Google,2022-10-13,14.980,15.520,14.870,15.450,804488
XRE,Ex:TSE | Src:Google,2022-10-14,15.570,15.610,15.280,15.310,594089
XRE,Ex:TSE | Src:Google,2022-10-17,15.430,15.730,15.430,15.630,754974
XRE,Ex:TSE | Src:Google,2022-10-18,15.800,15.820,15.490,15.570,854633
XRE,Ex:TSE | Src:Google,2022-10-19,15.490,15.490,15.050,15.190,514524
XRE,Ex:TSE | Src:Google,2022-10-20,15.190,15.440,15.190,15.290,454821
XRE,Ex:TSE | Src:Google,2022-10-21,15.230,15.490,15.140,15.470,494352
XRE,Ex:TSE | Src:Google,2022-10-24,15.500,15.570,15.370,15.570,295480
XRE,Ex:TSE | Src:Google,2022-10-25,15.440,15.820,15.440,15.800,480732
XRE,Ex:TSE | Src:Google,2022-10-26,15.820,16.120,15.750,16.100,766233
XRE,Ex:TSE | Src:Google,2022-10-27,16.160,16.240,16.030,16.040,537887
XRE,Ex:TSE | Src:Google,2022-10-28,15.940,16.130,15.900,16.080,760876
XRE,Ex:TSE | Src:Google,2022-10-31,16.030,16.030,15.850,15.900,547105
XRE,Ex:TSE | Src:Google,2022-11-01,15.930,16.060,15.930,15.980,325691
XRE,Ex:TSE | Src:Google,2022-11-02,15.980,16.140,15.890,15.930,782431
