Symbol,Settings,Date,Open,High,Low,Close,Volume
XUT,Ex:TSE | Src:Google,2022-09-29,29.950,29.950,29.230,29.280,786822
XUT,Ex:TSE | Src:Google,2022-09-30,29.440,29.600,29.330,29.330,315323
XUT,Ex:TSE | Src:Google,2022-10-03,29.350,30.100,29.350,29.770,277379
XUT,Ex:TSE | Src:Google,2022-10-04,30.000,30.400,30.000,30.120,125394
XUT,Ex:TSE | Src:Google,2022-10-05,29.970,29.970,29.490,29.540,390023
XUT,Ex:TSE | Src:Google,2022-10-06,29.540,29.560,28.470,28.580,473027
XUT,Ex:TSE | Src:Google,2022-10-07,28.520,28.670,28.090,28.180,227106
XUT,Ex:TSE | Src:Google,2022-10-11,27.970,27.970,27.530,27.670,178442
XUT,Ex:TSE | Src:Google,2022-10-12,27.610,27.610,26.970,26.980,391962
XUT,Ex:TSE | Src:Google,2022-10-13,26.740,27.670,26.610,27.670,405589
XUT,Ex:TSE | Src:Google,2022-10-14,27.880,27.980,27.220,27.220,188823
XUT,Ex:TSE | Src:Google,2022-10-17,27.560,28.170,27.560,27.930,145419
XUT,Ex:TSE | Src:Google,2022-10-18,28.200,28.350,28.020,28.330,117279
XUT,Ex:TSE | Src:Google,2022-10-19,28.250,28.250,27.550,27.810,168900
XUT,Ex:TSE | Src:Google,2022-10-20,27.880,27.880,27.210,27.220,160600
XUT,Ex:TSE | Src:Google,2022-10-21,27.100,27.600,27.080,27.420,102456
XUT,Ex:TSE | Src:Google,2022-10-24,27.550,27.710,27.440,27.670,83799
XUT,Ex:TSE | Src:Google,2022-10-25,27.530,28.070,27.530,28.050,118678
XUT,Ex:TSE | Src:Google,2022-10-26,27.970,28.350,27.940,28.140,144267
XUT,Ex:TSE | Src:Google,2022-10-27,28.310,28.460,28.240,28.270,133428
XUT,Ex:TSE | Src:Google,2022-10-28,28.300,28.580,28.250,28.580,180908
XUT,Ex:TSE | Src:Google,2022-10-31,28.630,28.630,28.270,28.580,132731
XUT,Ex:TSE | Src:Google,2022-11-01,28.690,28.690,28.340,28.400,106556
XUT,Ex:TSE | Src:Google,2022-11-02,28.360,28.680,28.300,28.350,102618
XUT,Ex:TSE | Src:Google,2022-11-03,28.230,28.230,27.990,28.090,155439
XUT,Ex:TSE | Src:Google,2022-11-04,28.190,28.370,28.010,28.210,263287
XUT,Ex:TSE | Src:Google,2022-11-07,28.330,28.330,27.780,27.940,211639
XUT,Ex:TSE | Src:Google,2022-11-08,27.980,28.330,27.980,28.260,125610
XUT,Ex:TSE | Src:Google,2022-11-09,28.210,28.440,28.050,28.050,152913
XUT,Ex:TSE | Src:Google,2022-11-10,28.350,28.950,28.350,28.800,173352
XUT,Ex:TSE | Src:Google,2022-11-11,28.560,28.560,27.950,28.310,221399
XUT,Ex:TSE | Src:Google,2022-11-14,28.300,28.300,27.740,27.780,203386
XUT,Ex:TSE | Src:Google,2022-11-15,27.830,28.070,27.520,27.590,126162
XUT,Ex:TSE | Src:Google,2022-11-16,27.550,27.910,27.550,27.840,220296
XUT,Ex:TSE | Src:Google,2022-11-17,27.700,27.840,27.440,27.470,113709
XUT,Ex:TSE | Src:Google,2022-11-18,27.690,27.730,27.420,27.670,212136
XUT,Ex:TSE | Src:Google,2022-11-21,27.650,27.710,27.550,27.630,111265
XUT,Ex:TSE | Src:Google,2022-11-22,27.630,27.900,27.600,27.770,139473
XUT,Ex:TSE | Src:Google,2022-11-23,27.670,28.020,27.670,27.980,59879
XUT,Ex:TSE | Src:Google,2022-11-24,28.060,28.100,27.930,27.940,29959
XUT,Ex:TSE | Src:Google,2022-11-25,28.000,28.280,28.000,28.270,128970
XUT,Ex:TSE | Src:Google,2022-11-28,28.150,28.150,27.870,27.970,124551
XUT,Ex:TSE | Src:Google,2022-11-29,28.010,28.010,27.800,27.880,117181
XUT,Ex:TSE | Src:Google,2022-11-30,27.800,28.270,27.780,28.260,293301
XUT,Ex:TSE | Src:Google,2022-12-01,28.320,28.500,28.070,28.130,123949
XUT,Ex:TSE | Src:Google,2022-12-02,27.920,28.160,27.850,28.040,213598
XUT,Ex:TSE | Src:Google,2022-12-05,28.050,28.210,28.050,28.200,28463
XUT,Ex:TSE | Src:Google,2022-12-06,28.220,28.330,27.660,27.930,320490
XUT,Ex:TSE | Src:Google,2022-12-07,27.920,28.060,27.800,27.990,100283
