Symbol,Settings,Date,Open,High,Low,Close,Volume
ZCN,Ex:TSE | Src:Google,2020-10-01,21.770,21.810,21.680,21.730,80548
ZCN,Ex:TSE | Src:Google,2020-10-02,21.530,21.780,21.500,21.770,32781
ZCN,Ex:TSE | Src:Google,2020-10-05,21.870,22.070,21.860,22.060,61092
ZCN,Ex:TSE | Src:Google,2020-10-06,22.090,22.120,21.840,21.850,111937
ZCN,Ex:TSE | Src:Google,2020-10-07,21.990,22.100,21.990,22.100,12826
ZCN,Ex:TSE | Src:Google,2020-10-08,22.180,22.250,22.180,22.250,30315
ZCN,Ex:TSE | Src:Google,2020-10-09,22.310,22.340,22.250,22.280,50236
ZCN,Ex:TSE | Src:Google,2020-10-13,22.280,22.280,22.140,22.230,45951
ZCN,Ex:TSE | Src:Google,2020-10-14,22.270,22.300,22.130,22.140,49690
ZCN,Ex:TSE | Src:Google,2020-10-15,21.930,22.220,21.890,22.200,50366
ZCN,Ex:TSE | Src:Google,2020-10-16,22.250,22.260,22.130,22.130,34566
ZCN,Ex:TSE | Src:Google,2020-10-19,22.190,22.190,21.890,21.890,70542
ZCN,Ex:TSE | Src:Google,2020-10-20,21.990,22.010,21.870,21.900,56967
ZCN,Ex:TSE | Src:Google,2020-10-21,21.860,21.930,21.810,21.870,32310
ZCN,Ex:TSE | Src:Google,2020-10-22,21.850,21.930,21.740,21.910,16695
ZCN,Ex:TSE | Src:Google,2020-10-23,21.980,21.980,21.880,21.940,54539
ZCN,Ex:TSE | Src:Google,2020-10-26,21.850,21.850,21.550,21.660,42348
ZCN,Ex:TSE | Src:Google,2020-10-27,21.650,21.670,21.570,21.600,63593
ZCN,Ex:TSE | Src:Google,2020-10-28,21.300,21.300,20.990,21.000,72153
ZCN,Ex:TSE | Src:Google,2020-10-29,21.040,21.180,20.910,21.130,87425
ZCN,Ex:TSE | Src:Google,2020-10-30,21.060,21.070,20.800,21.010,71490
ZCN,Ex:TSE | Src:Google,2020-11-02,21.140,21.190,20.990,21.140,54270
ZCN,Ex:TSE | Src:Google,2020-11-03,21.300,21.520,21.300,21.500,50286
ZCN,Ex:TSE | Src:Google,2020-11-04,21.670,21.700,21.450,21.570,35251
ZCN,Ex:TSE | Src:Google,2020-11-05,21.920,21.990,21.880,21.940,58866
ZCN,Ex:TSE | Src:Google,2020-11-06,22.050,22.080,21.890,21.950,69969
ZCN,Ex:TSE | Src:Google,2020-11-09,22.750,22.750,22.200,22.200,118340
ZCN,Ex:TSE | Src:Google,2020-11-10,22.270,22.450,22.220,22.380,46503
ZCN,Ex:TSE | Src:Google,2020-11-11,22.530,22.640,22.510,22.600,142511
ZCN,Ex:TSE | Src:Google,2020-11-12,22.600,22.640,22.310,22.360,128089
ZCN,Ex:TSE | Src:Google,2020-11-13,22.490,22.580,22.480,22.500,33410
ZCN,Ex:TSE | Src:Google,2020-11-16,22.660,22.770,22.580,22.770,51623
ZCN,Ex:TSE | Src:Google,2020-11-17,22.650,22.870,22.620,22.850,178894
ZCN,Ex:TSE | Src:Google,2020-11-18,22.890,22.910,22.770,22.780,45398
ZCN,Ex:TSE | Src:Google,2020-11-19,22.730,22.810,22.710,22.800,37558
ZCN,Ex:TSE | Src:Google,2020-11-20,22.830,23.000,22.810,22.970,52933
ZCN,Ex:TSE | Src:Google,2020-11-23,23.020,23.120,23.000,23.070,52373
ZCN,Ex:TSE | Src:Google,2020-11-24,23.230,23.370,23.230,23.320,41224
ZCN,Ex:TSE | Src:Google,2020-11-25,23.330,23.380,23.240,23.370,227626
ZCN,Ex:TSE | Src:Google,2020-11-26,23.390,23.440,23.380,23.410,20420
ZCN,Ex:TSE | Src:Google,2020-11-27,23.400,23.510,23.390,23.480,31009
ZCN,Ex:TSE | Src:Google,2020-11-30,23.420,23.420,23.140,23.270,47163
ZCN,Ex:TSE | Src:Google,2020-12-01,23.560,23.560,23.350,23.350,48925
ZCN,Ex:TSE | Src:Google,2020-12-02,23.340,23.440,23.300,23.430,52373
ZCN,Ex:TSE | Src:Google,2020-12-03,23.480,23.570,23.480,23.500,33378
