Symbol,Settings,Date,Open,High,Low,Close,Volume
ZFL,Ex:TSE | Src:Google,2022-09-29,13.930,14.010,13.710,13.740,130654
ZFL,Ex:TSE | Src:Google,2022-09-30,13.770,13.780,13.720,13.730,15439
ZFL,Ex:TSE | Src:Google,2022-10-03,13.810,13.880,13.650,13.690,131786
ZFL,Ex:TSE | Src:Google,2022-10-04,13.760,13.790,13.680,13.710,53166
ZFL,Ex:TSE | Src:Google,2022-10-05,13.600,13.600,13.440,13.470,80154
ZFL,Ex:TSE | Src:Google,2022-10-06,13.460,13.460,13.330,13.440,41709
ZFL,Ex:TSE | Src:Google,2022-10-07,13.350,13.380,13.290,13.350,26963
ZFL,Ex:TSE | Src:Google,2022-10-11,13.210,13.300,13.120,13.120,31485
ZFL,Ex:TSE | Src:Google,2022-10-12,13.050,13.220,13.020,13.110,42721
ZFL,Ex:TSE | Src:Google,2022-10-13,13.010,13.310,13.010,13.180,21431
ZFL,Ex:TSE | Src:Google,2022-10-14,13.200,13.200,12.970,13.020,71716
ZFL,Ex:TSE | Src:Google,2022-10-17,13.160,13.180,13.030,13.030,26193
ZFL,Ex:TSE | Src:Google,2022-10-18,13.060,13.190,13.050,13.160,29114
ZFL,Ex:TSE | Src:Google,2022-10-19,12.970,13.020,12.780,12.780,77482
ZFL,Ex:TSE | Src:Google,2022-10-20,12.750,12.780,12.510,12.550,84607
ZFL,Ex:TSE | Src:Google,2022-10-21,12.340,12.490,12.300,12.490,46178
ZFL,Ex:TSE | Src:Google,2022-10-24,12.490,12.610,12.490,12.570,29724
ZFL,Ex:TSE | Src:Google,2022-10-25,12.720,12.740,12.660,12.730,38705
ZFL,Ex:TSE | Src:Google,2022-10-26,12.850,13.110,12.850,13.090,82457
ZFL,Ex:TSE | Src:Google,2022-10-27,13.150,13.280,13.090,13.270,46000
ZFL,Ex:TSE | Src:Google,2022-10-28,13.240,13.300,13.220,13.270,29494
ZFL,Ex:TSE | Src:Google,2022-10-31,13.350,13.380,13.210,13.250,29662
ZFL,Ex:TSE | Src:Google,2022-11-01,13.450,13.450,13.310,13.370,38273
ZFL,Ex:TSE | Src:Google,2022-11-02,13.330,13.360,13.130,13.210,44142
ZFL,Ex:TSE | Src:Google,2022-11-03,13.140,13.150,13.030,13.060,56481
ZFL,Ex:TSE | Src:Google,2022-11-04,12.920,12.970,12.820,12.820,49116
ZFL,Ex:TSE | Src:Google,2022-11-07,12.830,12.870,12.590,12.590,41973
ZFL,Ex:TSE | Src:Google,2022-11-08,12.650,12.870,12.650,12.800,28396
ZFL,Ex:TSE | Src:Google,2022-11-09,12.840,12.940,12.810,12.910,12516
ZFL,Ex:TSE | Src:Google,2022-11-10,13.220,13.440,13.190,13.370,45063
ZFL,Ex:TSE | Src:Google,2022-11-11,13.370,13.380,13.340,13.370,20023
ZFL,Ex:TSE | Src:Google,2022-11-14,13.380,13.410,13.350,13.360,23097
ZFL,Ex:TSE | Src:Google,2022-11-15,13.410,13.480,13.360,13.440,42179
ZFL,Ex:TSE | Src:Google,2022-11-16,13.560,13.710,13.510,13.690,19890
ZFL,Ex:TSE | Src:Google,2022-11-17,13.580,13.590,13.510,13.570,29508
ZFL,Ex:TSE | Src:Google,2022-11-18,13.600,13.600,13.470,13.520,35705
ZFL,Ex:TSE | Src:Google,2022-11-21,13.640,13.680,13.590,13.680,30316
ZFL,Ex:TSE | Src:Google,2022-11-22,13.770,13.850,13.770,13.820,134530
ZFL,Ex:TSE | Src:Google,2022-11-23,13.870,14.040,13.870,14.040,134011
ZFL,Ex:TSE | Src:Google,2022-11-24,14.110,14.110,14.070,14.070,4598
ZFL,Ex:TSE | Src:Google,2022-11-25,13.980,14.090,13.980,14.090,4636
ZFL,Ex:TSE | Src:Google,2022-11-28,14.010,14.050,13.920,14.010,53376
ZFL,Ex:TSE | Src:Google,2022-11-29,13.870,13.920,13.860,13.920,21814
ZFL,Ex:TSE | Src:Google,2022-11-30,13.750,13.920,13.680,13.920,62421
ZFL,Ex:TSE | Src:Google,2022-12-01,14.040,14.310,14.040,14.310,60376
ZFL,Ex:TSE | Src:Google,2022-12-02,14.170,14.500,14.130,14.490,99767
ZFL,Ex:TSE | Src:Google,2022-12-05,14.370,14.420,14.340,14.390,42248
ZFL,Ex:TSE | Src:Google,2022-12-06,14.500,14.570,14.430,14.560,117620
ZFL,Ex:TSE | Src:Google,2022-12-07,14.710,14.710,14.430,14.610,158063
ZFL,Ex:TSE | Src:Google,2022-12-08,14.440,14.620,14.440,14.600,122987
ZFL,Ex:TSE | Src:Google,2022-12-09,14.490,14.510,14.390,14.400,21485
ZFL,Ex:TSE | Src:Google,2022-12-12,14.470,14.520,14.230,14.230,122728
ZFL,Ex:TSE | Src:Google,2022-12-13,14.450,14.450,14.270,14.320,96708
ZFL,Ex:TSE | Src:Google,2022-12-14,14.340,14.390,14.280,14.330,37367
ZFL,Ex:TSE | Src:Google,2022-12-15,14.350,14.430,14.290,14.420,62389
ZFL,Ex:TSE | Src:Google,2022-12-16,14.190,14.340,14.190,14.300,91590
ZFL,Ex:TSE | Src:Google,2022-12-19,14.030,14.140,14.020,14.020,34350
ZFL,Ex:TSE | Src:Google,2022-12-20,13.840,13.880,13.800,13.860,20976
ZFL,Ex:TSE | Src:Google,2022-12-21,14.010,14.010,13.860,13.900,19792
ZFL,Ex:TSE | Src:Google,2022-12-22,13.800,13.820,13.730,13.740,35984
ZFL,Ex:TSE | Src:Google,2022-12-23,13.630,13.640,13.530,13.570,32070
ZFL,Ex:TSE | Src:Google,2022-12-28,13.310,13.340,13.220,13.270,93771
ZFL,Ex:TSE | Src:Google,2022-12-29,13.270,13.430,13.270,13.360,9601
ZFL,Ex:TSE | Src:Google,2022-12-30,13.270,13.340,13.230,13.290,22157
ZFL,Ex:TSE | Src:Google,2023-01-03,13.500,13.520,13.350,13.420,52770
ZFL,Ex:TSE | Src:Google,2023-01-04,13.580,13.620,13.550,13.590,33282
ZFL,Ex:TSE | Src:Google,2023-01-05,13.490,13.600,13.480,13.590,20027
ZFL,Ex:TSE | Src:Google,2023-01-06,13.530,13.760,13.520,13.720,66809
ZFL,Ex:TSE | Src:Google,2023-01-09,13.620,13.740,13.590,13.740,39885
ZFL,Ex:TSE | Src:Google,2023-01-10,13.610,13.650,13.550,13.640,50815
ZFL,Ex:TSE | Src:Google,2023-01-11,13.750,13.900,13.750,13.880,40600
ZFL,Ex:TSE | Src:Google,2023-01-12,13.920,14.190,13.810,14.190,61441
ZFL,Ex:TSE | Src:Google,2023-01-13,14.110,14.200,14.110,14.140,20764
ZFL,Ex:TSE | Src:Google,2023-01-16,14.140,14.210,14.140,14.190,29176
ZFL,Ex:TSE | Src:Google,2023-01-17,14.150,14.210,14.150,14.180,49069
ZFL,Ex:TSE | Src:Google,2023-01-18,14.400,14.420,14.310,14.390,67511
ZFL,Ex:TSE | Src:Google,2023-01-19,14.310,14.370,14.250,14.370,40368
ZFL,Ex:TSE | Src:Google,2023-01-20,14.260,14.270,14.110,14.170,144639
ZFL,Ex:TSE | Src:Google,2023-01-23,14.000,14.060,13.990,14.020,53514
ZFL,Ex:TSE | Src:Google,2023-01-24,14.000,14.080,13.930,14.080,23103
ZFL,Ex:TSE | Src:Google,2023-01-25,14.080,14.230,14.060,14.230,51300
ZFL,Ex:TSE | Src:Google,2023-01-26,14.130,14.190,14.090,14.160,103431
ZFL,Ex:TSE | Src:Google,2023-01-27,14.000,14.080,13.960,14.070,53402
ZFL,Ex:TSE | Src:Google,2023-01-30,14.030,14.070,13.980,14.070,21307
ZFL,Ex:TSE | Src:Google,2023-01-31,14.070,14.070,13.900,14.010,30688
ZFL,Ex:TSE | Src:Google,2023-02-01,14.100,14.170,14.010,14.110,143057
ZFL,Ex:TSE | Src:Google,2023-02-02,14.170,14.170,14.080,14.150,55060
ZFL,Ex:TSE | Src:Google,2023-02-03,14.020,14.020,13.860,13.980,110083
ZFL,Ex:TSE | Src:Google,2023-02-06,13.830,13.830,13.730,13.750,53386
ZFL,Ex:TSE | Src:Google,2023-02-07,13.680,13.770,13.620,13.680,131784
ZFL,Ex:TSE | Src:Google,2023-02-08,13.720,13.780,13.630,13.780,14055
ZFL,Ex:TSE | Src:Google,2023-02-09,13.900,13.920,13.680,13.680,52341
ZFL,Ex:TSE | Src:Google,2023-02-10,13.650,13.650,13.480,13.530,103142
ZFL,Ex:TSE | Src:Google,2023-02-13,13.560,13.660,13.560,13.660,49381
ZFL,Ex:TSE | Src:Google,2023-02-14,13.600,13.630,13.440,13.500,121423
ZFL,Ex:TSE | Src:Google,2023-02-15,13.450,13.480,13.260,13.300,62154
ZFL,Ex:TSE | Src:Google,2023-02-16,13.240,13.320,13.190,13.250,57042
ZFL,Ex:TSE | Src:Google,2023-02-17,13.250,13.340,13.250,13.310,25369
ZFL,Ex:TSE | Src:Google,2023-02-21,13.130,13.160,13.070,13.080,68704
ZFL,Ex:TSE | Src:Google,2023-02-22,13.140,13.210,13.140,13.180,70582
ZFL,Ex:TSE | Src:Google,2023-02-23,13.190,13.340,13.180,13.310,24039
ZFL,Ex:TSE | Src:Google,2023-02-24,13.180,13.210,13.150,13.210,51040
ZFL,Ex:TSE | Src:Google,2023-02-27,13.210,13.260,13.180,13.260,56960
ZFL,Ex:TSE | Src:Google,2023-02-28,13.150,13.370,13.150,13.370,65718
ZFL,Ex:TSE | Src:Google,2023-03-01,13.360,13.360,13.220,13.220,47027
ZFL,Ex:TSE | Src:Google,2023-03-02,13.080,13.120,13.050,13.070,24836
ZFL,Ex:TSE | Src:Google,2023-03-03,13.270,13.410,13.270,13.390,18601
ZFL,Ex:TSE | Src:Google,2023-03-06,13.480,13.480,13.330,13.340,23637
ZFL,Ex:TSE | Src:Google,2023-03-07,13.400,13.460,13.300,13.460,17820
ZFL,Ex:TSE | Src:Google,2023-03-08,13.570,13.620,13.500,13.570,95912
ZFL,Ex:TSE | Src:Google,2023-03-09,13.620,13.770,13.580,13.770,34900
