Symbol,Settings,Date,Open,High,Low,Close,Volume
ZQQ,Ex:TSE | Src:Google,2022-09-29,81.030,81.250,79.000,79.950,80781
ZQQ,Ex:TSE | Src:Google,2022-09-30,79.800,80.890,78.400,78.440,36977
ZQQ,Ex:TSE | Src:Google,2022-10-03,78.960,80.750,78.560,80.280,61776
ZQQ,Ex:TSE | Src:Google,2022-10-04,81.920,83.000,81.920,82.790,103367
ZQQ,Ex:TSE | Src:Google,2022-10-05,81.680,83.200,80.910,82.700,53467
ZQQ,Ex:TSE | Src:Google,2022-10-06,82.480,83.310,82.100,82.140,70024
ZQQ,Ex:TSE | Src:Google,2022-10-07,80.760,80.760,78.620,78.990,76763
ZQQ,Ex:TSE | Src:Google,2022-10-11,77.790,78.540,76.660,77.160,75842
ZQQ,Ex:TSE | Src:Google,2022-10-12,77.330,77.890,77.000,77.150,32817
ZQQ,Ex:TSE | Src:Google,2022-10-13,74.870,79.290,74.640,78.990,90655
ZQQ,Ex:TSE | Src:Google,2022-10-14,79.610,79.740,76.350,76.350,80315
ZQQ,Ex:TSE | Src:Google,2022-10-17,78.330,79.330,78.320,79.010,61915
ZQQ,Ex:TSE | Src:Google,2022-10-18,81.210,81.340,78.950,79.590,96508
ZQQ,Ex:TSE | Src:Google,2022-10-19,79.200,80.270,78.890,79.450,41985
ZQQ,Ex:TSE | Src:Google,2022-10-20,79.150,80.600,78.700,79.040,67630
ZQQ,Ex:TSE | Src:Google,2022-10-21,78.690,81.000,78.550,80.920,128215
ZQQ,Ex:TSE | Src:Google,2022-10-24,81.000,82.000,79.840,81.720,74612
ZQQ,Ex:TSE | Src:Google,2022-10-25,82.020,83.500,82.020,83.400,44827
ZQQ,Ex:TSE | Src:Google,2022-10-26,81.770,83.270,81.460,81.460,71712
ZQQ,Ex:TSE | Src:Google,2022-10-27,81.240,81.640,79.970,79.980,62973
ZQQ,Ex:TSE | Src:Google,2022-10-28,79.870,82.650,79.870,82.500,42455
ZQQ,Ex:TSE | Src:Google,2022-10-31,81.770,82.050,81.050,81.500,23189
ZQQ,Ex:TSE | Src:Google,2022-11-01,82.630,82.750,80.720,80.750,41970
ZQQ,Ex:TSE | Src:Google,2022-11-02,80.720,81.590,77.990,77.990,103767
ZQQ,Ex:TSE | Src:Google,2022-11-03,77.070,77.520,76.400,76.490,81756
ZQQ,Ex:TSE | Src:Google,2022-11-04,78.000,78.250,76.130,77.680,76127
ZQQ,Ex:TSE | Src:Google,2022-11-07,78.080,78.730,77.510,78.490,57182
ZQQ,Ex:TSE | Src:Google,2022-11-08,79.050,80.110,78.000,79.180,90430
ZQQ,Ex:TSE | Src:Google,2022-11-09,78.610,78.830,77.260,77.320,92755
ZQQ,Ex:TSE | Src:Google,2022-11-10,81.060,83.020,80.410,83.000,174822
ZQQ,Ex:TSE | Src:Google,2022-11-11,82.940,84.650,82.680,84.450,101711
ZQQ,Ex:TSE | Src:Google,2022-11-14,83.880,84.800,83.460,83.650,46438
ZQQ,Ex:TSE | Src:Google,2022-11-15,85.670,86.000,84.000,84.840,100292
ZQQ,Ex:TSE | Src:Google,2022-11-16,84.240,84.300,83.530,83.750,53512
ZQQ,Ex:TSE | Src:Google,2022-11-17,82.470,83.950,82.470,83.480,24265
ZQQ,Ex:TSE | Src:Google,2022-11-18,84.440,84.460,82.890,83.530,40525
ZQQ,Ex:TSE | Src:Google,2022-11-21,83.140,83.430,82.500,82.720,37482
ZQQ,Ex:TSE | Src:Google,2022-11-22,82.980,83.910,82.400,83.910,37091
ZQQ,Ex:TSE | Src:Google,2022-11-23,83.850,84.850,83.850,84.680,53250
ZQQ,Ex:TSE | Src:Google,2022-11-24,85.050,85.400,84.790,85.110,12209
ZQQ,Ex:TSE | Src:Google,2022-11-25,84.290,84.420,84.060,84.260,21043
ZQQ,Ex:TSE | Src:Google,2022-11-28,83.610,84.040,82.680,83.010,35623
ZQQ,Ex:TSE | Src:Google,2022-11-29,83.030,83.100,82.000,82.360,47220
ZQQ,Ex:TSE | Src:Google,2022-11-30,82.460,86.000,82.270,86.000,57477
ZQQ,Ex:TSE | Src:Google,2022-12-01,86.090,86.650,85.290,86.100,81901
ZQQ,Ex:TSE | Src:Google,2022-12-02,84.700,85.950,84.600,85.810,72090
ZQQ,Ex:TSE | Src:Google,2022-12-05,85.140,85.500,84.000,84.370,22490
ZQQ,Ex:TSE | Src:Google,2022-12-06,84.300,84.300,82.210,82.640,49080
ZQQ,Ex:TSE | Src:Google,2022-12-07,82.250,82.770,81.790,82.300,49531
ZQQ,Ex:TSE | Src:Google,2022-12-08,82.700,83.450,82.200,83.230,28688
ZQQ,Ex:TSE | Src:Google,2022-12-09,82.910,83.720,82.620,82.730,43653
ZQQ,Ex:TSE | Src:Google,2022-12-12,82.740,83.720,82.600,83.720,28411
