Symbol,Settings,Date,Open,High,Low,Close,Volume
ZRE,Ex:TSE | Src:Google,2022-09-29,20.650,20.690,20.200,20.220,22199
ZRE,Ex:TSE | Src:Google,2022-09-30,20.450,20.780,20.410,20.730,33850
ZRE,Ex:TSE | Src:Google,2022-10-03,20.830,21.170,20.780,21.120,20582
ZRE,Ex:TSE | Src:Google,2022-10-04,21.400,21.550,21.340,21.490,46979
ZRE,Ex:TSE | Src:Google,2022-10-05,21.400,21.400,20.770,21.080,67938
ZRE,Ex:TSE | Src:Google,2022-10-06,21.050,21.050,20.580,20.580,18198
ZRE,Ex:TSE | Src:Google,2022-10-07,20.560,20.580,20.270,20.320,18011
ZRE,Ex:TSE | Src:Google,2022-10-11,20.170,20.260,19.930,20.060,22321
ZRE,Ex:TSE | Src:Google,2022-10-12,20.100,20.440,20.010,20.370,24535
ZRE,Ex:TSE | Src:Google,2022-10-13,20.060,20.750,19.960,20.650,38300
ZRE,Ex:TSE | Src:Google,2022-10-14,20.720,20.890,20.470,20.470,10488
ZRE,Ex:TSE | Src:Google,2022-10-17,20.710,21.050,20.710,20.980,17299
ZRE,Ex:TSE | Src:Google,2022-10-18,21.190,21.230,20.770,20.910,21455
ZRE,Ex:TSE | Src:Google,2022-10-19,20.730,20.730,20.210,20.410,15542
ZRE,Ex:TSE | Src:Google,2022-10-20,20.460,20.650,20.370,20.500,16479
ZRE,Ex:TSE | Src:Google,2022-10-21,20.470,20.720,20.360,20.700,25007
ZRE,Ex:TSE | Src:Google,2022-10-24,20.700,20.780,20.570,20.770,15394
ZRE,Ex:TSE | Src:Google,2022-10-25,20.740,21.190,20.740,21.170,17372
ZRE,Ex:TSE | Src:Google,2022-10-26,21.190,21.550,21.180,21.550,103940
ZRE,Ex:TSE | Src:Google,2022-10-27,21.490,21.610,21.340,21.340,15026
ZRE,Ex:TSE | Src:Google,2022-10-28,21.340,21.450,21.210,21.410,20410
ZRE,Ex:TSE | Src:Google,2022-10-31,21.290,21.290,21.090,21.140,26567
ZRE,Ex:TSE | Src:Google,2022-11-01,21.290,21.340,21.210,21.270,15315
ZRE,Ex:TSE | Src:Google,2022-11-02,21.270,21.380,21.100,21.160,28889
ZRE,Ex:TSE | Src:Google,2022-11-03,21.000,21.050,20.860,20.920,20824
ZRE,Ex:TSE | Src:Google,2022-11-04,21.120,21.210,20.910,21.210,31564
ZRE,Ex:TSE | Src:Google,2022-11-07,21.580,22.090,21.580,22.020,23493
ZRE,Ex:TSE | Src:Google,2022-11-08,22.060,22.070,21.900,22.040,37548
ZRE,Ex:TSE | Src:Google,2022-11-09,22.000,22.030,21.800,21.830,27284
ZRE,Ex:TSE | Src:Google,2022-11-10,22.130,22.620,22.130,22.600,22946
ZRE,Ex:TSE | Src:Google,2022-11-11,22.750,22.890,22.580,22.790,46749
ZRE,Ex:TSE | Src:Google,2022-11-14,22.840,22.840,22.320,22.320,11833
ZRE,Ex:TSE | Src:Google,2022-11-15,22.540,22.660,22.370,22.410,24242
ZRE,Ex:TSE | Src:Google,2022-11-16,22.340,22.360,22.210,22.270,21408
ZRE,Ex:TSE | Src:Google,2022-11-17,21.980,22.160,21.960,22.140,22259
ZRE,Ex:TSE | Src:Google,2022-11-18,22.260,22.380,22.090,22.270,11932
ZRE,Ex:TSE | Src:Google,2022-11-21,22.210,22.350,22.200,22.350,5759
ZRE,Ex:TSE | Src:Google,2022-11-22,22.400,22.560,22.250,22.560,23208
ZRE,Ex:TSE | Src:Google,2022-11-23,22.560,22.650,22.450,22.480,8642
ZRE,Ex:TSE | Src:Google,2022-11-24,22.600,22.620,22.460,22.610,9809
ZRE,Ex:TSE | Src:Google,2022-11-25,22.510,22.820,22.510,22.820,14797
ZRE,Ex:TSE | Src:Google,2022-11-28,22.730,22.730,22.260,22.260,11930
ZRE,Ex:TSE | Src:Google,2022-11-29,22.280,22.590,22.280,22.590,10328
ZRE,Ex:TSE | Src:Google,2022-11-30,22.510,22.700,22.410,22.550,27001
ZRE,Ex:TSE | Src:Google,2022-12-01,22.620,22.790,22.600,22.620,18814
ZRE,Ex:TSE | Src:Google,2022-12-02,22.400,22.490,22.370,22.370,13427
ZRE,Ex:TSE | Src:Google,2022-12-05,22.340,22.360,22.200,22.210,21740
ZRE,Ex:TSE | Src:Google,2022-12-06,22.190,22.410,22.190,22.220,10547
ZRE,Ex:TSE | Src:Google,2022-12-07,22.250,22.450,22.250,22.360,20320
ZRE,Ex:TSE | Src:Google,2022-12-08,22.400,22.480,22.230,22.250,14097
ZRE,Ex:TSE | Src:Google,2022-12-09,22.240,22.340,22.240,22.260,31126
ZRE,Ex:TSE | Src:Google,2022-12-12,22.250,22.310,22.130,22.270,16525
ZRE,Ex:TSE | Src:Google,2022-12-13,22.500,22.720,22.340,22.500,28171
ZRE,Ex:TSE | Src:Google,2022-12-14,22.570,22.780,22.480,22.510,19763
ZRE,Ex:TSE | Src:Google,2022-12-15,22.290,22.460,22.240,22.330,21329
ZRE,Ex:TSE | Src:Google,2022-12-16,22.220,22.220,22.040,22.120,31387
ZRE,Ex:TSE | Src:Google,2022-12-19,22.070,22.070,21.660,21.700,31418
ZRE,Ex:TSE | Src:Google,2022-12-20,21.640,21.730,21.510,21.670,39961
ZRE,Ex:TSE | Src:Google,2022-12-21,21.700,22.120,21.690,22.070,31757
ZRE,Ex:TSE | Src:Google,2022-12-22,21.910,21.970,21.670,21.830,17668
ZRE,Ex:TSE | Src:Google,2022-12-23,21.760,21.970,21.760,21.970,9922
ZRE,Ex:TSE | Src:Google,2022-12-28,21.800,21.970,21.450,21.480,49828
ZRE,Ex:TSE | Src:Google,2022-12-29,21.500,21.920,21.500,21.920,9067
ZRE,Ex:TSE | Src:Google,2022-12-30,21.940,21.980,21.820,21.940,2195
ZRE,Ex:TSE | Src:Google,2023-01-03,22.070,22.250,21.980,22.090,20998
ZRE,Ex:TSE | Src:Google,2023-01-04,22.180,22.430,22.180,22.420,18091
ZRE,Ex:TSE | Src:Google,2023-01-05,22.330,22.330,22.120,22.190,20476
ZRE,Ex:TSE | Src:Google,2023-01-06,22.330,22.330,22.150,22.320,15716
ZRE,Ex:TSE | Src:Google,2023-01-09,22.390,22.500,22.300,22.400,39398
ZRE,Ex:TSE | Src:Google,2023-01-10,22.450,22.690,22.450,22.690,9513
ZRE,Ex:TSE | Src:Google,2023-01-11,22.710,23.150,22.710,23.150,20701
ZRE,Ex:TSE | Src:Google,2023-01-12,23.250,23.450,23.190,23.430,17399
ZRE,Ex:TSE | Src:Google,2023-01-13,23.260,23.520,23.260,23.510,19570
ZRE,Ex:TSE | Src:Google,2023-01-16,23.590,23.710,23.490,23.670,13435
ZRE,Ex:TSE | Src:Google,2023-01-17,23.600,23.840,23.600,23.820,25691
ZRE,Ex:TSE | Src:Google,2023-01-18,23.840,23.960,23.750,23.780,24528
ZRE,Ex:TSE | Src:Google,2023-01-19,23.740,23.770,23.590,23.620,9675
ZRE,Ex:TSE | Src:Google,2023-01-20,23.650,23.800,23.500,23.760,9161
ZRE,Ex:TSE | Src:Google,2023-01-23,23.800,24.040,23.750,23.990,41935
ZRE,Ex:TSE | Src:Google,2023-01-24,24.000,24.040,23.800,23.950,79711
ZRE,Ex:TSE | Src:Google,2023-01-25,23.800,23.980,23.780,23.960,10151
ZRE,Ex:TSE | Src:Google,2023-01-26,23.980,24.100,23.980,24.060,15322
ZRE,Ex:TSE | Src:Google,2023-01-27,24.030,24.030,23.900,23.960,8523
ZRE,Ex:TSE | Src:Google,2023-01-30,23.900,24.140,23.900,24.040,14449
ZRE,Ex:TSE | Src:Google,2023-01-31,24.060,24.140,23.980,24.080,13471
ZRE,Ex:TSE | Src:Google,2023-02-01,24.060,24.360,23.890,24.300,17220
ZRE,Ex:TSE | Src:Google,2023-02-02,24.500,24.610,24.450,24.490,15607
