Symbol,Settings,Date,Open,High,Low,Close,Volume
ZSP,Ex:TSE | Src:Google,2020-10-01,49.540,49.590,49.080,49.330,276349
ZSP,Ex:TSE | Src:Google,2020-10-02,48.710,49.220,48.650,48.970,292850
ZSP,Ex:TSE | Src:Google,2020-10-05,49.130,49.680,49.130,49.650,154550
ZSP,Ex:TSE | Src:Google,2020-10-06,49.690,49.940,49.050,49.100,80600
ZSP,Ex:TSE | Src:Google,2020-10-07,49.500,49.920,49.500,49.840,72759
ZSP,Ex:TSE | Src:Google,2020-10-08,50.000,50.110,49.860,50.000,79841
ZSP,Ex:TSE | Src:Google,2020-10-09,50.050,50.220,50.000,50.170,52266
ZSP,Ex:TSE | Src:Google,2020-10-13,50.950,50.980,50.600,50.710,128584
ZSP,Ex:TSE | Src:Google,2020-10-14,50.770,50.890,50.310,50.370,39037
ZSP,Ex:TSE | Src:Google,2020-10-15,50.130,50.660,50.070,50.600,234809
ZSP,Ex:TSE | Src:Google,2020-10-16,50.790,51.000,50.520,50.520,185325
ZSP,Ex:TSE | Src:Google,2020-10-19,50.570,50.620,49.600,49.670,633360
ZSP,Ex:TSE | Src:Google,2020-10-20,49.920,50.110,49.590,49.680,98075
ZSP,Ex:TSE | Src:Google,2020-10-21,49.650,49.890,49.520,49.650,102795
ZSP,Ex:TSE | Src:Google,2020-10-22,49.700,49.930,49.400,49.880,37878
ZSP,Ex:TSE | Src:Google,2020-10-23,50.040,50.040,49.750,50.020,412632
ZSP,Ex:TSE | Src:Google,2020-10-26,49.670,49.800,48.920,49.340,433318
ZSP,Ex:TSE | Src:Google,2020-10-27,49.310,49.320,49.070,49.120,47389
ZSP,Ex:TSE | Src:Google,2020-10-28,48.620,48.660,47.880,47.920,375119
ZSP,Ex:TSE | Src:Google,2020-10-29,48.160,48.950,47.980,48.470,65572
ZSP,Ex:TSE | Src:Google,2020-10-30,48.120,48.280,47.390,47.960,460466
ZSP,Ex:TSE | Src:Google,2020-11-02,48.320,48.550,47.820,48.090,161968
ZSP,Ex:TSE | Src:Google,2020-11-03,48.310,48.960,48.250,48.710,257382
ZSP,Ex:TSE | Src:Google,2020-11-04,49.520,50.270,49.420,49.750,685178
ZSP,Ex:TSE | Src:Google,2020-11-05,50.290,50.570,50.220,50.420,121007
ZSP,Ex:TSE | Src:Google,2020-11-06,50.330,50.460,50.070,50.300,309660
ZSP,Ex:TSE | Src:Google,2020-11-09,51.910,51.930,50.820,50.820,450401
ZSP,Ex:TSE | Src:Google,2020-11-10,50.700,50.920,50.350,50.830,556109
ZSP,Ex:TSE | Src:Google,2020-11-11,51.260,51.430,51.100,51.330,484115
ZSP,Ex:TSE | Src:Google,2020-11-12,51.410,51.510,50.900,51.110,352521
ZSP,Ex:TSE | Src:Google,2020-11-13,51.440,52.000,51.440,51.840,694462
ZSP,Ex:TSE | Src:Google,2020-11-16,52.040,52.270,51.900,52.270,750790
ZSP,Ex:TSE | Src:Google,2020-11-17,51.930,52.160,51.700,52.030,569880
ZSP,Ex:TSE | Src:Google,2020-11-18,52.070,52.080,51.360,51.360,1060146
ZSP,Ex:TSE | Src:Google,2020-11-19,51.340,51.540,51.160,51.510,434791
ZSP,Ex:TSE | Src:Google,2020-11-20,51.390,51.510,51.230,51.240,642531
ZSP,Ex:TSE | Src:Google,2020-11-23,51.440,51.660,51.240,51.530,124377
ZSP,Ex:TSE | Src:Google,2020-11-24,51.930,52.130,51.760,52.030,204603
ZSP,Ex:TSE | Src:Google,2020-11-25,52.050,52.050,51.830,51.940,96748
ZSP,Ex:TSE | Src:Google,2020-11-26,52.040,52.800,51.830,51.950,55778
ZSP,Ex:TSE | Src:Google,2020-11-27,52.040,52.070,51.900,52.040,318344
ZSP,Ex:TSE | Src:Google,2020-11-30,51.750,51.840,51.270,51.840,228977
ZSP,Ex:TSE | Src:Google,2020-12-01,52.190,52.430,52.110,52.130,89079
ZSP,Ex:TSE | Src:Google,2020-12-02,52.010,52.220,51.970,52.190,75798
ZSP,Ex:TSE | Src:Google,2020-12-03,52.120,52.230,51.860,51.930,135318
ZSP,Ex:TSE | Src:Google,2020-12-04,51.870,52.060,51.870,51.990,228202
ZSP,Ex:TSE | Src:Google,2020-12-07,52.030,52.160,51.860,52.030,289766
ZSP,Ex:TSE | Src:Google,2020-12-08,51.850,52.320,51.840,52.260,242631
ZSP,Ex:TSE | Src:Google,2020-12-09,52.260,52.270,51.700,51.910,256135
ZSP,Ex:TSE | Src:Google,2020-12-10,51.390,51.540,51.260,51.480,270537
ZSP,Ex:TSE | Src:Google,2020-12-11,51.340,51.540,51.140,51.500,76001
ZSP,Ex:TSE | Src:Google,2020-12-14,51.710,51.920,51.250,51.250,140568
ZSP,Ex:TSE | Src:Google,2020-12-15,51.540,51.690,51.380,51.620,33467
ZSP,Ex:TSE | Src:Google,2020-12-16,51.920,52.080,51.810,51.940,81793
ZSP,Ex:TSE | Src:Google,2020-12-17,52.090,52.200,51.940,52.170,362411
