Symbol,Settings,Date,Open,High,Low,Close,Volume
ZUT,Ex:TSE | Src:Google,2022-09-29,25.040,25.040,24.350,24.390,25850
ZUT,Ex:TSE | Src:Google,2022-09-30,24.450,24.650,24.450,24.470,35962
ZUT,Ex:TSE | Src:Google,2022-10-03,24.590,25.160,24.590,24.910,27249
ZUT,Ex:TSE | Src:Google,2022-10-04,25.080,25.430,25.080,25.190,34571
ZUT,Ex:TSE | Src:Google,2022-10-05,25.130,25.130,24.570,24.600,32179
ZUT,Ex:TSE | Src:Google,2022-10-06,24.550,24.550,23.690,23.770,38588
ZUT,Ex:TSE | Src:Google,2022-10-07,23.670,23.810,23.290,23.330,12580
ZUT,Ex:TSE | Src:Google,2022-10-11,23.150,23.150,22.770,22.920,22078
ZUT,Ex:TSE | Src:Google,2022-10-12,22.890,22.890,22.250,22.250,18409
ZUT,Ex:TSE | Src:Google,2022-10-13,22.050,22.800,22.000,22.780,20655
ZUT,Ex:TSE | Src:Google,2022-10-14,22.850,23.030,22.340,22.340,13572
ZUT,Ex:TSE | Src:Google,2022-10-17,22.540,23.160,22.540,22.940,15222
ZUT,Ex:TSE | Src:Google,2022-10-18,23.160,23.280,23.080,23.280,29379
ZUT,Ex:TSE | Src:Google,2022-10-19,23.230,23.230,22.740,22.880,5943
ZUT,Ex:TSE | Src:Google,2022-10-20,22.860,22.860,22.400,22.430,31347
ZUT,Ex:TSE | Src:Google,2022-10-21,22.420,22.700,22.270,22.630,67241
ZUT,Ex:TSE | Src:Google,2022-10-24,22.780,22.870,22.730,22.850,12907
ZUT,Ex:TSE | Src:Google,2022-10-25,22.800,23.250,22.800,23.180,23469
ZUT,Ex:TSE | Src:Google,2022-10-26,23.180,23.410,23.180,23.250,50509
ZUT,Ex:TSE | Src:Google,2022-10-27,23.340,23.530,23.340,23.430,50721
ZUT,Ex:TSE | Src:Google,2022-10-28,23.400,23.590,23.310,23.560,40980
ZUT,Ex:TSE | Src:Google,2022-10-31,23.580,23.580,23.300,23.550,7260
ZUT,Ex:TSE | Src:Google,2022-11-01,23.710,23.710,23.070,23.350,15334
ZUT,Ex:TSE | Src:Google,2022-11-02,23.310,23.590,23.270,23.270,12921
ZUT,Ex:TSE | Src:Google,2022-11-03,23.170,23.170,22.960,23.090,22133
ZUT,Ex:TSE | Src:Google,2022-11-04,23.160,23.250,22.940,23.110,13658
ZUT,Ex:TSE | Src:Google,2022-11-07,23.190,23.190,22.740,22.940,11006
ZUT,Ex:TSE | Src:Google,2022-11-08,23.070,23.480,23.070,23.390,24192
ZUT,Ex:TSE | Src:Google,2022-11-09,23.270,23.500,23.140,23.150,14100
ZUT,Ex:TSE | Src:Google,2022-11-10,23.420,23.900,23.420,23.760,42951
ZUT,Ex:TSE | Src:Google,2022-11-11,23.640,23.640,23.120,23.380,13391
ZUT,Ex:TSE | Src:Google,2022-11-14,23.400,23.400,22.940,22.990,50777
ZUT,Ex:TSE | Src:Google,2022-11-15,23.100,23.250,22.750,22.790,18833
ZUT,Ex:TSE | Src:Google,2022-11-16,22.810,23.070,22.790,23.000,37013
ZUT,Ex:TSE | Src:Google,2022-11-17,22.880,22.880,22.680,22.730,10993
ZUT,Ex:TSE | Src:Google,2022-11-18,22.770,22.770,22.540,22.730,7925
ZUT,Ex:TSE | Src:Google,2022-11-21,22.780,22.820,22.690,22.760,15981
ZUT,Ex:TSE | Src:Google,2022-11-22,22.820,22.950,22.770,22.940,10067
ZUT,Ex:TSE | Src:Google,2022-11-23,23.000,23.200,22.990,23.150,10510
ZUT,Ex:TSE | Src:Google,2022-11-24,23.210,23.300,23.170,23.210,12783
ZUT,Ex:TSE | Src:Google,2022-11-25,23.400,23.480,23.300,23.470,29212
ZUT,Ex:TSE | Src:Google,2022-11-28,23.340,23.340,23.030,23.110,12368
ZUT,Ex:TSE | Src:Google,2022-11-29,23.060,23.070,22.950,22.960,7321
ZUT,Ex:TSE | Src:Google,2022-11-30,22.940,23.370,22.940,23.370,25500
ZUT,Ex:TSE | Src:Google,2022-12-01,23.410,23.580,23.330,23.360,22139
ZUT,Ex:TSE | Src:Google,2022-12-02,23.200,23.430,23.190,23.400,7659
ZUT,Ex:TSE | Src:Google,2022-12-05,23.370,23.600,23.370,23.550,14256
ZUT,Ex:TSE | Src:Google,2022-12-06,23.590,23.680,23.060,23.270,20966
