Symbol,Last,MA50,MACD_Hist,ATR%,Price>MA50,MACD>0,TA_Score,ATR$
HCAL,31.980,29.532,-0.068,0.824%,TRUE,FALSE,49.3,0.264
HDIV,20.230,18.949,0.040,0.699%,TRUE,TRUE,90.4,0.141
HXF,102.370,91.627,0.279,0.610%,TRUE,TRUE,92.8,0.624
QQC-F,191.470,185.048,1.035,0.779%,TRUE,TRUE,100.0,1.491
HGU,84.500,56.978,-0.494,4.513%,TRUE,FALSE,45.1,3.814
HND,9.870,9.370,0.304,5.160%,TRUE,TRUE,93.0,0.509
HNU,17.370,19.492,-0.571,5.630%,FALSE,FALSE,4.3,0.978
HOD,4.940,5.312,-0.021,4.049%,FALSE,FALSE,9.8,0.200
HOU,11.160,10.703,0.055,3.527%,TRUE,TRUE,90.5,0.394
HUC,20.620,20.397,-0.006,1.202%,TRUE,FALSE,49.9,0.248
HURA,57.100,47.780,1.020,3.175%,TRUE,TRUE,100.0,1.813
HMAX,15.450,14.974,-0.001,0.518%,TRUE,FALSE,50.0,0.080
XIU,44.930,42.705,-0.017,0.720%,TRUE,FALSE,49.8,0.323
XBB,28.450,28.138,-0.044,0.314%,TRUE,FALSE,49.6,0.089
XGB,19.450,19.241,-0.036,0.301%,TRUE,FALSE,49.6,0.058
XIT,79.120,77.713,-1.126,2.193%,TRUE,FALSE,40.0,1.735
XIC,48.090,45.519,-0.104,0.738%,TRUE,FALSE,49.0,0.355
VCN,61.490,58.243,-0.154,0.720%,TRUE,FALSE,48.5,0.443
ZCN,40.360,27.086,-0.223,1.288%,TRUE,FALSE,47.8,0.520
XEI,31.220,29.872,0.026,0.584%,TRUE,TRUE,90.3,0.182
VDY,57.820,54.801,0.000,0.673%,TRUE,FALSE,50.0,0.389
ZDV,25.850,24.772,-0.024,0.569%,TRUE,FALSE,49.8,0.147
ZSP,101.450,97.695,0.188,0.646%,TRUE,TRUE,91.9,0.655
VFV,164.340,106.505,-1.217,0.943%,TRUE,FALSE,40.0,1.549
VUN,125.200,119.206,0.185,0.771%,TRUE,TRUE,91.8,0.965
ZUT,24.990,24.530,0.161,0.766%,TRUE,TRUE,91.6,0.191
ZAG,13.940,13.778,-0.004,0.287%,TRUE,FALSE,50.0,0.040
ZFL,12.390,12.185,-0.022,0.565%,TRUE,FALSE,49.8,0.070
ZEO,81.930,76.959,0.236,1.092%,TRUE,TRUE,92.4,0.894
CGL,29.250,27.014,-0.142,1.009%,TRUE,FALSE,48.6,0.295
KILO,54.570,50.435,-0.254,0.982%,TRUE,FALSE,47.5,0.536
HQU,29.160,27.426,0.300,1.723%,TRUE,TRUE,93.0,0.503
HQD,7.100,7.589,-0.078,1.786%,FALSE,FALSE,9.2,0.127
HED,17.030,19.854,-0.076,3.267%,FALSE,FALSE,9.2,0.556
HEU,31.630,27.607,0.194,3.078%,TRUE,TRUE,91.9,0.974
HGD,5.250,8.674,0.177,5.850%,FALSE,TRUE,51.8,0.307
XEG,18.630,17.780,0.021,1.718%,TRUE,TRUE,90.2,0.320
XFN,71.170,44.815,-0.203,1.042%,TRUE,FALSE,48.0,0.742
XLB,18.880,18.602,-0.011,0.515%,TRUE,FALSE,49.9,0.097
XMA,36.690,30.890,-0.107,1.639%,TRUE,FALSE,48.9,0.601
XRE,16.080,16.045,-0.050,0.937%,TRUE,FALSE,49.5,0.151
XSB,27.060,26.975,-0.005,0.121%,TRUE,FALSE,50.0,0.033
XUT,31.320,30.673,0.159,0.661%,TRUE,TRUE,91.6,0.207
ZQQ,168.690,163.005,0.893,0.827%,TRUE,TRUE,98.9,1.394
XQQ,60.710,58.688,0.327,0.869%,TRUE,TRUE,93.3,0.528
HXQ,97.930,93.638,0.563,0.796%,TRUE,TRUE,95.6,0.779
ZEB,52.370,49.053,-0.103,0.687%,TRUE,FALSE,49.0,0.360
ZBK,41.060,39.275,-0.190,1.192%,TRUE,FALSE,48.1,0.489
ZLB,55.150,54.542,-0.106,0.580%,TRUE,FALSE,48.9,0.320
ZLU,58.360,56.879,0.113,0.745%,TRUE,TRUE,91.1,0.435
ZWC,19.690,19.055,-0.012,0.475%,TRUE,FALSE,49.9,0.094
ZRE,22.520,22.393,-0.082,0.825%,TRUE,FALSE,49.2,0.186
