Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,13.480,13.530,13.380,13.490,9906,,,,,,,
2022-09-30,13.500,13.630,13.480,13.490,81733,,,0.150,,,,
2022-10-03,13.550,13.840,13.550,13.840,24479,,,0.350,,,,
2022-10-04,13.890,14.030,13.890,14.000,20097,,,0.190,,,,
2022-10-05,13.880,13.990,13.850,13.980,15034,,,0.150,,,,
2022-10-06,13.910,13.960,13.910,13.930,18066,,,0.070,,,,
2022-10-07,13.840,13.860,13.710,13.710,60533,,,0.220,,,,
2022-10-11,13.550,13.680,13.530,13.590,110014,,,0.180,,,,
2022-10-12,13.570,13.620,13.560,13.570,56353,,,0.060,,,#DIV/0!,
2022-10-13,13.360,13.610,13.360,13.520,32296,,,0.250,,,#DIV/0!,
2022-10-14,13.430,13.430,13.340,13.340,93248,,,0.180,,,#DIV/0!,
2022-10-17,13.520,13.540,13.370,13.370,22716,,,0.200,,,#DIV/0!,
2022-10-18,13.470,13.470,13.380,13.410,29801,,,0.100,,,#DIV/0!,
2022-10-19,13.270,13.290,13.230,13.240,7674,,,0.180,0.175,0.013,#DIV/0!,
2022-10-20,13.240,13.370,13.230,13.250,62979,,,0.140,0.173,0.013,#DIV/0!,
2022-10-21,13.270,13.480,13.270,13.460,18159,,,0.230,0.179,0.013,#DIV/0!,
2022-10-24,13.390,13.460,13.380,13.430,14134,,,0.080,0.159,0.012,#DIV/0!,
2022-10-25,13.460,13.480,13.390,13.420,73672,,,0.090,0.152,0.011,#DIV/0!,
2022-10-26,13.490,13.600,13.490,13.510,6093,,,0.180,0.154,0.011,#DIV/0!,
2022-10-27,13.550,13.550,13.460,13.490,6574,13.552,,0.090,0.156,0.012,#DIV/0!,
2022-10-28,13.340,13.360,13.320,13.360,12232,13.546,,0.170,0.152,0.011,#DIV/0!,
2022-10-31,13.280,13.360,13.230,13.240,69028,13.533,,0.130,0.149,0.011,#DIV/0!,
2022-11-01,13.420,13.420,13.310,13.310,18689,13.507,,0.180,0.157,0.012,#DIV/0!,
2022-11-02,13.450,13.560,13.310,13.320,18420,13.473,,0.250,0.157,0.012,#DIV/0!,
2022-11-03,13.130,13.260,13.130,13.230,39889,13.435,,0.190,0.158,0.012,#DIV/0!,
2022-11-04,13.520,13.680,13.520,13.650,21662,13.421,,0.450,0.176,0.013,0.000,-0.117
2022-11-07,13.640,13.680,13.590,13.590,34848,13.415,,0.090,0.175,0.013,0.012,-0.092
2022-11-08,13.600,13.950,13.600,13.900,39299,13.431,,0.360,0.188,0.014,0.022,-0.071
2022-11-09,13.890,13.970,13.850,13.850,24281,13.445,,0.120,0.186,0.013,0.043,-0.037
2022-11-10,14.150,14.230,14.090,14.230,55920,13.480,,0.380,0.197,0.014,0.081,0.022
2022-11-11,14.300,14.390,14.300,14.390,62462,13.533,,0.160,0.203,0.014,0.115,0.080
2022-11-14,14.320,14.410,14.320,14.390,25715,13.584,,0.090,0.203,0.014,0.148,0.137
2022-11-15,14.350,14.440,14.340,14.420,43551,13.634,,0.100,0.197,0.014,0.183,0.198
2022-11-16,14.400,14.430,14.350,14.370,44937,13.691,,0.080,0.196,0.014,0.220,0.262
2022-11-17,14.220,14.300,14.220,14.280,34490,13.742,,0.150,0.195,0.014,0.225,0.316
2022-11-18,14.250,14.260,14.170,14.180,47643,13.778,,0.110,0.194,0.014,0.221,0.362
2022-11-21,14.210,14.210,14.060,14.090,48510,13.811,,0.150,0.191,0.014,0.211,0.405
2022-11-22,14.150,14.190,14.100,14.160,46479,13.848,,0.100,0.181,0.013,0.173,0.417
2022-11-23,14.120,14.240,14.100,14.220,25630,13.884,,0.140,0.177,0.012,0.148,0.438
2022-11-24,14.340,14.340,14.190,14.260,25724,13.922,,0.150,0.156,0.011,0.100,0.429
2022-11-25,14.130,14.220,14.110,14.120,13011,13.960,,0.150,0.160,0.011,0.058,0.418
2022-11-28,14.170,14.190,14.120,14.130,14293,14.005,,0.070,0.139,0.010,0.003,0.384
2022-11-29,14.180,14.240,14.170,14.180,29788,14.048,,0.110,0.139,0.010,-0.052,0.338
2022-11-30,14.250,14.340,14.170,14.330,32681,14.099,,0.170,0.124,0.009,-0.090,0.298
2022-12-01,14.550,14.620,14.540,14.600,55349,14.167,,0.290,0.133,0.009,-0.107,0.271
2022-12-02,14.430,14.610,14.430,14.570,29254,14.213,,0.180,0.139,0.010,-0.114,0.246
2022-12-05,14.490,14.500,14.320,14.320,21266,14.250,,0.250,0.150,0.010,-0.125,0.212
2022-12-06,14.400,14.400,14.330,14.350,10809,14.272,,0.080,0.150,0.010,-0.125,0.184
2022-12-07,14.390,14.520,14.390,14.520,22545,14.306,,0.170,0.151,0.010,-0.107,0.173
2022-12-08,14.550,14.550,14.480,14.510,6397,14.320,13.862,0.070,0.149,0.010,-0.095,0.156
2022-12-09,14.540,14.640,14.540,14.570,11839,14.329,13.884,0.130,0.147,0.010,-0.089,0.134
2022-12-12,14.520,14.520,14.420,14.420,7217,14.330,13.902,0.150,0.151,0.010,-0.081,0.118
2022-12-13,14.720,14.780,14.650,14.680,47200,14.343,13.919,0.360,0.166,0.011,-0.057,0.122
2022-12-14,14.690,14.720,14.600,14.680,28546,14.359,13.933,0.120,0.164,0.011,-0.027,0.138
2022-12-15,14.500,14.500,14.400,14.400,8296,14.365,13.941,0.280,0.174,0.012,-0.017,0.135
2022-12-16,14.450,14.550,14.450,14.550,25126,14.383,13.954,0.150,0.179,0.012,-0.003,0.141
2022-12-19,14.500,14.550,14.490,14.510,11980,14.404,13.970,0.060,0.176,0.012,-0.009,0.129
2022-12-20,14.620,14.760,14.620,14.730,33084,14.433,13.992,0.250,0.181,0.012,-0.004,0.130
2022-12-21,14.700,14.760,14.680,14.680,29056,14.456,14.015,0.080,0.166,0.011,0.017,0.150
2022-12-22,14.650,14.650,14.470,14.520,18163,14.469,14.035,0.210,0.169,0.012,0.022,0.158
2022-12-23,14.510,14.610,14.510,14.540,68804,14.490,14.059,0.100,0.158,0.011,0.010,0.150
2022-12-28,14.600,14.640,14.580,14.600,15550,14.513,14.083,0.100,0.159,0.011,0.000,0.141
2022-12-29,14.650,14.740,14.650,14.710,8867,14.540,14.109,0.140,0.157,0.011,-0.011,0.129
2022-12-30,14.750,14.830,14.720,14.830,53265,14.565,14.141,0.120,0.161,0.011,-0.003,0.137
2023-01-03,14.890,15.000,14.830,14.940,49048,14.582,14.175,0.170,0.164,0.011,-0.008,0.131
2023-01-04,15.040,15.070,14.980,15.030,16396,14.605,14.206,0.130,0.162,0.011,-0.009,0.131
2023-01-05,14.930,14.930,14.800,14.880,10760,14.633,14.235,0.230,0.153,0.010,0.001,0.142
2023-01-06,14.930,15.130,14.930,15.110,28113,14.671,14.269,0.250,0.162,0.011,0.010,0.151
2023-01-09,15.180,15.240,15.150,15.180,24731,14.704,14.302,0.130,0.151,0.010,0.026,0.168
2023-01-10,15.190,15.240,15.160,15.240,24201,14.740,14.337,0.080,0.146,0.010,0.030,0.175
2023-01-11,15.250,15.250,15.120,15.240,29448,14.774,14.375,0.130,0.151,0.010,0.046,0.197
2023-01-12,15.300,15.410,15.250,15.400,48320,14.823,14.418,0.170,0.146,0.009,0.075,0.239
2023-01-13,15.360,15.590,15.360,15.590,28860,14.868,14.464,0.230,0.156,0.010,0.098,0.278
2023-01-16,15.520,15.610,15.460,15.580,26127,14.913,14.509,0.150,0.152,0.010,0.113,0.312
2023-01-17,15.540,15.550,15.460,15.520,66427,14.969,14.555,0.120,0.154,0.010,0.118,0.341
2023-01-18,15.590,15.590,15.380,15.390,47296,15.011,14.590,0.210,0.161,0.010,0.108,0.354
2023-01-19,15.490,15.690,15.490,15.690,29186,15.070,14.632,0.300,0.173,0.011,0.102,0.373
2023-01-20,15.620,15.630,15.560,15.580,53724,15.113,14.665,0.130,0.174,0.011,0.081,0.374
2023-01-23,15.520,15.650,15.470,15.650,32469,15.161,14.701,0.180,0.174,0.011,0.082,0.401
2023-01-24,15.660,15.710,15.580,15.710,34731,15.221,14.731,0.130,0.174,0.011,0.069,0.412
2023-01-25,15.580,15.770,15.580,15.770,49587,15.282,14.758,0.190,0.171,0.011,0.047,0.408
2023-01-26,15.720,15.720,15.550,15.640,25384,15.334,14.783,0.220,0.169,0.011,0.025,0.399
2023-01-27,15.590,15.660,15.530,15.630,28610,15.380,14.808,0.130,0.169,0.011,0.005,0.389
2023-01-30,15.570,15.610,15.550,15.580,24364,15.418,14.832,0.080,0.169,0.011,-0.016,0.371
2023-01-31,15.540,15.640,15.540,15.570,40343,15.449,14.858,0.100,0.167,0.011,-0.049,0.335
2023-02-01,15.620,15.800,15.540,15.800,51386,15.488,14.890,0.260,0.174,0.011,-0.073,0.304
2023-02-02,15.790,15.790,15.490,15.520,103667,15.520,14.919,0.310,0.179,0.012,-0.098,0.267
2023-02-03,15.260,15.260,15.100,15.130,48257,15.521,14.938,0.420,0.199,0.013,-0.121,0.225
2023-02-06,15.130,15.180,15.080,15.130,40041,15.518,14.956,0.100,0.197,0.013,-0.156,0.162
2023-02-07,15.160,15.230,15.100,15.160,68632,15.514,14.974,0.130,0.191,0.013,-0.171,0.114
2023-02-08,15.190,15.200,15.140,15.150,17577,15.510,14.995,0.060,0.174,0.012,-0.184,0.064
2023-02-09,15.290,15.290,15.020,15.060,8473,15.493,15.013,0.270,0.184,0.012,-0.197,0.009
2023-02-10,15.140,15.140,15.030,15.080,5980,15.467,15.031,0.110,0.179,0.012,-0.214,-0.056
2023-02-13,15.020,15.030,14.980,14.990,40479,15.438,15.045,0.100,0.177,0.012,-0.215,-0.106
2023-02-14,14.930,15.040,14.930,15.040,6974,15.414,15.053,0.110,0.171,0.011,-0.208,-0.149
2023-02-15,14.820,14.890,14.810,14.860,21583,15.387,15.059,0.230,0.172,0.012,-0.202,-0.195
2023-02-16,14.840,14.910,14.800,14.860,6147,15.346,15.070,0.110,0.171,0.011,-0.195,-0.239
2023-02-17,14.750,14.920,14.750,14.900,14450,15.312,15.081,0.170,0.177,0.012,-0.200,-0.295
2023-02-21,14.900,14.910,14.800,14.830,15593,15.271,15.087,0.110,0.178,0.012,-0.180,-0.323
2023-02-22,14.840,14.870,14.750,14.780,13352,15.224,15.093,0.120,0.168,0.011,-0.136,-0.322
2023-02-23,14.740,14.760,14.710,14.760,7792,15.174,15.096,0.070,0.151,0.010,-0.100,-0.323
2023-02-24,14.590,14.660,14.590,14.620,9570,15.123,15.100,0.170,0.133,0.009,-0.084,-0.339
2023-02-27,14.700,14.700,14.650,14.650,14038,15.074,15.100,0.080,0.131,0.009,-0.060,-0.340
2023-02-28,14.680,14.780,14.680,14.740,31051,15.032,15.101,0.130,0.131,0.009,-0.033,-0.335
2023-03-01,14.820,14.860,14.810,14.820,6589,14.994,15.109,0.120,0.136,0.009,-0.009,-0.325
2023-03-02,14.800,14.840,14.790,14.820,14855,14.945,15.115,0.050,0.120,0.008,0.018,-0.304
2023-03-03,14.860,14.980,14.860,14.970,4468,14.918,15.124,0.160,0.124,0.008,0.042,-0.280
2023-03-06,14.960,14.960,14.900,14.910,12219,14.907,15.128,0.070,0.121,0.008,0.065,-0.247
2023-03-07,14.840,14.840,14.640,14.660,13865,14.883,15.127,0.270,0.133,0.009,0.076,-0.227
2023-03-08,14.630,14.700,14.630,14.630,10113,14.857,15.129,0.070,0.121,0.008,0.077,-0.213
2023-03-09,14.730,14.810,14.730,14.810,10944,14.840,15.135,0.180,0.126,0.009,0.088,-0.185
2023-03-10,15.000,15.140,14.970,15.140,118651,14.844,15.146,0.330,0.138,0.009,0.120,-0.130
2023-03-13,15.400,15.490,15.350,15.470,125518,14.863,15.161,0.350,0.155,0.010,0.151,-0.069
2023-03-14,15.470,15.470,15.340,15.340,51207,14.881,15.171,0.130,0.156,0.010,0.169,-0.017
2023-03-15,15.530,15.660,15.450,15.480,43433,14.903,15.182,0.320,0.174,0.011,0.186,0.039
2023-03-16,15.630,15.630,15.460,15.500,22949,14.935,15.191,0.170,0.174,0.011,0.196,0.089
2023-03-17,15.710,16.040,15.710,15.950,55860,14.989,15.213,0.540,0.206,0.013,0.215,0.153
2023-03-20,15.980,16.020,15.870,16.000,41583,15.044,15.230,0.150,0.208,0.013,0.228,0.215
2023-03-21,15.920,15.920,15.640,15.650,91915,15.085,15.240,0.360,0.225,0.014,0.211,0.250
2023-03-22,15.700,15.950,15.670,15.940,29053,15.143,15.254,0.300,0.243,0.015,0.207,0.299
2023-03-23,16.000,16.180,15.980,16.170,68231,15.214,15.272,0.240,0.249,0.015,0.232,0.381
2023-03-24,16.150,16.180,15.970,15.970,48147,15.281,15.284,0.210,0.259,0.016,0.244,0.450
2023-03-27,15.800,15.830,15.750,15.800,58349,15.339,15.288,0.220,0.255,0.016,0.233,0.497
2023-03-28,15.810,15.960,15.810,15.950,22320,15.399,15.295,0.160,0.261,0.016,0.206,0.524
2023-03-29,15.890,15.930,15.860,15.890,26474,15.453,15.303,0.090,0.255,0.016,0.153,0.518
2023-03-30,15.850,16.100,15.850,16.100,57775,15.517,15.317,0.250,0.249,0.015,0.123,0.531
2023-03-31,16.040,16.040,15.890,15.940,54218,15.565,15.322,0.210,0.239,0.015,0.082,0.523
2023-04-03,15.900,16.080,15.890,16.010,63960,15.620,15.331,0.190,0.244,0.015,0.042,0.512
2023-04-04,16.020,16.340,16.020,16.340,153709,15.704,15.344,0.330,0.244,0.015,-0.011,0.480
2023-04-05,16.330,16.380,16.240,16.300,38552,15.788,15.356,0.140,0.242,0.015,-0.053,0.445
2023-04-06,16.260,16.270,16.180,16.210,57098,15.858,15.365,0.120,0.212,0.013,-0.058,0.438
2023-04-10,16.100,16.100,16.040,16.090,22884,15.905,15.374,0.170,0.214,0.013,-0.084,0.402
2023-04-11,16.140,16.190,16.140,16.160,12516,15.940,15.385,0.100,0.195,0.012,-0.112,0.355
2023-04-12,16.310,16.310,16.180,16.280,31023,15.987,15.399,0.150,0.184,0.011,-0.118,0.328
2023-04-13,16.450,16.500,16.440,16.500,860494,16.038,15.417,0.220,0.183,0.011,-0.106,0.316
2023-04-14,16.360,16.360,16.110,16.190,29043,16.072,15.425,0.390,0.196,0.012,-0.119,0.276
2023-04-17,16.160,16.160,16.010,16.140,43745,16.082,15.437,0.180,0.193,0.012,-0.120,0.246
2023-04-18,16.110,16.240,16.110,16.210,99024,16.092,15.459,0.130,0.191,0.012,-0.122,0.214
2023-04-19,16.020,16.120,15.980,16.110,24512,16.115,15.479,0.230,0.201,0.012,-0.105,0.203
2023-04-20,16.130,16.250,16.130,16.190,13964,16.128,15.499,0.140,0.193,0.012,-0.095,0.186
2023-04-21,16.050,16.100,15.930,16.030,36036,16.121,15.517,0.260,0.196,0.012,-0.113,0.139
2023-04-24,15.970,16.050,15.940,16.030,58255,16.124,15.536,0.110,0.191,0.012,-0.127,0.096
2023-04-25,16.050,16.140,16.010,16.100,42938,16.139,15.557,0.130,0.176,0.011,-0.114,0.081
2023-04-26,16.170,16.170,16.020,16.040,15206,16.143,15.578,0.150,0.177,0.011,-0.093,0.075
2023-04-27,16.010,16.070,15.930,16.060,30340,16.152,15.598,0.140,0.179,0.011,-0.092,0.051
2023-04-28,16.020,16.080,15.990,16.070,14091,16.150,15.622,0.090,0.173,0.011,-0.091,0.028
2023-05-01,16.190,16.190,15.990,16.010,46969,16.154,15.645,0.200,0.180,0.011,-0.101,-0.006
2023-05-02,16.060,16.280,16.050,16.270,89064,16.167,15.673,0.270,0.189,0.012,-0.082,-0.011
2023-05-03,16.320,16.420,16.260,16.420,62727,16.171,15.704,0.160,0.184,0.011,-0.061,-0.012
2023-05-04,16.410,16.610,16.410,16.550,38738,16.183,15.740,0.200,0.171,0.010,-0.039,-0.006
2023-05-05,16.170,16.310,16.140,16.310,45587,16.188,15.771,0.410,0.187,0.011,-0.027,-0.006
2023-05-08,16.350,16.370,16.310,16.320,12114,16.200,15.805,0.060,0.182,0.011,-0.016,-0.004
2023-05-09,16.290,16.450,16.290,16.420,56871,16.213,15.840,0.160,0.177,0.011,0.006,0.011
2023-05-10,16.430,16.470,16.330,16.420,19650,16.220,15.874,0.140,0.177,0.011,0.025,0.027
2023-05-11,16.390,16.390,16.230,16.260,88371,16.208,15.903,0.190,0.172,0.011,0.040,0.044
2023-05-12,16.260,16.300,16.190,16.200,22872,16.208,15.930,0.110,0.172,0.011,0.049,0.061
2023-05-15,16.230,16.310,16.230,16.260,25683,16.214,15.956,0.110,0.171,0.010,0.054,0.076
2023-05-16,16.180,16.200,16.030,16.030,18822,16.205,15.978,0.230,0.176,0.011,0.044,0.075
2023-05-17,16.040,16.040,15.960,16.020,18578,16.201,16.006,0.080,0.172,0.011,0.040,0.081
2023-05-18,15.810,15.820,15.760,15.820,51563,16.182,16.029,0.260,0.184,0.012,0.013,0.061
2023-05-19,15.820,15.970,15.800,15.930,16533,16.177,16.052,0.170,0.182,0.011,-0.011,0.042
2023-05-23,15.840,15.950,15.840,15.950,35451,16.173,16.068,0.110,0.171,0.011,-0.051,0.001
2023-05-24,15.950,15.950,15.780,15.780,16537,16.157,16.074,0.170,0.171,0.011,-0.075,-0.029
2023-05-25,15.710,15.730,15.640,15.670,30810,16.139,16.081,0.140,0.167,0.011,-0.096,-0.062
2023-05-26,15.690,15.710,15.650,15.710,4936,16.121,16.085,0.060,0.142,0.009,-0.121,-0.106
2023-05-29,15.900,15.900,15.540,15.540,77407,16.095,16.086,0.360,0.164,0.011,-0.144,-0.155
2023-05-30,15.730,15.810,15.720,15.780,84730,16.083,16.083,0.270,0.171,0.011,-0.146,-0.185
2023-05-31,15.820,15.900,15.800,15.870,66890,16.063,16.080,0.120,0.170,0.011,-0.135,-0.206
2023-06-01,15.870,15.980,15.870,15.920,15974,16.038,16.086,0.110,0.164,0.010,-0.125,-0.228
2023-06-02,15.900,15.910,15.690,15.690,34620,15.995,16.081,0.230,0.173,0.011,-0.108,-0.243
2023-06-05,15.670,15.840,15.660,15.830,15601,15.971,16.074,0.180,0.178,0.011,-0.087,-0.250
2023-06-06,15.850,15.850,15.770,15.800,34177,15.945,16.070,0.080,0.167,0.011,-0.055,-0.241
2023-06-07,15.800,15.850,15.630,15.660,32082,15.907,16.068,0.220,0.177,0.011,-0.043,-0.250
2023-06-08,15.770,15.860,15.770,15.810,40339,15.877,16.065,0.200,0.173,0.011,-0.022,-0.244
2023-06-09,15.790,15.820,15.770,15.780,11759,15.853,16.063,0.050,0.164,0.010,0.010,-0.219
2023-06-12,15.800,15.800,15.710,15.800,24229,15.833,16.057,0.090,0.163,0.010,0.049,-0.180
2023-06-13,15.820,15.820,15.610,15.630,19635,15.801,16.050,0.210,0.166,0.011,0.064,-0.160
