Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,20.640,20.640,20.290,20.600,34957,,,,,,,
2022-09-30,20.570,20.800,20.460,20.490,34364,,,0.340,,,,
2022-10-03,20.610,21.050,20.610,20.910,23395,,,0.560,,,,
2022-10-04,21.220,21.570,21.220,21.400,76570,,,0.660,,,,
2022-10-05,21.180,21.210,21.020,21.170,53680,,,0.380,,,,
2022-10-06,21.130,21.130,20.360,20.440,44445,,,0.810,,,,
2022-10-07,20.310,20.310,19.850,20.010,99180,,,0.590,,,,
2022-10-11,19.760,19.760,19.370,19.430,43146,,,0.640,,,,
2022-10-12,19.440,19.630,19.300,19.540,25054,,,0.330,,,#DIV/0!,
2022-10-13,19.260,20.370,19.140,20.320,102944,,,1.230,,,#DIV/0!,
2022-10-14,20.500,20.580,20.270,20.270,39729,,,0.310,,,#DIV/0!,
2022-10-17,20.620,20.750,20.600,20.670,35327,,,0.480,,,#DIV/0!,
2022-10-18,21.080,21.080,20.800,20.910,24182,,,0.410,,,#DIV/0!,
2022-10-19,20.750,20.750,20.320,20.480,19523,,,0.590,0.564,0.028,#DIV/0!,
2022-10-20,20.470,20.550,20.190,20.260,24314,,,0.360,0.549,0.027,#DIV/0!,
2022-10-21,20.190,20.680,20.190,20.600,26634,,,0.490,0.560,0.027,#DIV/0!,
2022-10-24,20.770,20.800,20.600,20.710,25461,,,0.200,0.534,0.026,#DIV/0!,
2022-10-25,20.580,20.970,20.500,20.940,22175,,,0.470,0.521,0.025,#DIV/0!,
2022-10-26,20.880,21.230,20.810,21.020,114856,,,0.420,0.524,0.025,#DIV/0!,
2022-10-27,21.160,21.250,21.050,21.080,36391,20.563,,0.230,0.482,0.023,#DIV/0!,
2022-10-28,21.040,21.240,21.000,21.190,27211,20.592,,0.240,0.457,0.022,#DIV/0!,
2022-10-31,21.190,21.300,21.100,21.140,41645,20.625,,0.200,0.426,0.020,#DIV/0!,
2022-11-01,21.300,21.400,21.100,21.140,42695,20.636,,0.300,0.424,0.020,#DIV/0!,
2022-11-02,21.140,21.340,20.970,21.010,50011,20.617,,0.370,0.362,0.017,#DIV/0!,
2022-11-03,20.840,20.960,20.730,20.840,36977,20.600,,0.280,0.360,0.017,#DIV/0!,
2022-11-04,21.100,21.370,21.100,21.330,33747,20.645,,0.530,0.364,0.017,0.000,0.250
2022-11-07,21.440,21.530,21.330,21.440,37174,20.716,,0.200,0.349,0.016,0.033,0.316
2022-11-08,21.520,21.650,21.460,21.530,51628,20.821,,0.210,0.321,0.015,0.047,0.353
2022-11-09,21.400,21.440,21.230,21.250,72907,20.907,,0.300,0.317,0.015,0.059,0.385
2022-11-10,21.750,22.320,21.750,22.200,52314,21.001,,1.070,0.359,0.016,0.107,0.460
2022-11-11,22.290,22.380,22.080,22.340,55835,21.104,,0.300,0.366,0.016,0.143,0.525
2022-11-14,22.390,22.390,22.200,22.200,74686,21.181,,0.190,0.346,0.016,0.145,0.550
2022-11-15,22.440,22.440,22.020,22.210,57639,21.246,,0.420,0.346,0.016,0.127,0.551
2022-11-16,22.200,22.200,21.990,22.090,35163,21.326,,0.220,0.345,0.016,0.092,0.527
2022-11-17,21.920,22.090,21.890,22.050,33963,21.416,,0.200,0.342,0.016,0.043,0.507
2022-11-18,22.220,22.370,22.200,22.270,23833,21.499,,0.320,0.351,0.016,0.048,0.537
2022-11-21,22.270,22.380,22.180,22.370,56736,21.582,,0.200,0.344,0.015,0.070,0.583
2022-11-22,22.430,22.630,22.380,22.570,61414,21.664,,0.260,0.336,0.015,0.075,0.614
2022-11-23,22.570,22.740,22.520,22.660,24098,21.746,,0.220,0.331,0.015,0.088,0.648
2022-11-24,22.750,22.860,22.650,22.650,38175,21.824,,0.210,0.309,0.014,0.083,0.658
2022-11-25,22.770,22.850,22.750,22.770,22002,21.903,,0.200,0.309,0.014,0.098,0.688
2022-11-28,22.710,22.780,22.370,22.490,25530,21.971,,0.410,0.323,0.014,0.039,0.640
2022-11-29,22.360,22.360,22.070,22.210,67142,22.024,,0.420,0.331,0.015,-0.034,0.571
