Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,19.015,19.565,18.310,19.505,137520,,,,,,,
2022-09-30,19.095,20.030,18.600,19.460,763816,,,1.430,,,,
2022-10-03,21.060,21.965,20.970,21.705,701516,,,2.505,,,,
2022-10-04,22.670,23.685,22.535,23.685,301080,,,1.980,,,,
2022-10-05,23.690,24.950,22.835,24.555,421922,,,2.115,,,,
2022-10-06,24.445,25.800,24.445,25.515,270530,,,1.355,,,,
2022-10-07,25.545,26.350,25.250,25.625,302758,,,1.100,,,,
2022-10-11,23.505,24.410,23.190,23.565,359866,,,2.435,,,,
2022-10-12,23.375,23.865,22.230,23.525,142704,,,1.635,,,#DIV/0!,
2022-10-13,23.070,25.345,22.925,25.075,306816,,,2.420,,,#DIV/0!,
2022-10-14,24.520,25.205,23.340,23.360,177280,,,1.865,,,#DIV/0!,
2022-10-17,24.145,24.640,23.335,23.355,341394,,,1.305,,,#DIV/0!,
2022-10-18,23.400,23.925,22.245,23.165,380814,,,1.680,,,#DIV/0!,
2022-10-19,23.510,24.725,23.220,24.580,379622,,,1.560,1.799,0.073,#DIV/0!,
2022-10-20,25.160,26.065,25.000,25.355,305792,,,1.485,1.776,0.070,#DIV/0!,
2022-10-21,25.355,26.270,25.090,26.205,260706,,,1.180,1.759,0.067,#DIV/0!,
2022-10-24,25.970,26.940,25.970,26.595,106884,,,0.970,1.649,0.062,#DIV/0!,
2022-10-25,26.380,27.050,26.370,26.800,98800,,,0.680,1.556,0.058,#DIV/0!,
2022-10-26,27.080,28.035,27.000,27.795,140112,,,1.235,1.493,0.054,#DIV/0!,
2022-10-27,28.210,28.815,27.400,27.520,151408,24.347,,1.415,1.498,0.054,#DIV/0!,
2022-10-28,27.520,28.120,26.610,27.620,201644,24.753,,1.510,1.527,0.055,#DIV/0!,
2022-10-31,27.075,28.945,27.075,28.500,200392,25.205,,1.870,1.486,0.052,#DIV/0!,
2022-11-01,29.020,29.750,29.010,29.225,91302,25.581,,1.250,1.459,0.050,#DIV/0!,
2022-11-02,28.605,29.795,28.235,28.835,106584,25.839,,1.560,1.397,0.048,#DIV/0!,
2022-11-03,28.210,30.585,28.000,30.270,109010,26.124,,2.585,1.449,0.048,#DIV/0!,
2022-11-04,31.505,32.020,29.500,30.275,204104,26.362,,2.520,1.536,0.051,0.000,2.467
2022-11-07,30.520,31.360,30.300,30.480,43374,26.605,,1.085,1.493,0.049,0.002,2.472
2022-11-08,30.010,30.570,29.760,29.910,62234,26.922,,0.810,1.440,0.048,-0.060,2.379
2022-11-09,29.380,29.380,27.380,27.430,137065,27.118,,2.530,1.514,0.055,-0.158,2.229
2022-11-10,28.010,29.000,27.970,28.760,138606,27.302,,1.570,1.542,0.054,-0.152,2.197
2022-11-11,29.900,30.600,29.780,30.040,89997,27.636,,1.840,1.604,0.053,-0.147,2.173
2022-11-14,29.800,30.390,29.200,29.220,101108,27.929,,1.190,1.641,0.056,-0.126,2.172
2022-11-15,29.140,30.470,28.880,30.200,79779,28.281,,1.590,1.666,0.055,-0.076,2.211
2022-11-16,29.900,29.950,28.820,28.870,273683,28.495,,1.380,1.664,0.058,-0.222,2.038
2022-11-17,27.830,28.550,27.160,28.550,133490,28.655,,1.710,1.678,0.059,-0.396,1.788
2022-11-18,27.450,28.580,26.820,28.360,104856,28.763,,1.760,1.670,0.059,-0.467,1.622
2022-11-21,27.200,27.790,25.500,27.730,162459,28.820,,2.860,1.785,0.064,-0.721,1.243
2022-11-22,28.230,29.250,28.150,29.030,49440,28.931,,1.520,1.782,0.061,-0.898,0.921
2022-11-23,28.080,28.750,28.080,28.320,32635,28.957,,0.950,1.665,0.059,-1.092,0.542
2022-11-24,28.350,28.530,28.350,28.420,6021,29.002,,0.210,1.500,0.053,-1.153,0.271
2022-11-25,28.500,28.700,28.280,28.380,140512,29.040,,0.420,1.453,0.051,-0.974,0.233
2022-11-28,26.070,28.050,26.070,27.470,84071,28.989,,2.310,1.560,0.057,-0.893,0.077
2022-11-29,28.050,28.750,27.950,28.250,219742,28.940,,1.280,1.471,0.052,-0.865,-0.136
2022-11-30,29.060,29.200,27.610,27.700,167107,28.883,,1.590,1.472,0.053,-0.794,-0.297
2022-12-01,28.450,28.450,27.120,27.180,89325,28.729,,1.330,1.436,0.053,-0.784,-0.525
2022-12-02,27.010,28.160,26.780,27.300,41672,28.580,,1.380,1.449,0.053,-0.696,-0.647
2022-12-05,27.880,28.070,25.650,25.700,133808,28.341,,2.420,1.509,0.059,-0.667,-0.811
2022-12-06,25.370,26.270,23.900,23.920,75052,28.042,,2.370,1.579,0.066,-0.689,-1.005
2022-12-07,24.000,24.440,23.320,23.670,154021,27.854,,1.120,1.537,0.065,-0.658,-1.129
