Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,10.030,10.570,9.950,10.540,335680,,,,,,,
2022-09-30,10.560,11.420,10.470,11.210,648669,,,0.950,,,,
2022-10-03,11.480,11.750,11.300,11.750,400590,,,0.540,,,,
2022-10-04,12.110,12.470,11.960,12.060,325806,,,0.720,,,,
2022-10-05,11.670,11.860,11.380,11.860,340898,,,0.680,,,,
2022-10-06,11.970,12.390,11.740,12.380,179983,,,0.650,,,,
2022-10-07,11.870,12.040,11.180,11.190,415144,,,1.200,,,,
2022-10-11,10.910,11.260,10.710,10.710,525175,,,0.550,,,,
2022-10-12,10.710,11.020,10.580,10.910,382185,,,0.440,,,#DIV/0!,
2022-10-13,10.400,10.630,9.630,10.590,688800,,,1.280,,,#DIV/0!,
2022-10-14,10.330,10.420,9.850,9.900,355775,,,0.740,,,#DIV/0!,
2022-10-17,10.250,10.520,10.170,10.210,360643,,,0.620,,,#DIV/0!,
2022-10-18,10.370,10.500,10.190,10.340,303662,,,0.310,,,#DIV/0!,
2022-10-19,10.060,10.100,9.830,9.910,271470,,,0.510,0.707,0.071,#DIV/0!,
2022-10-20,9.990,10.410,9.790,10.025,376157,,,0.620,0.701,0.070,#DIV/0!,
2022-10-21,10.090,10.740,10.080,10.725,335810,,,0.715,0.684,0.064,#DIV/0!,
2022-10-24,10.580,10.690,10.320,10.600,227817,,,0.405,0.674,0.064,#DIV/0!,
2022-10-25,10.600,10.930,10.600,10.770,297863,,,0.330,0.646,0.060,#DIV/0!,
2022-10-26,11.000,11.600,11.000,11.400,399489,,,0.830,0.657,0.058,#DIV/0!,
2022-10-27,11.400,11.470,11.130,11.150,359110,10.911,,0.340,0.635,0.057,#DIV/0!,
2022-10-28,10.900,11.130,10.770,11.120,179800,10.940,,0.380,0.576,0.052,#DIV/0!,
2022-10-31,10.770,11.080,10.745,10.750,228344,10.917,,0.375,0.564,0.052,#DIV/0!,
2022-11-01,11.100,11.330,11.100,11.180,200884,10.889,,0.580,0.574,0.051,#DIV/0!,
2022-11-02,11.350,11.350,9.950,9.970,828109,10.784,,1.400,0.583,0.058,#DIV/0!,
2022-11-03,9.790,9.890,9.255,9.300,1140998,10.657,,0.715,0.581,0.062,#DIV/0!,
2022-11-04,9.940,10.500,9.780,10.500,965951,10.563,,1.200,0.622,0.059,0.000,-0.185
2022-11-07,10.610,10.660,10.220,10.610,185469,10.534,,0.440,0.631,0.060,0.023,-0.139
2022-11-08,10.700,12.020,10.550,11.810,844781,10.589,,1.470,0.700,0.059,0.060,-0.072
2022-11-09,11.750,11.950,11.270,11.360,273287,10.611,,0.680,0.704,0.062,0.104,0.006
2022-11-10,12.200,12.700,12.100,12.560,473006,10.710,,1.340,0.749,0.060,0.187,0.136
2022-11-11,12.670,12.770,12.350,12.750,427792,10.852,,0.420,0.750,0.059,0.221,0.214
2022-11-14,12.720,12.830,12.440,12.650,490421,10.974,,0.390,0.754,0.060,0.288,0.329
2022-11-15,12.750,12.900,12.100,12.320,494064,11.073,,0.800,0.752,0.061,0.301,0.386
2022-11-16,12.120,12.450,12.100,12.130,187536,11.184,,0.350,0.753,0.062,0.321,0.446
2022-11-17,11.790,11.850,11.570,11.780,331154,11.272,,0.560,0.766,0.065,0.266,0.463
2022-11-18,11.720,12.120,11.720,12.120,298032,11.341,,0.400,0.767,0.063,0.306,0.583
2022-11-21,11.870,12.100,11.690,11.980,192425,11.410,,0.430,0.757,0.063,0.361,0.726
2022-11-22,12.200,12.910,12.140,12.890,308150,11.516,,0.930,0.723,0.056,0.366,0.822
