Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,18.400,19.520,17.500,18.990,1232764,,,,,,,
2022-09-30,18.320,19.860,18.050,18.490,967257,,,1.810,,,,
2022-10-03,16.850,17.130,15.880,17.090,1333838,,,2.610,,,,
2022-10-04,17.340,18.860,17.250,18.540,936213,,,1.770,,,,
2022-10-05,19.290,19.450,18.710,19.310,645640,,,0.910,,,,
2022-10-06,19.700,20.180,18.880,19.090,974992,,,1.300,,,,
2022-10-07,18.480,19.140,17.700,17.750,1024892,,,1.440,,,,
2022-10-11,17.440,17.820,16.570,17.420,1003478,,,1.250,,,,
2022-10-12,17.970,18.140,16.460,16.600,1667792,,,1.680,,,#DIV/0!,
2022-10-13,16.690,18.190,16.250,17.760,1152960,,,1.940,,,#DIV/0!,
2022-10-14,17.230,17.400,16.600,16.990,954325,,,1.160,,,#DIV/0!,
2022-10-17,15.000,15.490,14.700,15.020,2204085,,,2.290,,,#DIV/0!,
2022-10-18,15.150,15.400,13.640,13.920,1982528,,,1.760,,,#DIV/0!,
2022-10-19,12.980,13.340,12.530,12.540,1598666,,,1.390,1.639,0.131,#DIV/0!,
2022-10-20,12.230,12.820,11.940,12.250,1490006,,,0.880,1.585,0.129,#DIV/0!,
2022-10-21,10.960,11.170,10.410,10.930,2993520,,,1.840,1.587,0.145,#DIV/0!,
2022-10-24,11.260,12.180,11.260,11.840,2449288,,,1.250,1.490,0.126,#DIV/0!,
2022-10-25,12.300,13.670,12.190,13.660,2274519,,,1.830,1.494,0.109,#DIV/0!,
2022-10-26,12.490,13.610,12.450,13.410,1823329,,,1.210,1.516,0.113,#DIV/0!,
2022-10-27,12.870,13.370,11.550,12.180,3259271,15.689,,1.860,1.556,0.128,#DIV/0!,
2022-10-28,11.480,11.920,10.890,11.880,2321962,15.334,,1.290,1.545,0.130,#DIV/0!,
2022-10-31,13.500,14.220,13.100,13.950,3066952,15.107,,2.340,1.623,0.116,#DIV/0!,
2022-11-01,12.620,12.620,10.860,11.780,3290707,14.841,,3.090,1.724,0.146,#DIV/0!,
2022-11-02,12.980,13.600,12.650,13.040,2574360,14.566,,1.820,1.715,0.132,#DIV/0!,
2022-11-03,12.660,13.020,11.820,11.970,2515118,14.199,,1.220,1.719,0.144,#DIV/0!,
2022-11-04,12.600,14.370,11.940,14.090,3456564,13.949,,2.430,1.729,0.123,0.000,-2.437
2022-11-07,16.230,17.350,14.600,15.280,1983376,13.826,,3.260,1.836,0.120,0.198,-2.042
2022-11-08,13.910,13.910,12.400,13.180,4576273,13.614,,2.880,1.943,0.147,0.393,-1.650
2022-11-09,11.720,12.270,11.140,11.810,3704925,13.374,,2.040,2.026,0.172,0.445,-1.450
2022-11-10,12.260,13.020,11.790,12.630,2487155,13.118,,1.230,1.982,0.157,0.469,-1.308
2022-11-11,13.200,13.900,11.260,11.810,5014184,12.859,,2.640,2.081,0.176,0.520,-1.153
2022-11-14,13.160,13.320,11.600,12.170,3240157,12.716,,1.720,2.074,0.170,0.673,-0.888
2022-11-15,11.660,12.440,11.340,12.400,1992228,12.640,,1.100,2.066,0.167,0.807,-0.639
2022-11-16,11.400,12.960,11.090,12.880,3959627,12.657,,1.870,2.066,0.160,0.793,-0.553
2022-11-17,13.450,14.070,12.900,13.500,2338482,12.720,,1.190,2.059,0.153,0.818,-0.291
2022-11-18,12.350,13.750,12.290,13.440,1563021,12.845,,1.460,1.996,0.149,0.800,-0.091
2022-11-21,14.350,15.520,14.330,15.050,1434720,13.006,,2.080,1.924,0.128,0.921,0.240
2022-11-22,14.850,16.720,14.560,16.550,1864445,13.150,,2.160,1.949,0.118,0.864,0.386
2022-11-23,19.010,19.070,16.890,17.500,1438776,13.355,,2.520,2.041,0.117,0.717,0.434
2022-11-24,17.420,17.470,16.500,17.160,513942,13.604,,1.000,1.939,0.113,0.678,0.588
2022-11-25,16.750,17.610,15.160,15.760,1108938,13.798,,2.450,1.881,0.119,0.687,0.782
2022-11-28,14.630,15.920,14.540,15.720,1704876,13.886,,1.380,1.774,0.113,0.594,0.855
2022-11-29,15.340,16.060,14.700,15.400,1956640,14.067,,1.360,1.726,0.112,0.582,1.017
2022-11-30,15.430,15.480,13.520,14.170,2924822,14.124,,1.960,1.778,0.125,0.567,1.164
2022-12-01,14.690,15.000,13.130,13.680,3558693,14.209,,1.870,1.723,0.126,0.513,1.261
2022-12-02,12.500,12.990,11.230,11.390,4262110,14.074,,2.450,1.775,0.156,0.316,1.167
2022-12-05,9.830,9.930,8.800,8.990,4856120,13.760,,2.590,1.881,0.209,-0.006,0.902
2022-12-06,8.700,9.030,8.120,8.230,3212362,13.512,,0.910,1.813,0.220,-0.248,0.688
2022-12-07,8.900,9.650,8.300,9.600,5351703,13.402,,1.420,1.829,0.191,-0.588,0.318
2022-12-08,9.720,10.620,9.600,10.030,4705412,13.272,14.176,1.020,1.798,0.179,-0.917,-0.110
2022-12-09,11.000,11.310,10.300,11.170,3997682,13.240,14.020,1.280,1.741,0.156,-1.251,-0.607
2022-12-12,12.880,13.050,11.810,11.880,3346630,13.225,13.888,1.880,1.721,0.145,-1.386,-0.962
2022-12-13,13.100,13.790,12.810,13.450,3288573,13.278,13.815,1.910,1.677,0.125,-1.259,-1.084
2022-12-14,12.070,12.230,11.030,11.100,5312212,13.189,13.666,2.420,1.779,0.160,-1.269,-1.389
2022-12-15,11.810,12.810,11.150,12.340,5250834,13.131,13.527,1.710,1.726,0.140,-1.230,-1.664
2022-12-16,11.120,11.880,10.880,11.490,4943699,13.033,13.375,1.460,1.731,0.151,-1.104,-1.844
2022-12-19,9.890,10.090,9.110,9.210,5532187,12.741,13.204,2.380,1.804,0.196,-1.065,-2.116
2022-12-20,8.030,8.100,7.590,7.790,5498850,12.303,13.011,1.620,1.780,0.228,-0.912,-2.248
2022-12-21,8.300,8.350,7.640,8.010,4557782,11.829,12.840,0.710,1.697,0.212,-0.597,-2.161
2022-12-22,7.690,8.080,6.850,7.020,5255234,11.322,12.625,1.230,1.610,0.229,-0.313,-2.036
2022-12-23,6.680,7.450,6.590,7.090,4369238,10.888,12.427,0.860,1.486,0.210,-0.161,-1.999
2022-12-28,6.090,6.380,5.570,6.330,6101795,10.419,12.253,1.520,1.530,0.242,-0.090,-2.033
2022-12-29,5.800,5.960,5.500,5.900,5854079,9.944,12.093,0.830,1.488,0.252,-0.096,-2.121
