Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,11.510,11.920,11.350,11.730,1060565,,,,,,,
2022-09-30,12.070,12.400,11.810,12.230,1146386,,,0.670,,,,
2022-10-03,10.910,11.470,10.800,11.160,1225431,,,1.430,,,,
2022-10-04,10.480,10.680,10.210,10.390,1615773,,,0.950,,,,
2022-10-05,10.150,10.560,9.860,9.970,1291300,,,0.700,,,,
2022-10-06,10.010,10.020,9.690,9.710,779774,,,0.330,,,,
2022-10-07,9.630,9.630,8.870,9.010,1593880,,,0.840,,,,
2022-10-11,9.660,9.940,9.500,9.840,937232,,,0.930,,,,
2022-10-12,9.930,10.280,9.880,10.120,693309,,,0.440,,,#DIV/0!,
2022-10-13,10.250,10.260,9.530,9.640,818133,,,0.730,,,#DIV/0!,
2022-10-14,9.960,10.440,9.890,10.330,1058644,,,0.800,,,#DIV/0!,
2022-10-17,10.070,10.490,9.990,10.400,518771,,,0.500,,,#DIV/0!,
2022-10-18,10.690,11.160,10.560,10.900,828550,,,0.760,,,#DIV/0!,
2022-10-19,10.820,10.930,10.200,10.340,898802,,,0.730,0.755,0.073,#DIV/0!,
2022-10-20,9.980,10.400,9.700,10.260,819629,,,0.700,0.751,0.073,#DIV/0!,
2022-10-21,10.270,10.480,10.000,10.200,841586,,,0.480,0.737,0.072,#DIV/0!,
2022-10-24,10.250,10.430,10.000,10.280,554441,,,0.430,0.666,0.065,#DIV/0!,
2022-10-25,10.210,10.300,9.960,10.200,690552,,,0.340,0.622,0.061,#DIV/0!,
2022-10-26,10.000,10.000,9.450,9.510,1236576,,,0.750,0.626,0.066,#DIV/0!,
2022-10-27,9.280,9.420,9.170,9.320,1060593,10.277,,0.340,0.626,0.067,#DIV/0!,
2022-10-28,9.550,9.700,9.400,9.500,988555,10.166,,0.380,0.594,0.062,#DIV/0!,
2022-10-31,9.880,10.090,9.580,9.900,888227,10.049,,0.590,0.569,0.058,#DIV/0!,
2022-11-01,9.260,9.580,9.230,9.420,839444,9.962,,0.670,0.586,0.062,#DIV/0!,
2022-11-02,9.430,9.520,8.990,9.200,1445667,9.903,,0.530,0.571,0.062,#DIV/0!,
2022-11-03,9.450,9.530,9.240,9.420,917423,9.875,,0.330,0.538,0.057,#DIV/0!,
2022-11-04,8.610,8.860,8.460,8.490,2686590,9.814,,0.960,0.571,0.067,0.000,-0.415
2022-11-07,8.480,8.650,8.290,8.590,865861,9.793,,0.360,0.542,0.063,-0.009,-0.433
2022-11-08,8.650,9.180,8.640,9.100,961208,9.756,,0.590,0.532,0.058,0.013,-0.405
2022-11-09,9.390,9.830,9.390,9.810,882904,9.741,,0.730,0.534,0.054,0.019,-0.392
2022-11-10,9.810,9.950,9.440,9.650,465603,9.741,,0.510,0.536,0.056,0.002,-0.409
2022-11-11,9.020,9.280,8.840,9.070,846225,9.678,,0.810,0.564,0.062,0.000,-0.411
2022-11-14,9.330,9.820,9.060,9.820,756078,9.649,,0.760,0.594,0.060,0.032,-0.374
2022-11-15,9.800,9.940,9.030,9.450,791986,9.577,,0.910,0.605,0.064,0.009,-0.395
2022-11-16,9.770,9.990,9.670,9.770,847726,9.548,,0.540,0.619,0.063,0.001,-0.403
2022-11-17,10.030,10.570,9.980,10.440,1233049,9.557,,0.800,0.649,0.062,0.064,-0.330
2022-11-18,11.320,11.370,10.820,10.820,873157,9.588,,0.930,0.674,0.062,0.133,-0.241
2022-11-21,11.660,12.180,10.800,10.920,664485,9.620,,1.380,0.724,0.066,0.205,-0.138
2022-11-22,10.570,10.710,10.260,10.590,543914,9.640,,0.660,0.734,0.069,0.326,0.029
2022-11-23,11.320,11.670,11.230,11.550,616208,9.742,,1.080,0.787,0.068,0.475,0.251
2022-11-24,11.570,11.570,11.300,11.300,97987,9.841,,0.270,0.738,0.065,0.531,0.397
2022-11-25,11.270,11.880,11.200,11.780,228707,9.955,,0.680,0.761,0.065,0.539,0.503
2022-11-28,12.390,12.470,11.430,11.710,674151,10.045,,1.040,0.793,0.068,0.541,0.617
2022-11-29,11.120,11.610,10.920,11.220,867104,10.135,,0.790,0.797,0.071,0.554,0.760
2022-11-30,10.550,10.780,10.490,10.630,844367,10.207,,0.730,0.813,0.076,0.479,0.811
2022-12-01,10.100,10.550,9.950,10.500,1120460,10.261,,0.680,0.804,0.077,0.406,0.860
2022-12-02,10.430,10.870,10.250,10.720,896193,10.372,,0.620,0.794,0.074,0.317,0.885
2022-12-05,10.190,11.630,10.110,11.460,984931,10.516,,1.520,0.837,0.073,0.231,0.895
2022-12-06,11.710,12.630,11.600,12.350,1055685,10.678,,1.170,0.882,0.071,0.189,0.928
2022-12-07,12.240,13.170,12.110,12.970,852548,10.836,,1.060,0.901,0.069,0.160,0.963
2022-12-08,12.520,13.450,12.470,13.350,987888,11.021,10.381,0.980,0.904,0.068,0.172,1.033
2022-12-09,13.190,13.810,12.870,13.320,864915,11.234,10.413,0.940,0.873,0.066,0.123,1.030
2022-12-12,13.120,13.180,12.450,12.610,709195,11.373,10.420,0.870,0.888,0.070,0.049,0.981
2022-12-13,12.310,12.310,11.680,11.980,947830,11.500,10.437,0.930,0.877,0.073,-0.071,0.867
2022-12-14,11.540,11.850,11.240,11.340,1267265,11.578,10.456,0.740,0.911,0.080,-0.176,0.750
2022-12-15,11.480,11.920,11.410,11.700,924466,11.641,10.490,0.580,0.904,0.077,-0.190,0.718
2022-12-16,12.400,12.510,11.840,12.230,1295418,11.712,10.541,0.810,0.887,0.073,-0.140,0.752
2022-12-19,11.750,12.260,11.530,11.770,1139679,11.754,10.596,0.730,0.883,0.075,-0.118,0.754
2022-12-20,11.800,12.210,11.440,11.710,901429,11.810,10.633,0.770,0.886,0.076,-0.086,0.764
2022-12-21,11.140,11.260,10.950,10.990,1451587,11.782,10.651,0.760,0.891,0.081,-0.144,0.665
2022-12-22,10.850,11.390,10.800,11.080,781872,11.771,10.679,0.590,0.889,0.080,-0.242,0.509
2022-12-23,10.640,10.750,10.450,10.610,871193,11.713,10.685,0.630,0.826,0.078,-0.370,0.306
2022-12-28,10.700,11.220,10.700,10.880,624348,11.671,10.695,0.610,0.786,0.072,-0.493,0.098
2022-12-29,11.220,11.270,10.900,10.900,666683,11.655,10.695,0.390,0.738,0.068,-0.599,-0.103
2022-12-30,10.960,10.960,10.350,10.390,717620,11.643,10.696,0.610,0.711,0.068,-0.665,-0.281
2023-01-03,10.840,11.350,10.550,11.190,827896,11.678,10.714,0.960,0.713,0.064,-0.597,-0.332
2023-01-04,11.880,12.450,11.880,12.320,731578,11.758,10.757,1.260,0.741,0.060,-0.438,-0.290
2023-01-05,12.310,12.500,11.750,12.130,734758,11.791,10.794,0.750,0.728,0.060,-0.301,-0.268
2023-01-06,11.750,12.260,11.610,12.150,706380,11.781,10.833,0.650,0.721,0.059,-0.219,-0.291
2023-01-09,11.490,11.910,11.170,11.780,721659,11.722,10.878,0.980,0.750,0.064,-0.148,-0.312
2023-01-10,11.650,12.010,11.440,11.730,1326012,11.641,10.926,0.570,0.733,0.062,-0.116,-0.353
2023-01-11,11.230,11.480,10.850,10.930,1815288,11.521,10.955,0.880,0.744,0.068,-0.085,-0.374
2023-01-12,10.570,10.820,10.500,10.720,1408015,11.427,10.971,0.430,0.719,0.067,-0.081,-0.404
2023-01-13,10.510,10.600,10.260,10.270,1184588,11.341,10.988,0.460,0.698,0.068,-0.052,-0.387
2023-01-16,10.500,10.630,10.460,10.530,324815,11.301,11.015,0.360,0.681,0.065,-0.010,-0.346
2023-01-17,10.000,10.440,9.940,10.000,1014271,11.216,11.026,0.590,0.679,0.068,0.031,-0.307
2023-01-18,9.770,10.490,9.660,10.440,1147282,11.126,11.065,0.830,0.694,0.067,0.139,-0.191
2023-01-19,10.220,10.400,9.940,10.130,1685784,11.044,11.096,0.500,0.702,0.069,0.158,-0.156
2023-01-20,10.070,10.340,9.850,9.860,1483584,10.952,11.111,0.490,0.694,0.070,0.053,-0.255
2023-01-23,9.810,9.970,9.670,9.910,845327,10.898,11.113,0.300,0.646,0.065,-0.052,-0.361
2023-01-24,9.860,10.380,9.860,10.280,871578,10.858,11.126,0.520,0.594,0.058,-0.156,-0.476
2023-01-25,10.200,10.440,10.000,10.160,752197,10.835,11.148,0.440,0.571,0.056,-0.215,-0.552
2023-01-26,9.820,10.240,9.790,10.040,1006212,10.793,11.152,0.450,0.557,0.055,-0.247,-0.608
2023-01-27,9.810,10.530,9.780,10.450,1191890,10.771,11.172,0.750,0.541,0.052,-0.208,-0.598
2023-01-30,10.700,10.900,10.350,10.880,822369,10.795,11.194,0.550,0.539,0.050,-0.136,-0.552
2023-01-31,10.990,11.020,10.480,10.520,547666,10.762,11.196,0.540,0.515,0.049,-0.061,-0.513
2023-02-01,10.530,11.320,10.480,11.110,914740,10.701,11.202,0.840,0.544,0.049,0.021,-0.466
2023-02-02,11.230,11.630,11.100,11.400,485230,10.665,11.211,0.530,0.549,0.048,0.121,-0.380
2023-02-03,11.250,12.190,10.760,12.170,1243123,10.666,11.243,1.430,0.626,0.051,0.207,-0.285
2023-02-06,11.940,12.480,11.780,11.780,626427,10.666,11.248,0.700,0.634,0.054,0.278,-0.182
2023-02-07,11.630,11.650,10.880,10.910,743995,10.625,11.240,0.900,0.639,0.059,0.297,-0.114
2023-02-08,10.680,10.940,10.570,10.590,692636,10.608,11.216,0.370,0.629,0.059,0.313,-0.034
2023-02-09,10.830,11.090,10.650,10.810,879603,10.612,11.198,0.500,0.630,0.058,0.341,0.068
2023-02-10,10.480,10.480,10.190,10.220,673118,10.610,11.178,0.620,0.653,0.064,0.342,0.146
2023-02-13,10.360,10.460,10.030,10.350,754586,10.601,11.172,0.430,0.646,0.062,0.353,0.241
2023-02-14,10.700,10.800,10.310,10.380,643177,10.620,11.170,0.490,0.650,0.063,0.317,0.289
2023-02-15,10.550,10.880,10.380,10.500,927298,10.623,11.166,0.500,0.654,0.062,0.257,0.305
2023-02-16,10.530,10.690,10.390,10.670,462225,10.650,11.150,0.300,0.621,0.058,0.211,0.327
2023-02-17,11.310,11.460,11.050,11.150,1022966,10.714,11.126,0.790,0.639,0.057,0.143,0.314
2023-02-21,10.980,11.310,10.870,11.260,528637,10.782,11.092,0.440,0.631,0.056,0.051,0.265
2023-02-22,11.370,11.940,11.300,11.910,507210,10.863,11.063,0.680,0.620,0.052,-0.049,0.190
2023-02-23,11.400,11.600,11.260,11.390,685210,10.925,11.024,0.650,0.629,0.055,-0.139,0.104
2023-02-24,11.670,11.820,11.070,11.070,1071414,10.976,10.993,0.750,0.580,0.052,-0.144,0.093
2023-02-27,11.240,11.540,11.200,11.350,608839,11.021,10.981,0.470,0.564,0.050,-0.112,0.109
2023-02-28,10.830,11.010,10.760,10.990,753829,11.027,10.974,0.590,0.541,0.049,-0.118,0.081
2023-03-01,11.050,11.180,10.720,10.730,968699,11.037,10.954,0.460,0.548,0.051,-0.083,0.092
2023-03-02,10.620,10.790,10.520,10.680,736802,11.016,10.923,0.270,0.531,0.050,-0.046,0.104
2023-03-03,11.020,11.050,10.180,10.200,1477782,10.956,10.892,0.870,0.549,0.054,-0.038,0.087
2023-03-06,10.360,10.430,9.990,10.000,777487,10.847,10.858,0.440,0.550,0.055,-0.054,0.047
2023-03-07,10.090,10.870,10.080,10.790,1406325,10.798,10.854,0.870,0.577,0.053,-0.040,0.044
2023-03-08,11.000,11.130,10.790,11.040,1191540,10.804,10.853,0.340,0.566,0.051,-0.047,0.029
2023-03-09,10.760,11.350,10.630,11.310,871787,10.840,10.867,0.720,0.596,0.053,-0.064,0.003
2023-03-10,11.290,11.340,10.870,11.020,867718,10.851,10.870,0.470,0.573,0.052,-0.115,-0.068
2023-03-13,11.870,12.030,11.120,11.650,885852,10.922,10.885,1.010,0.614,0.053,-0.087,-0.056
2023-03-14,12.080,12.740,11.630,12.500,674027,11.030,10.927,1.110,0.644,0.052,0.024,0.051
2023-03-15,13.610,14.570,13.350,13.680,857356,11.195,10.977,2.070,0.746,0.055,0.137,0.172
2023-03-16,14.260,14.620,13.180,13.680,484521,11.354,11.004,1.440,0.795,0.058,0.233,0.289
2023-03-17,13.750,14.780,13.750,14.400,502634,11.540,11.049,1.100,0.840,0.058,0.347,0.449
2023-03-20,14.370,14.700,13.820,13.850,433663,11.675,11.083,0.880,0.861,0.062,0.433,0.596
2023-03-21,13.480,13.660,13.050,13.110,595452,11.768,11.110,0.800,0.885,0.068,0.487,0.727
2023-03-22,13.030,13.220,12.490,12.910,1051789,11.818,11.134,0.730,0.918,0.071,0.534,0.871
