Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,8.940,8.960,8.460,8.680,2735151,,,,,,,
2022-09-30,8.620,8.870,8.360,8.380,1568725,,,0.510,,,,
2022-10-03,8.490,8.860,8.390,8.750,2250333,,,0.480,,,,
2022-10-04,9.120,9.350,9.120,9.300,1625239,,,0.600,,,,
2022-10-05,9.010,9.410,8.860,9.260,1684924,,,0.550,,,,
2022-10-06,9.210,9.425,9.115,9.140,1011646,,,0.310,,,,
2022-10-07,8.830,8.830,8.350,8.440,1646109,,,0.790,,,,
2022-10-11,8.160,8.350,7.935,8.050,2269249,,,0.505,,,,
2022-10-12,8.080,8.190,8.000,8.040,2098148,,,0.190,,,#DIV/0!,
2022-10-13,7.560,8.480,7.520,8.420,2918391,,,0.960,,,#DIV/0!,
2022-10-14,8.580,8.580,7.855,7.870,2292390,,,0.725,,,#DIV/0!,
2022-10-17,8.250,8.450,8.250,8.400,1330466,,,0.580,,,#DIV/0!,
2022-10-18,8.860,8.890,8.370,8.530,1809515,,,0.520,,,#DIV/0!,
2022-10-19,8.410,8.670,8.320,8.480,1060355,,,0.350,0.544,0.064,#DIV/0!,
2022-10-20,8.420,8.740,8.310,8.380,1393924,,,0.430,0.536,0.064,#DIV/0!,
2022-10-21,8.300,8.800,8.250,8.770,1638907,,,0.550,0.539,0.061,#DIV/0!,
2022-10-24,8.810,9.020,8.570,8.970,1482333,,,0.450,0.536,0.060,#DIV/0!,
2022-10-25,9.040,9.350,9.030,9.340,1543599,,,0.380,0.521,0.056,#DIV/0!,
2022-10-26,8.950,9.310,8.890,8.910,2764047,,,0.450,0.514,0.058,#DIV/0!,
2022-10-27,8.860,8.930,8.550,8.580,1645018,8.635,,0.380,0.519,0.060,#DIV/0!,
2022-10-28,8.580,9.140,8.550,9.120,1356822,8.657,,0.590,0.504,0.055,#DIV/0!,
2022-10-31,8.970,9.010,8.780,8.900,1961009,8.682,,0.340,0.493,0.055,#DIV/0!,
2022-11-01,9.150,9.160,8.700,8.720,879983,8.681,,0.460,0.512,0.059,#DIV/0!,
2022-11-02,8.700,8.910,8.120,8.120,2544901,8.622,,0.790,0.500,0.062,#DIV/0!,
2022-11-03,7.930,8.030,7.780,7.800,2133956,8.549,,0.340,0.472,0.061,#DIV/0!,
2022-11-04,8.100,8.140,7.720,8.040,2505948,8.494,,0.420,0.461,0.057,0.000,0.046
2022-11-07,8.110,8.250,7.980,8.210,1541319,8.482,,0.270,0.443,0.054,0.002,0.049
2022-11-08,8.310,8.530,8.090,8.330,2065635,8.496,,0.440,0.449,0.054,-0.022,0.015
2022-11-09,8.210,8.260,7.930,7.940,1470201,8.491,,0.400,0.447,0.056,-0.057,-0.040
2022-11-10,8.700,9.100,8.570,9.090,2040060,8.525,,1.160,0.491,0.054,-0.056,-0.053
2022-11-11,9.090,9.470,8.995,9.430,1932167,8.603,,0.475,0.493,0.052,-0.016,-0.016
2022-11-14,9.280,9.510,9.200,9.240,1108447,8.645,,0.310,0.488,0.053,0.030,0.035
2022-11-15,9.700,9.760,9.300,9.530,1716648,8.695,,0.520,0.493,0.052,0.019,0.028
2022-11-16,9.370,9.390,9.200,9.250,1310956,8.734,,0.330,0.489,0.053,0.002,0.011
2022-11-17,8.940,9.310,8.940,9.210,1145489,8.775,,0.370,0.473,0.051,0.002,0.006
2022-11-18,9.410,9.410,9.050,9.200,1475744,8.796,,0.360,0.475,0.052,0.061,0.066
2022-11-21,9.120,9.180,8.955,9.015,906059,8.799,,0.245,0.459,0.051,0.106,0.124
2022-11-22,9.060,9.275,8.930,9.275,664046,8.795,,0.345,0.428,0.046,0.149,0.193
2022-11-23,9.280,9.490,9.265,9.445,1042498,8.822,,0.225,0.419,0.044,0.182,0.261
2022-11-24,9.500,9.540,9.500,9.520,95075,8.869,,0.095,0.396,0.042,0.204,0.320
2022-11-25,9.350,9.380,9.300,9.320,298922,8.879,,0.220,0.393,0.042,0.242,0.399
2022-11-28,9.200,9.310,8.980,9.050,442546,8.887,,0.340,0.385,0.043,0.189,0.384
2022-11-29,9.050,9.080,8.815,8.905,402903,8.896,,0.265,0.376,0.042,0.110,0.343
2022-11-30,8.920,9.700,8.870,9.700,1616433,8.975,,0.830,0.352,0.036,0.095,0.368
2022-12-01,9.760,9.850,9.540,9.735,1054949,9.072,,0.310,0.340,0.035,0.048,0.353
2022-12-02,9.350,9.700,9.350,9.650,912255,9.152,,0.385,0.346,0.036,0.016,0.345
2022-12-05,9.500,9.590,9.230,9.320,710680,9.208,,0.420,0.339,0.036,0.000,0.347
