Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,19.250,19.250,19.000,19.000,1269,,,,,,,
2022-09-30,18.810,18.920,18.700,18.920,5305,,,0.300,,,,
2022-10-03,19.370,19.370,19.180,19.250,19058,,,0.450,,,,
2022-10-04,19.680,19.860,19.620,19.860,17838,,,0.610,,,,
2022-10-05,20.050,20.350,19.880,20.350,26450,,,0.490,,,,
2022-10-06,20.290,20.510,20.290,20.480,3907,,,0.220,,,,
2022-10-07,20.820,21.250,20.820,21.150,2873,,,0.770,,,,
2022-10-11,20.450,20.450,20.450,20.450,507,,,0.700,,,,
2022-10-12,20.150,20.150,20.150,20.150,141,,,0.300,,,#DIV/0!,
2022-10-13,19.930,20.440,19.930,20.440,6729,,,0.510,,,#DIV/0!,
2022-10-14,20.130,20.130,19.860,19.860,461,,,0.580,,,#DIV/0!,
2022-10-17,20.130,20.130,20.130,20.130,426,,,0.270,,,#DIV/0!,
2022-10-18,19.890,19.890,19.890,19.890,351,,,0.240,,,#DIV/0!,
2022-10-19,19.900,19.900,19.900,19.900,669,,,0.010,0.419,0.021,#DIV/0!,
2022-10-20,20.390,20.390,20.090,20.090,533,,,0.490,0.424,0.021,#DIV/0!,
2022-10-21,20.070,20.100,20.070,20.080,781,,,0.030,0.405,0.020,#DIV/0!,
2022-10-25,20.260,20.260,20.260,20.260,6788,,,0.180,0.386,0.019,#DIV/0!,
2022-10-26,20.390,20.500,20.390,20.500,201,,,0.240,0.359,0.018,#DIV/0!,
2022-10-27,20.810,20.920,20.810,20.860,2460,,,0.420,0.354,0.017,#DIV/0!,
2022-10-28,20.610,20.610,20.540,20.540,367,20.108,,0.320,0.361,0.018,#DIV/0!,
2022-10-31,20.330,20.480,20.240,20.240,6676,20.170,,0.300,0.328,0.016,#DIV/0!,
2022-11-01,20.960,20.960,20.790,20.800,8397,20.264,,0.720,0.329,0.016,#DIV/0!,
2022-11-02,20.800,21.220,20.800,21.060,7887,20.355,,0.420,0.338,0.016,#DIV/0!,
2022-11-03,20.860,21.040,20.860,21.040,8050,20.414,,0.200,0.316,0.015,#DIV/0!,
2022-11-04,21.710,21.710,21.710,21.710,319,20.482,,0.670,0.322,0.015,#DIV/0!,
2022-11-07,21.640,21.750,21.600,21.670,2902,20.541,,0.150,0.314,0.014,0.000,0.404
2022-11-08,21.600,21.600,21.200,21.200,3101,20.544,,0.470,0.330,0.016,0.004,0.412
