Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,91.850,91.850,89.500,90.610,21986,,,,,,,
2022-09-30,90.280,91.500,88.820,89.010,13810,,,2.680,,,,
2022-10-03,89.670,91.520,89.630,91.190,14688,,,2.510,,,,
2022-10-04,92.820,94.000,92.820,93.910,8529,,,2.810,,,,
2022-10-05,92.760,94.320,91.750,93.610,5632,,,2.570,,,,
2022-10-06,93.740,94.500,93.120,93.150,4131,,,1.380,,,,
2022-10-07,91.420,91.420,89.140,89.570,11468,,,4.010,,,,
2022-10-11,88.120,88.840,87.010,87.320,8348,,,2.560,,,,
2022-10-12,87.360,87.990,87.300,87.610,8106,,,0.690,,,#DIV/0!,
2022-10-13,84.900,89.760,84.550,89.370,20716,,,5.210,,,#DIV/0!,
2022-10-14,90.290,90.360,86.670,86.670,13373,,,3.690,,,#DIV/0!,
2022-10-17,88.070,89.840,88.070,89.840,6959,,,3.170,,,#DIV/0!,
2022-10-18,91.870,92.150,89.630,90.200,10078,,,2.520,,,#DIV/0!,
2022-10-19,89.930,90.250,89.420,90.040,8134,,,0.830,2.664,0.030,#DIV/0!,
2022-10-20,89.970,91.120,89.440,89.440,11978,,,1.680,2.594,0.029,#DIV/0!,
2022-10-21,89.310,91.700,89.100,91.660,8031,,,2.600,2.588,0.028,#DIV/0!,
2022-10-24,91.880,92.900,91.520,92.660,1814,,,1.380,2.507,0.027,#DIV/0!,
2022-10-25,93.130,94.530,93.130,94.500,2931,,,1.870,2.440,0.026,#DIV/0!,
2022-10-26,92.860,94.340,92.430,92.480,10885,,,2.070,2.404,0.026,#DIV/0!,
2022-10-27,92.190,92.440,90.750,90.760,20300,90.680,,1.730,2.429,0.027,#DIV/0!,
2022-10-28,90.720,93.550,90.720,93.530,4192,90.826,,2.830,2.345,0.025,#DIV/0!,
2022-10-31,92.920,92.980,92.100,92.400,13668,90.996,,1.430,2.264,0.025,#DIV/0!,
2022-11-01,92.150,92.150,91.470,91.640,4989,91.018,,0.930,2.281,0.025,#DIV/0!,
2022-11-02,91.210,92.550,88.450,88.450,23717,90.745,,4.100,2.202,0.025,#DIV/0!,
2022-11-03,87.540,87.620,86.660,86.660,19124,90.398,,1.790,2.066,0.024,#DIV/0!,
2022-11-04,88.330,88.630,86.600,88.150,13325,90.148,,2.030,1.985,0.023,0.000,0.472
2022-11-07,88.060,89.100,87.800,89.100,2728,90.124,,1.300,1.898,0.021,0.015,0.502
2022-11-08,89.720,90.740,88.620,89.750,5564,90.246,,2.120,1.990,0.022,-0.115,0.315
2022-11-09,88.980,89.150,87.930,87.990,2181,90.265,,1.820,2.000,0.023,-0.286,0.049
2022-11-10,91.990,94.090,91.550,94.090,12547,90.501,,6.100,2.250,0.024,-0.262,0.007
2022-11-11,93.880,95.800,93.850,95.790,19217,90.957,,1.950,2.291,0.024,-0.058,0.199
2022-11-14,95.200,96.000,94.860,94.860,8462,91.208,,1.140,2.239,0.024,0.187,0.475
2022-11-15,97.030,97.230,95.240,96.140,4243,91.505,,2.370,2.260,0.024,0.133,0.440
2022-11-16,96.140,96.140,94.750,94.800,1535,91.743,,1.390,2.236,0.024,0.040,0.352
2022-11-17,93.600,95.010,93.600,94.160,1942,91.979,,1.410,2.134,0.023,0.016,0.311
2022-11-18,95.300,95.300,94.390,94.740,5950,92.133,,1.140,2.114,0.022,0.320,0.628
2022-11-21,94.620,94.630,93.720,94.030,3254,92.201,,1.020,2.120,0.023,0.579,0.959
2022-11-22,93.420,95.150,93.420,95.150,4272,92.234,,1.730,1.951,0.021,0.815,1.338
2022-11-23,95.150,96.210,95.150,95.950,17478,92.407,,1.060,1.899,0.020,0.978,1.688
2022-11-24,96.970,96.970,96.030,96.830,1159,92.711,,1.020,1.826,0.019,1.105,2.017
2022-11-25,95.640,95.670,95.250,95.510,2667,92.810,,1.580,1.846,0.019,1.283,2.410
2022-11-28,94.820,95.300,93.850,94.080,10551,92.894,,1.660,1.814,0.019,0.981,2.316
2022-11-29,94.000,94.220,93.000,93.290,18231,92.976,,1.220,1.771,0.019,0.556,2.084
2022-11-30,93.590,97.450,93.590,97.450,8616,93.426,,4.160,1.632,0.017,0.450,2.186
2022-12-01,97.530,98.290,96.950,97.850,10764,93.986,,1.340,1.589,0.016,0.220,2.122
2022-12-02,96.110,97.490,96.110,97.310,4254,94.444,,1.740,1.631,0.017,0.052,2.079
2022-12-05,96.460,96.900,95.350,95.570,8495,94.767,,1.960,1.602,0.017,0.005,2.118
2022-12-06,95.590,95.590,93.410,93.410,6076,94.950,,2.180,1.659,0.018,-0.176,1.969
2022-12-07,93.770,93.770,92.870,93.250,17549,95.213,,0.900,1.622,0.017,-0.283,1.842
2022-12-08,93.810,94.700,93.340,94.190,4455,95.218,92.394,1.450,1.644,0.017,-0.488,1.541
2022-12-09,93.950,94.590,93.800,93.800,4912,95.119,92.458,0.790,1.628,0.017,-0.805,1.087
2022-12-12,93.920,94.910,93.770,94.910,2907,95.121,92.576,1.140,1.586,0.017,-1.067,0.667
2022-12-13,98.590,98.690,95.780,96.000,11011,95.114,92.672,3.780,1.780,0.019,-1.098,0.442
2022-12-14,96.270,96.750,94.650,95.300,12786,95.139,92.700,2.100,1.857,0.019,-1.011,0.331
2022-12-15,93.790,93.790,91.830,92.070,9739,95.035,92.669,3.470,1.992,0.022,-1.047,0.072
2022-12-16,91.700,92.200,90.680,91.130,20038,94.854,92.629,1.520,1.982,0.022,-1.186,-0.341
2022-12-19,91.190,91.190,89.520,89.890,33836,94.647,92.635,1.670,2.014,0.022,-1.318,-0.777
2022-12-20,89.670,90.040,89.400,89.990,7057,94.389,92.689,0.640,1.763,0.020,-1.402,-1.200
2022-12-21,90.040,91.350,90.040,91.350,5044,94.159,92.764,1.360,1.764,0.019,-1.247,-1.367
2022-12-22,90.200,90.200,87.530,88.640,17054,93.750,92.749,3.820,1.913,0.022,-1.117,-1.528
2022-12-23,88.330,89.020,88.330,88.970,6061,93.423,92.795,0.690,1.822,0.020,-1.012,-1.685
2022-12-28,87.360,88.120,86.420,86.450,29898,93.041,92.727,2.550,1.849,0.021,-1.066,-2.011
2022-12-29,87.550,88.150,87.550,88.150,4585,92.784,92.686,1.700,1.906,0.022,-1.023,-2.256
2022-12-30,87.760,88.550,87.530,88.550,2472,92.339,92.656,1.020,1.875,0.021,-1.010,-2.532
2023-01-03,89.230,89.320,87.200,87.880,5287,91.841,92.625,2.120,1.970,0.022,-1.092,-2.898
